Dates;Open;High;Low;Close;Volume
2017-10-09;105.9;106.6;105.3;105.8;36027
2017-10-06;106.5;106.6;105.1;105.9;40893
2017-10-05;106.1;106.7;105.0;106.0;70844
2017-10-04;107.0;107.0;105.0;106.0;73654
2017-10-03;107.0;107.5;106.4;106.7;43501
2017-10-02;107.5;107.8;106.6;107.0;53573
2017-09-29;106.0;107.8;106.0;107.2;55057
2017-09-28;106.4;106.9;106.0;106.0;26401
2017-09-27;104.4;106.4;104.2;106.1;63916
2017-09-26;104.4;104.5;103.7;104.0;16814
2017-09-25;103.9;104.5;103.3;104.5;21436
2017-09-22;104.0;104.0;102.9;104.0;20877
2017-09-21;103.0;103.9;102.7;103.5;19961
2017-09-20;102.0;102.3;101.7;101.8;10833
2017-09-19;101.8;102.0;101.6;102.0;15602
2017-09-18;102.0;102.4;101.3;101.8;22956
2017-09-15;102.1;102.5;101.0;101.0;36933
2017-09-14;102.5;102.5;102.0;102.1;14483
2017-09-13;101.6;102.5;101.3;102.5;25518
2017-09-12;101.7;102.1;101.4;101.5;27670
2017-09-11;100.5;101.6;100.3;101.3;31315
2017-09-08;98.6;100.3;98.6;99.25;21740
2017-09-07;99.95;100.4;99.0;99.0;27814
2017-09-06;99.5;99.75;99.0;99.25;39070
2017-09-04;101.1;101.5;100.8;100.9;16346
2017-09-01;101.7;102.4;101.4;101.4;18337
2017-08-31;101.5;102.6;101.5;101.7;15970
2017-08-30;100.1;101.3;100.1;101.3;19921
2017-08-29;100.5;100.5;99.95;100.0;24729
2017-08-28;100.9;101.4;100.5;100.5;11721
2017-08-25;100.6;101.6;100.6;101.0;7224
2017-08-24;100.9;101.5;100.6;100.6;10994
2017-08-23;100.1;101.6;100.1;100.9;14030
2017-08-22;100.1;101.2;100.1;100.8;23202
2017-08-21;100.1;100.6;100.0;100.1;26337
2017-08-18;100.6;100.6;99.5;100.2;45885
2017-08-17;102.3;102.3;100.8;100.8;23270
2017-08-16;101.7;103.0;101.6;102.2;11012
2017-08-15;101.9;101.9;100.7;101.7;17956
2017-08-14;100.6;101.7;100.6;101.0;13642
2017-08-11;102.0;102.0;100.0;100.5;30127
2017-08-10;102.0;102.4;101.6;102.2;32949
2017-08-09;102.5;102.5;101.7;102.1;12954
2017-08-08;102.8;103.3;102.5;102.5;25670
2017-08-07;103.0;103.0;102.5;102.7;23155
2017-08-04;101.5;102.6;101.4;102.2;9616
2017-08-03;101.7;102.0;101.2;101.3;21436
2017-08-02;102.0;102.4;101.3;101.8;15681
2017-08-01;101.3;102.6;101.3;102.2;23543
2017-07-31;101.1;101.8;100.8;101.3;19993
2017-07-28;102.6;102.6;101.1;101.2;14483
2017-07-27;101.5;102.7;101.5;102.6;17610
2017-07-26;102.1;102.1;101.3;101.5;10954
2017-07-25;101.8;102.7;101.7;102.1;20693
2017-07-24;102.0;102.1;100.5;101.7;30478
2017-07-21;101.9;102.5;101.2;102.2;30605
2017-07-20;104.2;104.2;102.0;102.0;21676
2017-07-19;103.4;103.7;102.2;102.8;24026
2017-07-18;105.2;105.6;103.0;103.8;25552
2017-07-17;105.2;105.5;104.6;105.1;30300
2017-07-14;104.5;106.5;104.5;104.5;78612
2017-07-13;103.8;104.0;103.4;103.6;18628
2017-07-12;101.3;103.8;101.3;103.8;37203
2017-07-11;102.0;102.4;101.3;101.3;11430
2017-07-10;101.7;102.3;101.3;102.3;8524
2017-07-07;101.7;102.2;101.3;101.8;7121
2017-07-06;102.0;102.1;101.6;101.7;9549
2017-07-05;101.7;102.6;101.7;101.9;12950
2017-07-04;102.0;102.9;101.4;102.9;31365
2017-07-03;100.0;102.0;100.0;102.0;25627
2017-06-30;101.8;101.9;100.2;100.6;22303
2017-06-29;102.2;103.1;100.7;100.7;24503
2017-06-28;101.0;101.9;99.95;101.9;24120
2017-06-27;100.6;101.9;100.4;101.4;35385
2017-06-26;100.0;102.0;100.0;100.6;34525
2017-06-23;;101.5;101.5;101.5;0
2017-06-22;102.3;102.4;101.1;101.5;21620
