Dates;Open;High;Low;Close;Volume
2017-10-09;32.31;32.36;31.67;31.74;3011321
2017-10-06;32.81;32.87;32.31;32.36;2570902
2017-10-05;32.5;32.95;32.2;32.78;2997443
2017-10-04;32.35;32.56;32.04;32.51;2622561
2017-10-03;32.62;32.79;32.32;32.41;2573086
2017-10-02;32.35;32.66;32.15;32.66;2400726
2017-09-29;31.67;32.55;31.62;32.33;4506801
2017-09-28;31.44;31.58;31.09;31.58;2290945
2017-09-27;31.2;31.55;31.15;31.4;5318778
2017-09-26;31.12;31.44;30.68;31.04;5442184
2017-09-25;31.7;31.85;31.34;31.38;2572175
2017-09-22;32.0;32.0;31.39;31.71;4624367
2017-09-21;32.27;32.6;32.13;32.17;3766847
2017-09-20;32.17;32.4;31.78;32.29;4128001
2017-09-19;31.96;32.13;31.71;31.8;2814716
2017-09-18;32.71;32.8;31.83;31.9;4912969
2017-09-15;32.8;32.89;32.32;32.56;4516024
2017-09-14;33.47;33.48;32.77;32.82;3586641
2017-09-13;33.9;34.09;33.31;33.5;2664707
2017-09-12;34.39;34.5;33.84;34.04;2507991
2017-09-11;34.1;34.5;33.89;34.34;3504296
2017-09-08;33.2;34.47;33.0;33.86;5025338
2017-09-07;32.99;33.36;32.68;33.32;2660369
2017-09-06;32.6;32.82;32.39;32.76;2969093
2017-09-04;32.52;32.85;32.51;32.72;2229359
2017-09-01;32.62;33.15;32.62;33.06;4068292
2017-08-31;31.83;32.7;31.73;32.68;5279369
2017-08-30;31.76;31.94;31.43;31.62;3717839
2017-08-29;31.91;31.99;31.15;31.45;5438190
2017-08-28;32.45;32.5;32.12;32.28;1682829
2017-08-25;32.4;32.87;32.28;32.5;2777150
2017-08-24;32.35;32.65;32.06;32.36;2595452
2017-08-23;32.8;32.86;32.18;32.32;2997970
2017-08-22;32.21;32.79;32.09;32.72;4417037
2017-08-21;31.85;32.32;31.84;31.88;2692537
2017-08-18;32.0;32.36;31.67;32.08;2767649
2017-08-17;32.7;32.82;32.17;32.34;1959089
2017-08-16;32.26;32.73;32.26;32.61;2245123
2017-08-15;32.76;33.01;32.07;32.13;3228415
2017-08-14;32.55;33.3;32.55;32.69;3541265
2017-08-11;33.0;33.47;32.38;32.42;6236034
2017-08-10;34.03;34.17;33.43;33.53;2702696
2017-08-09;34.28;34.57;33.84;34.05;3338661
2017-08-08;34.28;34.5;34.03;34.48;1630684
2017-08-07;33.49;34.35;33.49;34.34;2675807
2017-08-04;32.89;33.7;32.65;33.39;1656944
2017-08-03;32.79;33.05;32.53;32.93;2610720
2017-08-02;33.49;33.49;32.73;32.87;2744200
2017-08-01;33.37;33.9;33.26;33.39;2318337
2017-07-31;33.73;34.05;33.26;33.34;2465846
2017-07-28;34.2;34.2;33.51;33.73;3606719
2017-07-27;34.6;35.01;34.21;34.22;3978823
2017-07-26;35.0;35.06;34.31;34.69;4913236
2017-07-25;34.6;35.18;34.2;34.88;6058223
2017-07-24;34.5;34.71;33.84;34.24;4253953
2017-07-21;34.18;35.16;34.12;34.43;6273311
2017-07-20;35.6;35.96;33.57;33.92;10384115
2017-07-19;35.05;35.62;34.57;35.0;6307743
2017-07-18;35.86;36.16;34.76;35.07;6872514
2017-07-17;34.9;35.87;34.75;35.87;8240885
2017-07-14;34.15;34.61;34.11;34.49;3521116
2017-07-13;34.06;34.4;33.75;34.04;4271061
2017-07-12;33.8;34.21;33.78;34.0;5018405
2017-07-11;32.83;33.84;32.83;33.62;6103796
2017-07-10;32.6;32.85;32.29;32.81;3539295
2017-07-07;32.31;32.68;32.22;32.36;2344020
2017-07-06;32.51;32.78;32.22;32.54;2920377
2017-07-05;32.4;32.85;32.1;32.51;3999811
2017-07-04;32.0;32.72;31.82;32.39;5801039
2017-07-03;31.49;32.24;31.44;32.21;4911521
2017-06-30;31.23;31.5;30.8;31.25;4151645
2017-06-29;31.62;32.26;30.98;31.13;6378771
2017-06-28;31.33;31.64;30.79;31.59;3788270
2017-06-27;30.83;31.5;30.82;31.34;4406955
2017-06-26;30.9;31.24;30.73;30.82;4082088
2017-06-23;;30.79;30.79;30.79;0
2017-06-22;30.35;30.8;29.95;30.79;3843883
2017-06-21;30.0;30.65;29.69;30.4;6065230
2017-06-20;30.68;30.76;29.66;29.85;6603588
2017-06-19;29.81;30.7;29.81;30.61;4505638
2017-06-16;30.08;30.2;29.36;29.67;5851975
2017-06-15;31.05;31.05;29.74;29.87;7676496
2017-06-14;31.8;32.13;31.08;31.17;4576761
2017-06-13;31.15;31.97;31.15;31.75;5633516
2017-06-12;30.99;31.32;30.63;31.23;4696693
2017-06-09;30.2;31.19;30.15;30.99;8235864
2017-06-08;29.76;30.2;29.54;30.2;5024534
2017-06-07;29.2;30.28;29.11;29.81;6075881
2017-06-06;;29.24;29.24;29.24;0
2017-06-05;29.23;29.44;28.85;29.24;3509331
2017-06-02;29.25;29.47;28.86;29.3;6814939
2017-06-01;28.97;29.36;28.57;29.15;5000039
2017-05-31;29.78;29.78;28.86;28.95;6184813
2017-05-30;29.79;30.07;29.57;29.8;3074214
2017-05-29;30.0;30.04;29.77;29.89;1777978
2017-05-26;30.15;30.25;29.57;30.0;5622367
2017-05-24;29.95;30.29;29.58;30.17;3342175
2017-05-23;29.69;30.47;29.56;29.9;6735928
2017-05-22;29.25;29.84;29.25;29.74;4882415
2017-05-19;29.03;29.37;28.86;29.15;5845244
2017-05-18;29.07;29.33;28.01;28.86;9410922
2017-05-17;29.83;30.27;29.03;29.24;5837339
2017-05-16;29.85;30.15;29.58;29.83;4994254
2017-05-15;29.6;29.84;29.42;29.75;4263948
2017-05-12;30.23;29.4;29.4;29.4;6957552
2017-05-11;30.3;30.86;29.75;30.23;5082892
2017-05-10;30.65;30.91;30.01;30.3;3838170
2017-05-09;30.25;31.07;30.25;30.7;4376978
2017-05-08;30.6;30.71;29.63;30.21;3614190
2017-05-05;29.64;30.63;29.25;30.57;5270570
2017-05-04;30.44;30.44;29.42;29.61;5231111
2017-05-03;31.25;31.34;30.22;30.47;4377519
2017-05-02;31.5;31.71;30.86;31.38;4769476
