Dates;Open;High;Low;Close;Volume
2017-10-09;401.7;404.0;400.1;403.0;180042
2017-10-06;405.2;407.9;402.7;402.9;164835
2017-10-05;407.3;409.1;405.1;406.0;212999
2017-10-04;405.9;408.0;403.1;407.5;240211
2017-10-03;409.0;410.5;405.3;406.5;230506
2017-10-02;413.6;414.9;405.8;408.6;513775
2017-09-29;411.5;414.4;407.0;413.4;293617
2017-09-28;410.0;413.2;408.6;411.6;384641
2017-09-27;405.0;410.1;403.9;409.4;307407
2017-09-26;403.8;405.3;401.1;405.1;319320
2017-09-25;402.0;404.8;400.2;403.8;467419
2017-09-22;402.0;403.3;397.3;402.0;363593
2017-09-21;395.0;403.3;393.3;401.8;551301
2017-09-20;387.6;395.5;387.6;393.2;630221
2017-09-19;381.1;388.5;380.5;387.3;373002
2017-09-18;378.1;382.0;377.7;380.4;198595
2017-09-15;378.7;381.2;376.5;376.5;659566
2017-09-14;374.8;379.3;373.2;378.7;248184
2017-09-13;373.9;374.9;371.0;374.5;194560
2017-09-12;377.5;378.1;371.4;373.4;320635
2017-09-11;373.0;379.9;373.0;375.9;227003
2017-09-08;372.3;374.5;369.7;372.8;217075
2017-09-07;372.5;374.0;368.9;371.6;242158
2017-09-06;376.4;376.4;370.4;371.1;264880
2017-09-04;371.0;382.0;369.4;378.0;546541
2017-09-01;364.8;370.5;361.4;364.1;455754
2017-08-31;356.0;363.4;355.1;362.5;368943
2017-08-30;355.5;357.1;353.3;355.6;279793
2017-08-29;357.5;358.5;351.6;354.9;313504
2017-08-28;361.5;361.5;357.5;358.1;144774
2017-08-25;363.9;365.1;361.7;362.5;129311
2017-08-24;370.7;372.1;363.5;363.5;179346
2017-08-23;365.5;371.0;364.5;370.8;311435
2017-08-22;363.0;366.3;360.9;365.5;579602
2017-08-21;358.8;360.4;356.1;360.0;720974
2017-08-18;361.0;362.7;356.2;359.9;305296
2017-08-17;370.7;370.7;362.8;364.6;340032
2017-08-16;372.1;373.1;369.3;371.0;238070
2017-08-15;376.1;377.8;370.2;370.8;131488
2017-08-14;372.0;377.8;371.8;375.9;176676
2017-08-11;375.0;375.0;369.0;372.5;148945
2017-08-10;380.0;381.5;375.2;376.0;160914
2017-08-09;380.6;381.7;375.3;379.8;213352
2017-08-08;380.5;387.1;379.8;382.0;231437
2017-08-07;377.0;384.6;375.9;380.5;265426
2017-08-04;372.7;378.0;369.1;377.0;194990
2017-08-03;373.7;376.1;368.2;372.7;293456
2017-08-02;378.8;380.5;373.4;374.3;205218
2017-08-01;375.0;379.8;375.0;377.7;204183
2017-07-31;376.5;377.9;372.2;374.7;320540
2017-07-28;380.0;380.5;374.6;376.7;268946
2017-07-27;381.5;384.0;378.3;379.8;221784
2017-07-26;381.6;385.9;379.7;382.1;241981
2017-07-25;379.5;384.0;374.5;381.6;343016
2017-07-24;389.7;392.4;379.5;379.5;443970
2017-07-21;399.6;399.6;387.0;389.7;507949
2017-07-20;408.3;418.5;392.0;399.2;692794
2017-07-19;424.0;424.8;418.8;422.4;195040
2017-07-18;422.6;426.4;420.9;424.3;185303
2017-07-17;422.4;425.4;418.9;423.6;116152
2017-07-14;423.0;423.4;419.2;422.4;95320
2017-07-13;427.8;427.8;422.4;423.0;132542
2017-07-12;421.7;428.7;421.7;426.9;125430
2017-07-11;427.1;427.9;421.6;421.7;137478
2017-07-10;425.0;428.4;421.5;426.4;132940
2017-07-07;416.8;424.0;414.8;423.0;158591
2017-07-06;420.0;424.0;414.6;417.5;190393
2017-07-05;416.4;421.0;414.4;419.9;107117
2017-07-04;418.1;418.7;415.9;416.7;79339
2017-07-03;417.0;421.0;416.7;419.3;138110
2017-06-30;414.3;419.4;410.5;416.0;197722
2017-06-29;425.3;428.2;413.9;414.7;284184
2017-06-28;425.2;425.8;420.5;424.5;192317
2017-06-27;434.0;434.1;426.3;427.5;257451
2017-06-26;440.0;443.2;435.2;436.7;166337
2017-06-23;;439.8;439.8;439.8;0
