Dates;Open;High;Low;Close;Volume
2017-10-09;186.8;187.6;185.2;185.2;1842864
2017-10-06;190.0;190.1;186.1;186.8;1620007
2017-10-05;191.1;192.2;189.9;190.2;987766
2017-10-04;190.7;192.0;189.3;191.1;1402135
2017-10-03;188.1;190.6;187.2;190.3;1747534
2017-10-02;188.9;189.5;187.4;188.0;1045862
2017-09-29;188.0;189.7;186.9;188.7;1539440
2017-09-28;187.5;188.0;185.7;187.6;1543465
2017-09-27;182.4;187.3;182.4;186.9;2304243
2017-09-26;179.7;181.0;179.1;180.5;1120642
2017-09-25;182.4;182.4;179.1;179.6;1550510
2017-09-22;180.8;183.4;180.1;182.1;1201251
2017-09-21;179.0;181.3;179.0;180.8;1055640
2017-09-20;179.3;180.4;177.9;178.6;1056146
2017-09-19;180.2;181.9;179.6;179.6;1662103
2017-09-18;178.4;180.4;178.3;180.4;1470389
2017-09-15;179.8;180.5;177.8;177.8;1690078
2017-09-14;180.0;181.0;179.2;179.6;1231692
2017-09-13;182.3;182.4;179.4;180.3;1247944
2017-09-12;182.5;183.7;181.7;182.2;1942935
2017-09-11;179.5;182.3;179.5;182.0;1482051
2017-09-08;178.6;179.4;177.9;178.8;773741
2017-09-07;177.0;179.0;176.3;178.7;1262214
2017-09-06;177.8;178.7;176.5;176.8;1178065
2017-09-04;178.5;179.5;177.7;179.0;875640
2017-09-01;180.3;181.5;179.3;179.4;1746531
2017-08-31;178.0;180.7;176.5;179.5;2494579
2017-08-30;174.1;177.4;174.1;177.0;1947445
2017-08-29;173.7;174.2;171.6;172.2;1107894
2017-08-28;175.0;175.7;173.4;173.7;613189
2017-08-25;174.1;175.8;174.1;175.4;1045496
2017-08-24;176.0;176.3;173.3;174.0;1047095
2017-08-23;177.2;177.6;175.6;175.8;895798
2017-08-22;175.9;177.6;175.1;177.2;1491191
2017-08-21;177.4;177.7;174.7;175.5;1702062
2017-08-18;177.8;178.9;177.1;178.0;1787982
2017-08-17;182.0;182.0;178.8;179.0;1702750
2017-08-16;182.0;183.4;181.8;182.3;1210780
2017-08-15;183.2;183.5;181.5;181.7;886241
2017-08-14;182.2;183.7;182.2;183.2;970315
2017-08-11;183.0;183.2;181.6;181.8;791532
2017-08-10;185.0;185.1;183.1;183.6;949582
2017-08-09;184.4;186.1;183.8;184.9;1190857
2017-08-08;183.5;185.8;182.9;185.4;898645
2017-08-07;183.4;184.4;182.9;183.7;634098
2017-08-04;182.9;184.0;181.5;183.4;920427
2017-08-03;182.3;184.6;181.3;182.8;1118485
2017-08-02;184.6;185.3;182.0;182.6;1742510
2017-08-01;183.2;185.6;183.1;184.6;1311765
2017-07-31;185.1;185.7;183.6;183.6;2606340
2017-07-28;187.5;188.0;184.5;185.4;1285075
2017-07-27;187.5;189.6;187.1;187.6;1127122
2017-07-26;187.5;189.5;187.2;187.5;992284
2017-07-25;187.0;190.1;187.0;187.5;1337359
2017-07-24;189.4;190.0;187.0;187.0;1167330
2017-07-21;191.5;191.7;187.2;189.4;1904236
2017-07-20;193.8;197.4;191.1;192.0;2321465
