Dates;Open;High;Low;Close;Volume
2017-10-09;222.5;223.0;219.8;220.0;3236267
2017-10-06;222.9;223.5;221.5;222.2;1863201
2017-10-05;222.2;223.1;222.0;222.8;2364175
2017-10-04;224.0;224.5;222.3;222.6;2399687
2017-10-03;224.1;224.5;223.2;224.3;1748029
2017-10-02;225.3;225.6;222.75;223.3;2296610
2017-09-29;223.1;225.4;223.0;225.2;2157889
2017-09-28;224.9;226.3;222.8;223.1;2529593
2017-09-27;221.0;225.2;220.7;224.2;2876499
2017-09-26;218.5;221.0;218.3;220.2;2093319
2017-09-25;218.7;219.2;217.5;218.5;1501122
2017-09-22;218.5;219.4;218.1;219.0;1670841
2017-09-21;218.0;219.6;217.2;218.7;1915785
2017-09-20;217.6;218.8;216.4;217.4;1403398
2017-09-19;216.8;217.9;216.6;217.5;2127521
2017-09-18;216.1;216.8;215.3;216.8;1390220
2017-09-15;217.4;217.7;214.5;215.1;3006763
2017-09-14;217.0;217.7;216.7;217.2;1884176
2017-09-13;217.5;218.0;216.9;217.5;2402122
2017-09-12;216.6;217.9;215.5;217.6;2497175
2017-09-11;214.0;216.6;213.9;216.2;2746759
2017-09-08;210.7;213.6;210.2;212.8;2736570
2017-09-07;211.6;212.1;209.3;210.6;2448508
2017-09-06;210.8;211.8;209.0;210.7;2452868
2017-09-04;213.1;214.4;212.6;213.1;1451206
2017-09-01;215.0;215.7;213.2;214.5;2130828
2017-08-31;214.4;217.0;214.1;214.8;2736096
2017-08-30;213.0;214.4;211.6;214.0;3566496
2017-08-29;210.7;210.7;208.3;208.9;3404236
2017-08-28;211.6;214.5;210.9;211.4;2685091
2017-08-25;212.1;213.3;212.1;212.4;2672785
2017-08-24;213.0;213.6;211.4;211.9;2206704
2017-08-23;213.1;213.6;212.2;212.8;2937363
2017-08-22;212.5;214.4;212.4;213.4;3127526
2017-08-21;212.2;212.9;211.0;212.0;1933987
2017-08-18;212.5;213.5;211.0;213.0;2953219
2017-08-17;215.0;215.2;213.4;214.1;2691593
2017-08-16;215.0;217.5;214.6;215.3;2180363
2017-08-15;213.2;217.2;212.6;214.1;2907956
2017-08-14;211.4;214.0;211.4;213.2;1545615
2017-08-11;212.6;213.1;210.2;210.4;2113827
2017-08-10;214.5;214.7;212.6;212.9;1896571
2017-08-09;214.5;214.9;213.0;214.4;2043332
2017-08-08;215.5;216.2;214.5;215.4;1384007
2017-08-07;216.0;216.8;214.9;215.5;1961626
2017-08-04;212.7;214.8;211.4;214.8;2173918
2017-08-03;211.9;212.8;210.7;212.6;1782460
2017-08-02;213.9;214.4;211.7;212.5;1656925
2017-08-01;211.1;214.2;210.9;213.1;2364784
