Dates;Open;High;Low;Close;Volume
2017-10-09;290.7;292.5;289.7;291.8;368567
2017-10-06;290.0;291.2;288.9;290.0;373663
2017-10-05;287.8;290.7;287.0;289.5;579835
2017-10-04;287.1;288.6;285.4;287.8;479679
2017-10-03;287.6;288.1;286.3;287.0;446581
2017-10-02;285.8;287.4;284.3;287.4;638836
2017-09-29;284.0;286.2;282.4;285.7;781389
2017-09-28;284.0;285.3;282.3;283.1;855025
2017-09-27;283.7;283.7;279.5;280.9;522076
2017-09-26;280.9;283.7;280.3;283.2;443208
2017-09-25;280.0;281.6;278.9;280.6;456449
2017-09-22;280.8;282.0;279.6;280.3;635318
2017-09-21;284.3;284.3;279.9;280.7;724820
2017-09-20;284.3;285.9;283.7;284.1;583388
2017-09-19;285.2;285.2;283.4;283.8;600666
2017-09-18;288.5;288.9;284.3;285.3;458544
2017-09-15;285.6;288.1;284.5;287.3;1384353
2017-09-14;284.0;285.7;283.8;285.5;671081
2017-09-13;284.3;284.7;282.6;283.9;500560
2017-09-12;286.0;286.3;283.2;284.1;453625
2017-09-11;286.0;287.1;284.7;286.2;467823
2017-09-08;282.2;284.9;280.7;284.6;430416
2017-09-07;281.3;282.6;280.4;282.2;433751
2017-09-06;281.9;281.9;278.6;280.8;654115
2017-09-04;282.1;282.7;281.2;281.8;271123
2017-09-01;283.8;284.2;282.6;283.3;676247
2017-08-31;282.7;283.3;280.4;283.3;999207
2017-08-30;282.5;282.5;280.9;281.9;581743
2017-08-29;280.9;281.8;279.6;281.1;542827
2017-08-28;282.4;282.5;280.1;281.2;383682
2017-08-25;282.4;283.9;281.9;282.7;551053
2017-08-24;283.2;283.9;281.2;282.5;611989
2017-08-23;282.0;283.6;280.8;281.6;541896
2017-08-22;282.2;283.6;280.9;282.0;672979
2017-08-21;280.4;282.9;279.9;281.9;560313
2017-08-18;279.8;280.7;277.3;280.7;672110
2017-08-17;281.8;282.2;279.7;280.9;584584
2017-08-16;282.6;282.7;280.5;281.6;522798
2017-08-15;284.1;284.8;280.2;281.8;653858
2017-08-14;281.5;283.4;279.4;283.4;834682
2017-08-11;283.3;284.3;280.9;281.2;588292
2017-08-10;285.2;285.3;282.6;283.5;627823
2017-08-09;285.8;286.1;284.6;285.3;505894
2017-08-08;286.6;286.8;284.9;286.7;572564
2017-08-07;287.8;289.5;285.7;286.3;350424
2017-08-04;286.6;288.3;285.7;287.8;707154
2017-08-03;285.3;287.1;283.5;286.5;651911
2017-08-02;287.0;287.0;284.4;285.6;763110
2017-08-01;284.7;287.4;282.5;286.3;762708
2017-07-31;288.0;288.5;283.4;284.0;1634717
2017-07-28;299.3;299.6;281.7;286.9;2270159
2017-07-27;297.7;304.4;297.3;298.5;792899
2017-07-26;298.7;300.3;297.7;297.7;508366
2017-07-25;301.8;304.0;298.0;298.0;1076737
2017-07-24;300.7;307.3;300.6;300.6;1423803
2017-07-21;300.0;303.9;296.7;302.0;1213023
2017-07-20;295.6;297.4;293.6;295.0;781659
2017-07-19;294.1;295.6;292.7;294.7;722258
2017-07-18;293.8;294.4;291.5;292.4;645179
2017-07-17;295.5;295.9;293.3;293.9;688138
2017-07-14;295.6;295.6;293.2;294.4;477582
2017-07-13;295.3;295.6;294.0;294.6;594918
2017-07-12;291.0;295.2;290.3;294.7;681922
2017-07-11;293.0;293.4;289.6;290.5;660549
2017-07-10;294.9;295.1;291.1;292.4;771224
2017-07-07;295.1;295.1;292.3;293.4;784666
2017-07-06;296.3;297.5;291.3;294.7;849840
2017-07-05;295.5;295.7;292.9;294.4;573347
2017-07-04;296.7;296.8;294.4;295.4;483724
2017-07-03;297.0;297.7;295.3;297.6;490058
2017-06-30;296.5;298.8;296.5;296.7;661960
2017-06-29;303.5;303.5;296.2;297.1;705943
2017-06-28;305.0;305.2;301.5;302.7;543299
2017-06-27;307.5;307.5;304.5;304.8;505129
2017-06-26;307.6;310.1;307.1;308.3;548001
