Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,308.0,309.0,298.0,304.0,13813
2017-09-07 00:00:00,307.0,309.5,302.0,305.5,12627
2017-09-06 00:00:00,303.0,306.5,289.5,306.0,17255
2017-09-04 00:00:00,309.0,309.0,300.5,305.0,8871
2017-09-01 00:00:00,305.0,309.5,304.0,309.0,11046
2017-08-31 00:00:00,297.0,302.0,296.5,302.0,12579
2017-08-30 00:00:00,305.0,309.0,296.5,298.0,12066
2017-08-29 00:00:00,294.0,303.0,290.5,303.0,32561
2017-08-28 00:00:00,297.0,300.5,293.5,297.5,7527
2017-08-25 00:00:00,308.5,311.0,295.5,297.5,26418
2017-08-24 00:00:00,317.5,318.0,307.0,308.5,21311
2017-08-23 00:00:00,325.0,325.0,313.0,316.0,33891
2017-08-22 00:00:00,320.5,325.5,313.0,323.0,91650
2017-08-21 00:00:00,313.0,337.0,312.0,318.5,127910
2017-08-18 00:00:00,305.0,323.5,302.0,309.0,83928
2017-08-17 00:00:00,302.0,302.0,287.0,287.0,11436
2017-08-16 00:00:00,291.0,302.0,291.0,299.0,6080
2017-08-15 00:00:00,290.0,292.0,284.5,290.5,13139
2017-08-14 00:00:00,292.5,296.0,287.0,292.5,18918
2017-08-11 00:00:00,295.5,295.5,287.5,292.0,15929
2017-08-10 00:00:00,304.0,306.0,296.5,297.5,4708
2017-08-09 00:00:00,304.0,304.5,301.5,304.0,7884
2017-08-08 00:00:00,306.0,307.0,304.0,304.0,11689
2017-08-07 00:00:00,302.0,306.0,302.0,305.0,10436
2017-08-04 00:00:00,305.0,305.0,301.0,303.5,4289
2017-08-03 00:00:00,304.5,307.5,304.0,305.0,7322
2017-08-02 00:00:00,304.0,306.0,303.0,304.5,9035
2017-08-01 00:00:00,301.0,306.0,297.0,304.0,14308
2017-07-31 00:00:00,300.5,305.0,300.5,301.0,3427
2017-07-28 00:00:00,304.0,305.0,301.0,302.5,4839
2017-07-27 00:00:00,303.5,306.0,303.5,305.0,9498
2017-07-26 00:00:00,305.0,306.5,303.0,304.0,12015
2017-07-25 00:00:00,304.0,309.0,304.0,306.0,4022
2017-07-24 00:00:00,307.0,307.0,300.5,304.0,4497
2017-07-21 00:00:00,316.5,317.0,305.0,307.0,7375
2017-07-20 00:00:00,310.5,319.5,308.0,317.0,9627
2017-07-19 00:00:00,308.0,311.5,304.5,310.5,13368
2017-07-18 00:00:00,310.0,312.5,308.5,309.5,4743
2017-07-17 00:00:00,316.0,316.0,308.5,311.5,13312
2017-07-14 00:00:00,316.0,318.0,315.5,317.0,2469
2017-07-13 00:00:00,318.0,319.0,315.0,316.0,3716
2017-07-12 00:00:00,314.0,319.0,314.0,317.0,15060
2017-07-11 00:00:00,316.0,317.0,310.0,314.0,9528
2017-07-10 00:00:00,320.5,320.5,315.0,315.5,6789
2017-07-07 00:00:00,318.0,321.0,316.0,320.5,11331
2017-07-06 00:00:00,328.5,328.5,317.5,318.0,12277
2017-07-05 00:00:00,326.5,330.0,320.5,330.0,16984
2017-07-04 00:00:00,334.5,335.0,324.5,328.5,11417
2017-07-03 00:00:00,339.5,339.5,334.5,336.5,7880
2017-06-30 00:00:00,337.0,344.0,335.0,342.5,6557
2017-06-29 00:00:00,346.0,346.0,329.0,339.0,8776
2017-06-28 00:00:00,347.0,347.0,344.0,345.0,5790
2017-06-27 00:00:00,345.0,347.5,345.0,347.0,8052
2017-06-26 00:00:00,346.0,346.5,342.0,344.5,6157
2017-06-23 00:00:00,,347.0,347.0,347.0,0
2017-06-22 00:00:00,342.0,348.0,338.5,347.0,18329
2017-06-21 00:00:00,347.0,353.0,344.0,344.0,11069
2017-06-20 00:00:00,347.5,350.0,345.5,347.5,4616
2017-06-19 00:00:00,350.0,356.0,346.5,350.0,7419
2017-06-16 00:00:00,356.5,359.0,352.5,352.5,38963
2017-06-15 00:00:00,360.5,360.5,354.5,355.5,8299
2017-06-14 00:00:00,352.0,360.5,351.0,360.5,11692
2017-06-13 00:00:00,354.5,357.0,352.0,352.5,10891
2017-06-12 00:00:00,361.5,361.5,353.5,353.5,8869
2017-06-09 00:00:00,359.5,361.5,355.5,361.5,11007
2017-06-08 00:00:00,359.0,360.0,353.0,359.0,7836
2017-06-07 00:00:00,353.0,360.5,353.0,358.0,9808
2017-06-06 00:00:00,,362.0,362.0,362.0,0
2017-06-05 00:00:00,361.5,363.5,361.0,362.0,6439
