Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,6.85,7.15,6.85,6.9,109344
2017-09-07 00:00:00,6.95,7.0,6.7,6.85,176335
2017-09-06 00:00:00,6.7,6.95,6.7,6.9,90835
2017-09-04 00:00:00,6.8,6.8,6.55,6.65,58885
2017-09-01 00:00:00,6.85,7.0,6.7,6.8,183529
2017-08-31 00:00:00,6.8,6.95,6.65,6.95,116882
2017-08-30 00:00:00,6.7,6.75,6.55,6.75,89061
2017-08-29 00:00:00,6.75,6.75,6.55,6.7,129292
2017-08-28 00:00:00,7.15,7.15,6.8,6.8,118805
2017-08-25 00:00:00,7.2,7.25,7.05,7.05,162295
2017-08-24 00:00:00,7.35,7.4,7.15,7.2,207864
2017-08-23 00:00:00,7.1,7.4,7.1,7.4,325058
2017-08-22 00:00:00,6.7,7.05,6.6,7.05,512794
2017-08-21 00:00:00,6.5,6.8,6.5,6.65,169073
2017-08-18 00:00:00,6.5,6.5,6.3,6.4,81087
2017-08-17 00:00:00,6.4,6.55,6.35,6.45,96584
2017-08-16 00:00:00,6.5,6.55,6.4,6.55,109419
2017-08-15 00:00:00,6.55,6.55,6.35,6.5,149258
2017-08-14 00:00:00,6.7,6.75,6.6,6.7,75459
2017-08-11 00:00:00,6.6,6.8,6.35,6.7,140502
2017-08-10 00:00:00,6.75,7.0,6.6,6.75,350765
2017-08-09 00:00:00,6.5,6.55,6.45,6.45,48755
2017-08-08 00:00:00,6.7,6.7,6.5,6.55,67069
2017-08-07 00:00:00,6.55,6.6,6.5,6.6,42103
2017-08-04 00:00:00,6.4,6.55,6.35,6.55,61774
2017-08-03 00:00:00,6.5,6.6,6.5,6.5,39673
2017-08-02 00:00:00,6.4,6.55,6.3,6.5,79373
2017-08-01 00:00:00,6.6,6.6,6.45,6.45,131234
2017-07-31 00:00:00,6.75,6.75,6.6,6.65,55468
2017-07-28 00:00:00,6.6,6.75,6.5,6.75,75580
2017-07-27 00:00:00,6.65,6.7,6.6,6.6,47641
2017-07-26 00:00:00,6.55,6.75,6.55,6.7,181225
2017-07-25 00:00:00,6.45,6.55,6.4,6.5,43007
2017-07-24 00:00:00,6.4,6.55,6.4,6.5,42991
2017-07-21 00:00:00,6.65,6.65,6.45,6.6,120237
2017-07-20 00:00:00,6.5,6.8,6.5,6.65,227295
2017-07-19 00:00:00,6.35,6.45,6.25,6.45,71676
2017-07-18 00:00:00,6.4,6.4,6.15,6.25,173956
2017-07-17 00:00:00,6.25,6.5,6.25,6.4,208550
2017-07-14 00:00:00,6.25,6.3,6.15,6.2,110807
2017-07-13 00:00:00,6.15,6.25,6.15,6.2,94722
2017-07-12 00:00:00,6.1,6.2,6.05,6.15,96429
2017-07-11 00:00:00,6.15,6.15,5.95,6.1,96143
2017-07-10 00:00:00,6.25,6.25,5.85,6.1,226317
2017-07-07 00:00:00,6.2,6.3,6.15,6.2,91215
2017-07-06 00:00:00,6.35,6.35,6.2,6.2,84476
2017-07-05 00:00:00,6.5,6.5,6.35,6.35,72529
2017-07-04 00:00:00,6.45,6.5,6.3,6.45,91279
2017-07-03 00:00:00,6.35,6.5,6.2,6.45,293295
2017-06-30 00:00:00,6.1,6.25,6.05,6.15,74674
2017-06-29 00:00:00,6.15,6.3,6.1,6.25,108796
2017-06-28 00:00:00,6.1,6.1,5.95,6.1,106216
2017-06-27 00:00:00,6.0,6.05,5.95,6.0,127200
2017-06-26 00:00:00,6.15,6.2,6.0,6.1,275660
2017-06-23 00:00:00,,6.15,6.15,6.15,0
2017-06-22 00:00:00,6.05,6.15,5.85,6.15,289786
2017-06-21 00:00:00,6.1,6.2,5.85,6.15,411743
2017-06-20 00:00:00,6.15,6.3,6.05,6.1,147451
2017-06-19 00:00:00,6.25,6.35,6.15,6.15,165803
2017-06-16 00:00:00,6.35,6.6,6.35,6.4,95113
2017-06-15 00:00:00,6.5,6.5,6.25,6.3,281144
2017-06-14 00:00:00,6.6,6.6,6.45,6.5,95955
2017-06-13 00:00:00,6.55,6.65,6.45,6.55,128610
2017-06-12 00:00:00,6.5,6.6,6.4,6.55,104336
2017-06-09 00:00:00,6.4,6.55,6.4,6.55,70758
2017-06-08 00:00:00,6.4,6.55,6.35,6.4,99910
2017-06-07 00:00:00,6.65,6.7,6.4,6.4,136226
2017-06-06 00:00:00,,6.55,6.55,6.55,0
2017-06-05 00:00:00,6.5,6.8,6.5,6.55,187585
