Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,97.75,99.5,97.25,98.75,47523
2017-09-07 00:00:00,96.5,98.75,96.5,98.25,31769
2017-09-06 00:00:00,98.25,98.25,96.0,96.5,61316
2017-09-04 00:00:00,96.0,96.0,94.0,94.5,36574
2017-09-01 00:00:00,96.5,97.5,95.75,96.5,52042
2017-08-31 00:00:00,96.0,96.25,95.25,96.25,59656
2017-08-30 00:00:00,94.75,96.5,94.75,95.5,51683
2017-08-29 00:00:00,96.0,96.5,93.75,94.25,70257
2017-08-28 00:00:00,97.25,97.25,96.0,96.5,28560
2017-08-25 00:00:00,96.5,98.75,96.5,97.5,76440
2017-08-24 00:00:00,97.25,98.25,96.25,96.25,47382
2017-08-23 00:00:00,96.75,97.5,96.25,96.75,85087
2017-08-22 00:00:00,95.5,97.0,95.5,96.0,37885
2017-08-21 00:00:00,95.0,96.5,94.75,95.0,60683
2017-08-18 00:00:00,95.75,96.0,94.0,95.5,51960
2017-08-17 00:00:00,96.5,97.25,95.0,95.75,50283
2017-08-16 00:00:00,96.5,97.75,96.5,96.75,23293
2017-08-15 00:00:00,98.0,98.0,96.0,96.5,37326
2017-08-14 00:00:00,95.0,97.75,95.0,97.75,55354
2017-08-11 00:00:00,96.5,96.5,94.25,94.75,52312
2017-08-10 00:00:00,98.5,98.5,96.5,97.0,57817
2017-08-09 00:00:00,99.75,99.75,98.25,98.5,40631
2017-08-08 00:00:00,100.5,101.5,100.0,100.0,39244
2017-08-07 00:00:00,101.5,101.5,99.0,100.75,33986
2017-08-04 00:00:00,100.0,101.75,99.0,101.5,59340
2017-08-03 00:00:00,100.75,100.75,99.0,100.0,25977
2017-08-02 00:00:00,100.0,101.75,99.75,100.75,47208
2017-08-01 00:00:00,99.0,100.0,98.5,100.0,41152
2017-07-31 00:00:00,98.0,99.25,97.5,99.25,37482
2017-07-28 00:00:00,99.25,100.25,98.0,98.0,36087
2017-07-27 00:00:00,98.75,100.25,97.5,99.5,50194
2017-07-26 00:00:00,100.75,101.25,98.25,98.75,82568
2017-07-25 00:00:00,101.0,101.75,99.75,100.5,46114
2017-07-24 00:00:00,102.0,103.0,99.75,101.0,48114
2017-07-21 00:00:00,102.75,103.25,100.25,102.0,64662
2017-07-20 00:00:00,104.25,104.5,101.5,103.25,33906
2017-07-19 00:00:00,104.75,105.25,102.75,104.0,52497
2017-07-18 00:00:00,107.75,107.75,103.0,104.0,98969
2017-07-17 00:00:00,103.5,107.75,103.5,107.75,150113
2017-07-14 00:00:00,100.5,104.75,100.5,103.5,191535
2017-07-13 00:00:00,93.75,98.0,93.75,98.0,64397
2017-07-12 00:00:00,92.25,95.0,92.25,93.75,34964
2017-07-11 00:00:00,93.25,94.0,92.0,92.25,40389
2017-07-10 00:00:00,94.5,95.0,93.25,93.25,19980
2017-07-07 00:00:00,94.0,95.0,93.5,94.25,26431
2017-07-06 00:00:00,96.0,96.75,94.25,94.25,29002
2017-07-05 00:00:00,96.5,97.5,95.75,95.75,51715
2017-07-04 00:00:00,99.0,99.0,96.25,96.5,39482
2017-07-03 00:00:00,98.0,99.0,95.5,99.0,59777
2017-06-30 00:00:00,95.5,98.0,95.0,98.0,55740
2017-06-29 00:00:00,98.5,98.75,95.5,95.5,38612
2017-06-28 00:00:00,100.0,100.0,98.0,98.5,58607
2017-06-27 00:00:00,101.0,101.75,100.0,100.0,42788
2017-06-26 00:00:00,100.5,103.0,100.0,101.0,44213
2017-06-23 00:00:00,,100.0,100.0,100.0,0
2017-06-22 00:00:00,100.25,100.75,99.75,100.0,54179
2017-06-21 00:00:00,101.0,101.0,100.0,100.0,52373
2017-06-20 00:00:00,101.0,102.0,100.5,101.0,34487
2017-06-19 00:00:00,100.5,102.0,100.5,101.0,29600
2017-06-16 00:00:00,100.0,101.75,98.75,100.75,42575
2017-06-15 00:00:00,102.75,102.75,99.75,99.75,49182
2017-06-14 00:00:00,103.0,104.75,101.75,102.75,35367
2017-06-13 00:00:00,101.5,102.5,101.0,102.0,44293
2017-06-12 00:00:00,101.5,102.25,100.25,102.25,58398
2017-06-09 00:00:00,103.0,103.25,100.25,101.5,117393
2017-06-08 00:00:00,106.0,106.0,103.0,103.0,86289
2017-06-07 00:00:00,108.0,108.0,105.75,106.0,84248
2017-06-06 00:00:00,,109.0,109.0,109.0,0
2017-06-05 00:00:00,108.0,109.0,106.75,109.0,28430
2017-06-02 00:00:00,109.25,110.0,107.5,107.75,28025
2017-06-01 00:00:00,106.0,109.25,105.0,109.25,51743
2017-05-31 00:00:00,106.5,106.75,105.0,106.0,65589
2017-05-30 00:00:00,104.5,106.75,104.0,106.25,37883
2017-05-29 00:00:00,104.75,105.75,104.0,104.5,28366
2017-05-26 00:00:00,104.5,106.0,104.0,104.75,35385
2017-05-24 00:00:00,104.0,105.5,104.0,105.0,29914
2017-05-23 00:00:00,104.5,105.5,104.25,104.75,37605
2017-05-22 00:00:00,106.25,107.0,104.5,105.0,31656
2017-05-19 00:00:00,106.25,108.5,106.0,106.0,52401
2017-05-18 00:00:00,109.0,109.0,104.75,106.25,91149
2017-05-17 00:00:00,111.5,111.75,109.75,109.75,53429
2017-05-16 00:00:00,110.75,112.0,110.25,112.0,90653
2017-05-15 00:00:00,108.75,110.75,108.5,110.75,39899
2017-05-12 00:00:00,109.75,108.75,108.75,108.75,250379
2017-05-11 00:00:00,108.0,110.0,107.75,110.0,48656
2017-05-10 00:00:00,109.5,110.0,108.25,109.0,36497
2017-05-09 00:00:00,108.5,109.75,108.5,109.5,43608
2017-05-08 00:00:00,109.0,109.25,107.5,108.25,41144
2017-05-05 00:00:00,108.0,109.25,107.25,109.25,32976
2017-05-04 00:00:00,107.75,108.25,106.25,107.5,50397
2017-05-03 00:00:00,112.0,112.0,108.5,108.75,246787
2017-05-02 00:00:00,110.0,112.0,109.5,111.5,43103
2017-05-01 00:00:00,,109.5,109.5,109.5,0
2017-04-28 00:00:00,108.0,109.75,107.75,109.5,54604
2017-04-27 00:00:00,107.0,108.0,106.0,108.0,77334
2017-04-26 00:00:00,107.5,108.0,107.0,107.75,34173
2017-04-25 00:00:00,107.0,108.0,107.0,107.25,77249
2017-04-24 00:00:00,105.5,107.0,104.25,107.0,68958
2017-04-21 00:00:00,105.25,106.0,104.0,105.25,81937
2017-04-20 00:00:00,103.0,105.75,102.25,105.25,96028
2017-04-19 00:00:00,102.0,102.5,101.5,102.0,26246
2017-04-18 00:00:00,101.5,102.25,101.5,102.0,39348
2017-04-13 00:00:00,102.5,102.5,101.5,101.75,18912
2017-04-12 00:00:00,102.0,102.75,102.0,102.5,56284
2017-04-11 00:00:00,102.5,103.0,102.0,102.5,61985
2017-04-10 00:00:00,100.0,102.75,99.75,102.75,52141
2017-04-07 00:00:00,100.25,100.5,99.75,100.0,79789
2017-04-06 00:00:00,100.0,100.5,99.25,100.5,46084
2017-04-05 00:00:00,99.5,100.75,99.25,100.25,125730
2017-04-04 00:00:00,98.0,99.5,98.0,99.25,80181
2017-04-03 00:00:00,98.0,98.5,96.25,98.5,71606
2017-03-31 00:00:00,95.0,98.0,95.0,98.0,44437
2017-03-30 00:00:00,94.0,96.25,94.0,96.25,55786
2017-03-29 00:00:00,93.5,94.75,93.25,94.0,31515
2017-03-28 00:00:00,93.0,93.25,92.25,93.25,35487
2017-03-27 00:00:00,93.5,93.75,92.25,93.5,65453
2017-03-24 00:00:00,95.0,95.5,92.5,93.75,83380
2017-03-23 00:00:00,93.5,95.5,93.25,95.0,42482
2017-03-22 00:00:00,94.25,94.75,92.5,93.5,68027
