Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,29.4,30.3,29.4,30.2,735805
2017-09-07 00:00:00,29.4,29.5,29.2,29.3,195525
2017-09-06 00:00:00,29.6,29.6,29.3,29.4,152146
2017-09-04 00:00:00,29.8,29.8,29.2,29.6,271793
2017-09-01 00:00:00,30.2,30.3,29.5,29.8,483033
2017-08-31 00:00:00,29.5,30.1,29.3,30.1,468148
2017-08-30 00:00:00,29.4,29.5,29.2,29.3,297314
2017-08-29 00:00:00,29.6,29.6,29.0,29.3,497074
2017-08-28 00:00:00,29.7,29.9,29.5,29.6,251040
2017-08-25 00:00:00,29.5,29.7,29.5,29.6,256873
2017-08-24 00:00:00,29.5,29.7,29.3,29.4,273780
2017-08-23 00:00:00,29.5,29.6,29.3,29.4,180118
2017-08-22 00:00:00,29.6,29.6,29.2,29.3,295537
2017-08-21 00:00:00,29.3,29.6,29.3,29.6,166248
2017-08-18 00:00:00,29.7,29.7,29.2,29.3,317202
2017-08-17 00:00:00,29.9,30.1,29.7,30.0,273685
2017-08-16 00:00:00,29.7,30.0,29.5,29.9,653107
2017-08-15 00:00:00,29.6,29.7,29.3,29.4,203222
2017-08-14 00:00:00,29.3,29.7,29.2,29.6,210596
2017-08-11 00:00:00,29.6,29.8,29.3,29.3,325308
2017-08-10 00:00:00,30.0,30.0,29.8,29.9,197187
2017-08-09 00:00:00,30.4,30.4,29.9,30.0,544102
2017-08-08 00:00:00,30.2,30.6,30.2,30.4,381508
2017-08-07 00:00:00,30.7,30.8,30.1,30.2,364313
2017-08-04 00:00:00,30.1,30.8,29.6,30.5,497188
2017-08-03 00:00:00,30.1,30.1,29.5,29.8,520711
2017-08-02 00:00:00,29.8,30.2,29.4,29.9,1208873
2017-08-01 00:00:00,28.8,29.3,28.8,28.9,531929
2017-07-31 00:00:00,28.6,28.9,28.3,28.9,891124
2017-07-28 00:00:00,29.1,29.2,28.3,28.6,577035
2017-07-27 00:00:00,28.6,29.3,28.5,29.0,448768
2017-07-26 00:00:00,28.7,29.0,28.4,28.5,757025
2017-07-25 00:00:00,29.0,29.1,28.7,28.7,872998
2017-07-24 00:00:00,29.3,29.6,29.0,29.0,478403
2017-07-21 00:00:00,29.7,29.7,29.0,29.3,789815
