Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,128.5,128.5,125.0,125.75,37388
2017-09-07 00:00:00,126.75,129.75,124.75,128.5,27020
2017-09-06 00:00:00,124.0,127.25,122.75,126.5,32495
2017-09-04 00:00:00,125.0,126.75,124.0,125.0,16394
2017-09-01 00:00:00,122.0,126.0,122.0,124.75,17309
2017-08-31 00:00:00,121.0,124.75,121.0,122.75,15646
2017-08-30 00:00:00,120.25,126.25,119.5,122.25,28876
2017-08-29 00:00:00,121.25,121.5,119.5,121.0,26525
2017-08-28 00:00:00,121.25,122.0,120.0,120.75,16469
2017-08-25 00:00:00,120.0,123.25,120.0,121.5,19615
2017-08-24 00:00:00,125.0,125.0,120.0,120.0,30280
2017-08-23 00:00:00,124.5,125.0,124.0,124.75,19534
2017-08-22 00:00:00,122.25,124.5,122.0,124.25,30797
2017-08-21 00:00:00,120.0,120.75,119.5,120.75,19085
2017-08-18 00:00:00,121.0,121.0,119.0,120.25,19581
2017-08-17 00:00:00,119.25,122.25,117.5,122.0,20378
2017-08-16 00:00:00,120.75,122.0,118.75,119.5,37731
2017-08-15 00:00:00,119.0,120.25,118.75,120.25,350625
2017-08-14 00:00:00,120.5,122.5,117.75,119.0,24863
2017-08-11 00:00:00,120.0,121.75,118.75,120.0,30088
2017-08-10 00:00:00,126.5,126.5,123.0,123.0,81940
2017-08-09 00:00:00,130.0,130.0,126.25,126.5,18582
2017-08-08 00:00:00,129.75,130.0,127.5,130.0,16562
2017-08-07 00:00:00,127.0,129.75,125.5,129.25,15878
2017-08-04 00:00:00,126.5,127.5,126.25,126.25,15163
2017-08-03 00:00:00,127.75,128.0,126.0,127.75,19412
2017-08-02 00:00:00,128.0,128.5,126.75,127.75,21854
2017-08-01 00:00:00,125.75,129.5,125.75,128.0,23297
2017-07-31 00:00:00,126.5,128.5,126.25,126.5,17382
2017-07-28 00:00:00,132.0,132.0,126.5,126.5,18851
2017-07-27 00:00:00,131.0,133.5,129.25,132.75,18405
2017-07-26 00:00:00,130.5,132.0,128.5,131.0,7307
2017-07-25 00:00:00,130.75,132.0,130.25,131.25,8859
2017-07-24 00:00:00,130.75,133.0,130.75,131.0,20162
2017-07-21 00:00:00,134.25,134.25,129.0,130.5,37282
2017-07-20 00:00:00,133.5,134.75,132.25,133.25,17759
2017-07-19 00:00:00,132.0,134.25,130.75,134.25,15779
2017-07-18 00:00:00,134.25,134.25,132.5,133.5,13165
2017-07-17 00:00:00,131.75,132.5,130.5,131.0,27402
2017-07-14 00:00:00,132.0,134.25,131.5,132.75,17848
2017-07-13 00:00:00,134.75,134.75,131.25,131.25,23884
2017-07-12 00:00:00,136.5,136.75,134.75,134.75,13909
2017-07-11 00:00:00,136.25,137.0,135.75,136.0,13920
2017-07-10 00:00:00,136.5,137.25,135.75,136.0,7153
2017-07-07 00:00:00,136.25,136.75,136.0,136.25,22577
2017-07-06 00:00:00,138.25,138.25,136.25,136.5,16366
2017-07-05 00:00:00,137.25,138.25,136.75,138.0,12136
2017-07-04 00:00:00,137.25,139.25,136.5,137.5,10275
2017-07-03 00:00:00,138.25,138.5,137.0,137.75,12711
2017-06-30 00:00:00,138.0,140.0,137.5,138.0,23760
2017-06-29 00:00:00,141.0,141.75,138.0,138.0,33150
2017-06-28 00:00:00,141.0,143.0,140.5,141.0,17198
2017-06-27 00:00:00,143.0,143.25,141.0,142.0,36085
2017-06-26 00:00:00,142.0,144.25,142.0,143.75,17065
2017-06-23 00:00:00,,142.5,142.5,142.5,0
2017-06-22 00:00:00,142.5,143.5,141.25,142.5,27412
2017-06-21 00:00:00,144.5,144.5,142.25,143.0,13437
2017-06-20 00:00:00,141.75,146.0,141.5,145.0,47023
2017-06-19 00:00:00,139.0,142.75,139.0,141.75,25980
2017-06-16 00:00:00,139.5,140.5,138.0,140.5,83038
2017-06-15 00:00:00,139.0,139.5,137.0,138.5,52753
2017-06-14 00:00:00,139.0,139.5,137.25,138.25,34688
2017-06-13 00:00:00,137.0,140.0,137.0,139.0,32274
2017-06-12 00:00:00,140.0,140.0,135.75,136.5,50902
2017-06-09 00:00:00,139.5,141.0,138.5,140.0,97983
2017-06-08 00:00:00,141.25,142.0,137.75,139.0,63496
2017-06-07 00:00:00,143.75,144.75,140.5,141.0,75626
2017-06-06 00:00:00,,141.0,141.0,141.0,0
2017-06-05 00:00:00,146.0,146.5,141.0,141.0,59356
2017-06-02 00:00:00,141.0,146.75,140.5,146.0,94720
2017-06-01 00:00:00,138.25,141.0,138.0,140.0,201961
2017-05-31 00:00:00,139.75,140.25,135.25,137.5,442449
2017-05-30 00:00:00,145.0,145.0,139.5,140.0,199819
2017-05-29 00:00:00,140.5,143.0,139.25,143.0,34327
2017-05-26 00:00:00,141.5,142.0,139.25,140.5,62515
2017-05-24 00:00:00,139.5,141.25,139.5,141.25,25314
2017-05-23 00:00:00,137.5,139.5,137.0,138.75,61085
2017-05-22 00:00:00,139.0,139.5,138.0,138.5,39648
2017-05-19 00:00:00,140.5,142.25,138.25,139.0,44480
2017-05-18 00:00:00,142.0,142.0,137.25,141.75,55431
2017-05-17 00:00:00,143.0,146.25,141.5,143.25,64109
2017-05-16 00:00:00,149.0,150.0,142.75,144.25,67623
2017-05-15 00:00:00,151.0,152.5,150.0,152.0,34407
2017-05-12 00:00:00,152.0,151.5,151.5,151.5,14351
2017-05-11 00:00:00,151.5,152.5,149.0,152.0,41039
2017-05-10 00:00:00,154.0,154.0,147.25,151.5,32086
2017-05-09 00:00:00,144.75,147.75,144.5,147.75,83776
2017-05-08 00:00:00,147.0,147.0,143.0,144.75,32664
2017-05-05 00:00:00,151.5,152.0,144.5,147.0,41849
2017-05-04 00:00:00,148.0,152.5,148.0,151.0,56673
2017-05-03 00:00:00,150.5,154.0,147.75,148.0,69763
2017-05-02 00:00:00,146.5,150.0,146.5,148.0,38468
2017-05-01 00:00:00,,146.0,146.0,146.0,0
2017-04-28 00:00:00,147.0,150.0,146.0,146.0,29550
2017-04-27 00:00:00,149.0,150.0,146.0,149.0,42905
2017-04-26 00:00:00,149.0,155.0,148.25,149.75,25080
2017-04-25 00:00:00,142.0,152.0,141.25,150.0,62489
2017-04-24 00:00:00,139.75,142.0,139.5,141.5,102088
2017-04-21 00:00:00,140.0,141.25,139.75,139.75,11991
2017-04-20 00:00:00,141.0,141.0,138.5,139.0,30028
2017-04-19 00:00:00,142.0,143.75,139.0,139.0,22685
2017-04-18 00:00:00,141.0,142.0,138.0,141.0,34911
2017-04-13 00:00:00,138.25,141.0,138.25,141.0,4177
2017-04-12 00:00:00,138.5,141.5,138.5,140.0,14420
2017-04-11 00:00:00,139.0,142.75,139.0,141.0,16166
2017-04-10 00:00:00,140.25,142.0,138.0,142.0,6446
2017-04-07 00:00:00,138.5,141.0,138.0,140.25,19771
2017-04-06 00:00:00,138.5,140.5,137.25,138.5,139944
2017-04-05 00:00:00,140.25,140.25,139.0,140.0,25712
2017-04-04 00:00:00,139.0,142.5,138.5,140.25,17106
2017-04-03 00:00:00,137.5,141.0,137.5,139.0,15958
2017-03-31 00:00:00,138.25,140.0,137.5,137.5,11368
2017-03-30 00:00:00,142.5,142.5,141.0,141.0,7704
2017-03-29 00:00:00,143.0,143.0,140.75,141.75,231203
2017-03-28 00:00:00,140.0,145.0,140.0,141.75,41100
2017-03-27 00:00:00,139.5,139.5,135.0,139.25,28809
2017-03-24 00:00:00,135.0,141.25,133.5,136.75,27948
2017-03-23 00:00:00,132.0,134.75,132.0,134.75,6057
2017-03-22 00:00:00,132.5,132.75,127.75,132.0,17624
2017-03-21 00:00:00,131.5,135.5,131.5,132.0,255490
2017-03-20 00:00:00,130.0,132.0,130.0,131.5,24498
2017-03-17 00:00:00,132.25,137.5,130.0,130.5,22230
2017-03-16 00:00:00,134.0,135.25,133.25,135.0,281398
2017-03-15 00:00:00,134.0,134.5,132.0,134.25,13764
2017-03-14 00:00:00,132.0,133.5,130.25,133.25,24754
2017-03-13 00:00:00,130.0,132.75,130.0,132.0,16229
2017-03-10 00:00:00,135.0,130.75,130.75,130.75,8853
2017-03-09 00:00:00,136.0,136.0,131.0,133.75,10739
2017-03-08 00:00:00,129.5,135.5,129.5,134.75,30584
2017-03-07 00:00:00,127.0,132.75,126.0,132.0,19891
2017-03-06 00:00:00,130.25,131.75,128.25,130.75,17334
2017-03-03 00:00:00,125.25,131.0,131.0,131.0,11492
2017-03-02 00:00:00,127.0,129.75,126.0,129.75,7793
2017-03-01 00:00:00,123.5,130.0,123.25,129.75,16731
2017-02-28 00:00:00,125.25,128.75,124.25,128.0,61946
2017-02-27 00:00:00,128.0,128.0,122.25,125.0,28376
2017-02-24 00:00:00,131.0,131.0,127.0,130.5,20686
2017-02-23 00:00:00,132.75,132.75,130.0,130.75,7267
2017-02-22 00:00:00,132.75,132.75,129.5,132.25,45377
2017-02-21 00:00:00,131.0,133.75,129.0,131.75,8169
2017-02-20 00:00:00,130.0,132.0,129.75,132.0,11600
2017-02-17 00:00:00,137.0,137.0,126.0,126.0,273508
2017-02-16 00:00:00,131.25,140.75,130.75,137.0,37433
2017-02-15 00:00:00,123.0,134.0,123.0,130.75,29828
2017-02-14 00:00:00,122.75,123.25,122.25,123.25,24987
2017-02-13 00:00:00,120.5,123.0,120.5,123.0,7390
2017-02-10 00:00:00,123.5,123.5,121.25,121.75,12117
2017-02-09 00:00:00,124.0,124.0,122.25,122.5,102455
2017-02-08 00:00:00,124.75,125.0,122.25,123.0,7167
2017-02-07 00:00:00,123.75,123.75,121.75,123.5,15150
2017-02-06 00:00:00,119.25,124.25,119.25,121.75,14969
2017-02-03 00:00:00,122.0,124.5,119.75,120.0,13651
2017-02-02 00:00:00,121.25,122.5,120.0,122.25,22399
2017-02-01 00:00:00,117.25,121.25,117.0,121.25,49118
2017-01-31 00:00:00,118.5,120.0,117.25,117.25,13390
2017-01-30 00:00:00,121.0,121.0,118.5,118.5,5147
2017-01-27 00:00:00,121.75,122.75,120.5,121.0,11944
2017-01-26 00:00:00,119.75,122.0,118.75,121.75,36107
2017-01-25 00:00:00,117.0,120.0,117.0,120.0,48436
2017-01-24 00:00:00,113.0,118.0,112.75,117.0,105763
2017-01-23 00:00:00,118.0,118.0,114.0,114.0,5024
2017-01-20 00:00:00,113.0,117.0,112.75,116.0,16086
2017-01-19 00:00:00,113.0,113.5,112.75,113.0,10809
2017-01-18 00:00:00,113.0,115.5,112.75,114.0,9339
2017-01-17 00:00:00,112.5,115.75,112.5,115.75,11270
2017-01-16 00:00:00,113.75,115.0,113.5,115.0,8326
2017-01-13 00:00:00,110.0,114.5,110.0,114.5,13835
2017-01-12 00:00:00,112.5,113.25,112.0,113.0,3605
2017-01-11 00:00:00,112.25,113.75,111.25,112.5,21170
2017-01-10 00:00:00,112.0,115.25,112.0,114.75,7232
2017-01-09 00:00:00,114.75,115.5,113.0,113.0,23684
2017-01-06 00:00:00,,116.0,116.0,116.0,0
2017-01-05 00:00:00,118.0,118.0,115.75,116.0,6169
2017-01-04 00:00:00,114.75,118.0,114.75,118.0,61424
2017-01-03 00:00:00,113.5,114.75,112.0,114.75,7389
2017-01-02 00:00:00,111.0,114.5,111.0,113.5,35646
2016-12-30 00:00:00,113.25,114.5,112.5,113.75,10586
2016-12-29 00:00:00,112.5,114.5,112.5,113.25,14653
2016-12-28 00:00:00,113.75,114.25,112.5,112.5,15239
2016-12-27 00:00:00,114.25,114.25,112.25,113.0,8540
2016-12-23 00:00:00,112.25,114.0,112.25,113.75,9980
2016-12-22 00:00:00,109.0,112.25,108.0,112.25,66967
2016-12-21 00:00:00,110.0,111.25,107.75,108.5,25856
2016-12-20 00:00:00,111.5,112.0,109.25,109.25,30257
2016-12-19 00:00:00,113.75,113.75,110.5,110.75,35667
2016-12-16 00:00:00,110.75,115.5,110.75,113.5,87076
2016-12-15 00:00:00,115.75,118.0,115.0,116.5,18096
2016-12-14 00:00:00,118.75,118.75,115.5,116.75,13402
2016-12-13 00:00:00,118.0,118.5,115.5,118.5,15240
2016-12-12 00:00:00,118.25,118.5,114.0,118.5,9202
2016-12-09 00:00:00,112.0,119.5,111.5,116.5,39114
2016-12-08 00:00:00,110.25,113.0,109.0,112.75,172645
2016-12-07 00:00:00,110.25,111.75,110.25,111.75,13861
2016-12-06 00:00:00,113.0,113.0,108.0,111.75,28217
2016-12-05 00:00:00,110.75,113.25,110.5,112.5,14021
2016-12-02 00:00:00,110.25,114.0,110.25,113.0,15337
2016-12-01 00:00:00,112.25,114.5,112.0,114.25,20721
2016-11-30 00:00:00,111.0,115.75,111.0,115.75,35344
2016-11-29 00:00:00,109.5,111.75,109.5,111.0,7057
2016-11-28 00:00:00,113.0,113.5,111.0,111.5,9861
2016-11-25 00:00:00,111.25,113.0,111.0,113.0,3725
2016-11-24 00:00:00,112.0,112.25,110.5,111.5,13629
2016-11-23 00:00:00,112.25,112.5,108.25,111.75,15153
2016-11-22 00:00:00,111.5,112.5,109.5,112.25,9344
2016-11-21 00:00:00,111.75,112.5,110.5,111.0,17020
2016-11-18 00:00:00,111.5,113.0,110.75,111.75,13849
2016-11-17 00:00:00,110.25,111.5,110.25,111.5,10251
2016-11-16 00:00:00,109.0,111.75,109.0,109.75,61702
2016-11-15 00:00:00,108.25,110.25,108.25,110.0,5896
2016-11-14 00:00:00,108.25,110.0,107.25,108.0,327434
2016-11-11 00:00:00,109.5,112.0,106.75,108.25,21890
2016-11-10 00:00:00,109.25,112.0,108.5,109.5,21027
2016-11-09 00:00:00,100.0,110.0,100.0,109.25,27736
2016-11-08 00:00:00,111.25,111.25,107.25,108.5,23306
2016-11-07 00:00:00,108.5,111.0,107.5,110.0,20413
2016-11-04 00:00:00,110.0,110.0,108.5,108.5,129083
2016-11-03 00:00:00,104.25,110.0,104.25,109.25,26681
2016-11-02 00:00:00,106.5,106.5,103.5,105.0,21582
2016-11-01 00:00:00,107.25,107.25,99.25,106.75,44782
2016-10-31 00:00:00,106.25,109.0,106.25,107.5,11271
2016-10-28 00:00:00,109.0,109.25,107.0,109.0,11218
2016-10-27 00:00:00,107.0,109.75,107.0,109.75,14447
2016-10-26 00:00:00,107.25,109.0,106.25,107.75,13313
2016-10-25 00:00:00,110.5,110.5,102.25,107.75,10462
2016-10-24 00:00:00,111.75,113.0,110.5,110.75,9186
2016-10-21 00:00:00,112.25,113.75,112.25,112.25,7636
2016-10-20 00:00:00,113.25,114.0,112.25,112.25,11114
2016-10-19 00:00:00,115.25,115.25,113.25,113.25,6344
2016-10-18 00:00:00,113.5,115.25,112.5,114.25,11507
2016-10-17 00:00:00,116.5,116.5,114.25,114.25,94627
2016-10-14 00:00:00,112.25,117.5,112.25,116.5,18719
2016-10-13 00:00:00,114.5,114.5,112.25,112.25,8042
2016-10-12 00:00:00,114.25,115.75,114.25,114.25,201639
2016-10-11 00:00:00,115.0,115.75,114.25,114.25,9943
2016-10-10 00:00:00,117.75,118.0,115.25,115.25,12767
2016-10-07 00:00:00,119.5,120.5,116.0,116.5,27162
2016-10-06 00:00:00,120.0,120.25,117.0,119.0,24393
2016-10-05 00:00:00,116.25,120.75,115.25,120.0,37534
2016-10-04 00:00:00,117.75,117.75,116.25,116.25,66149
2016-10-03 00:00:00,115.5,117.25,114.25,116.0,15734
2016-09-30 00:00:00,112.0,115.75,112.0,115.5,22095
2016-09-29 00:00:00,114.0,114.5,112.75,113.75,24667
2016-09-28 00:00:00,110.5,114.0,110.5,114.0,128120
2016-09-27 00:00:00,111.75,114.5,110.5,110.5,45244
2016-09-26 00:00:00,110.0,114.5,108.0,112.75,49295
2016-09-23 00:00:00,104.5,106.0,104.25,104.5,15858
2016-09-22 00:00:00,109.0,109.0,102.0,106.0,95243
2016-09-21 00:00:00,107.5,109.0,107.5,107.5,6495
2016-09-20 00:00:00,109.25,111.0,105.0,107.0,8518
2016-09-19 00:00:00,109.0,111.25,109.0,110.0,9461
2016-09-16 00:00:00,110.75,112.0,109.5,111.75,16174
2016-09-15 00:00:00,111.0,112.5,110.75,110.75,2450
2016-09-14 00:00:00,108.75,113.5,108.75,111.0,19936
2016-09-13 00:00:00,109.25,111.0,109.0,109.0,6407
2016-09-12 00:00:00,111.0,111.0,109.25,109.5,111752
2016-09-09 00:00:00,113.25,113.5,110.5,111.5,11814
2016-09-08 00:00:00,112.5,113.5,112.0,112.0,15648
2016-09-07 00:00:00,111.25,114.0,111.0,113.25,78821
2016-09-06 00:00:00,108.25,111.5,108.25,111.5,80156
2016-09-05 00:00:00,110.25,111.5,109.25,109.5,29035
2016-09-02 00:00:00,112.0,112.5,109.75,110.25,18999
2016-09-01 00:00:00,115.0,116.5,111.5,112.0,22535
2016-08-31 00:00:00,110.5,115.25,110.5,115.25,51864
2016-08-30 00:00:00,111.0,113.0,110.25,110.5,16488
2016-08-29 00:00:00,108.25,112.25,108.25,111.0,13219
2016-08-26 00:00:00,106.5,111.0,105.75,110.5,20378
2016-08-25 00:00:00,108.0,110.0,107.5,107.5,15989
2016-08-24 00:00:00,106.0,109.75,106.0,108.5,13180
