Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,65.5,65.5,63.5,64.5,19416
2017-09-07 00:00:00,65.25,65.25,64.0,64.25,61303
2017-09-06 00:00:00,64.75,65.5,64.0,65.25,17074
2017-09-04 00:00:00,66.5,66.75,64.75,65.25,26284
2017-09-01 00:00:00,66.75,66.75,66.0,66.5,142529
2017-08-31 00:00:00,65.0,66.75,64.5,66.75,53539
2017-08-30 00:00:00,65.0,65.25,63.25,65.25,213533
2017-08-29 00:00:00,63.25,65.0,62.0,65.0,50728
2017-08-28 00:00:00,63.5,63.75,63.25,63.25,258570
2017-08-25 00:00:00,65.0,65.0,63.75,64.0,19083
2017-08-24 00:00:00,65.75,65.75,63.75,65.0,21509
2017-08-23 00:00:00,65.0,65.75,64.25,65.75,23657
2017-08-22 00:00:00,64.75,65.0,63.5,65.0,40920
2017-08-21 00:00:00,63.25,64.5,62.5,64.0,20931
2017-08-18 00:00:00,63.0,64.25,62.25,63.25,25600
2017-08-17 00:00:00,64.0,64.5,62.25,63.25,17992
2017-08-16 00:00:00,62.5,64.5,62.0,64.25,25265
2017-08-15 00:00:00,63.5,63.75,62.0,62.25,19166
2017-08-14 00:00:00,64.25,65.0,62.25,63.25,42518
2017-08-11 00:00:00,65.5,65.75,64.0,64.0,31258
2017-08-10 00:00:00,67.75,68.0,65.5,65.5,27120
2017-08-09 00:00:00,66.75,67.75,66.0,67.75,22549
2017-08-08 00:00:00,65.5,67.25,65.5,67.0,15702
2017-08-07 00:00:00,65.25,65.75,65.0,65.5,17123
2017-08-04 00:00:00,64.75,66.0,64.75,65.0,28402
2017-08-03 00:00:00,64.75,65.75,64.5,65.0,33060
2017-08-02 00:00:00,67.5,67.5,64.75,64.75,212162
2017-08-01 00:00:00,67.75,68.0,67.5,67.5,77952
2017-07-31 00:00:00,66.5,67.75,66.25,67.75,73207
2017-07-28 00:00:00,67.5,67.5,66.0,66.5,29437
2017-07-27 00:00:00,64.5,67.75,64.25,67.75,822091
2017-07-26 00:00:00,64.0,65.5,64.0,64.5,79174
2017-07-25 00:00:00,65.0,65.0,64.0,64.0,17964
2017-07-24 00:00:00,65.0,65.0,64.25,65.0,28737
2017-07-21 00:00:00,66.0,66.25,64.75,65.5,46449
2017-07-20 00:00:00,67.0,67.5,66.5,66.75,34403
2017-07-19 00:00:00,67.0,67.75,66.25,67.25,48764
2017-07-18 00:00:00,67.0,67.5,67.0,67.0,74305
2017-07-17 00:00:00,68.5,68.5,66.75,67.25,28869
2017-07-14 00:00:00,67.0,67.75,67.0,67.0,30026
2017-07-13 00:00:00,68.0,68.25,66.25,67.0,95570
2017-07-12 00:00:00,65.25,68.5,65.25,67.75,41978
2017-07-11 00:00:00,66.5,66.5,65.25,65.5,171629
2017-07-10 00:00:00,67.0,67.75,65.5,66.5,95912
2017-07-07 00:00:00,67.25,67.5,66.5,67.0,74265
2017-07-06 00:00:00,69.0,69.0,65.25,67.5,109855
2017-07-05 00:00:00,70.0,70.75,67.0,69.75,195151
2017-07-04 00:00:00,69.5,70.25,69.25,70.25,15536
2017-07-03 00:00:00,69.0,69.75,68.5,69.5,24417
2017-06-30 00:00:00,70.25,70.5,69.25,70.0,43031
2017-06-29 00:00:00,70.0,70.75,69.5,69.75,61457
2017-06-28 00:00:00,71.25,71.5,69.25,71.25,1510104
2017-06-27 00:00:00,73.0,73.0,71.25,71.5,24151
2017-06-26 00:00:00,72.0,73.5,72.0,73.0,218732
2017-06-23 00:00:00,,74.0,74.0,74.0,0
2017-06-22 00:00:00,75.5,75.5,72.75,74.0,142541
2017-06-21 00:00:00,75.5,75.5,74.5,75.0,551229
2017-06-20 00:00:00,75.0,76.5,74.5,74.5,28423
2017-06-19 00:00:00,75.5,75.5,73.25,74.5,61313
2017-06-16 00:00:00,72.75,74.0,72.5,72.75,196152
2017-06-15 00:00:00,72.25,73.5,72.25,72.5,700922
2017-06-14 00:00:00,70.5,73.75,70.5,72.25,78738
2017-06-13 00:00:00,71.0,71.5,70.0,70.5,32669
2017-06-12 00:00:00,71.5,71.5,70.0,71.0,42571
2017-06-09 00:00:00,71.0,71.75,70.75,71.5,20583
2017-06-08 00:00:00,70.25,71.5,68.75,71.25,129118
2017-06-07 00:00:00,71.75,72.25,70.25,71.0,196505
2017-06-06 00:00:00,,72.75,72.75,72.75,0
2017-06-05 00:00:00,73.25,73.5,72.75,72.75,10965
2017-06-02 00:00:00,73.0,73.5,72.25,73.25,34629
2017-06-01 00:00:00,73.5,73.5,72.5,73.5,41762
2017-05-31 00:00:00,72.5,74.0,71.75,74.0,80029
2017-05-30 00:00:00,72.5,73.25,71.25,73.0,64591
2017-05-29 00:00:00,75.5,75.5,73.0,73.0,54335
2017-05-26 00:00:00,75.0,76.25,73.5,73.75,41191
2017-05-24 00:00:00,74.5,75.75,74.25,74.75,33495
2017-05-23 00:00:00,73.5,75.5,73.0,74.25,91982
2017-05-22 00:00:00,70.25,73.0,70.25,73.0,30946
2017-05-19 00:00:00,70.25,70.75,70.25,70.25,20462
2017-05-18 00:00:00,71.5,71.5,69.25,70.5,41005
2017-05-17 00:00:00,72.75,72.75,71.0,71.75,81384
2017-05-16 00:00:00,72.5,72.5,71.5,72.25,52123
2017-05-15 00:00:00,71.5,72.5,71.0,72.25,62170
2017-05-12 00:00:00,71.0,72.0,72.0,72.0,11188
2017-05-11 00:00:00,71.5,72.0,71.5,72.0,37677
2017-05-10 00:00:00,73.0,73.0,71.5,71.5,34210
