Dates,Open,High,Low,Close,Volume
2017-06-02 00:00:00,,72.5,72.5,72.5,0
2017-06-01 00:00:00,72.0,72.5,71.75,72.5,189608
2017-05-31 00:00:00,72.0,72.25,71.75,72.0,42776
2017-05-30 00:00:00,72.25,72.25,72.0,72.0,26085
2017-05-29 00:00:00,72.25,72.5,72.0,72.0,32624
2017-05-26 00:00:00,72.0,72.5,71.75,72.5,45875
2017-05-24 00:00:00,71.75,72.0,71.75,72.0,18607
2017-05-23 00:00:00,71.75,72.0,71.75,71.75,31835
2017-05-22 00:00:00,71.75,72.25,71.75,72.0,22631
2017-05-19 00:00:00,71.5,72.0,71.5,71.5,31169
2017-05-18 00:00:00,72.0,72.25,71.5,71.5,51253
2017-05-17 00:00:00,72.75,72.75,72.0,72.0,52877
2017-05-16 00:00:00,73.75,73.75,72.25,72.75,108707
2017-05-15 00:00:00,74.0,74.5,73.75,74.0,53681
2017-05-12 00:00:00,74.5,74.5,74.5,74.5,55794
2017-05-11 00:00:00,74.0,74.5,73.75,74.5,41007
2017-05-10 00:00:00,74.25,74.25,73.75,73.75,26405
2017-05-09 00:00:00,74.25,74.75,74.0,74.25,66146
2017-05-08 00:00:00,74.0,74.5,73.75,74.25,31086
2017-05-05 00:00:00,74.0,74.25,73.75,74.0,49161
2017-05-04 00:00:00,74.5,74.5,74.0,74.0,27200
2017-05-03 00:00:00,74.0,74.5,74.0,74.5,32900
2017-05-02 00:00:00,74.25,74.5,74.0,74.25,54027
2017-05-01 00:00:00,,74.5,74.5,74.5,0
2017-04-28 00:00:00,74.5,74.5,74.0,74.5,29037
2017-04-27 00:00:00,74.25,74.5,74.0,74.5,35120
2017-04-26 00:00:00,74.5,74.5,74.0,74.25,42777
2017-04-25 00:00:00,74.75,74.75,74.25,74.5,37579
2017-04-24 00:00:00,74.25,74.75,74.25,74.75,53007
2017-04-21 00:00:00,74.0,74.25,73.75,74.25,41536
2017-04-20 00:00:00,73.5,74.0,73.25,74.0,48413
2017-04-19 00:00:00,74.25,74.25,73.5,73.5,29596
2017-04-18 00:00:00,73.75,74.25,73.5,74.0,74408
2017-04-13 00:00:00,74.5,74.5,74.0,74.5,22022
2017-04-12 00:00:00,74.0,74.5,74.0,74.5,31349
2017-04-11 00:00:00,74.25,74.5,73.75,74.25,58683
2017-04-10 00:00:00,74.0,74.25,73.75,74.25,44101
2017-04-07 00:00:00,73.5,74.0,73.25,74.0,85297
2017-04-06 00:00:00,72.5,73.5,72.25,73.5,278113
2017-04-05 00:00:00,72.5,72.5,72.25,72.5,130616
2017-04-04 00:00:00,72.5,72.5,72.0,72.5,80946
2017-04-03 00:00:00,71.75,72.5,71.25,72.5,72054
2017-03-31 00:00:00,72.0,72.5,71.75,72.25,63365
2017-03-30 00:00:00,71.5,72.0,71.0,72.0,35569
2017-03-29 00:00:00,71.75,72.0,71.0,71.25,40484
2017-03-28 00:00:00,71.75,71.75,70.5,71.75,35797
2017-03-27 00:00:00,71.5,71.75,70.25,70.75,47023
2017-03-24 00:00:00,71.75,71.75,70.5,71.5,65350
2017-03-23 00:00:00,68.5,71.5,68.25,71.25,615989
2017-03-22 00:00:00,68.0,69.0,66.75,68.0,583570
2017-03-21 00:00:00,68.0,68.0,67.75,68.0,45722
2017-03-20 00:00:00,68.0,68.0,67.75,68.0,30791
2017-03-17 00:00:00,68.5,68.5,67.75,68.0,69962
2017-03-16 00:00:00,67.75,68.5,67.5,67.75,77513
2017-03-15 00:00:00,67.25,68.0,67.25,68.0,42914
2017-03-14 00:00:00,68.0,68.0,67.75,68.0,33646
2017-03-13 00:00:00,67.5,68.5,67.5,68.0,47822
2017-03-10 00:00:00,68.25,68.0,68.0,68.0,188732
2017-03-09 00:00:00,69.25,69.25,68.0,68.25,56075
2017-03-08 00:00:00,69.5,69.5,68.75,68.75,38319
2017-03-07 00:00:00,70.0,70.0,69.0,69.5,35086
2017-03-06 00:00:00,70.0,70.0,69.25,69.75,36073
2017-03-03 00:00:00,70.0,70.0,70.0,70.0,27536
2017-03-02 00:00:00,70.0,70.25,69.5,70.0,39918
2017-03-01 00:00:00,70.0,70.5,69.75,70.0,57643
2017-02-28 00:00:00,70.5,70.5,69.75,70.0,52454
2017-02-27 00:00:00,70.75,71.0,69.75,70.5,36170
2017-02-24 00:00:00,72.25,72.25,70.0,70.75,42686
2017-02-23 00:00:00,72.75,72.75,71.5,71.75,52371
2017-02-22 00:00:00,72.0,72.25,71.5,72.25,47098
2017-02-21 00:00:00,71.25,72.25,71.0,72.0,45705
2017-02-20 00:00:00,70.25,71.5,70.25,71.0,33694
2017-02-17 00:00:00,70.25,72.0,70.25,70.25,66424
2017-02-16 00:00:00,71.25,71.75,70.25,70.25,43810
2017-02-15 00:00:00,73.0,73.0,71.0,71.0,60003
2017-02-14 00:00:00,71.75,72.75,71.0,72.75,80161
2017-02-13 00:00:00,68.5,71.75,68.5,71.75,116035
2017-02-10 00:00:00,66.25,67.0,66.25,67.0,145280
2017-02-09 00:00:00,66.5,66.5,66.0,66.25,22229
2017-02-08 00:00:00,66.5,66.5,66.0,66.25,40173
2017-02-07 00:00:00,66.25,66.5,66.25,66.5,10431
2017-02-06 00:00:00,66.25,66.5,66.0,66.5,11355
2017-02-03 00:00:00,66.75,66.75,66.25,66.5,26785
2017-02-02 00:00:00,66.25,66.75,65.75,66.5,14829
2017-02-01 00:00:00,66.0,66.75,66.0,66.5,126544
2017-01-31 00:00:00,66.25,66.75,66.0,66.5,23191
2017-01-30 00:00:00,67.0,67.0,66.25,66.5,17616
2017-01-27 00:00:00,67.5,67.5,65.75,67.0,34406
2017-01-26 00:00:00,67.0,67.5,67.0,67.25,11703
2017-01-25 00:00:00,66.75,67.75,66.5,67.25,19394
2017-01-24 00:00:00,66.0,67.25,66.0,67.25,26388
2017-01-23 00:00:00,67.25,67.5,66.5,67.0,14456
2017-01-20 00:00:00,67.0,67.5,67.0,67.5,6345
