Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,199.9,200.0,196.0,196.0,69
2017-09-07 00:00:00,190.1,209.0,190.1,196.0,425
2017-09-06 00:00:00,199.9,200.0,187.6,190.1,3030
2017-09-04 00:00:00,198.0,198.0,165.0,179.6,647
2017-09-01 00:00:00,189.1,202.0,189.0,198.0,3511
2017-08-31 00:00:00,180.5,186.9,180.4,186.5,3421
2017-08-30 00:00:00,179.5,184.9,176.1,180.5,1740
2017-08-29 00:00:00,176.7,176.7,165.1,165.1,32
2017-08-28 00:00:00,182.3,186.9,170.4,176.7,197
2017-08-25 00:00:00,170.1,182.7,170.1,182.3,36
2017-08-24 00:00:00,181.4,181.4,170.1,170.1,102
2017-08-23 00:00:00,167.1,187.7,167.1,181.4,1209
2017-08-22 00:00:00,162.0,186.0,161.9,174.9,2232
2017-08-21 00:00:00,161.0,161.0,161.0,161.0,71
2017-08-18 00:00:00,163.7,163.7,163.7,163.7,2
2017-08-17 00:00:00,155.1,164.9,155.0,164.9,660
2017-08-16 00:00:00,156.4,164.9,156.4,164.9,496
2017-08-15 00:00:00,163.9,169.9,163.9,169.9,7
2017-08-14 00:00:00,164.7,170.9,160.1,170.9,511
2017-08-11 00:00:00,169.4,169.4,169.4,169.4,7
2017-08-10 00:00:00,169.9,169.9,151.1,169.4,33
2017-08-09 00:00:00,172.7,172.7,169.9,169.9,166
2017-08-08 00:00:00,185.9,185.9,151.1,152.0,185
2017-08-07 00:00:00,160.0,160.0,160.0,160.0,3
2017-08-04 00:00:00,160.0,160.0,160.0,160.0,113
2017-08-03 00:00:00,165.0,165.0,164.0,164.0,300
2017-08-01 00:00:00,164.7,164.7,164.7,164.7,2
2017-07-31 00:00:00,164.7,164.7,164.7,164.7,2
2017-07-28 00:00:00,164.1,164.4,164.1,164.4,22
2017-07-27 00:00:00,161.0,169.5,159.0,169.5,305
2017-07-26 00:00:00,160.9,174.9,152.5,168.3,44
2017-07-25 00:00:00,153.6,162.0,153.6,160.3,1605
2017-07-24 00:00:00,159.0,160.6,158.7,160.0,393
2017-07-21 00:00:00,154.2,164.7,154.2,159.0,2043
2017-07-20 00:00:00,161.9,169.1,146.7,169.1,1143
2017-07-19 00:00:00,160.0,160.0,160.0,160.0,124
2017-07-18 00:00:00,160.0,170.0,160.0,164.0,91
2017-07-17 00:00:00,165.7,170.0,165.0,169.0,380
2017-07-14 00:00:00,160.0,180.7,160.0,170.0,3337
2017-07-13 00:00:00,167.6,174.1,165.6,170.0,699
2017-07-12 00:00:00,158.2,167.6,154.8,167.6,1188
2017-07-11 00:00:00,167.8,167.8,158.2,158.2,1814
2017-07-10 00:00:00,166.0,167.1,157.2,167.1,285
2017-07-07 00:00:00,174.5,174.5,166.9,166.9,1903
2017-07-06 00:00:00,170.0,175.9,168.0,171.2,5006
2017-07-05 00:00:00,193.0,193.0,170.1,170.1,2030
2017-07-04 00:00:00,163.5,194.0,153.1,193.0,3090
2017-07-03 00:00:00,168.0,179.1,161.8,163.5,4009
2017-06-30 00:00:00,173.0,180.0,169.5,169.5,4372
2017-06-29 00:00:00,158.9,181.0,154.5,172.4,9297
2017-06-28 00:00:00,160.0,160.0,154.6,157.9,2359
2017-06-27 00:00:00,159.0,164.0,158.0,161.0,1777
2017-06-26 00:00:00,162.0,162.0,159.0,160.0,1071
2017-06-23 00:00:00,,164.5,164.5,164.5,0
2017-06-22 00:00:00,164.6,165.1,159.8,164.5,2979
2017-06-21 00:00:00,153.0,162.9,151.8,160.5,2081
2017-06-20 00:00:00,162.2,162.9,150.0,152.9,4994
2017-06-19 00:00:00,162.5,168.9,161.0,162.2,2591
2017-06-16 00:00:00,166.3,174.9,166.3,169.0,1809
2017-06-15 00:00:00,170.0,171.9,160.7,166.9,6023
2017-06-14 00:00:00,171.0,174.0,165.1,170.0,1929
2017-06-13 00:00:00,179.8,179.8,172.8,174.0,1808
2017-06-12 00:00:00,182.9,182.9,168.5,178.7,742
2017-06-09 00:00:00,176.5,184.5,176.5,181.0,3414
2017-06-08 00:00:00,185.0,185.0,170.0,177.4,2789
2017-06-07 00:00:00,172.5,181.4,169.0,181.4,5413
2017-06-06 00:00:00,,172.2,172.2,172.2,0
2017-06-05 00:00:00,169.7,172.4,165.2,172.2,3343
2017-06-02 00:00:00,164.9,169.7,162.0,169.7,4858
2017-06-01 00:00:00,160.0,164.9,160.0,162.0,4065
2017-05-31 00:00:00,159.9,160.0,154.3,160.0,2291
2017-05-30 00:00:00,159.1,161.0,156.5,156.6,2508
2017-05-29 00:00:00,160.0,164.8,159.1,159.1,1392
2017-05-26 00:00:00,165.0,165.0,160.3,160.3,1587
2017-05-24 00:00:00,160.0,165.0,160.0,163.0,24355
