Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,0.331,0.349,0.277,0.3101,20219831
2017-09-07 00:00:00,0.347,0.35,0.3351,0.3356,8447073
2017-09-06 00:00:00,0.327,0.3586,0.327,0.331,19359582
2017-09-04 00:00:00,0.33,0.334,0.27,0.2949,26963755
2017-09-01 00:00:00,0.3075,0.3598,0.3075,0.329,56718377
2017-08-31 00:00:00,0.25,0.31,0.2451,0.295,59496606
2017-08-30 00:00:00,0.1949,0.255,0.188,0.2402,31147470
2017-08-29 00:00:00,0.1901,0.1934,0.18,0.1836,1437096
2017-08-28 00:00:00,0.2,0.201,0.1882,0.1908,1174109
2017-08-25 00:00:00,0.1927,0.2,0.1858,0.1995,1852431
2017-08-24 00:00:00,0.1934,0.1934,0.1845,0.1927,233712
2017-08-23 00:00:00,0.1985,0.1985,0.182,0.1934,841421
2017-08-22 00:00:00,0.1955,0.198,0.19,0.198,1066754
2017-08-21 00:00:00,0.1895,0.198,0.1816,0.1955,1302357
2017-08-18 00:00:00,0.18,0.1899,0.18,0.1895,530116
2017-08-17 00:00:00,0.18,0.1879,0.1751,0.1847,980890
2017-08-16 00:00:00,0.1929,0.1929,0.17,0.1865,1343237
2017-08-15 00:00:00,0.195,0.1965,0.188,0.1929,1239214
2017-08-14 00:00:00,0.1875,0.1962,0.1875,0.195,953859
2017-08-11 00:00:00,0.194,0.1946,0.184,0.1875,895144
2017-08-10 00:00:00,0.197,0.1989,0.1901,0.1914,837297
2017-08-09 00:00:00,0.193,0.198,0.1895,0.197,1441673
2017-08-08 00:00:00,0.195,0.195,0.1867,0.1929,888443
2017-08-07 00:00:00,0.197,0.197,0.1862,0.193,945439
2017-08-04 00:00:00,0.1981,0.1981,0.19,0.19,1014592
2017-08-03 00:00:00,0.199,0.2012,0.19,0.1981,1413986
2017-08-02 00:00:00,0.205,0.206,0.196,0.199,523845
2017-08-01 00:00:00,0.1955,0.2099,0.19,0.197,2154194
2017-07-31 00:00:00,0.203,0.21,0.1951,0.1998,1216956
2017-07-28 00:00:00,0.21,0.21,0.1998,0.2021,2453298
2017-07-27 00:00:00,0.1865,0.22,0.175,0.21,6497527
2017-07-26 00:00:00,0.1885,0.1956,0.185,0.186,544842
2017-07-25 00:00:00,0.1943,0.1961,0.182,0.1878,1646058
2017-07-24 00:00:00,0.1919,0.1971,0.1919,0.1943,622354
2017-07-21 00:00:00,0.1967,0.1967,0.1919,0.1949,1239168
2017-07-20 00:00:00,0.1895,0.1997,0.1876,0.1967,1235838
2017-07-19 00:00:00,0.191,0.1929,0.1801,0.1893,2303383
2017-07-18 00:00:00,0.2,0.2001,0.19,0.191,1467921
