Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,146.0,146.5,141.0,141.5,1886
2017-09-07 00:00:00,144.25,146.0,144.25,146.0,1065
2017-09-06 00:00:00,144.25,144.25,143.0,143.0,96
2017-09-04 00:00:00,137.5,141.25,137.5,141.25,3009
2017-09-01 00:00:00,145.0,145.0,142.5,142.5,3766
2017-08-31 00:00:00,142.0,143.0,142.0,143.0,2792
2017-08-30 00:00:00,142.0,144.5,142.0,142.25,1178
2017-08-29 00:00:00,143.0,144.5,142.0,142.0,6485
2017-08-28 00:00:00,142.0,145.0,142.0,143.0,2071
2017-08-25 00:00:00,143.75,143.75,142.0,142.0,3376
2017-08-24 00:00:00,142.0,144.25,142.0,143.75,5300
2017-08-23 00:00:00,142.0,144.5,142.0,142.25,2609
2017-08-22 00:00:00,142.0,144.25,142.0,143.0,2785
2017-08-21 00:00:00,142.25,143.75,142.0,142.0,2299
2017-08-18 00:00:00,144.0,144.0,142.0,142.5,2753
2017-08-17 00:00:00,142.75,143.75,142.0,143.25,3952
2017-08-16 00:00:00,144.5,144.5,142.75,142.75,1797
2017-08-15 00:00:00,140.0,143.75,140.0,143.0,5690
2017-08-14 00:00:00,140.0,143.0,140.0,141.75,2751
2017-08-11 00:00:00,140.0,142.0,140.0,140.0,3006
2017-08-10 00:00:00,139.0,140.75,137.5,140.0,2340
2017-08-09 00:00:00,142.5,142.5,139.0,139.0,1972
2017-08-08 00:00:00,142.0,142.5,139.0,142.5,1303
2017-08-07 00:00:00,142.5,142.5,137.75,139.5,2876
2017-08-04 00:00:00,141.25,144.75,141.25,142.75,11667
2017-08-03 00:00:00,139.0,142.0,138.75,140.75,8092
2017-08-02 00:00:00,135.0,140.5,134.5,140.0,5667
2017-08-01 00:00:00,132.25,135.0,132.0,135.0,2101
2017-07-31 00:00:00,132.0,133.5,132.0,132.25,888
2017-07-28 00:00:00,130.5,132.5,130.5,131.0,6192
2017-07-27 00:00:00,130.0,132.5,129.0,130.25,5516
2017-07-26 00:00:00,129.0,130.5,128.0,128.5,3153
2017-07-25 00:00:00,128.5,130.75,128.0,129.0,3227
2017-07-24 00:00:00,132.75,132.75,128.75,129.25,4172
2017-07-21 00:00:00,132.0,133.75,130.5,132.0,6875
2017-07-20 00:00:00,137.0,138.0,131.5,132.5,16760
2017-07-19 00:00:00,134.0,137.5,134.0,137.5,560
2017-07-18 00:00:00,137.0,137.25,134.25,135.0,2140
2017-07-17 00:00:00,136.5,138.25,136.0,138.0,1452
2017-07-14 00:00:00,136.25,138.5,134.5,136.5,3852
2017-07-13 00:00:00,142.25,142.25,135.0,136.5,6868
2017-07-12 00:00:00,141.25,141.25,140.0,140.0,279
2017-07-11 00:00:00,139.5,141.5,139.0,139.0,2904
