Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,33.45,33.68,32.31,32.89,8156802
2017-09-07 00:00:00,32.57,33.44,32.42,33.25,8935637
2017-09-06 00:00:00,33.5,33.5,31.8,32.57,22401563
2017-09-04 00:00:00,35.5,35.59,34.8,35.03,5111571
2017-09-01 00:00:00,36.53,37.06,35.79,36.08,7292050
2017-08-31 00:00:00,35.7,36.47,35.48,36.33,7750034
2017-08-30 00:00:00,34.87,35.49,34.42,35.35,7552584
2017-08-29 00:00:00,34.99,34.99,33.76,34.59,7294113
2017-08-28 00:00:00,35.4,35.4,34.43,35.11,6164057
2017-08-25 00:00:00,36.41,37.3,35.36,35.4,8417682
2017-08-24 00:00:00,36.1,36.45,35.59,36.34,4483333
2017-08-23 00:00:00,35.72,36.24,34.53,35.95,10813131
2017-08-22 00:00:00,33.9,36.1,33.65,35.96,14373102
2017-08-21 00:00:00,34.28,34.87,33.5,33.59,6492580
2017-08-18 00:00:00,34.97,35.03,34.1,34.32,7534849
2017-08-17 00:00:00,36.0,36.0,34.75,35.11,13527232
2017-08-16 00:00:00,37.3,37.7,35.36,35.63,16686789
2017-08-15 00:00:00,37.9,38.07,37.02,37.14,7242704
2017-08-14 00:00:00,36.74,37.55,36.32,37.55,10037294
2017-08-11 00:00:00,37.8,38.27,36.01,36.05,17084225
2017-08-10 00:00:00,37.75,38.8,37.5,38.09,13453306
2017-08-09 00:00:00,39.2,39.34,37.84,37.84,12171548
2017-08-08 00:00:00,41.35,41.87,39.05,39.44,21212832
2017-08-07 00:00:00,39.78,41.14,39.75,40.95,15960473
2017-08-04 00:00:00,37.81,39.57,37.6,39.4,16182195
2017-08-03 00:00:00,39.01,39.34,37.5,38.11,15911319
2017-08-02 00:00:00,39.75,40.42,38.81,38.81,14290827
2017-08-01 00:00:00,38.0,39.67,37.14,39.18,22257694
2017-07-31 00:00:00,36.3,37.8,36.29,37.8,15359138
2017-07-28 00:00:00,36.9,36.94,35.84,36.32,9725072
2017-07-27 00:00:00,35.14,36.9,35.05,36.29,15847880
2017-07-26 00:00:00,34.75,35.04,34.12,34.79,9108822
2017-07-25 00:00:00,36.1,36.4,34.69,34.69,14061016
2017-07-24 00:00:00,35.0,37.05,34.9,35.8,21422777
2017-07-21 00:00:00,31.54,36.34,31.54,34.59,48730747
2017-07-20 00:00:00,31.45,33.32,31.45,31.85,12149600
2017-07-19 00:00:00,30.15,31.37,30.0,31.37,8148722
2017-07-18 00:00:00,30.12,30.26,29.85,30.12,4918061
2017-07-17 00:00:00,30.07,30.31,29.59,30.0,6799020
2017-07-14 00:00:00,30.1,30.32,30.01,30.01,2926449
2017-07-13 00:00:00,30.73,30.79,29.87,30.1,5743911
2017-07-12 00:00:00,29.88,31.03,29.86,30.73,5735901
2017-07-11 00:00:00,30.0,30.14,29.6,29.88,3918323
2017-07-10 00:00:00,30.65,30.69,29.8,29.85,4062072
2017-07-07 00:00:00,30.2,31.22,30.15,30.42,6595723
2017-07-06 00:00:00,29.97,30.27,29.6,30.13,5518876
2017-07-05 00:00:00,29.29,30.1,28.95,29.73,9296395
2017-07-04 00:00:00,30.28,30.34,29.31,29.31,6713367
2017-07-03 00:00:00,30.89,31.19,29.56,30.33,10366810
2017-06-30 00:00:00,32.04,32.17,30.72,30.77,11974672
2017-06-29 00:00:00,33.0,33.2,32.01,32.03,8107430
2017-06-28 00:00:00,32.75,33.07,32.5,32.86,5579892
2017-06-27 00:00:00,33.0,33.87,32.85,32.93,5865709
2017-06-26 00:00:00,33.25,33.5,32.95,33.01,3597482
2017-06-23 00:00:00,,33.15,33.15,33.15,0
2017-06-22 00:00:00,33.05,33.38,32.99,33.15,3772842
2017-06-21 00:00:00,33.21,33.6,33.0,33.22,7734718
