Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,89.75,90.75,89.25,90.25,245137
2017-09-07 00:00:00,87.75,90.0,87.5,90.0,138119
2017-09-06 00:00:00,88.0,88.25,87.25,87.75,126537
2017-09-04 00:00:00,87.75,88.5,87.0,88.0,90423
2017-09-01 00:00:00,88.5,89.75,87.75,88.75,161712
2017-08-31 00:00:00,86.5,88.25,86.25,88.25,295305
2017-08-30 00:00:00,86.5,87.0,85.5,85.5,126064
2017-08-29 00:00:00,88.0,88.0,85.25,86.0,203533
2017-08-28 00:00:00,88.5,88.75,87.5,88.75,80841
2017-08-25 00:00:00,88.5,89.0,88.0,88.75,92905
2017-08-24 00:00:00,88.0,88.5,87.25,88.0,113333
2017-08-23 00:00:00,89.0,89.0,87.5,88.25,122937
2017-08-22 00:00:00,87.25,89.0,87.25,88.75,218691
2017-08-21 00:00:00,87.25,88.25,85.75,86.5,425156
2017-08-18 00:00:00,89.75,89.75,87.0,87.5,292592
2017-08-17 00:00:00,90.5,92.0,90.0,90.0,321656
2017-08-16 00:00:00,89.5,91.5,88.75,91.0,255713
2017-08-15 00:00:00,89.0,90.0,88.5,88.75,104160
2017-08-14 00:00:00,88.25,89.5,88.25,89.25,212801
2017-08-11 00:00:00,89.5,89.5,88.0,88.25,165275
2017-08-10 00:00:00,91.5,91.75,89.0,90.5,171611
2017-08-09 00:00:00,90.75,92.0,90.25,91.5,222870
2017-08-08 00:00:00,91.5,91.5,90.5,91.5,156134
2017-08-07 00:00:00,88.75,91.25,88.75,91.0,187289
2017-08-04 00:00:00,89.0,90.0,89.0,89.25,204769
2017-08-03 00:00:00,89.0,89.5,88.75,88.75,89101
2017-08-02 00:00:00,89.25,89.75,88.75,89.5,267695
2017-08-01 00:00:00,89.25,89.75,88.75,89.25,199923
2017-07-31 00:00:00,88.75,89.75,88.75,89.25,224697
2017-07-28 00:00:00,88.75,89.5,88.0,88.75,229444
2017-07-27 00:00:00,88.0,89.0,87.25,88.75,521757
2017-07-26 00:00:00,86.5,87.0,86.0,87.0,172209
2017-07-25 00:00:00,85.25,86.5,85.25,86.5,113613
2017-07-24 00:00:00,85.0,86.25,84.0,85.75,289975
2017-07-21 00:00:00,85.75,87.0,85.0,85.0,498656
2017-07-20 00:00:00,87.0,88.5,85.5,86.75,1318565
2017-07-19 00:00:00,81.5,83.75,81.25,83.75,363102
2017-07-18 00:00:00,81.0,82.0,80.75,82.0,172498
2017-07-17 00:00:00,81.75,81.75,81.0,81.5,110360
2017-07-14 00:00:00,80.5,81.5,80.5,81.25,97943
2017-07-13 00:00:00,81.25,81.5,80.5,81.25,145933
2017-07-12 00:00:00,81.0,81.75,80.5,81.25,157387
2017-07-11 00:00:00,80.0,81.25,79.75,81.0,166307
2017-07-10 00:00:00,80.0,80.25,79.5,80.0,65334
2017-07-07 00:00:00,79.0,80.5,79.0,79.75,113722
2017-07-06 00:00:00,80.75,81.5,79.5,80.0,135120
2017-07-05 00:00:00,80.25,81.25,79.75,80.75,154737
2017-07-04 00:00:00,80.5,81.0,79.25,80.0,182919
2017-07-03 00:00:00,78.25,81.75,78.0,81.5,329929
2017-06-30 00:00:00,78.0,78.0,77.0,77.5,227780
2017-06-29 00:00:00,79.0,79.75,77.25,78.0,290595
2017-06-28 00:00:00,79.75,79.75,78.5,79.0,289299
2017-06-27 00:00:00,81.0,81.25,78.75,79.75,301767
2017-06-26 00:00:00,81.0,82.0,80.75,81.0,154895
2017-06-23 00:00:00,,81.0,81.0,81.0,0
2017-06-22 00:00:00,81.5,81.5,80.5,81.0,452211
2017-06-21 00:00:00,80.75,81.75,80.0,81.25,204944
2017-06-20 00:00:00,82.0,82.25,80.25,80.75,194144
2017-06-19 00:00:00,83.0,83.25,81.75,82.0,100793
2017-06-16 00:00:00,80.5,83.0,80.5,82.0,471325
2017-06-15 00:00:00,82.0,82.25,80.5,80.75,316114
2017-06-14 00:00:00,82.75,83.75,82.0,82.0,339551
2017-06-13 00:00:00,83.0,83.25,82.0,82.75,350757
2017-06-12 00:00:00,83.5,84.0,82.0,82.75,165202
2017-06-09 00:00:00,84.0,84.25,83.25,83.25,232808
2017-06-08 00:00:00,83.5,84.5,83.0,84.0,268494
2017-06-07 00:00:00,84.0,84.25,82.75,83.5,205828
2017-06-06 00:00:00,,83.75,83.75,83.75,0
2017-06-05 00:00:00,82.25,84.0,81.75,83.75,228680
2017-06-02 00:00:00,82.0,82.75,81.5,82.25,333214
2017-06-01 00:00:00,82.0,82.25,81.25,81.5,363640
2017-05-31 00:00:00,83.0,83.25,81.5,81.5,414271
2017-05-30 00:00:00,82.75,83.75,82.0,83.5,147519
2017-05-29 00:00:00,83.0,83.0,82.0,82.75,95910
2017-05-26 00:00:00,83.0,83.25,82.0,82.25,317446
2017-05-24 00:00:00,83.25,83.5,82.5,82.75,98017
2017-05-23 00:00:00,83.0,83.75,82.75,83.25,163716
2017-05-22 00:00:00,84.75,84.75,83.0,83.0,502960
2017-05-19 00:00:00,83.0,84.75,83.0,84.5,252036
2017-05-18 00:00:00,85.0,85.25,82.0,83.0,434843
2017-05-17 00:00:00,86.0,86.5,84.25,85.0,757305
2017-05-16 00:00:00,86.5,86.5,85.5,86.0,368713
2017-05-15 00:00:00,86.25,86.25,85.75,86.25,221819
2017-05-12 00:00:00,87.25,86.0,86.0,86.0,269471
2017-05-11 00:00:00,87.5,88.0,86.0,86.5,508776
2017-05-10 00:00:00,86.5,87.0,85.25,86.5,366292
2017-05-09 00:00:00,85.5,86.25,85.0,86.0,283567
2017-05-08 00:00:00,86.25,87.0,85.25,85.5,314310
2017-05-05 00:00:00,87.25,87.25,85.0,85.75,306363
2017-05-04 00:00:00,89.75,90.0,87.5,87.5,340606
2017-05-03 00:00:00,92.75,92.75,89.75,89.75,318007
2017-05-02 00:00:00,92.5,92.75,91.25,92.75,483631
2017-05-01 00:00:00,,92.0,92.0,92.0,0
2017-04-28 00:00:00,87.0,92.0,86.75,92.0,425588
2017-04-27 00:00:00,92.25,93.75,85.75,86.25,1289159
2017-04-26 00:00:00,89.0,89.0,87.0,88.0,425840
2017-04-25 00:00:00,88.75,89.5,87.5,88.25,666540
2017-04-24 00:00:00,86.75,89.0,86.0,88.25,397992
2017-04-21 00:00:00,85.25,86.5,85.0,85.75,228950
2017-04-20 00:00:00,85.25,85.5,84.0,85.0,217895
2017-04-19 00:00:00,84.5,85.5,84.5,85.0,246310
2017-04-18 00:00:00,85.25,85.5,83.0,84.5,287903
2017-04-13 00:00:00,85.25,85.25,84.5,85.0,70988
2017-04-12 00:00:00,84.25,85.25,83.25,85.25,280641
2017-04-11 00:00:00,84.0,85.0,83.25,83.75,253667
2017-04-10 00:00:00,83.0,84.25,82.75,84.25,211472
2017-04-07 00:00:00,84.25,84.25,81.5,82.75,395945
2017-04-06 00:00:00,83.5,85.25,82.25,84.75,425534
2017-04-05 00:00:00,82.25,83.75,82.25,83.25,260678
2017-04-04 00:00:00,83.0,83.75,82.0,82.0,250893
2017-04-03 00:00:00,82.5,83.75,81.75,83.0,354768
2017-03-31 00:00:00,82.75,82.75,81.5,82.0,166166
2017-03-30 00:00:00,82.5,82.75,82.0,82.5,132537
2017-03-29 00:00:00,82.0,82.5,81.25,82.25,167119
2017-03-28 00:00:00,80.25,81.75,80.0,81.75,297188
2017-03-27 00:00:00,81.0,81.5,80.25,80.5,248220
2017-03-24 00:00:00,82.5,82.5,81.25,81.5,230085
2017-03-23 00:00:00,81.5,83.0,81.25,81.75,279042
2017-03-22 00:00:00,82.75,82.75,81.25,81.5,230156
2017-03-21 00:00:00,85.0,85.0,82.5,83.5,426630
2017-03-20 00:00:00,83.5,86.0,83.5,85.0,242056
2017-03-17 00:00:00,83.25,84.5,82.75,83.25,202680
2017-03-16 00:00:00,84.25,85.5,83.0,83.5,348658
2017-03-15 00:00:00,80.75,84.75,80.5,83.75,503700
2017-03-14 00:00:00,81.0,81.75,80.5,80.75,344322
2017-03-13 00:00:00,81.5,81.75,80.75,81.0,206467
2017-03-10 00:00:00,81.25,81.25,81.25,81.25,207630
2017-03-09 00:00:00,81.75,82.5,81.0,81.25,241468
2017-03-08 00:00:00,81.75,83.5,81.25,82.75,280695
2017-03-07 00:00:00,80.75,82.25,80.0,82.25,294475
2017-03-06 00:00:00,82.25,82.5,80.75,80.75,174100
2017-03-03 00:00:00,81.5,82.0,82.0,82.0,184856
2017-03-02 00:00:00,83.0,83.75,81.5,81.5,231678
2017-03-01 00:00:00,82.25,83.25,81.25,82.5,275599
2017-02-28 00:00:00,81.25,82.75,80.0,82.25,279424
2017-02-27 00:00:00,82.5,83.0,80.25,81.0,315592
2017-02-24 00:00:00,83.0,83.5,82.0,82.25,267908
2017-02-23 00:00:00,84.0,84.0,83.0,83.0,184772
2017-02-22 00:00:00,84.5,85.25,83.75,84.0,226392
2017-02-21 00:00:00,83.75,85.5,83.75,84.5,166511
2017-02-20 00:00:00,84.75,85.25,83.75,84.0,347582
2017-02-17 00:00:00,84.75,86.0,83.25,84.5,349582
2017-02-16 00:00:00,82.25,85.25,82.25,84.75,406677
2017-02-15 00:00:00,83.0,83.25,81.75,82.5,211417
2017-02-14 00:00:00,83.5,83.75,82.5,82.75,302519
2017-02-13 00:00:00,83.0,83.75,82.5,83.5,294525
2017-02-10 00:00:00,83.5,84.25,82.5,82.5,558815
2017-02-09 00:00:00,85.75,85.75,83.0,83.25,380291
2017-02-08 00:00:00,85.25,85.75,82.5,85.5,807781
2017-02-07 00:00:00,86.0,87.0,85.25,85.5,637523
2017-02-06 00:00:00,83.0,86.25,82.75,86.0,1484851
2017-02-03 00:00:00,84.0,84.5,82.25,83.0,2281487
2017-02-02 00:00:00,92.25,92.75,85.0,85.5,1515626
2017-02-01 00:00:00,97.5,99.0,96.0,96.5,352972
2017-01-31 00:00:00,97.5,100.5,96.25,97.0,209383
2017-01-30 00:00:00,98.25,98.75,96.0,96.5,91200
2017-01-27 00:00:00,99.0,99.5,97.75,98.0,134528
2017-01-26 00:00:00,100.0,100.75,98.25,99.0,242244
2017-01-25 00:00:00,100.5,104.5,99.25,99.75,630704
2017-01-24 00:00:00,95.75,101.5,95.75,100.0,687767
2017-01-23 00:00:00,95.25,96.0,94.5,95.5,122414
2017-01-20 00:00:00,95.5,95.75,95.0,95.25,126961
2017-01-19 00:00:00,96.5,96.5,95.25,95.75,141009
2017-01-18 00:00:00,96.25,96.5,95.0,96.5,162530
2017-01-17 00:00:00,98.5,98.5,95.75,96.25,163178
2017-01-16 00:00:00,98.0,98.5,96.0,98.5,156978
2017-01-13 00:00:00,97.25,98.25,95.5,97.75,198628
2017-01-12 00:00:00,96.75,98.0,96.0,96.75,255609
2017-01-11 00:00:00,94.75,97.0,94.75,95.5,200434
2017-01-10 00:00:00,95.0,96.5,94.0,94.75,200680
