Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,111.25,112.0,111.0,111.25,992
2017-09-07 00:00:00,111.0,111.0,110.0,110.75,557
2017-09-06 00:00:00,111.75,111.75,111.75,111.75,268
2017-09-04 00:00:00,112.0,112.0,110.5,111.0,324
2017-09-01 00:00:00,111.0,112.0,111.0,112.0,321
2017-08-31 00:00:00,111.75,111.75,111.0,111.0,176
2017-08-30 00:00:00,111.0,111.0,111.0,111.0,121850
2017-08-29 00:00:00,112.0,112.0,111.0,112.0,402
2017-08-28 00:00:00,111.0,112.5,111.0,112.5,206
2017-08-25 00:00:00,111.0,112.5,111.0,111.5,1190
2017-08-24 00:00:00,110.75,112.75,110.75,112.75,759
2017-08-23 00:00:00,111.25,112.75,111.0,112.75,2471
2017-08-22 00:00:00,113.0,113.0,113.0,113.0,945
2017-08-21 00:00:00,112.0,112.0,111.5,112.0,2945
2017-08-18 00:00:00,111.25,112.5,111.25,112.0,51217
2017-08-17 00:00:00,112.5,112.5,111.25,111.25,450
2017-08-16 00:00:00,112.75,112.75,112.75,112.75,175
2017-08-15 00:00:00,111.25,113.0,111.0,112.75,2515
2017-08-14 00:00:00,111.75,112.75,110.25,111.0,1051
2017-08-11 00:00:00,111.5,112.0,110.0,111.75,2949
2017-08-10 00:00:00,111.25,112.0,109.0,111.75,7012
2017-08-09 00:00:00,110.25,110.25,110.25,110.25,4
2017-08-08 00:00:00,112.5,112.5,110.0,110.0,63034
2017-08-07 00:00:00,110.25,112.0,110.25,111.75,95
2017-08-04 00:00:00,112.0,112.0,112.0,112.0,213
2017-08-03 00:00:00,111.75,112.0,110.25,110.75,955
2017-08-02 00:00:00,111.75,111.75,110.25,111.75,1065
2017-08-01 00:00:00,110.25,111.75,110.25,111.75,1235
2017-07-31 00:00:00,109.0,111.75,109.0,110.0,780
2017-07-28 00:00:00,110.75,110.75,107.5,109.75,61017
2017-07-27 00:00:00,110.5,111.75,110.5,111.75,481
2017-07-26 00:00:00,111.0,112.75,111.0,111.75,430
2017-07-25 00:00:00,108.25,111.25,108.25,111.0,1805
2017-07-24 00:00:00,111.5,111.5,108.25,111.0,3220
2017-07-21 00:00:00,110.25,111.75,110.25,111.75,684
2017-07-20 00:00:00,111.25,111.25,109.75,110.25,12455
2017-07-19 00:00:00,112.0,112.0,112.0,112.0,5
2017-07-18 00:00:00,113.75,113.75,111.5,111.5,537
2017-07-17 00:00:00,110.75,113.25,110.75,113.25,5435
2017-07-14 00:00:00,110.75,112.75,110.75,112.5,662
2017-07-13 00:00:00,111.25,112.5,111.25,112.5,2655
2017-07-12 00:00:00,111.25,111.5,111.25,111.25,460
2017-07-11 00:00:00,111.25,111.25,111.0,111.25,2090
2017-07-10 00:00:00,111.25,111.5,110.0,111.5,4721
2017-07-07 00:00:00,111.0,111.0,111.0,111.0,615
2017-07-06 00:00:00,111.0,111.5,111.0,111.5,218
