Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,183.7,184.5,181.1,184.0,11022
2017-09-07 00:00:00,182.5,183.5,182.5,182.7,7091
2017-09-06 00:00:00,181.1,183.1,181.1,182.5,7558
2017-09-04 00:00:00,180.4,181.0,179.2,180.1,7880
2017-09-01 00:00:00,180.0,180.9,178.2,180.9,12643
2017-08-31 00:00:00,177.8,179.9,177.5,179.2,11526
2017-08-30 00:00:00,178.0,178.3,176.4,177.8,9482
2017-08-29 00:00:00,176.6,178.0,176.0,178.0,8711
2017-08-28 00:00:00,176.3,178.0,176.1,176.2,15937
2017-08-25 00:00:00,177.0,177.0,176.0,176.4,2353
2017-08-24 00:00:00,176.0,177.9,176.0,176.0,10221
2017-08-23 00:00:00,177.0,177.1,175.6,176.0,12610
2017-08-22 00:00:00,177.5,179.0,175.1,175.8,16368
2017-08-21 00:00:00,176.0,178.4,175.1,176.5,11470
2017-08-18 00:00:00,174.0,176.6,174.0,175.5,6735
2017-08-17 00:00:00,176.0,177.6,174.5,174.6,13619
2017-08-16 00:00:00,173.1,175.5,173.1,174.5,11944
2017-08-15 00:00:00,173.8,174.7,173.0,173.1,3086
2017-08-14 00:00:00,172.6,174.3,169.9,173.8,14854
2017-08-11 00:00:00,175.1,175.9,174.1,174.2,5158
2017-08-10 00:00:00,175.5,176.8,175.1,175.2,7170
2017-08-09 00:00:00,176.5,177.6,175.1,175.7,15006
2017-08-08 00:00:00,176.1,176.6,176.1,176.5,1725
2017-08-07 00:00:00,178.0,178.0,176.1,176.3,12682
2017-08-04 00:00:00,177.5,177.7,176.8,177.0,3909
2017-08-03 00:00:00,176.0,177.5,176.0,177.0,4361
2017-08-02 00:00:00,175.5,177.3,175.5,176.0,5255
2017-08-01 00:00:00,177.0,177.5,175.3,176.1,4925
2017-07-31 00:00:00,177.0,177.5,175.5,176.8,7269
2017-07-28 00:00:00,176.5,177.0,175.5,177.0,5117
2017-07-27 00:00:00,176.9,176.9,175.4,176.5,2445
2017-07-26 00:00:00,176.9,176.9,175.1,176.5,4168
2017-07-25 00:00:00,175.5,176.9,175.1,176.8,4287
2017-07-24 00:00:00,174.6,176.8,174.6,175.5,5684
2017-07-21 00:00:00,176.8,176.9,174.5,174.6,4042
2017-07-20 00:00:00,175.9,176.9,175.5,175.9,9377
2017-07-19 00:00:00,176.0,176.8,174.8,175.9,9376
2017-07-18 00:00:00,174.6,174.6,173.8,173.8,4033
2017-07-17 00:00:00,173.5,177.0,173.5,174.5,4134
2017-07-14 00:00:00,177.0,177.0,175.0,175.3,8419
2017-07-13 00:00:00,174.0,175.0,173.4,174.1,8246
2017-07-12 00:00:00,174.0,174.0,173.0,174.0,59383
2017-07-11 00:00:00,175.0,175.0,174.0,174.8,6696
2017-07-10 00:00:00,175.0,175.0,174.5,175.0,3325
2017-07-07 00:00:00,175.0,176.2,174.3,174.5,44506
2017-07-06 00:00:00,173.2,174.9,172.6,174.8,28061
2017-07-05 00:00:00,173.5,173.5,172.2,173.4,9320
2017-07-04 00:00:00,173.0,173.7,172.1,172.3,8866
2017-07-03 00:00:00,171.1,173.8,171.1,172.8,14902
2017-06-30 00:00:00,173.7,174.2,169.2,171.9,19359
2017-06-29 00:00:00,174.0,174.5,173.1,173.1,22057
2017-06-28 00:00:00,175.0,175.0,173.5,174.0,6638
2017-06-27 00:00:00,176.9,176.9,173.3,174.0,14324
2017-06-26 00:00:00,174.5,176.4,173.9,174.8,14512
2017-06-23 00:00:00,,173.9,173.9,173.9,0
2017-06-22 00:00:00,175.0,175.9,173.9,173.9,26769
2017-06-21 00:00:00,172.1,175.0,172.1,173.9,22000
2017-06-20 00:00:00,173.8,173.8,172.0,173.6,20208
