Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,83.75,85.5,83.25,83.75,123488
2017-09-07 00:00:00,83.5,84.0,83.5,83.75,87960
2017-09-06 00:00:00,84.5,85.0,83.25,83.75,36290
2017-09-04 00:00:00,85.5,86.5,85.0,85.5,36592
2017-09-01 00:00:00,85.25,86.25,85.0,85.25,29286
2017-08-31 00:00:00,85.0,86.5,84.75,86.0,45779
2017-08-30 00:00:00,84.25,86.0,84.0,85.75,16905
2017-08-29 00:00:00,85.25,85.5,83.5,84.25,251522
2017-08-28 00:00:00,87.0,87.0,83.75,86.0,86305
2017-08-25 00:00:00,84.5,86.75,84.5,86.5,12946
2017-08-24 00:00:00,84.5,85.5,84.0,85.5,1220675
2017-08-23 00:00:00,86.0,86.25,84.0,84.25,29324
2017-08-22 00:00:00,85.75,87.0,85.0,85.75,18585
2017-08-21 00:00:00,85.5,85.5,84.5,85.5,22224
2017-08-18 00:00:00,84.5,87.0,84.25,85.5,269208
2017-08-17 00:00:00,84.75,85.5,84.0,85.25,134077
2017-08-16 00:00:00,85.25,86.75,84.5,85.0,29976
2017-08-15 00:00:00,86.25,87.0,85.0,85.0,20869
2017-08-14 00:00:00,85.5,88.75,85.5,86.0,14036
2017-08-11 00:00:00,86.75,86.75,84.0,86.25,30105
2017-08-10 00:00:00,88.75,89.5,86.5,86.5,36001
2017-08-09 00:00:00,90.0,90.0,87.75,88.75,43277
2017-08-08 00:00:00,92.0,92.0,90.0,90.25,34898
2017-08-07 00:00:00,88.5,91.25,88.25,91.25,38809
2017-08-04 00:00:00,88.75,89.25,88.25,88.25,17968
2017-08-03 00:00:00,91.25,91.5,88.75,88.75,47740
2017-08-02 00:00:00,91.0,91.25,89.25,91.25,275944
2017-08-01 00:00:00,89.0,91.5,88.0,90.25,51767
2017-07-31 00:00:00,88.5,91.25,88.5,89.5,497473
2017-07-28 00:00:00,86.0,88.5,85.0,87.5,41572
2017-07-27 00:00:00,88.0,88.5,86.75,87.75,48535
2017-07-26 00:00:00,86.5,87.25,85.75,86.75,29052
2017-07-25 00:00:00,86.0,87.25,84.75,86.5,20145
2017-07-24 00:00:00,85.0,87.0,83.5,86.0,34838
2017-07-21 00:00:00,85.25,86.5,84.5,84.5,17597
2017-07-20 00:00:00,85.25,87.25,85.25,85.75,16010
2017-07-19 00:00:00,87.0,87.5,86.0,86.5,25578
2017-07-18 00:00:00,87.0,87.75,86.0,87.0,30762
2017-07-17 00:00:00,86.5,88.0,86.5,87.0,25412
2017-07-14 00:00:00,88.0,88.25,86.25,88.0,54068
2017-07-13 00:00:00,87.5,87.75,86.5,87.25,54040
2017-07-12 00:00:00,84.0,87.5,83.75,86.75,61669
2017-07-11 00:00:00,84.0,84.0,82.75,84.0,28732
2017-07-10 00:00:00,83.5,83.5,82.75,83.25,55136
2017-07-07 00:00:00,83.0,83.75,82.5,83.5,46924
2017-07-06 00:00:00,84.0,84.0,82.75,83.5,27783
2017-07-05 00:00:00,83.75,84.0,82.5,83.25,61626
2017-07-04 00:00:00,85.5,85.75,83.5,83.75,35530
2017-07-03 00:00:00,86.25,87.5,84.75,85.5,52008
2017-06-30 00:00:00,84.75,86.25,84.5,86.25,67055
2017-06-29 00:00:00,85.0,86.5,84.5,85.5,81208
2017-06-28 00:00:00,85.5,86.0,85.0,85.75,23609
2017-06-27 00:00:00,87.75,87.75,85.5,86.0,84640
2017-06-26 00:00:00,87.75,88.5,87.25,88.0,51680
2017-06-23 00:00:00,,87.75,87.75,87.75,0
2017-06-22 00:00:00,86.75,88.0,86.25,87.75,151600
2017-06-21 00:00:00,86.25,87.0,85.25,86.75,58038
2017-06-20 00:00:00,87.25,87.25,85.0,85.25,136609
2017-06-19 00:00:00,86.75,87.5,86.25,87.25,29568
2017-06-16 00:00:00,87.5,87.75,86.75,87.25,29670
2017-06-15 00:00:00,86.5,87.75,85.75,86.75,74281
2017-06-14 00:00:00,86.5,87.75,86.25,87.25,68818
2017-06-13 00:00:00,84.0,86.25,84.0,86.25,29624
2017-06-12 00:00:00,85.5,85.5,83.5,84.25,45834
2017-06-09 00:00:00,87.25,88.0,85.0,85.5,121017
2017-06-08 00:00:00,86.75,88.0,86.75,88.0,100226
2017-06-07 00:00:00,87.25,87.5,86.75,87.25,84684
2017-06-06 00:00:00,,87.25,87.25,87.25,0
2017-06-05 00:00:00,86.75,87.25,86.75,87.25,24787
2017-06-02 00:00:00,87.0,87.25,86.5,86.75,35704
2017-06-01 00:00:00,87.5,87.75,86.0,87.0,56369
2017-05-31 00:00:00,86.75,89.0,86.5,88.5,137738
2017-05-30 00:00:00,86.5,87.75,86.0,87.25,75993
2017-05-29 00:00:00,87.25,87.25,86.25,86.5,34054
2017-05-26 00:00:00,89.25,89.5,87.0,88.75,120656
2017-05-24 00:00:00,87.5,89.25,87.5,88.5,65603
2017-05-23 00:00:00,87.0,87.75,86.5,87.5,126667
2017-05-22 00:00:00,87.0,87.0,85.25,86.5,57389
2017-05-19 00:00:00,86.0,86.75,85.5,86.0,123310
2017-05-18 00:00:00,85.0,86.0,83.5,86.0,263153
2017-05-17 00:00:00,86.0,86.0,84.25,85.0,146302
2017-05-16 00:00:00,84.5,86.0,83.25,85.5,100967
2017-05-15 00:00:00,83.5,85.75,83.5,84.5,34314
2017-05-12 00:00:00,84.5,84.5,84.5,84.5,111113
2017-05-11 00:00:00,85.75,85.75,83.75,83.75,135286
2017-05-10 00:00:00,85.25,85.5,83.75,85.5,30469
2017-05-09 00:00:00,81.75,85.25,81.75,85.25,123145
2017-05-08 00:00:00,83.75,83.75,81.75,82.25,30444
2017-05-05 00:00:00,83.5,83.5,82.0,83.25,61625
2017-05-04 00:00:00,80.25,83.75,80.25,83.5,253993
2017-05-03 00:00:00,83.5,83.5,79.25,80.0,148843
2017-05-02 00:00:00,83.0,84.0,83.0,83.5,60392
2017-05-01 00:00:00,,83.25,83.25,83.25,0
2017-04-28 00:00:00,83.0,85.75,82.5,83.25,173481
2017-04-27 00:00:00,84.25,85.25,81.25,84.5,488252
