Dates,Open,High,Low,Close,Volume
2016-10-14 00:00:00,,396.5,396.5,396.5,0
2016-10-13 00:00:00,,396.5,396.5,396.5,0
2016-10-12 00:00:00,,396.5,396.5,396.5,0
2016-10-11 00:00:00,,396.5,396.5,396.5,0
2016-10-10 00:00:00,,396.5,396.5,396.5,0
2016-10-07 00:00:00,396.5,397.0,396.5,396.5,10326
2016-10-06 00:00:00,397.0,397.0,396.5,396.5,10821
2016-10-05 00:00:00,396.5,397.0,396.5,396.5,12925
2016-10-04 00:00:00,396.5,396.5,396.5,396.5,6349
2016-10-03 00:00:00,396.5,396.5,396.5,396.5,4605
2016-09-30 00:00:00,396.5,397.0,396.5,396.5,19091
2016-09-29 00:00:00,396.5,397.0,396.5,396.5,7354
2016-09-28 00:00:00,396.5,396.5,396.5,396.5,2233
2016-09-27 00:00:00,396.5,397.0,396.5,397.0,7089
2016-09-26 00:00:00,397.0,397.0,396.5,396.5,3584
2016-09-23 00:00:00,396.5,397.0,396.5,397.0,5096
2016-09-22 00:00:00,396.5,396.5,396.5,396.5,72
2016-09-21 00:00:00,397.0,397.0,396.5,396.5,344
2016-09-20 00:00:00,396.5,397.0,396.5,397.0,1700
2016-09-19 00:00:00,397.5,397.5,396.5,396.5,644
2016-09-16 00:00:00,396.5,397.0,396.5,397.0,328
2016-09-15 00:00:00,396.5,397.0,396.5,396.5,424
2016-09-14 00:00:00,396.5,397.0,396.5,397.0,620
2016-09-13 00:00:00,396.5,400.0,396.5,397.0,4522
2016-09-12 00:00:00,396.5,399.0,396.5,396.5,165187
2016-09-09 00:00:00,376.0,383.5,376.0,383.5,22
2016-09-08 00:00:00,376.5,387.5,376.5,377.0,410
2016-09-07 00:00:00,376.0,384.5,376.0,379.5,353
2016-09-06 00:00:00,386.5,389.5,365.0,378.0,426
2016-09-05 00:00:00,380.0,400.5,380.0,400.5,8
2016-09-02 00:00:00,394.5,394.5,383.0,383.0,461
2016-09-01 00:00:00,396.0,401.0,394.5,397.5,227
2016-08-31 00:00:00,394.5,398.0,385.5,385.5,1547
2016-08-30 00:00:00,387.5,394.0,380.5,383.0,2166
2016-08-29 00:00:00,388.0,397.5,387.0,387.5,1189
2016-08-26 00:00:00,374.0,388.0,370.0,370.0,4110
2016-08-25 00:00:00,369.5,372.0,362.5,362.5,142
2016-08-24 00:00:00,363.0,375.0,363.0,363.5,1956
2016-08-23 00:00:00,368.0,371.5,362.5,362.5,1371
2016-08-22 00:00:00,367.5,371.5,364.5,368.0,1048
2016-08-19 00:00:00,363.5,367.0,360.5,361.0,1701
2016-08-18 00:00:00,358.0,363.0,358.0,360.5,1764
2016-08-17 00:00:00,360.0,361.0,358.0,358.0,225
2016-08-16 00:00:00,359.5,361.0,359.5,361.0,69
2016-08-15 00:00:00,359.5,359.5,358.5,358.5,166
2016-08-12 00:00:00,372.0,372.0,355.0,359.5,786
2016-08-11 00:00:00,358.5,358.5,351.5,354.0,3498
2016-08-10 00:00:00,363.0,365.5,357.0,357.0,688
2016-08-09 00:00:00,363.0,363.0,362.5,362.5,145
2016-08-08 00:00:00,369.0,372.0,362.0,362.0,1057
2016-08-05 00:00:00,366.5,368.5,362.0,366.5,795
2016-08-04 00:00:00,363.0,366.0,363.0,363.5,198
2016-08-03 00:00:00,364.5,364.5,363.0,363.0,403
2016-08-02 00:00:00,364.5,364.5,363.0,363.0,351
2016-08-01 00:00:00,367.0,367.0,367.0,367.0,419
2016-07-29 00:00:00,371.0,371.0,363.5,363.5,1234
2016-07-28 00:00:00,368.0,368.5,366.0,368.0,497
2016-07-27 00:00:00,367.0,375.5,358.5,370.5,2043
2016-07-26 00:00:00,359.5,365.5,355.5,358.5,870
2016-07-25 00:00:00,361.0,365.0,357.5,359.5,2115
2016-07-22 00:00:00,361.5,361.5,360.0,361.0,148
2016-07-21 00:00:00,361.5,362.5,361.0,362.5,927
2016-07-20 00:00:00,361.0,361.5,361.0,361.0,126
2016-07-19 00:00:00,360.5,362.0,360.5,362.0,551
2016-07-18 00:00:00,362.0,362.5,361.0,361.0,277
2016-07-15 00:00:00,360.0,361.0,360.0,360.0,457
2016-07-14 00:00:00,362.0,362.0,360.0,360.5,204
2016-07-13 00:00:00,362.0,362.0,362.0,362.0,333
2016-07-12 00:00:00,361.5,364.0,361.5,362.0,586
2016-07-11 00:00:00,362.5,367.5,361.5,361.5,972
2016-07-08 00:00:00,362.0,364.0,361.5,361.5,1957
2016-07-07 00:00:00,362.0,363.5,362.0,362.5,558
2016-07-06 00:00:00,371.0,371.0,361.0,363.5,1305
2016-07-05 00:00:00,370.0,370.0,362.0,365.5,4390
2016-07-04 00:00:00,360.5,364.0,360.5,364.0,388
2016-07-01 00:00:00,360.5,361.0,360.0,360.0,546
2016-06-30 00:00:00,364.0,364.0,360.5,361.0,1328
2016-06-29 00:00:00,362.0,362.5,361.5,362.5,1268
2016-06-28 00:00:00,360.0,361.5,357.5,360.0,14391
2016-06-27 00:00:00,332.5,362.0,332.5,360.0,22850
2016-06-24 00:00:00,,363.0,363.0,363.0,0
2016-06-23 00:00:00,363.5,363.5,361.5,363.0,17699
2016-06-22 00:00:00,363.5,363.5,363.0,363.0,3839
2016-06-21 00:00:00,363.0,365.0,363.0,364.5,800
2016-06-20 00:00:00,363.5,364.0,362.0,362.0,4705
2016-06-17 00:00:00,363.0,368.0,363.0,363.0,2961
2016-06-16 00:00:00,363.5,363.5,363.0,363.0,9161
2016-06-15 00:00:00,364.5,368.0,363.0,363.0,5627
2016-06-14 00:00:00,362.5,366.0,362.5,363.0,59671
2016-06-13 00:00:00,367.5,368.0,363.5,363.5,594
2016-06-10 00:00:00,363.5,369.0,363.5,365.5,1364
2016-06-09 00:00:00,364.0,364.5,363.5,363.5,4079
2016-06-08 00:00:00,363.5,364.0,363.0,363.5,13427
2016-06-07 00:00:00,368.0,368.0,363.5,363.5,1120
2016-06-06 00:00:00,,364.0,364.0,364.0,0
2016-06-03 00:00:00,369.5,369.5,363.5,364.0,914
