Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,99.0,99.25,96.5,96.5,294717
2017-09-07 00:00:00,99.0,99.75,98.75,99.25,251236
2017-09-06 00:00:00,98.75,100.0,98.75,99.0,275266
2017-09-04 00:00:00,101.25,101.5,100.0,100.75,42405
2017-09-01 00:00:00,101.5,103.0,101.25,101.75,144005
2017-08-31 00:00:00,99.25,102.25,99.0,102.25,157687
2017-08-30 00:00:00,97.25,99.0,97.25,98.75,63352
2017-08-29 00:00:00,97.75,97.75,95.75,97.5,202295
2017-08-28 00:00:00,98.25,99.25,97.5,97.75,56814
2017-08-25 00:00:00,98.75,99.75,98.0,98.0,116938
2017-08-24 00:00:00,101.25,101.25,98.75,98.75,90954
2017-08-23 00:00:00,100.5,102.0,100.0,101.0,73698
2017-08-22 00:00:00,99.0,100.5,98.25,100.25,136549
2017-08-21 00:00:00,99.5,100.0,97.75,99.25,192160
2017-08-18 00:00:00,100.0,101.0,98.75,99.75,162497
2017-08-17 00:00:00,101.25,101.5,100.0,100.25,149371
2017-08-16 00:00:00,101.0,102.25,101.0,102.0,98596
2017-08-15 00:00:00,103.75,103.75,100.75,100.75,175465
2017-08-14 00:00:00,100.75,103.5,100.75,103.25,139485
2017-08-11 00:00:00,101.5,101.5,100.0,100.75,141979
2017-08-10 00:00:00,104.25,104.5,101.75,101.75,120185
2017-08-09 00:00:00,104.5,104.5,103.0,104.5,100258
2017-08-08 00:00:00,105.0,106.0,104.0,105.5,90272
2017-08-07 00:00:00,105.0,105.25,103.75,104.5,94561
2017-08-04 00:00:00,103.5,105.75,102.75,105.0,178705
2017-08-03 00:00:00,102.25,103.75,101.75,103.5,131478
2017-08-02 00:00:00,104.5,104.75,102.0,102.25,121168
2017-08-01 00:00:00,102.0,104.0,101.0,104.0,355634
2017-07-31 00:00:00,101.75,102.75,101.5,101.5,118572
2017-07-28 00:00:00,103.0,103.25,100.75,101.75,261532
2017-07-27 00:00:00,102.75,104.5,102.5,103.25,354268
2017-07-26 00:00:00,104.0,104.75,102.25,102.75,636145
2017-07-25 00:00:00,104.5,104.75,103.5,104.25,105448
2017-07-24 00:00:00,104.0,104.5,103.25,104.5,378396
2017-07-21 00:00:00,105.0,105.75,103.0,103.75,190865
2017-07-20 00:00:00,105.5,106.75,104.75,105.0,187079
2017-07-19 00:00:00,105.0,106.25,103.75,105.5,299397
2017-07-18 00:00:00,109.25,110.0,104.5,104.75,822999
2017-07-17 00:00:00,106.0,108.0,99.5,107.0,1387414
2017-07-14 00:00:00,114.75,115.5,113.5,115.25,175019
2017-07-13 00:00:00,115.0,115.5,113.5,114.5,140311
2017-07-12 00:00:00,114.25,114.75,113.5,114.5,288362
2017-07-11 00:00:00,116.5,116.5,113.75,114.0,234268
2017-07-10 00:00:00,116.0,117.0,115.5,116.5,67877
2017-07-07 00:00:00,116.75,116.75,115.25,116.0,86490
2017-07-06 00:00:00,117.5,118.5,115.5,116.75,143028
2017-07-05 00:00:00,117.25,118.75,115.75,117.5,318584
2017-07-04 00:00:00,118.0,118.0,115.75,117.25,443709
2017-07-03 00:00:00,119.0,120.75,117.0,118.0,113716
2017-06-30 00:00:00,118.0,119.5,117.0,118.5,185977
2017-06-29 00:00:00,119.75,119.75,117.0,118.5,211262
2017-06-28 00:00:00,118.5,118.75,116.75,118.5,141590
2017-06-27 00:00:00,121.25,121.25,117.25,118.5,217918
2017-06-26 00:00:00,121.25,124.25,121.0,121.5,153344
2017-06-23 00:00:00,,121.0,121.0,121.0,0
2017-06-22 00:00:00,122.5,122.75,120.5,121.0,129871
2017-06-21 00:00:00,122.0,122.25,118.75,121.75,321850
2017-06-20 00:00:00,122.0,124.0,120.75,121.25,252715
2017-06-19 00:00:00,121.25,122.75,120.0,121.75,255659
2017-06-16 00:00:00,124.25,124.5,120.5,120.75,363969
2017-06-15 00:00:00,125.0,126.75,124.0,124.5,149695
2017-06-14 00:00:00,125.75,127.0,124.5,126.5,164848
2017-06-13 00:00:00,126.25,126.25,123.5,125.75,161618
2017-06-12 00:00:00,128.0,128.0,124.25,125.0,153151
2017-06-09 00:00:00,128.75,129.0,127.25,128.25,200052
2017-06-08 00:00:00,126.75,128.5,125.5,128.5,274194
2017-06-07 00:00:00,127.0,128.75,125.0,127.5,308118
2017-06-06 00:00:00,,127.0,127.0,127.0,0
2017-06-05 00:00:00,128.5,128.75,126.5,127.0,100901
2017-06-02 00:00:00,129.5,129.5,127.5,128.5,120212
2017-06-01 00:00:00,127.25,129.5,126.25,129.5,145272
2017-05-31 00:00:00,129.5,129.5,126.0,127.0,413433
2017-05-30 00:00:00,126.0,129.75,125.25,129.5,422655
2017-05-29 00:00:00,126.0,127.25,124.5,125.5,592625
2017-05-26 00:00:00,125.5,126.25,124.75,126.0,116273
2017-05-24 00:00:00,124.5,125.75,124.5,125.75,74327
2017-05-23 00:00:00,123.75,126.25,122.25,125.0,153420
2017-05-22 00:00:00,124.0,124.0,121.5,123.5,95363
2017-05-19 00:00:00,119.25,124.0,119.25,123.75,162723
2017-05-18 00:00:00,123.25,123.25,118.0,119.25,383311
2017-05-17 00:00:00,126.0,127.25,123.25,123.5,188925
2017-05-16 00:00:00,123.75,128.25,123.75,127.0,265466
2017-05-15 00:00:00,124.5,125.75,123.5,124.75,113981
2017-05-12 00:00:00,127.25,125.25,125.25,125.25,108897
2017-05-11 00:00:00,127.0,128.0,126.0,127.0,107833
2017-05-10 00:00:00,127.0,128.25,124.0,127.0,156806
2017-05-09 00:00:00,128.5,129.5,127.25,129.0,163328
2017-05-08 00:00:00,128.0,129.5,127.25,128.0,160638
2017-05-05 00:00:00,128.75,129.0,126.5,128.0,165674
2017-05-04 00:00:00,125.5,128.5,125.0,127.75,222078
2017-05-03 00:00:00,128.0,128.0,125.0,125.75,200712
2017-05-02 00:00:00,127.5,128.75,126.25,128.0,220342
2017-05-01 00:00:00,,127.25,127.25,127.25,0
2017-04-28 00:00:00,125.25,128.0,125.25,127.25,186373
2017-04-27 00:00:00,124.0,126.25,122.5,125.25,214053
2017-04-26 00:00:00,122.5,124.0,120.25,124.0,215616
2017-04-25 00:00:00,116.0,122.5,116.0,122.5,441893
2017-04-24 00:00:00,120.0,124.0,114.75,115.0,875176
2017-04-21 00:00:00,111.0,111.75,108.5,110.75,245682
2017-04-20 00:00:00,111.5,111.75,108.25,109.75,216999
2017-04-19 00:00:00,110.0,111.5,108.75,111.5,101431
2017-04-18 00:00:00,107.5,109.75,107.25,109.75,181142
2017-04-13 00:00:00,107.0,107.75,106.0,107.5,55526
2017-04-12 00:00:00,108.25,110.0,106.25,106.75,117259
2017-04-11 00:00:00,106.0,108.75,105.75,108.25,130805
2017-04-10 00:00:00,105.25,107.0,104.0,105.75,202967
2017-04-07 00:00:00,105.0,105.75,103.75,105.5,45186
2017-04-06 00:00:00,104.25,106.25,102.0,105.75,62215
2017-04-05 00:00:00,105.75,105.75,104.0,104.25,60310
2017-04-04 00:00:00,105.5,105.75,105.0,105.75,45525
2017-04-03 00:00:00,108.25,108.25,105.75,106.0,84980
2017-03-31 00:00:00,106.25,108.0,106.0,108.0,70594
2017-03-30 00:00:00,107.0,107.5,105.5,106.5,125041
2017-03-29 00:00:00,104.5,106.75,104.25,106.25,86456
2017-03-28 00:00:00,102.0,105.0,102.0,104.5,71902
2017-03-27 00:00:00,103.5,103.75,101.25,102.0,104351
2017-03-24 00:00:00,104.0,104.5,102.75,104.0,56321
2017-03-23 00:00:00,104.0,104.5,102.5,104.0,71678
2017-03-22 00:00:00,103.0,103.25,102.0,103.25,93877
2017-03-21 00:00:00,104.5,105.25,102.75,103.0,382238
2017-03-20 00:00:00,104.0,104.75,102.25,104.25,219793
2017-03-17 00:00:00,105.25,105.5,103.5,104.0,155808
2017-03-16 00:00:00,106.5,106.5,104.25,105.25,118244
2017-03-15 00:00:00,104.5,105.5,103.5,104.5,150921
2017-03-14 00:00:00,107.5,107.5,104.0,105.0,135976
2017-03-13 00:00:00,107.0,108.75,106.0,107.0,255228
2017-03-10 00:00:00,105.5,106.5,106.5,106.5,64089
2017-03-09 00:00:00,106.75,107.75,105.5,106.0,49934
2017-03-08 00:00:00,106.5,108.0,106.25,107.0,136264
2017-03-07 00:00:00,105.0,107.0,104.5,107.0,67412
2017-03-06 00:00:00,105.0,106.0,104.25,105.25,50162
2017-03-03 00:00:00,106.5,105.0,105.0,105.0,137474
2017-03-02 00:00:00,108.25,108.5,106.75,107.0,87440
2017-03-01 00:00:00,107.0,108.75,105.75,108.0,127024
2017-02-28 00:00:00,105.25,107.0,105.0,107.0,65600
2017-02-27 00:00:00,106.5,106.75,104.25,105.75,58161
2017-02-24 00:00:00,107.25,107.25,105.5,106.0,137359
2017-02-23 00:00:00,107.0,108.25,106.5,107.0,82086
2017-02-22 00:00:00,108.0,108.5,106.5,107.75,90315
2017-02-21 00:00:00,107.75,108.5,107.25,108.0,51045
2017-02-20 00:00:00,108.25,108.25,106.75,108.0,62061
2017-02-17 00:00:00,107.5,109.0,106.5,107.75,114036
2017-02-16 00:00:00,107.25,107.75,106.0,107.5,119858
2017-02-15 00:00:00,108.25,109.0,105.75,106.75,259006
2017-02-14 00:00:00,109.25,109.5,107.5,108.0,176359
2017-02-13 00:00:00,110.25,111.0,108.75,109.5,125342
2017-02-10 00:00:00,110.75,110.75,109.25,110.25,116862
2017-02-09 00:00:00,111.5,113.0,108.75,110.0,240443
2017-02-08 00:00:00,109.0,112.75,108.25,111.5,266061
2017-02-07 00:00:00,108.5,109.5,108.0,109.25,188992
2017-02-06 00:00:00,110.0,110.0,107.75,108.5,264490
2017-02-03 00:00:00,106.75,112.0,104.5,109.0,386445
2017-02-02 00:00:00,100.0,107.75,100.0,106.75,1922862
2017-02-01 00:00:00,94.25,94.5,92.75,93.75,133867
2017-01-31 00:00:00,93.5,94.5,93.0,94.0,119213
2017-01-30 00:00:00,94.0,95.0,92.75,93.5,151289
2017-01-27 00:00:00,95.5,96.75,93.75,93.75,142000
2017-01-26 00:00:00,95.25,96.0,95.0,95.5,371903
2017-01-25 00:00:00,94.75,96.5,94.5,95.0,316467
2017-01-24 00:00:00,96.0,96.0,93.5,94.5,351995
2017-01-23 00:00:00,95.25,96.25,94.25,96.0,111443
2017-01-20 00:00:00,95.75,96.5,95.0,95.25,123183
2017-01-19 00:00:00,97.0,97.0,95.5,95.75,152613
2017-01-18 00:00:00,97.75,98.75,95.25,96.5,152728
2017-01-17 00:00:00,95.75,97.75,95.0,97.5,232589
2017-01-16 00:00:00,96.0,96.5,94.5,95.5,476886
2017-01-13 00:00:00,90.5,92.5,90.5,92.5,244529
2017-01-12 00:00:00,93.0,93.75,90.5,90.5,169393
2017-01-11 00:00:00,93.5,93.5,92.25,93.0,61596
2017-01-10 00:00:00,93.5,94.5,91.75,93.0,99268
2017-01-09 00:00:00,94.5,94.5,92.25,93.5,157799
2017-01-06 00:00:00,,94.0,94.0,94.0,0
2017-01-05 00:00:00,94.0,94.75,94.0,94.0,26455
2017-01-04 00:00:00,96.0,96.25,93.75,94.0,79921
2017-01-03 00:00:00,96.25,97.0,94.75,95.25,118990
2017-01-02 00:00:00,94.5,97.75,94.5,96.25,86428
2016-12-30 00:00:00,93.25,95.0,92.75,94.5,69005
2016-12-29 00:00:00,96.25,96.25,93.25,93.5,186934
2016-12-28 00:00:00,92.5,96.75,92.25,96.5,237373
2016-12-27 00:00:00,92.75,93.75,92.25,92.5,61725
2016-12-23 00:00:00,91.5,93.75,91.0,92.5,134203
2016-12-22 00:00:00,93.0,93.0,90.25,91.0,149342
2016-12-21 00:00:00,94.5,94.5,92.25,93.0,176675
2016-12-20 00:00:00,91.75,94.75,90.75,94.5,364073
2016-12-19 00:00:00,92.5,93.75,91.0,91.75,168229
2016-12-16 00:00:00,90.0,92.5,90.0,92.5,197240
2016-12-15 00:00:00,89.5,91.0,88.25,90.75,1042832
2016-12-14 00:00:00,89.5,90.0,88.5,89.0,143551
2016-12-13 00:00:00,89.75,90.5,88.25,89.25,1119659
2016-12-12 00:00:00,90.25,92.0,88.75,89.75,185867
