Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,45.0,46.1,44.9,45.8,97582
2017-09-07 00:00:00,45.4,45.7,45.0,45.1,41737
2017-09-06 00:00:00,45.4,45.7,44.4,45.3,95831
2017-09-04 00:00:00,45.0,45.5,44.6,44.9,66449
2017-09-01 00:00:00,45.0,46.2,45.0,45.5,67022
2017-08-31 00:00:00,46.0,46.4,45.0,45.0,93514
2017-08-30 00:00:00,44.3,45.9,44.3,45.7,88552
2017-08-29 00:00:00,44.0,45.3,43.7,44.1,846347
2017-08-28 00:00:00,44.5,45.7,43.9,45.0,112703
2017-08-25 00:00:00,45.7,46.0,44.6,44.6,144602
2017-08-24 00:00:00,45.1,45.8,44.8,45.5,71268
2017-08-23 00:00:00,45.8,46.0,45.1,45.1,44976
2017-08-22 00:00:00,45.4,46.1,45.4,45.8,58828
2017-08-21 00:00:00,45.8,45.9,45.3,45.3,125826
2017-08-18 00:00:00,45.0,45.9,44.3,45.9,125054
2017-08-17 00:00:00,46.0,46.4,45.2,45.3,73478
2017-08-16 00:00:00,45.9,46.1,45.8,46.0,62114
2017-08-15 00:00:00,45.8,46.4,45.6,46.0,98702
2017-08-14 00:00:00,44.3,46.6,44.3,45.8,76309
2017-08-11 00:00:00,45.0,45.4,44.1,44.3,112686
2017-08-10 00:00:00,45.5,45.7,45.2,45.2,69833
2017-08-09 00:00:00,45.5,45.9,45.3,45.5,55633
2017-08-08 00:00:00,46.7,46.8,45.5,45.5,95211
2017-08-07 00:00:00,46.9,47.5,46.0,46.8,121920
2017-08-04 00:00:00,46.4,47.2,46.0,47.2,90441
2017-08-03 00:00:00,45.9,46.4,45.9,46.4,30478
2017-08-02 00:00:00,45.8,46.3,45.5,45.9,43906
2017-08-01 00:00:00,45.7,46.3,45.4,45.8,79054
2017-07-31 00:00:00,46.2,46.7,46.0,46.0,60750
2017-07-28 00:00:00,45.9,46.3,45.8,46.3,48007
2017-07-27 00:00:00,45.7,46.5,45.7,46.2,34386
2017-07-26 00:00:00,45.8,46.2,45.5,45.8,52890
2017-07-25 00:00:00,45.3,46.4,44.9,46.2,106391
2017-07-24 00:00:00,45.7,45.7,44.6,45.4,104588
2017-07-21 00:00:00,46.5,46.5,45.6,45.9,67540
2017-07-20 00:00:00,47.7,48.7,46.4,46.6,109272
2017-07-19 00:00:00,45.9,47.5,45.5,47.5,154087
2017-07-18 00:00:00,45.8,46.0,45.3,46.0,63625
2017-07-17 00:00:00,45.9,45.9,45.4,45.9,66371
2017-07-14 00:00:00,45.5,45.9,44.9,45.9,116769
2017-07-13 00:00:00,45.5,45.8,45.2,45.8,93680
2017-07-12 00:00:00,45.2,46.0,45.2,45.5,139283
2017-07-11 00:00:00,45.1,45.8,44.1,45.1,319282
2017-07-10 00:00:00,46.4,46.6,45.5,45.6,98425
2017-07-07 00:00:00,46.4,46.5,45.4,46.3,167081
2017-07-06 00:00:00,46.8,47.0,46.0,46.8,180269
2017-07-05 00:00:00,46.8,46.8,45.6,46.5,188357
2017-07-04 00:00:00,46.5,47.0,46.1,46.6,169103
2017-07-03 00:00:00,46.2,46.5,45.8,46.5,170859
2017-06-30 00:00:00,44.4,46.0,43.1,45.7,1278522
2017-06-29 00:00:00,48.5,48.5,43.9,44.5,807972
2017-06-28 00:00:00,46.6,46.8,45.6,46.5,206335
2017-06-27 00:00:00,47.4,47.4,45.7,46.0,351550
2017-06-26 00:00:00,44.5,47.1,44.1,46.4,510041
2017-06-23 00:00:00,,43.3,43.3,43.3,0
2017-06-22 00:00:00,42.7,43.8,42.3,43.3,563508
2017-06-21 00:00:00,43.2,43.2,42.0,42.7,132644
2017-06-20 00:00:00,42.9,43.4,42.2,42.4,275183
2017-06-19 00:00:00,44.3,44.5,42.5,42.5,126216
2017-06-16 00:00:00,42.7,44.8,42.5,44.5,392579
2017-06-15 00:00:00,44.0,44.0,42.0,42.4,167085
2017-06-14 00:00:00,43.3,44.6,42.9,43.3,575757
2017-06-13 00:00:00,43.5,43.9,42.9,43.3,97203
2017-06-12 00:00:00,43.8,43.8,42.9,43.5,54677
2017-06-09 00:00:00,43.0,44.2,43.0,43.8,129926
2017-06-08 00:00:00,44.8,45.2,42.5,42.8,275820
2017-06-07 00:00:00,45.6,45.7,44.7,44.8,197036
2017-06-06 00:00:00,,45.6,45.6,45.6,0
2017-06-05 00:00:00,46.3,46.5,45.4,45.6,104394
2017-06-02 00:00:00,46.2,46.9,46.1,46.1,60840
2017-06-01 00:00:00,47.6,47.6,46.2,46.2,125829
2017-05-31 00:00:00,48.0,48.1,47.0,47.7,121417
2017-05-30 00:00:00,48.3,49.2,48.0,48.0,179453
2017-05-29 00:00:00,48.3,48.3,47.2,48.1,60274
2017-05-26 00:00:00,48.9,49.0,47.7,48.2,150881
2017-05-24 00:00:00,47.1,49.1,47.1,48.9,82307
2017-05-23 00:00:00,46.1,47.3,46.1,47.1,60290
2017-05-22 00:00:00,45.9,46.7,45.5,46.0,184251
2017-05-19 00:00:00,47.9,47.9,45.7,45.7,133439
2017-05-18 00:00:00,47.6,47.9,46.7,47.0,64449
2017-05-17 00:00:00,48.8,48.9,48.0,48.0,98516
