Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,53.3,53.8,53.3,53.65,244304
2017-09-07 00:00:00,52.85,53.55,52.45,53.5,410763
2017-09-06 00:00:00,52.6,52.6,52.2,52.5,335001
2017-09-04 00:00:00,53.25,53.3,52.6,53.2,292389
2017-09-01 00:00:00,53.5,54.1,53.4,53.4,337564
2017-08-31 00:00:00,53.35,53.55,53.15,53.4,503825
2017-08-30 00:00:00,53.0,53.3,52.7,53.0,616859
2017-08-29 00:00:00,52.6,53.1,52.45,52.9,209565
2017-08-28 00:00:00,52.7,53.4,52.7,53.1,141619
2017-08-25 00:00:00,52.75,53.0,52.55,52.65,409317
2017-08-24 00:00:00,53.55,53.65,52.8,52.95,361011
2017-08-23 00:00:00,53.5,53.6,53.15,53.45,285979
2017-08-22 00:00:00,53.25,53.5,53.05,53.5,262187
2017-08-21 00:00:00,52.65,53.1,52.45,53.05,404195
2017-08-18 00:00:00,53.7,53.7,52.7,52.9,259897
2017-08-17 00:00:00,53.95,54.2,53.7,53.75,488335
2017-08-16 00:00:00,53.65,54.2,53.55,53.9,335898
2017-08-15 00:00:00,54.2,54.35,53.55,53.65,185858
2017-08-14 00:00:00,53.2,54.25,53.1,54.2,292627
2017-08-11 00:00:00,54.5,54.5,53.3,53.45,266355
2017-08-10 00:00:00,55.35,55.45,54.7,54.75,256239
2017-08-09 00:00:00,55.4,55.5,54.95,55.25,228145
2017-08-08 00:00:00,55.15,55.8,55.15,55.75,233742
2017-08-07 00:00:00,55.8,55.85,55.05,55.5,230459
2017-08-04 00:00:00,55.75,55.8,55.35,55.55,215400
2017-08-03 00:00:00,55.5,55.95,55.2,55.75,465915
2017-08-02 00:00:00,54.65,55.85,54.25,55.55,998124
2017-08-01 00:00:00,53.1,54.8,53.05,54.8,538230
2017-07-31 00:00:00,53.0,53.65,53.0,53.1,321656
2017-07-28 00:00:00,54.0,54.0,53.2,53.45,500441
2017-07-27 00:00:00,53.75,54.25,53.75,54.0,181460
2017-07-26 00:00:00,53.85,54.2,53.3,53.8,642502
2017-07-25 00:00:00,53.25,53.8,52.9,53.7,626510
2017-07-24 00:00:00,53.4,53.9,53.1,53.25,336815
2017-07-21 00:00:00,53.3,53.75,53.3,53.6,305548
2017-07-20 00:00:00,54.0,54.15,53.45,53.5,308376
2017-07-19 00:00:00,53.85,54.0,53.2,53.9,284767
2017-07-18 00:00:00,53.5,54.1,53.4,53.75,335879
2017-07-17 00:00:00,54.5,54.55,53.5,53.5,283898
2017-07-14 00:00:00,54.15,54.45,53.7,54.45,355286
2017-07-13 00:00:00,54.5,54.5,53.35,54.15,444091
2017-07-12 00:00:00,52.5,54.3,52.5,53.9,738561
2017-07-11 00:00:00,52.55,52.65,51.75,52.5,374534
2017-07-10 00:00:00,52.0,52.65,52.0,52.55,305818
2017-07-07 00:00:00,51.85,52.0,51.35,52.0,212055
2017-07-06 00:00:00,52.15,52.85,51.25,51.6,781412
2017-07-05 00:00:00,51.6,52.2,51.05,52.1,310453
2017-07-04 00:00:00,51.35,51.65,50.9,51.6,320824
2017-07-03 00:00:00,51.75,52.05,51.3,51.5,365541
2017-06-30 00:00:00,51.0,51.75,50.95,51.6,383565
2017-06-29 00:00:00,51.5,52.05,51.15,51.3,465774
2017-06-28 00:00:00,52.3,52.6,51.4,51.45,768852
2017-06-27 00:00:00,53.0,53.35,52.25,52.35,249851
2017-06-26 00:00:00,53.25,53.65,53.05,53.1,393502
2017-06-23 00:00:00,,53.25,53.25,53.25,0
2017-06-22 00:00:00,53.15,53.4,52.6,53.25,446385
2017-06-21 00:00:00,53.5,53.65,53.0,53.15,398123
2017-06-20 00:00:00,54.95,55.15,53.4,53.5,1164791
2017-06-19 00:00:00,55.8,55.8,54.85,55.1,475397
2017-06-16 00:00:00,55.75,55.75,55.2,55.35,947048
2017-06-15 00:00:00,55.95,55.95,55.0,55.1,658428
2017-06-14 00:00:00,55.35,55.95,55.05,55.9,853661
2017-06-13 00:00:00,54.8,55.45,54.65,54.85,570606
2017-06-12 00:00:00,55.7,55.75,54.65,54.9,613395
2017-06-09 00:00:00,55.05,55.9,54.85,55.55,582930
2017-06-08 00:00:00,55.9,55.9,55.05,55.35,672361
2017-06-07 00:00:00,55.2,55.9,55.2,55.6,810569
2017-06-06 00:00:00,,55.15,55.15,55.15,0
2017-06-05 00:00:00,54.0,55.4,53.95,55.15,707531
2017-06-02 00:00:00,53.5,54.0,53.1,54.0,475691
2017-06-01 00:00:00,52.6,53.4,52.55,53.3,512102
2017-05-31 00:00:00,53.0,53.05,52.3,52.6,517807
2017-05-30 00:00:00,52.35,52.9,52.05,52.85,452207
2017-05-29 00:00:00,52.8,52.8,52.05,52.45,294091
2017-05-26 00:00:00,52.4,53.15,52.2,52.8,565458
