Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,82.65,82.95,82.4,82.65,53058
2017-09-07 00:00:00,82.0,83.5,81.9,82.75,96011
2017-09-06 00:00:00,82.1,83.85,81.8,82.15,63566
2017-09-04 00:00:00,80.5,81.0,79.3,80.0,1044120
2017-09-01 00:00:00,82.0,82.35,80.65,81.05,108997
2017-08-31 00:00:00,78.75,81.85,78.75,81.8,69029
2017-08-30 00:00:00,78.95,79.55,78.5,79.15,48769
2017-08-29 00:00:00,79.0,79.7,77.9,78.85,57584
2017-08-28 00:00:00,81.55,82.15,79.4,79.4,27575
2017-08-25 00:00:00,82.85,83.3,82.4,82.4,23991
2017-08-24 00:00:00,83.0,83.25,82.2,82.85,30999
2017-08-23 00:00:00,83.1,84.55,82.8,83.35,64097
2017-08-22 00:00:00,83.75,83.9,82.1,83.0,54109
2017-08-21 00:00:00,83.75,84.5,81.95,82.75,32547
2017-08-18 00:00:00,84.5,84.95,83.2,84.05,74564
2017-08-17 00:00:00,85.05,86.05,83.95,85.65,61026
2017-08-16 00:00:00,85.25,85.65,84.6,84.6,37099
2017-08-15 00:00:00,85.0,85.45,83.95,84.95,69798
2017-08-14 00:00:00,82.3,85.4,82.3,84.85,151011
2017-08-11 00:00:00,83.7,83.7,81.9,82.4,61212
2017-08-10 00:00:00,85.6,85.85,84.0,84.0,61300
2017-08-09 00:00:00,86.0,86.0,84.65,85.75,45824
2017-08-08 00:00:00,85.2,86.85,85.2,86.6,46391
2017-08-07 00:00:00,85.75,86.4,83.9,85.4,35654
2017-08-04 00:00:00,86.85,86.85,84.95,86.5,57567
2017-08-03 00:00:00,85.45,87.25,84.2,87.25,62028
2017-08-02 00:00:00,86.5,86.9,84.9,85.45,80134
2017-08-01 00:00:00,84.25,87.5,84.25,86.25,53894
2017-07-31 00:00:00,85.25,86.35,84.3,84.9,67984
2017-07-28 00:00:00,86.75,87.7,85.5,85.9,36072
2017-07-27 00:00:00,87.15,88.1,86.6,86.6,44958
2017-07-26 00:00:00,87.55,90.2,86.95,87.1,82559
2017-07-25 00:00:00,87.5,88.25,86.55,87.55,67985
2017-07-24 00:00:00,88.7,88.9,87.3,87.55,66304
2017-07-21 00:00:00,87.85,88.8,86.95,88.45,104242
2017-07-20 00:00:00,90.0,90.5,86.5,87.85,85582
2017-07-19 00:00:00,91.9,91.95,89.6,90.55,66759
2017-07-18 00:00:00,92.95,92.95,91.05,91.9,45366
2017-07-17 00:00:00,92.0,93.05,91.2,92.9,72066
2017-07-14 00:00:00,92.0,93.05,91.75,92.0,26370
2017-07-13 00:00:00,93.4,93.9,92.25,92.95,87627
2017-07-12 00:00:00,91.5,93.75,91.05,93.2,56576
2017-07-11 00:00:00,92.0,93.65,91.2,91.2,60416
2017-07-10 00:00:00,92.8,92.8,91.55,92.2,36581
2017-07-07 00:00:00,91.25,92.85,90.65,92.8,51105
2017-07-06 00:00:00,92.2,92.45,90.5,91.25,29836
2017-07-05 00:00:00,90.75,92.95,90.75,92.5,45382
2017-07-04 00:00:00,92.4,92.75,90.45,91.65,31533
2017-07-03 00:00:00,91.9,93.3,91.9,92.75,56247
2017-06-30 00:00:00,92.15,92.3,89.9,91.9,302117
2017-06-29 00:00:00,97.0,97.2,91.75,92.15,249431
2017-06-28 00:00:00,94.2,96.95,93.5,96.95,172134
2017-06-27 00:00:00,95.5,95.85,94.1,94.2,59399
2017-06-26 00:00:00,97.0,97.0,95.65,96.25,77856
2017-06-23 00:00:00,,96.9,96.9,96.9,0
2017-06-22 00:00:00,96.8,97.0,95.45,96.9,60444
2017-06-21 00:00:00,96.4,97.0,95.2,96.95,228188
2017-06-20 00:00:00,95.5,98.0,95.5,96.45,239540
2017-06-19 00:00:00,95.05,96.05,92.75,95.65,37325
2017-06-16 00:00:00,94.55,95.8,94.45,95.8,165967
2017-06-15 00:00:00,96.5,96.65,93.75,94.1,63389
2017-06-14 00:00:00,96.65,97.6,96.0,96.7,100364
2017-06-13 00:00:00,95.6,96.8,95.6,96.45,67360
2017-06-12 00:00:00,97.0,97.0,95.3,95.3,40876
2017-06-09 00:00:00,96.8,97.65,96.35,97.65,191640
2017-06-08 00:00:00,97.0,97.65,95.65,96.8,66701
2017-06-07 00:00:00,96.3,97.0,95.55,96.95,86449
2017-06-06 00:00:00,,96.1,96.1,96.1,0
2017-06-05 00:00:00,98.0,98.0,96.0,96.1,40266
2017-06-02 00:00:00,97.0,98.0,96.85,97.6,74860
2017-06-01 00:00:00,95.35,96.9,95.35,96.85,159628
2017-05-31 00:00:00,94.5,95.5,93.95,95.5,154522
2017-05-30 00:00:00,92.5,94.9,92.4,94.5,135361
2017-05-29 00:00:00,93.0,93.0,92.2,92.5,725799
2017-05-26 00:00:00,93.7,94.45,92.15,93.0,71912
2017-05-24 00:00:00,93.0,94.0,92.0,93.7,117284
2017-05-23 00:00:00,89.55,92.9,88.75,92.45,141119
2017-05-22 00:00:00,89.9,90.55,88.15,89.2,120236
2017-05-19 00:00:00,86.75,89.0,86.65,87.7,154158
2017-05-18 00:00:00,89.15,89.6,86.35,86.75,338672
2017-05-17 00:00:00,92.0,92.15,87.9,89.15,171798
2017-05-16 00:00:00,92.0,92.75,90.5,91.5,62376
2017-05-15 00:00:00,92.85,93.95,91.75,92.25,58638
2017-05-12 00:00:00,92.25,93.0,93.0,93.0,229986
2017-05-11 00:00:00,89.9,92.2,89.9,92.2,396710
2017-05-10 00:00:00,88.0,91.55,87.95,89.95,631567
2017-05-09 00:00:00,84.3,90.85,83.5,90.25,270700
2017-05-08 00:00:00,82.0,84.0,82.0,84.0,92389
2017-05-05 00:00:00,83.5,84.0,82.75,84.0,54777
2017-05-04 00:00:00,81.5,83.6,81.1,83.25,94390
2017-05-03 00:00:00,79.95,81.5,78.4,81.5,104465
2017-05-02 00:00:00,80.95,81.1,80.75,81.0,60493
2017-05-01 00:00:00,,80.95,80.95,80.95,0
2017-04-28 00:00:00,81.0,81.0,80.0,80.95,46752
2017-04-27 00:00:00,80.85,81.25,80.2,80.95,64931
2017-04-26 00:00:00,81.0,81.3,80.0,81.0,145928
2017-04-25 00:00:00,79.9,80.95,79.5,80.6,155395
2017-04-24 00:00:00,78.0,80.2,77.95,80.2,106109
2017-04-21 00:00:00,77.8,78.05,76.75,76.85,48966
2017-04-20 00:00:00,77.5,78.25,77.25,77.25,50381
2017-04-19 00:00:00,76.15,78.45,76.05,77.95,69916
2017-04-18 00:00:00,77.4,77.8,76.7,77.55,51229
2017-04-13 00:00:00,78.05,78.15,77.1,77.8,10716
2017-04-12 00:00:00,76.0,78.0,76.0,78.0,94857
2017-04-11 00:00:00,75.35,76.3,75.25,76.05,34477
2017-04-10 00:00:00,75.0,75.7,74.55,75.35,34781
2017-04-07 00:00:00,76.5,76.5,75.0,76.0,33578
2017-04-06 00:00:00,76.0,76.5,75.35,76.25,49920
2017-04-05 00:00:00,76.5,76.5,75.8,76.35,39671
2017-04-04 00:00:00,76.25,76.6,76.0,76.5,447838
2017-04-03 00:00:00,76.0,76.55,75.95,76.35,51612
2017-03-31 00:00:00,74.6,76.55,74.6,76.1,97819
2017-03-30 00:00:00,74.95,75.25,73.45,74.6,48458
2017-03-29 00:00:00,73.45,74.95,73.15,74.8,203693
2017-03-28 00:00:00,72.95,73.55,72.05,73.45,31911
2017-03-27 00:00:00,73.5,73.5,72.2,72.6,33973
2017-03-24 00:00:00,74.0,74.2,72.8,73.55,38671
2017-03-23 00:00:00,73.0,74.3,73.0,74.0,33573
2017-03-22 00:00:00,74.25,74.75,73.0,73.65,58672
2017-03-21 00:00:00,74.65,75.55,74.0,74.25,41515
2017-03-20 00:00:00,74.5,75.9,74.5,75.45,90123
2017-03-17 00:00:00,74.45,74.85,73.9,74.75,91973
2017-03-16 00:00:00,72.35,74.2,72.35,74.0,63750
2017-03-15 00:00:00,72.7,73.5,72.7,73.1,42811
2017-03-14 00:00:00,73.8,73.8,72.95,73.1,35687
2017-03-13 00:00:00,74.05,74.15,73.55,73.7,33806
2017-03-10 00:00:00,74.0,74.05,74.05,74.05,26818
2017-03-09 00:00:00,74.5,74.5,73.6,74.0,57840
2017-03-08 00:00:00,73.8,74.35,73.6,74.05,156183
2017-03-07 00:00:00,73.1,74.3,73.1,73.95,49943
2017-03-06 00:00:00,74.0,74.25,73.55,73.8,50529
2017-03-03 00:00:00,75.0,74.1,74.1,74.1,103281
2017-03-02 00:00:00,75.5,76.5,75.2,75.45,110745
2017-03-01 00:00:00,75.85,76.15,74.95,75.8,79844
2017-02-28 00:00:00,75.0,75.25,74.3,75.25,59020
2017-02-27 00:00:00,73.9,75.2,73.7,74.9,79628
2017-02-24 00:00:00,75.95,75.95,73.5,73.85,97699
2017-02-23 00:00:00,76.25,77.2,75.65,76.05,71033
2017-02-22 00:00:00,77.2,77.7,75.8,76.25,981694
2017-02-21 00:00:00,77.0,77.25,76.4,77.2,44099
2017-02-20 00:00:00,76.2,76.9,76.2,76.7,39315
2017-02-17 00:00:00,75.25,78.25,75.25,76.35,134720
2017-02-16 00:00:00,77.85,77.85,77.1,77.6,82016
2017-02-15 00:00:00,77.2,77.95,76.45,77.3,103320
2017-02-14 00:00:00,76.5,76.65,75.8,76.6,121214
2017-02-13 00:00:00,74.05,76.3,73.9,76.1,198012
2017-02-10 00:00:00,76.2,77.7,75.45,76.0,395667
2017-02-09 00:00:00,76.65,77.0,75.35,76.85,74476
2017-02-08 00:00:00,76.3,77.0,76.0,76.75,133123
2017-02-07 00:00:00,75.15,76.85,75.15,76.4,352620
2017-02-06 00:00:00,77.0,77.0,75.5,75.85,222327
2017-02-03 00:00:00,78.0,78.0,76.5,77.0,64276
2017-02-02 00:00:00,77.0,77.3,76.0,76.9,73749
2017-02-01 00:00:00,76.0,77.4,75.5,76.85,101095
2017-01-31 00:00:00,75.25,77.1,75.25,76.0,141008
2017-01-30 00:00:00,77.8,78.15,75.2,75.2,87270
2017-01-27 00:00:00,76.9,78.1,76.8,77.95,265798
2017-01-26 00:00:00,76.9,77.55,76.3,76.95,82862
2017-01-25 00:00:00,74.2,77.25,74.2,76.9,226049
2017-01-24 00:00:00,73.45,74.4,73.45,74.0,84520
2017-01-23 00:00:00,73.0,73.65,72.8,73.45,85550
2017-01-20 00:00:00,72.75,73.5,72.45,73.0,124206
2017-01-19 00:00:00,72.75,72.95,72.5,72.75,90483
2017-01-18 00:00:00,72.0,72.9,72.0,72.6,132848
2017-01-17 00:00:00,72.5,72.95,71.3,72.5,248305
2017-01-16 00:00:00,72.45,72.95,72.05,72.5,61417
2017-01-13 00:00:00,71.8,72.6,71.8,72.45,46644
2017-01-12 00:00:00,73.1,73.35,71.55,71.8,590666
2017-01-11 00:00:00,72.5,73.25,72.0,73.1,88182
2017-01-10 00:00:00,71.6,73.0,71.5,72.65,104888
2017-01-09 00:00:00,74.0,74.0,70.55,71.7,338092
2017-01-06 00:00:00,,73.15,73.15,73.15,0
2017-01-05 00:00:00,73.0,74.55,71.95,73.15,162012
2017-01-04 00:00:00,73.2,73.6,72.8,73.3,103235
2017-01-03 00:00:00,75.0,75.25,73.35,73.5,267368
2017-01-02 00:00:00,72.95,76.2,72.85,75.25,156022
2016-12-30 00:00:00,72.6,73.4,72.2,73.05,93352
2016-12-29 00:00:00,72.5,72.9,72.35,72.65,45272
2016-12-28 00:00:00,72.5,73.4,72.4,72.95,95512
2016-12-27 00:00:00,72.75,72.95,72.4,72.85,117827
2016-12-23 00:00:00,74.5,74.65,72.35,72.75,147900
2016-12-22 00:00:00,77.95,77.95,73.0,75.0,404042
2016-12-21 00:00:00,78.5,78.9,77.9,78.15,100876
2016-12-20 00:00:00,78.35,78.55,77.35,78.35,111307
2016-12-19 00:00:00,77.65,78.5,76.5,77.3,174105
2016-12-16 00:00:00,78.6,79.1,77.25,77.65,193031
2016-12-15 00:00:00,77.2,79.7,77.2,78.65,819135
2016-12-14 00:00:00,79.0,79.55,77.2,77.35,115668
2016-12-13 00:00:00,79.6,79.8,79.0,79.55,97279
2016-12-12 00:00:00,78.75,79.8,78.75,79.1,114562
2016-12-09 00:00:00,78.0,79.25,77.55,78.85,82222
2016-12-08 00:00:00,77.7,77.9,76.85,77.6,159900
2016-12-07 00:00:00,77.1,78.1,77.0,77.7,152485
2016-12-06 00:00:00,75.95,76.55,75.95,76.5,43747
2016-12-05 00:00:00,76.0,76.95,75.85,75.95,357542
2016-12-02 00:00:00,75.5,76.5,75.5,76.3,53165
2016-12-01 00:00:00,76.6,76.6,75.8,76.35,94631
2016-11-30 00:00:00,75.65,76.1,75.2,76.05,105893
2016-11-29 00:00:00,75.45,76.55,75.45,76.05,230640
2016-11-28 00:00:00,76.1,76.65,75.2,75.65,65252
2016-11-25 00:00:00,76.2,77.1,75.2,76.2,148456
2016-11-24 00:00:00,75.8,76.35,75.35,76.1,79791
2016-11-23 00:00:00,75.35,76.4,75.35,75.8,51593
2016-11-22 00:00:00,76.9,76.9,75.2,75.45,40286
2016-11-21 00:00:00,75.15,77.3,75.15,76.45,54091
2016-11-18 00:00:00,76.0,76.45,74.85,76.2,84806
2016-11-17 00:00:00,75.15,76.25,75.15,75.45,157078
2016-11-16 00:00:00,75.0,77.5,75.0,75.75,136123
2016-11-15 00:00:00,74.95,75.35,74.15,74.8,46677
2016-11-14 00:00:00,76.25,78.55,74.25,74.6,91889
2016-11-11 00:00:00,76.9,78.3,75.55,75.55,105959
2016-11-10 00:00:00,76.35,77.85,76.1,77.0,133645
2016-11-09 00:00:00,71.0,76.25,71.0,76.15,100022
2016-11-08 00:00:00,74.5,75.85,74.0,74.65,171872
2016-11-07 00:00:00,73.55,75.2,73.5,74.6,169316
2016-11-04 00:00:00,74.95,74.95,73.4,73.4,59189
2016-11-03 00:00:00,74.75,76.6,74.75,75.45,117370
2016-11-02 00:00:00,75.75,75.75,74.25,74.9,113406
2016-11-01 00:00:00,79.6,79.6,76.1,76.1,112599
2016-10-31 00:00:00,80.85,80.85,77.05,77.4,164662
2016-10-28 00:00:00,78.55,79.6,76.9,78.45,321873
2016-10-27 00:00:00,84.75,84.75,76.6,78.7,530824
2016-10-26 00:00:00,89.25,89.35,87.05,87.45,219263
2016-10-25 00:00:00,89.0,89.05,88.25,88.7,146318
2016-10-24 00:00:00,87.0,89.6,87.0,89.15,365677
2016-10-21 00:00:00,85.5,86.0,84.85,85.7,83569
2016-10-20 00:00:00,85.0,85.85,84.7,85.5,108757
2016-10-19 00:00:00,85.0,85.15,84.65,85.1,64118
2016-10-18 00:00:00,84.55,85.75,84.25,84.9,84849
2016-10-17 00:00:00,85.6,85.6,84.0,84.85,71486
2016-10-14 00:00:00,84.05,85.6,83.7,85.6,191493
2016-10-13 00:00:00,85.0,85.1,83.8,84.0,94152
2016-10-12 00:00:00,84.4,85.35,84.4,84.85,145239
2016-10-11 00:00:00,84.45,84.45,83.35,84.3,99988
2016-10-10 00:00:00,83.35,84.5,83.35,84.45,90699
2016-10-07 00:00:00,83.15,84.45,83.1,83.35,127045
2016-10-06 00:00:00,84.8,84.8,83.05,83.5,64866
2016-10-05 00:00:00,83.5,84.45,83.35,84.35,68053
2016-10-04 00:00:00,84.85,85.0,84.1,84.1,75275
2016-10-03 00:00:00,84.5,84.9,83.9,84.1,77611
2016-09-30 00:00:00,83.5,84.25,82.45,84.25,141968
2016-09-29 00:00:00,83.0,84.4,83.0,83.85,176281
2016-09-28 00:00:00,80.65,82.7,80.6,82.6,243244
2016-09-27 00:00:00,79.55,80.65,79.0,80.65,223453
2016-09-26 00:00:00,80.7,81.25,79.5,80.05,170840
2016-09-23 00:00:00,81.35,81.75,80.45,81.15,1362225
2016-09-22 00:00:00,81.55,81.9,80.75,80.9,293878
2016-09-21 00:00:00,81.95,81.95,80.45,80.9,248316
2016-09-20 00:00:00,82.35,82.35,80.7,81.1,89928
2016-09-19 00:00:00,81.95,82.6,81.7,81.95,266866
2016-09-16 00:00:00,81.3,81.9,80.3,81.8,143148
2016-09-15 00:00:00,80.0,81.4,79.6,81.25,70596
2016-09-14 00:00:00,80.35,81.4,79.7,80.5,95513
2016-09-13 00:00:00,81.85,81.85,79.6,79.95,86990
2016-09-12 00:00:00,79.8,80.75,78.75,80.7,125271
2016-09-09 00:00:00,81.9,81.95,79.55,81.05,271960
2016-09-08 00:00:00,84.0,84.0,81.25,81.8,258740
2016-09-07 00:00:00,85.0,85.85,83.35,84.0,274216
2016-09-06 00:00:00,86.6,87.45,85.9,85.9,177568
2016-09-05 00:00:00,86.4,86.8,85.25,86.6,106878
2016-09-02 00:00:00,86.0,87.0,85.55,86.4,167280
2016-09-01 00:00:00,84.0,86.0,83.2,85.45,192432
2016-08-31 00:00:00,84.0,84.75,82.7,82.95,186760
2016-08-30 00:00:00,82.65,84.3,80.45,81.55,222567
2016-08-29 00:00:00,84.2,84.45,83.4,84.05,52370
2016-08-26 00:00:00,83.15,84.6,82.9,84.15,98604
2016-08-25 00:00:00,83.2,83.85,82.35,83.15,138463
2016-08-24 00:00:00,83.0,84.1,82.2,83.25,114284
2016-08-23 00:00:00,82.75,84.0,82.3,82.85,150832
2016-08-22 00:00:00,82.5,83.45,82.5,82.75,179055
2016-08-19 00:00:00,80.45,81.7,80.45,80.9,60811
2016-08-18 00:00:00,80.45,82.2,80.45,81.65,123475
2016-08-17 00:00:00,81.35,81.5,80.1,80.1,75674
2016-08-16 00:00:00,81.75,81.75,80.4,80.9,80962
2016-08-15 00:00:00,80.05,82.0,79.6,81.9,146547
2016-08-12 00:00:00,81.5,81.65,79.8,80.05,155774
2016-08-11 00:00:00,81.3,81.65,80.35,81.65,70418
2016-08-10 00:00:00,80.8,81.3,80.45,81.25,68924
2016-08-09 00:00:00,80.75,80.9,79.1,80.8,101583
2016-08-08 00:00:00,81.1,81.75,80.0,80.5,84578
2016-08-05 00:00:00,79.65,81.6,79.65,81.15,122509
2016-08-04 00:00:00,76.95,80.0,76.95,79.9,114171
2016-08-03 00:00:00,77.9,79.05,76.45,78.3,95898
2016-08-02 00:00:00,78.0,78.7,77.0,78.0,73321
2016-08-01 00:00:00,78.65,79.2,76.6,77.85,106457
2016-07-29 00:00:00,79.0,81.3,79.0,79.95,344598
2016-07-28 00:00:00,78.5,80.05,78.0,80.05,154989
2016-07-27 00:00:00,77.0,78.75,76.85,78.4,166506
2016-07-26 00:00:00,75.25,76.5,75.0,76.35,112161
2016-07-25 00:00:00,75.75,76.0,74.55,75.0,105131
2016-07-22 00:00:00,75.0,77.45,74.75,75.85,141388
2016-07-21 00:00:00,76.05,78.0,74.8,77.7,154138
2016-07-20 00:00:00,71.0,76.8,71.0,76.1,341116
2016-07-19 00:00:00,69.2,72.75,68.7,71.8,239475
2016-07-18 00:00:00,68.2,69.0,68.0,68.85,73889
2016-07-15 00:00:00,66.75,68.5,66.55,68.2,62812
2016-07-14 00:00:00,67.5,67.5,66.6,67.15,52001
2016-07-13 00:00:00,66.95,67.65,66.6,67.05,51441
2016-07-12 00:00:00,67.3,67.75,66.7,67.05,38823
2016-07-11 00:00:00,65.0,67.55,65.0,67.1,62206
2016-07-08 00:00:00,63.0,65.7,63.0,65.35,51758
2016-07-07 00:00:00,65.0,65.3,64.2,64.6,59571
2016-07-06 00:00:00,62.5,64.15,62.3,63.4,96998
2016-07-05 00:00:00,64.25,64.25,62.2,62.7,240864
2016-07-04 00:00:00,64.0,65.6,64.0,64.75,69663
2016-07-01 00:00:00,66.0,66.0,64.7,65.1,50173
2016-06-30 00:00:00,62.8,65.35,62.3,64.65,104746
2016-06-29 00:00:00,64.0,64.4,62.55,62.8,76776
2016-06-28 00:00:00,62.6,64.1,62.45,62.55,95090
2016-06-27 00:00:00,64.25,65.8,61.25,61.6,151101
2016-06-24 00:00:00,,68.35,68.35,68.35,0
2016-06-23 00:00:00,67.9,68.95,66.85,68.35,173148
2016-06-22 00:00:00,67.4,67.9,66.75,67.25,81975
2016-06-21 00:00:00,67.9,67.9,66.85,67.25,148804
2016-06-20 00:00:00,65.0,67.75,65.0,66.8,148499
2016-06-17 00:00:00,65.5,67.0,65.5,66.5,183772
2016-06-16 00:00:00,65.6,65.75,65.0,65.1,97470
2016-06-15 00:00:00,66.85,67.6,65.75,65.8,95255
2016-06-14 00:00:00,67.1,67.2,65.25,66.1,155627
2016-06-13 00:00:00,68.0,68.35,67.1,67.65,84865
2016-06-10 00:00:00,70.15,70.75,68.8,69.35,76527
2016-06-09 00:00:00,71.3,71.5,70.5,70.8,86981
2016-06-08 00:00:00,71.4,71.6,71.0,71.3,102449
2016-06-07 00:00:00,69.25,71.7,69.25,71.4,107748
2016-06-06 00:00:00,,69.45,69.45,69.45,0
2016-06-03 00:00:00,72.0,72.0,69.1,69.45,140918
2016-06-02 00:00:00,70.35,71.8,70.1,71.45,110345
2016-06-01 00:00:00,70.75,70.75,69.15,70.0,79914
2016-05-31 00:00:00,70.35,71.1,70.1,70.75,142806
2016-05-30 00:00:00,69.75,70.55,69.75,70.35,122487
2016-05-27 00:00:00,69.25,70.2,69.1,69.75,237200
2016-05-26 00:00:00,69.25,70.6,68.95,69.25,166686
2016-05-25 00:00:00,69.0,69.7,68.6,68.85,103084
2016-05-24 00:00:00,68.65,69.3,68.55,68.8,286705
2016-05-23 00:00:00,68.8,69.35,68.1,69.15,63737
2016-05-20 00:00:00,68.95,69.4,68.4,68.5,283738
2016-05-19 00:00:00,69.0,69.0,67.85,68.0,95385
2016-05-18 00:00:00,69.15,69.9,68.4,68.9,132528
2016-05-17 00:00:00,68.0,69.25,68.0,69.1,223271
2016-05-16 00:00:00,67.45,68.45,66.55,68.2,96993
2016-05-13 00:00:00,67.5,67.5,66.6,67.45,98169
2016-05-12 00:00:00,65.9,67.45,64.85,66.3,146463
2016-05-11 00:00:00,65.9,66.3,64.85,65.25,94886
2016-05-10 00:00:00,67.5,67.5,64.1,65.6,139821
2016-05-09 00:00:00,67.95,68.0,65.2,67.05,326099
2016-05-06 00:00:00,66.0,69.0,65.2,68.25,224973
2016-05-05 00:00:00,63.45,67.0,62.6,65.7,183200
2016-05-04 00:00:00,63.45,67.0,62.6,65.7,183200
2016-05-03 00:00:00,65.3,66.65,62.7,62.9,255308
2016-05-02 00:00:00,63.8,64.5,63.25,64.25,96957
2016-04-29 00:00:00,65.5,65.5,63.5,63.95,87751
