Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,1.704,1.704,1.704,1.704,0
2017-09-07 00:00:00,1.697,1.697,1.697,1.697,0
2017-09-06 00:00:00,1.707,1.707,1.707,1.707,0
2017-09-05 00:00:00,1.803,1.803,1.803,1.803,0
2017-09-04 00:00:00,1.803,1.803,1.803,1.803,0
2017-09-01 00:00:00,1.854,1.943,1.854,1.943,2000
2017-08-31 00:00:00,1.832,1.832,1.832,1.832,0
2017-08-30 00:00:00,1.826,1.826,1.826,1.826,0
2017-08-29 00:00:00,1.779,1.779,1.779,1.779,0
2017-08-28 00:00:00,1.778,1.778,1.778,1.778,0
2017-08-25 00:00:00,1.803,1.803,1.803,1.803,0
2017-08-24 00:00:00,1.75,1.75,1.75,1.75,0
2017-08-23 00:00:00,1.725,1.789,1.725,1.789,200
2017-08-22 00:00:00,1.757,1.757,1.757,1.757,0
2017-08-21 00:00:00,1.693,1.693,1.693,1.693,0
2017-08-18 00:00:00,1.718,1.718,1.718,1.718,0
2017-08-17 00:00:00,1.734,1.734,1.734,1.734,0
2017-08-16 00:00:00,1.706,1.773,1.706,1.773,50
2017-08-15 00:00:00,1.713,1.713,1.713,1.713,0
2017-08-14 00:00:00,1.707,1.707,1.707,1.707,0
2017-08-11 00:00:00,1.717,1.767,1.717,1.767,500
2017-08-10 00:00:00,1.761,1.761,1.761,1.761,0
2017-08-09 00:00:00,1.79,1.79,1.79,1.79,0
2017-08-08 00:00:00,1.804,1.804,1.804,1.804,0
2017-08-07 00:00:00,1.808,1.808,1.808,1.808,0
2017-08-04 00:00:00,1.794,1.794,1.794,1.794,0
2017-08-03 00:00:00,1.819,1.819,1.819,1.819,0
2017-08-02 00:00:00,1.779,1.87,1.779,1.87,175
2017-08-01 00:00:00,1.783,1.783,1.783,1.783,0
2017-07-31 00:00:00,1.771,1.771,1.771,1.771,0
2017-07-28 00:00:00,1.751,1.751,1.751,1.751,0
2017-07-27 00:00:00,1.788,1.788,1.788,1.788,0
2017-07-26 00:00:00,1.819,1.819,1.819,1.819,0
2017-07-25 00:00:00,1.85,1.85,1.85,1.85,0
2017-07-24 00:00:00,1.84,1.84,1.84,1.84,0
2017-07-21 00:00:00,1.811,1.811,1.811,1.811,0
2017-07-20 00:00:00,1.861,1.919,1.861,1.919,400
2017-07-19 00:00:00,1.95,2.05,1.95,2.05,513
2017-07-18 00:00:00,1.951,1.951,1.951,1.951,0
2017-07-17 00:00:00,1.9,1.9,1.9,1.9,0
2017-07-14 00:00:00,1.889,1.889,1.889,1.889,0
2017-07-13 00:00:00,1.888,1.888,1.888,1.888,0
2017-07-12 00:00:00,1.856,1.856,1.856,1.856,0
