Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,34.2,34.2,33.3,33.8,24286
2017-09-07 00:00:00,34.5,34.5,33.6,34.2,20453
2017-09-06 00:00:00,34.4,34.9,33.9,34.1,45046
2017-09-04 00:00:00,34.0,34.6,34.0,34.4,57570
2017-09-01 00:00:00,33.7,33.8,33.0,33.4,21075
2017-08-31 00:00:00,33.2,33.7,33.0,33.7,16145
2017-08-30 00:00:00,33.7,33.8,33.0,33.2,41565
2017-08-29 00:00:00,34.4,34.9,33.5,33.9,99338
2017-08-28 00:00:00,34.0,34.0,33.4,34.0,21998
2017-08-25 00:00:00,33.7,33.9,33.2,33.3,22953
2017-08-24 00:00:00,33.1,33.5,33.0,33.1,15563
2017-08-23 00:00:00,33.5,33.5,32.9,33.1,23883
2017-08-22 00:00:00,34.2,34.2,33.2,33.6,39746
2017-08-21 00:00:00,33.8,34.6,33.6,34.1,76314
2017-08-18 00:00:00,33.4,34.3,33.0,33.5,138885
2017-08-17 00:00:00,32.0,33.0,31.7,33.0,53188
2017-08-16 00:00:00,32.1,32.1,31.4,31.8,30625
2017-08-15 00:00:00,32.1,32.1,31.1,32.1,54680
2017-08-14 00:00:00,34.3,34.3,31.6,32.2,139516
2017-08-11 00:00:00,32.0,36.8,32.0,33.5,376568
2017-08-10 00:00:00,30.9,32.0,30.9,31.9,85043
2017-08-09 00:00:00,30.6,31.0,30.1,30.6,56619
2017-08-08 00:00:00,30.3,30.6,29.5,30.0,39103
2017-08-07 00:00:00,30.1,30.3,30.1,30.3,36409
2017-08-04 00:00:00,31.0,31.3,30.5,30.6,74170
2017-08-03 00:00:00,31.7,32.0,31.0,31.0,38767
2017-08-02 00:00:00,31.4,31.7,30.6,31.7,25490
2017-08-01 00:00:00,31.3,31.4,30.7,31.4,26067
2017-07-31 00:00:00,31.7,31.7,30.9,31.0,22600
2017-07-28 00:00:00,31.5,31.5,30.3,30.9,30178
2017-07-27 00:00:00,31.1,31.4,30.9,30.9,32639
2017-07-26 00:00:00,31.1,31.8,31.1,31.2,41383
2017-07-25 00:00:00,31.9,32.2,31.2,31.3,60271
2017-07-24 00:00:00,32.1,32.7,31.9,32.2,16669
2017-07-21 00:00:00,32.8,32.9,32.3,32.3,22852
2017-07-20 00:00:00,32.6,32.9,32.2,32.4,27140
2017-07-19 00:00:00,32.7,32.9,32.5,32.8,20158
2017-07-18 00:00:00,33.2,34.7,32.8,33.2,39256
2017-07-17 00:00:00,33.1,33.4,32.4,33.1,22719
2017-07-14 00:00:00,33.0,33.4,32.7,33.0,20479
2017-07-13 00:00:00,34.4,35.0,32.7,32.8,48358
2017-07-12 00:00:00,34.2,34.4,33.5,34.2,28494
2017-07-11 00:00:00,34.0,34.6,34.0,34.4,53624
2017-07-10 00:00:00,34.8,35.3,34.1,35.0,25393
2017-07-07 00:00:00,36.0,36.0,34.7,34.7,48949
2017-07-06 00:00:00,36.0,36.0,35.5,35.5,16851
2017-07-05 00:00:00,36.5,36.5,35.3,35.5,30136
2017-07-04 00:00:00,35.3,36.4,35.3,36.2,20987
2017-07-03 00:00:00,36.0,36.6,35.3,35.3,38437
2017-06-30 00:00:00,37.1,37.6,36.0,36.0,52594
2017-06-29 00:00:00,37.0,37.5,36.5,36.8,25738
2017-06-28 00:00:00,37.7,37.8,37.1,37.5,12637
2017-06-27 00:00:00,37.4,37.9,37.3,37.6,19988
2017-06-26 00:00:00,38.1,38.1,37.4,37.6,17937
2017-06-23 00:00:00,,38.1,38.1,38.1,0
2017-06-22 00:00:00,38.0,38.2,37.7,38.1,15760
2017-06-21 00:00:00,37.4,37.8,37.2,37.5,15348
2017-06-20 00:00:00,37.4,37.7,37.2,37.2,29596
