Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,70.75,72.75,70.5,72.25,17499
2017-09-07 00:00:00,70.25,71.0,69.25,70.75,13369
2017-09-06 00:00:00,71.0,72.0,70.5,71.0,20712
2017-09-04 00:00:00,71.25,72.75,71.25,72.0,10725
2017-09-01 00:00:00,71.75,73.25,71.25,72.5,26342
2017-08-31 00:00:00,71.25,72.25,71.0,72.0,39957
2017-08-30 00:00:00,72.25,73.25,70.75,71.25,63739
2017-08-29 00:00:00,72.75,73.75,70.25,72.25,33151
2017-08-28 00:00:00,73.75,73.75,69.5,72.25,45962
2017-08-25 00:00:00,74.25,75.75,74.0,74.0,12683
2017-08-24 00:00:00,75.0,76.25,74.0,74.75,21690
2017-08-23 00:00:00,77.0,78.25,74.25,75.0,29265
2017-08-22 00:00:00,75.5,77.5,75.5,76.5,36121
2017-08-21 00:00:00,75.75,77.5,74.25,75.0,37140
2017-08-18 00:00:00,71.75,75.0,70.5,74.75,63912
2017-08-17 00:00:00,71.0,71.0,69.25,70.0,15950
2017-08-16 00:00:00,70.5,72.5,70.25,70.5,48927
2017-08-15 00:00:00,67.25,69.5,66.25,69.5,45072
2017-08-14 00:00:00,65.0,67.25,64.5,67.25,19786
2017-08-11 00:00:00,66.75,66.75,65.75,66.0,10857
2017-08-10 00:00:00,67.25,67.25,66.25,66.75,8622
2017-08-09 00:00:00,67.5,67.5,66.5,67.5,26913
2017-08-08 00:00:00,69.25,69.25,67.0,67.5,25259
2017-08-07 00:00:00,66.5,69.75,64.75,68.0,30705
2017-08-04 00:00:00,67.75,68.0,66.75,66.75,10311
2017-08-03 00:00:00,66.0,67.5,66.0,66.75,15335
2017-08-02 00:00:00,67.75,68.25,66.0,66.0,30795
2017-08-01 00:00:00,66.75,67.75,66.75,66.75,20790
2017-07-31 00:00:00,68.0,69.0,66.25,67.0,20591
2017-07-28 00:00:00,68.0,68.5,66.5,68.0,8178
2017-07-27 00:00:00,68.5,69.5,67.25,67.75,20079
2017-07-26 00:00:00,69.25,70.0,68.25,69.0,10627
2017-07-25 00:00:00,69.25,71.5,69.0,69.75,14880
2017-07-24 00:00:00,71.25,71.25,69.25,70.5,17595
2017-07-21 00:00:00,71.25,72.5,70.0,71.25,38399
2017-07-20 00:00:00,73.5,73.5,71.25,71.25,10948
2017-07-19 00:00:00,72.75,73.25,72.25,73.0,22747
2017-07-18 00:00:00,73.25,73.75,73.0,73.5,12817
2017-07-17 00:00:00,73.0,74.5,73.0,73.75,19977
2017-07-14 00:00:00,74.75,75.5,73.5,74.25,21226
2017-07-13 00:00:00,74.0,74.75,72.75,73.75,11188
2017-07-12 00:00:00,73.25,74.75,73.25,73.5,17027
2017-07-11 00:00:00,74.25,74.75,72.75,73.25,18955
2017-07-10 00:00:00,73.5,74.25,72.5,73.0,17590
2017-07-07 00:00:00,71.0,73.75,70.5,73.25,26970
