Dates,Open,High,Low,Close,Volume
2017-04-07 00:00:00,,133.5,133.5,133.5,0
2017-04-06 00:00:00,,133.5,133.5,133.5,0
2017-04-05 00:00:00,,133.5,133.5,133.5,0
2017-04-04 00:00:00,,133.5,133.5,133.5,0
2017-04-03 00:00:00,,133.5,133.5,133.5,0
2017-03-31 00:00:00,133.75,134.0,132.5,133.5,1376
2017-03-30 00:00:00,133.0,135.0,133.0,134.0,4048
2017-03-29 00:00:00,134.5,135.5,132.25,132.25,1582
2017-03-28 00:00:00,135.5,136.75,134.0,134.5,1785
2017-03-27 00:00:00,137.25,137.25,135.0,136.25,278
2017-03-24 00:00:00,141.0,141.0,138.25,138.25,511
2017-03-23 00:00:00,138.0,140.0,138.0,138.0,594
2017-03-22 00:00:00,137.0,137.75,134.5,137.75,261
2017-03-21 00:00:00,138.0,140.0,136.75,137.0,2592
2017-03-20 00:00:00,138.5,139.5,135.5,137.5,6155
2017-03-17 00:00:00,144.5,144.5,135.75,140.0,5221
2017-03-16 00:00:00,145.0,147.75,144.5,144.5,1611
2017-03-15 00:00:00,146.5,148.5,146.0,147.0,1179
2017-03-14 00:00:00,150.0,150.0,147.25,149.25,2256
2017-03-13 00:00:00,148.75,150.0,148.75,148.75,920
2017-03-10 00:00:00,148.5,149.25,149.25,149.25,245
2017-03-09 00:00:00,145.75,148.0,145.75,148.0,2460
2017-03-08 00:00:00,148.5,149.25,146.5,148.0,2351
2017-03-07 00:00:00,146.5,150.0,146.0,150.0,6698
2017-03-06 00:00:00,151.5,151.5,147.5,148.0,1556
2017-03-03 00:00:00,152.0,148.75,148.75,148.75,2507
2017-03-02 00:00:00,149.75,149.75,147.0,149.25,744
2017-03-01 00:00:00,148.5,148.75,144.5,144.5,7763
2017-02-28 00:00:00,147.5,148.75,146.0,146.0,17836
2017-02-27 00:00:00,145.0,147.5,145.0,147.5,3619
2017-02-24 00:00:00,145.5,145.5,144.0,144.5,2170
2017-02-23 00:00:00,144.5,146.0,144.5,145.5,987
2017-02-22 00:00:00,144.5,144.5,142.5,144.0,1579
2017-02-21 00:00:00,146.25,146.25,144.0,144.5,2700
2017-02-20 00:00:00,145.25,147.0,144.75,146.0,9155
2017-02-17 00:00:00,143.0,143.5,139.75,143.5,5702
2017-02-16 00:00:00,143.0,145.75,140.75,140.75,49891
2017-02-15 00:00:00,141.25,143.75,141.25,141.25,13711
2017-02-14 00:00:00,138.5,139.0,137.5,139.0,2544
2017-02-13 00:00:00,136.25,138.0,136.25,137.0,726
2017-02-10 00:00:00,135.25,138.5,135.0,138.0,3666
2017-02-09 00:00:00,134.5,138.5,134.5,135.25,1758
2017-02-08 00:00:00,134.75,136.0,133.0,134.5,4189
2017-02-07 00:00:00,135.0,137.0,134.25,134.5,3317
2017-02-06 00:00:00,138.0,138.0,135.0,135.25,2284
2017-02-03 00:00:00,137.0,137.5,134.75,134.75,1353
2017-02-02 00:00:00,138.0,138.0,134.0,136.0,7194
2017-02-01 00:00:00,138.5,140.0,136.5,137.5,3102
2017-01-31 00:00:00,139.0,139.0,136.5,138.5,7802
2017-01-30 00:00:00,142.75,143.0,138.75,140.0,2370
2017-01-27 00:00:00,142.75,145.25,141.75,141.75,3763
2017-01-26 00:00:00,142.25,144.0,142.25,143.25,2124
2017-01-25 00:00:00,145.0,146.0,142.75,143.75,6746
2017-01-24 00:00:00,144.25,146.0,144.25,145.5,1071
2017-01-23 00:00:00,143.5,146.0,143.5,145.25,5128
2017-01-20 00:00:00,143.25,144.75,141.5,143.0,5071
2017-01-19 00:00:00,139.25,143.25,138.5,143.25,4651
2017-01-18 00:00:00,141.25,141.25,139.0,140.0,8802
2017-01-17 00:00:00,143.0,145.0,141.25,141.25,1750
2017-01-16 00:00:00,143.0,146.0,143.0,143.0,2759
