Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,75.9,75.9,75.0,75.3,168565
2017-09-07 00:00:00,75.75,76.2,75.45,75.95,172617
2017-09-06 00:00:00,76.7,76.8,75.3,75.55,268852
2017-09-04 00:00:00,75.65,77.0,75.65,76.0,113618
2017-09-01 00:00:00,75.9,77.65,75.75,77.4,296368
2017-08-31 00:00:00,75.0,76.15,74.9,75.95,312522
2017-08-30 00:00:00,74.85,75.7,74.85,75.15,263697
2017-08-29 00:00:00,75.05,75.25,74.15,74.8,368256
2017-08-28 00:00:00,76.0,76.0,74.7,75.5,228043
2017-08-25 00:00:00,76.0,76.85,75.7,76.25,583339
2017-08-24 00:00:00,76.8,76.95,75.9,76.2,259649
2017-08-23 00:00:00,77.95,77.95,76.8,77.05,300105
2017-08-22 00:00:00,76.55,78.15,76.55,78.0,206658
2017-08-21 00:00:00,77.1,78.35,76.8,77.05,466789
2017-08-18 00:00:00,77.05,77.6,76.35,77.35,215155
2017-08-17 00:00:00,78.5,79.0,77.75,77.75,249537
2017-08-16 00:00:00,77.6,78.6,77.6,78.55,170734
2017-08-15 00:00:00,78.05,78.5,77.15,77.6,173491
2017-08-14 00:00:00,77.0,79.15,77.0,77.9,212994
2017-08-11 00:00:00,78.0,78.0,76.1,77.0,339352
2017-08-10 00:00:00,79.1,79.35,78.3,78.3,160535
2017-08-09 00:00:00,78.9,79.15,78.2,79.05,190811
2017-08-08 00:00:00,78.7,79.3,78.55,79.0,240185
2017-08-07 00:00:00,79.0,79.45,78.35,78.8,224537
2017-08-04 00:00:00,78.8,79.2,78.2,79.0,274062
2017-08-03 00:00:00,78.0,79.35,78.0,78.8,327197
2017-08-02 00:00:00,78.25,78.95,78.0,78.5,391442
2017-08-01 00:00:00,77.75,78.45,77.65,78.25,185205
2017-07-31 00:00:00,77.7,78.5,77.6,77.9,223891
2017-07-28 00:00:00,78.5,78.5,77.1,77.7,316785
2017-07-27 00:00:00,78.2,79.05,78.2,78.8,280309
2017-07-26 00:00:00,78.4,78.8,77.95,78.3,326749
2017-07-25 00:00:00,78.4,78.7,77.55,78.25,365135
2017-07-24 00:00:00,79.0,79.75,78.5,78.5,529476
2017-07-21 00:00:00,77.8,79.4,77.55,79.0,636969
2017-07-20 00:00:00,76.5,78.15,76.5,77.8,636162
2017-07-19 00:00:00,76.3,77.25,76.2,76.85,617607
2017-07-18 00:00:00,75.05,77.1,74.5,76.6,654530
2017-07-17 00:00:00,76.95,77.05,74.7,75.4,419989
2017-07-14 00:00:00,76.0,77.65,76.0,76.95,777337
2017-07-13 00:00:00,72.0,76.45,72.0,76.25,1487519
2017-07-12 00:00:00,71.35,71.8,71.2,71.6,849842
2017-07-11 00:00:00,71.95,72.4,71.2,71.45,276047
2017-07-10 00:00:00,72.25,72.5,71.2,71.85,312671
2017-07-07 00:00:00,72.3,72.35,71.45,72.05,341331
2017-07-06 00:00:00,73.35,73.35,71.15,72.0,402484
2017-07-05 00:00:00,72.95,73.45,72.45,73.15,361571
2017-07-04 00:00:00,73.1,73.45,72.6,73.25,2295172
2017-07-03 00:00:00,73.5,73.95,72.9,73.5,639788
2017-06-30 00:00:00,72.5,74.35,72.25,73.65,431163
2017-06-29 00:00:00,74.5,74.5,72.15,72.75,461182
2017-06-28 00:00:00,74.25,74.6,73.3,74.3,441704
2017-06-27 00:00:00,74.0,74.85,73.5,74.5,477025
2017-06-26 00:00:00,74.65,75.85,73.8,74.1,389965
2017-06-23 00:00:00,,74.65,74.65,74.65,0
2017-06-22 00:00:00,75.0,75.2,74.25,74.65,270878
2017-06-21 00:00:00,75.7,75.75,74.35,74.85,389000
2017-06-20 00:00:00,73.45,75.7,73.2,75.7,826923
2017-06-19 00:00:00,72.8,73.75,72.8,73.1,314211
2017-06-16 00:00:00,71.8,72.95,71.8,72.5,960574
2017-06-15 00:00:00,71.75,72.45,71.1,71.85,686879
2017-06-14 00:00:00,71.05,72.3,71.0,71.75,899784
2017-06-13 00:00:00,69.85,71.5,69.3,71.0,431864
2017-06-12 00:00:00,71.3,71.3,69.05,69.6,371158
2017-06-09 00:00:00,71.5,71.95,71.0,71.55,316344
2017-06-08 00:00:00,71.1,72.1,71.05,71.4,437030
2017-06-07 00:00:00,71.05,71.35,70.35,70.85,316794
2017-06-06 00:00:00,,70.9,70.9,70.9,0
2017-06-05 00:00:00,70.9,71.35,70.55,70.9,237387
2017-06-02 00:00:00,71.4,71.6,70.6,70.9,412464
2017-06-01 00:00:00,70.9,71.45,70.7,71.0,453507
2017-05-31 00:00:00,71.7,71.75,70.4,70.95,1070279
2017-05-30 00:00:00,71.7,71.95,71.05,71.75,364501
2017-05-29 00:00:00,72.35,72.35,71.3,71.45,296063
2017-05-26 00:00:00,71.45,72.45,71.4,72.0,279054
2017-05-24 00:00:00,70.65,71.4,70.6,71.2,220031
2017-05-23 00:00:00,70.9,71.35,70.3,71.3,392634
2017-05-22 00:00:00,71.15,71.45,69.0,70.9,380395
2017-05-19 00:00:00,70.0,71.7,69.85,71.3,451197
2017-05-18 00:00:00,70.9,70.9,69.6,70.3,677699
2017-05-17 00:00:00,71.25,71.6,70.65,70.95,420783
2017-05-16 00:00:00,71.5,71.7,69.3,71.25,562147
2017-05-15 00:00:00,73.0,73.3,71.15,71.5,444272
2017-05-12 00:00:00,71.0,73.0,73.0,73.0,599014
2017-05-11 00:00:00,71.25,71.25,70.05,70.8,527176
2017-05-10 00:00:00,71.1,71.25,70.65,71.05,931194
2017-05-09 00:00:00,70.25,71.3,70.25,71.05,473858
2017-05-08 00:00:00,68.7,70.0,68.3,69.9,410641
2017-05-05 00:00:00,68.05,69.05,67.9,68.9,242929
2017-05-04 00:00:00,67.6,68.0,66.2,68.0,394570
2017-05-03 00:00:00,69.7,69.7,68.3,68.75,508015
2017-05-02 00:00:00,68.2,69.55,67.5,69.45,605716
2017-05-01 00:00:00,,68.35,68.35,68.35,0
2017-04-28 00:00:00,66.6,68.75,66.3,68.35,907193
2017-04-27 00:00:00,65.75,66.5,65.1,66.4,949951
2017-04-26 00:00:00,67.6,67.6,65.45,65.85,1250299
2017-04-25 00:00:00,67.1,67.95,66.35,67.5,1074600
2017-04-24 00:00:00,66.9,67.1,64.85,67.1,1434924
2017-04-21 00:00:00,68.75,68.75,66.1,66.1,1840258
2017-04-20 00:00:00,69.0,70.75,67.6,68.75,2559496
2017-04-19 00:00:00,72.0,72.5,71.75,72.2,632964
2017-04-18 00:00:00,72.0,73.5,71.55,72.0,686017
2017-04-13 00:00:00,72.0,72.25,71.4,72.0,239543
2017-04-12 00:00:00,70.95,72.4,70.4,72.0,574027
2017-04-11 00:00:00,72.0,72.0,70.8,70.95,310477
2017-04-10 00:00:00,71.5,72.2,71.4,72.15,333555
2017-04-07 00:00:00,70.8,71.6,70.4,71.35,378152
2017-04-06 00:00:00,71.0,71.2,70.25,70.75,424793
2017-04-05 00:00:00,71.85,71.9,70.8,71.25,787161
2017-04-04 00:00:00,71.4,72.7,71.3,71.95,488798
2017-04-03 00:00:00,72.1,72.55,71.8,72.0,394858
2017-03-31 00:00:00,71.25,72.0,70.35,72.0,539469
2017-03-30 00:00:00,69.9,71.15,69.5,71.15,603951
2017-03-29 00:00:00,69.0,69.7,68.65,69.55,557625
2017-03-28 00:00:00,68.6,69.0,68.1,68.8,1020559
2017-03-27 00:00:00,68.65,69.55,68.2,69.0,509126
2017-03-24 00:00:00,70.6,70.75,68.6,69.0,572562
2017-03-23 00:00:00,69.7,70.95,69.25,70.4,576015
2017-03-22 00:00:00,70.5,70.65,69.4,69.9,557022
2017-03-21 00:00:00,73.25,73.3,71.0,71.05,442123
2017-03-20 00:00:00,72.55,73.45,72.25,73.05,1328983
2017-03-17 00:00:00,72.65,72.95,72.0,72.3,504267
2017-03-16 00:00:00,73.05,73.2,72.0,72.75,490248
2017-03-15 00:00:00,73.95,74.0,72.8,72.9,601283
2017-03-14 00:00:00,74.35,74.5,73.25,73.8,547929
2017-03-13 00:00:00,74.75,74.85,73.15,74.75,453177
2017-03-10 00:00:00,75.35,74.6,74.6,74.6,400178
2017-03-09 00:00:00,75.25,75.5,74.65,75.1,304866
2017-03-08 00:00:00,75.45,75.55,74.65,75.35,444278
2017-03-07 00:00:00,74.45,75.7,74.25,75.45,397504
2017-03-06 00:00:00,74.75,74.9,74.1,74.4,357575
2017-03-03 00:00:00,76.0,74.75,74.75,74.75,253724
2017-03-02 00:00:00,76.25,76.65,75.45,76.0,314154
2017-03-01 00:00:00,75.5,76.3,75.0,76.1,364854
2017-02-28 00:00:00,75.0,75.5,74.5,75.4,267108
2017-02-27 00:00:00,75.25,75.85,74.65,74.9,404670
2017-02-24 00:00:00,76.2,76.25,75.1,75.25,341528
2017-02-23 00:00:00,76.5,76.5,75.5,75.95,389020
2017-02-22 00:00:00,77.2,77.25,76.05,76.5,465343
2017-02-21 00:00:00,77.65,77.65,76.55,77.1,531415
2017-02-20 00:00:00,75.65,77.5,74.2,77.5,1247211
2017-02-17 00:00:00,76.3,76.5,74.15,74.85,1407393
2017-02-16 00:00:00,78.9,79.0,74.8,76.2,2406190
2017-02-15 00:00:00,77.0,77.5,75.0,75.65,860764
2017-02-14 00:00:00,76.35,77.5,74.8,76.5,1416504
2017-02-13 00:00:00,75.0,76.95,74.65,75.8,759098
2017-02-10 00:00:00,74.0,74.9,73.65,74.3,618909
2017-02-09 00:00:00,73.2,73.9,72.95,73.75,335122
2017-02-08 00:00:00,73.9,73.9,72.85,72.95,336970
2017-02-07 00:00:00,72.55,74.2,72.5,73.25,375595
2017-02-06 00:00:00,73.5,73.5,72.0,72.5,394914
2017-02-03 00:00:00,74.0,74.1,72.3,72.75,414640
2017-02-02 00:00:00,73.6,73.9,73.2,73.55,510642
2017-02-01 00:00:00,71.95,74.4,71.2,73.5,1516163
2017-01-31 00:00:00,71.0,71.25,70.0,70.25,442052
2017-01-30 00:00:00,71.7,72.0,70.6,70.75,387751
2017-01-27 00:00:00,72.95,73.25,71.45,71.5,1125402
2017-01-26 00:00:00,71.35,73.25,71.2,72.65,810985
2017-01-25 00:00:00,71.1,71.35,70.55,70.95,885064
2017-01-24 00:00:00,71.6,71.9,70.75,70.9,373683
2017-01-23 00:00:00,72.4,72.6,71.15,71.6,714551
2017-01-20 00:00:00,73.1,73.1,72.25,72.4,321350
2017-01-19 00:00:00,73.95,73.95,72.6,72.8,728934
2017-01-18 00:00:00,73.1,74.35,72.6,73.15,910224
2017-01-17 00:00:00,73.1,73.4,72.05,72.5,631291
2017-01-16 00:00:00,73.1,73.5,72.65,72.9,1387555
2017-01-13 00:00:00,71.5,71.9,70.7,71.65,389369
2017-01-12 00:00:00,71.55,71.85,70.5,71.3,337867
2017-01-11 00:00:00,70.3,71.9,70.2,71.25,368683
2017-01-10 00:00:00,70.9,71.1,70.05,70.3,355569
2017-01-09 00:00:00,69.8,71.0,68.6,70.45,430956
2017-01-06 00:00:00,,69.55,69.55,69.55,0
2017-01-05 00:00:00,69.15,70.75,69.0,69.55,450138
2017-01-04 00:00:00,70.5,70.75,69.0,69.15,342682
2017-01-03 00:00:00,71.5,72.0,70.05,70.2,425417
2017-01-02 00:00:00,70.3,71.4,70.0,71.15,220801
2016-12-30 00:00:00,70.1,71.35,69.3,70.3,252722
2016-12-29 00:00:00,70.0,70.2,68.75,70.1,344540
2016-12-28 00:00:00,68.9,69.95,68.2,69.95,281706
2016-12-27 00:00:00,68.05,68.9,67.4,68.9,320196
2016-12-23 00:00:00,68.2,68.8,67.7,68.05,230539
2016-12-22 00:00:00,68.2,68.45,67.0,68.2,436967
2016-12-21 00:00:00,69.0,69.5,67.5,67.75,567800
2016-12-20 00:00:00,69.25,70.1,68.05,68.55,1083893
2016-12-19 00:00:00,70.1,70.2,68.3,69.0,1266239
2016-12-16 00:00:00,66.0,70.55,66.0,70.1,1321674
2016-12-15 00:00:00,66.0,66.45,65.5,66.2,456814
2016-12-14 00:00:00,67.2,68.0,65.75,65.95,692365
2016-12-13 00:00:00,65.8,67.5,65.65,67.05,851179
2016-12-12 00:00:00,66.95,67.0,65.0,65.85,491191
