Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,42.3,42.4,41.9,42.0,243607
2017-09-07 00:00:00,42.3,42.7,42.0,42.1,225238
2017-09-06 00:00:00,44.0,44.1,42.1,42.3,429321
2017-09-04 00:00:00,43.5,44.5,42.5,44.2,409667
2017-09-01 00:00:00,41.1,43.5,41.1,43.5,1262047
2017-08-31 00:00:00,39.0,39.9,39.0,39.7,158893
2017-08-30 00:00:00,38.7,39.3,38.7,39.0,151000
2017-08-29 00:00:00,39.2,39.5,38.6,38.7,159167
2017-08-28 00:00:00,39.0,39.8,39.0,39.1,121922
2017-08-25 00:00:00,39.9,40.0,39.0,39.0,134632
2017-08-24 00:00:00,39.9,40.2,39.7,39.8,167955
2017-08-23 00:00:00,39.7,40.1,39.5,39.9,187084
2017-08-22 00:00:00,38.1,39.7,38.1,39.3,268855
2017-08-21 00:00:00,37.8,38.2,37.7,38.1,87170
2017-08-18 00:00:00,38.6,38.6,37.7,37.7,203388
2017-08-17 00:00:00,38.6,38.8,38.3,38.4,141282
2017-08-16 00:00:00,39.4,39.5,38.1,38.5,383148
2017-08-15 00:00:00,39.7,39.8,39.4,39.4,125644
2017-08-14 00:00:00,39.2,39.7,39.2,39.6,103594
2017-08-11 00:00:00,39.3,39.5,39.1,39.1,215041
2017-08-10 00:00:00,39.6,39.6,39.3,39.3,128737
2017-08-09 00:00:00,39.8,39.8,39.4,39.5,170851
2017-08-08 00:00:00,40.0,40.0,39.7,39.7,178239
2017-08-07 00:00:00,39.6,40.0,39.6,40.0,243392
2017-08-04 00:00:00,39.7,39.9,39.4,39.7,121049
2017-08-03 00:00:00,39.7,39.9,39.4,39.5,179674
2017-08-02 00:00:00,39.5,40.3,39.5,39.9,203822
2017-08-01 00:00:00,39.7,40.0,39.6,39.7,169393
2017-07-31 00:00:00,40.0,40.1,39.6,39.8,156400
2017-07-28 00:00:00,39.6,40.0,39.5,39.6,153120
2017-07-27 00:00:00,40.1,40.3,39.5,39.5,194145
2017-07-26 00:00:00,39.5,40.3,39.5,40.1,164241
2017-07-25 00:00:00,39.8,40.2,39.3,39.4,272824
2017-07-24 00:00:00,40.7,40.8,39.6,39.7,206066
2017-07-21 00:00:00,40.2,40.6,40.2,40.6,165078
2017-07-20 00:00:00,40.6,41.2,40.2,40.2,647744
2017-07-19 00:00:00,40.6,40.9,39.5,40.8,357238
2017-07-18 00:00:00,40.5,40.8,40.3,40.6,217755
2017-07-17 00:00:00,40.9,41.0,40.0,40.5,240628
2017-07-14 00:00:00,41.3,41.4,39.8,40.8,509163
2017-07-13 00:00:00,41.2,42.0,41.1,41.4,336834
2017-07-12 00:00:00,42.0,42.2,41.2,41.5,511736
2017-07-11 00:00:00,42.6,42.7,41.8,42.0,340815
2017-07-10 00:00:00,42.0,42.7,41.9,42.4,607459
2017-07-07 00:00:00,42.0,42.4,41.6,41.9,320121
2017-07-06 00:00:00,43.3,43.4,41.8,41.9,456079
2017-07-05 00:00:00,43.4,43.9,43.1,43.2,348751
2017-07-04 00:00:00,43.7,44.3,43.4,43.5,567441
2017-07-03 00:00:00,45.7,46.0,43.4,43.5,1157656
2017-06-30 00:00:00,45.0,47.0,43.1,45.7,1520299
2017-06-29 00:00:00,48.5,48.7,48.1,48.5,169190
2017-06-28 00:00:00,49.6,49.6,48.2,48.4,202790
2017-06-27 00:00:00,50.5,50.5,49.4,49.4,194405
2017-06-26 00:00:00,50.0,50.5,49.5,50.5,207856
2017-06-23 00:00:00,,49.4,49.4,49.4,0
2017-06-22 00:00:00,48.8,49.8,48.2,49.4,174139
2017-06-21 00:00:00,49.7,49.7,48.8,48.8,250663
2017-06-20 00:00:00,49.9,50.25,49.4,49.4,251381
2017-06-19 00:00:00,50.5,51.0,49.8,49.8,191492
2017-06-16 00:00:00,51.0,51.25,50.25,50.5,203668
2017-06-15 00:00:00,50.5,51.5,50.25,51.25,234682
2017-06-14 00:00:00,51.75,51.75,50.0,50.25,542226
2017-06-13 00:00:00,51.25,52.0,51.25,51.75,176161
2017-06-12 00:00:00,52.0,52.25,51.5,51.5,223023
2017-06-09 00:00:00,52.0,52.25,51.25,51.75,263533
2017-06-08 00:00:00,52.0,52.0,51.25,51.5,262129
2017-06-07 00:00:00,51.25,52.0,50.5,52.0,353506
2017-06-06 00:00:00,,51.25,51.25,51.25,0
2017-06-05 00:00:00,52.0,52.0,51.0,51.25,159258
2017-06-02 00:00:00,52.5,53.0,51.5,51.75,268593
2017-06-01 00:00:00,52.75,53.0,52.0,52.5,245795
2017-05-31 00:00:00,55.75,56.25,55.0,55.0,259504
2017-05-30 00:00:00,55.25,56.0,54.75,55.5,267633
2017-05-29 00:00:00,55.0,55.25,54.75,55.0,158695
2017-05-26 00:00:00,54.5,55.0,54.25,54.5,169234
2017-05-24 00:00:00,54.0,54.5,53.75,54.25,74911
2017-05-23 00:00:00,53.75,54.25,53.75,53.75,246107
2017-05-22 00:00:00,54.25,54.25,53.75,54.0,601299
2017-05-19 00:00:00,53.0,54.5,53.0,53.5,205358
2017-05-18 00:00:00,53.5,54.0,53.0,53.0,187632
2017-05-17 00:00:00,54.5,55.0,53.25,53.25,802944
2017-05-16 00:00:00,54.5,55.0,54.25,54.25,237836
2017-05-15 00:00:00,54.75,55.25,54.0,54.25,144485
2017-05-12 00:00:00,54.75,54.75,54.75,54.75,101264
2017-05-11 00:00:00,54.75,55.25,54.5,54.5,216715
2017-05-10 00:00:00,54.25,55.0,54.0,54.75,272869
2017-05-09 00:00:00,54.0,54.25,53.75,54.25,269146
2017-05-08 00:00:00,53.75,54.5,53.5,54.0,171231
2017-05-05 00:00:00,54.0,54.25,53.75,54.0,245049
2017-05-04 00:00:00,54.25,54.5,53.75,54.25,99614
2017-05-03 00:00:00,54.25,54.75,53.5,54.25,225176
2017-05-02 00:00:00,54.25,54.25,53.5,54.25,142825
2017-05-01 00:00:00,,54.0,54.0,54.0,0
2017-04-28 00:00:00,54.0,54.25,53.75,54.0,82130
2017-04-27 00:00:00,54.0,54.5,53.75,53.75,178408
2017-04-26 00:00:00,54.25,54.75,54.0,54.0,111337
2017-04-25 00:00:00,54.25,54.25,53.5,54.25,216079
2017-04-24 00:00:00,55.25,55.5,53.5,54.25,405184
2017-04-21 00:00:00,55.5,55.5,54.5,55.5,122114
2017-04-20 00:00:00,54.75,55.25,54.75,55.25,92495
2017-04-19 00:00:00,54.75,55.5,54.25,54.75,157725
2017-04-18 00:00:00,52.75,55.0,52.75,54.25,292638
2017-04-13 00:00:00,52.75,53.0,52.25,52.5,102879
2017-04-12 00:00:00,53.5,53.5,52.25,52.75,398172
2017-04-11 00:00:00,54.0,54.5,53.5,54.25,287020
2017-04-10 00:00:00,53.25,54.5,53.25,53.75,259701
2017-04-07 00:00:00,52.0,53.0,52.0,52.5,197694
2017-04-06 00:00:00,51.25,52.0,50.0,51.5,374298
2017-04-05 00:00:00,52.5,53.0,51.25,51.25,340254
2017-04-04 00:00:00,53.5,53.5,52.5,52.5,81472
2017-04-03 00:00:00,53.25,53.5,53.0,53.0,90153
2017-03-31 00:00:00,52.5,53.5,52.5,53.25,97044
2017-03-30 00:00:00,52.75,53.0,52.25,52.5,79700
2017-03-29 00:00:00,52.25,53.75,52.25,52.5,134180
2017-03-28 00:00:00,52.0,52.75,51.75,52.25,224956
2017-03-27 00:00:00,52.25,52.25,51.75,52.0,83203
2017-03-24 00:00:00,52.75,52.75,51.5,51.75,96527
2017-03-23 00:00:00,52.5,53.25,52.0,52.25,119600
2017-03-22 00:00:00,52.25,52.5,51.0,52.5,127232
2017-03-21 00:00:00,52.75,53.25,52.0,52.0,127925
2017-03-20 00:00:00,53.5,53.5,52.25,52.5,253631
2017-03-17 00:00:00,53.75,54.0,53.25,53.25,148191
2017-03-16 00:00:00,54.5,54.75,53.75,53.75,208807
2017-03-15 00:00:00,54.5,54.75,54.25,54.25,187728
2017-03-14 00:00:00,53.75,54.75,53.5,54.25,254089
2017-03-13 00:00:00,54.75,54.75,53.0,53.75,160753
2017-03-10 00:00:00,54.25,54.5,54.5,54.5,58647
2017-03-09 00:00:00,54.5,54.75,54.25,54.25,45528
2017-03-08 00:00:00,54.5,54.75,54.25,54.75,75731
2017-03-07 00:00:00,53.75,54.5,53.75,54.5,131307
2017-03-06 00:00:00,54.25,54.75,53.75,53.75,1172834
2017-03-03 00:00:00,55.25,54.25,54.25,54.25,52293
2017-03-02 00:00:00,55.5,55.75,55.0,55.25,36855
2017-03-01 00:00:00,55.25,55.5,55.0,55.5,101799
2017-02-28 00:00:00,54.5,55.25,54.5,55.25,113094
2017-02-27 00:00:00,54.0,54.5,54.0,54.25,84458
2017-02-24 00:00:00,54.25,54.5,53.75,53.75,357261
2017-02-23 00:00:00,54.0,54.75,54.0,54.25,148754
2017-02-22 00:00:00,54.5,55.0,54.0,54.25,143325
2017-02-21 00:00:00,54.5,54.75,53.75,54.5,229695
2017-02-20 00:00:00,54.25,55.0,53.25,54.75,206290
2017-02-17 00:00:00,54.5,55.0,53.75,54.0,129877
2017-02-16 00:00:00,54.75,55.0,54.25,54.5,102424
2017-02-15 00:00:00,55.0,55.25,54.0,54.75,120639
2017-02-14 00:00:00,55.75,55.75,54.5,55.0,657887
2017-02-13 00:00:00,55.5,55.75,54.5,55.75,204734
2017-02-10 00:00:00,55.25,56.0,55.25,55.5,80724
2017-02-09 00:00:00,56.0,56.25,54.25,55.25,198521
2017-02-08 00:00:00,55.75,56.0,55.5,56.0,68787
2017-02-07 00:00:00,55.0,56.0,55.0,55.5,169082
2017-02-06 00:00:00,55.25,55.5,54.5,55.0,127202
2017-02-03 00:00:00,55.0,55.5,54.25,55.0,138901
2017-02-02 00:00:00,54.75,55.0,54.25,54.5,148288
2017-02-01 00:00:00,54.5,55.0,54.25,54.25,158433
2017-01-31 00:00:00,54.0,54.75,54.0,54.0,372547
2017-01-30 00:00:00,53.25,54.25,53.0,53.75,209750
2017-01-27 00:00:00,53.5,54.0,53.0,53.0,177593
2017-01-26 00:00:00,53.0,53.5,53.0,53.25,153439
2017-01-25 00:00:00,52.75,53.25,52.5,52.75,154199
2017-01-24 00:00:00,53.25,53.25,52.25,52.75,222122
2017-01-23 00:00:00,52.75,53.25,52.25,53.25,124292
2017-01-20 00:00:00,53.0,53.25,52.5,52.5,204926
2017-01-19 00:00:00,51.75,53.0,51.5,52.5,271574
2017-01-18 00:00:00,50.75,51.5,50.5,51.5,436303
2017-01-17 00:00:00,50.5,50.75,49.8,50.5,1292081
2017-01-16 00:00:00,51.0,51.25,50.5,50.5,290537
2017-01-13 00:00:00,50.25,50.25,49.6,49.8,298205
2017-01-12 00:00:00,50.5,50.5,50.0,50.0,159224
2017-01-11 00:00:00,50.75,51.0,50.25,50.5,176642
2017-01-10 00:00:00,51.25,51.25,50.25,50.75,199239
2017-01-09 00:00:00,53.25,53.25,50.75,51.0,359734
2017-01-06 00:00:00,,53.25,53.25,53.25,0
2017-01-05 00:00:00,52.5,53.5,52.0,53.25,137292
2017-01-04 00:00:00,51.0,52.75,50.75,52.5,2121287
2017-01-03 00:00:00,52.0,52.0,50.75,50.75,492414
2017-01-02 00:00:00,51.0,51.75,50.75,51.75,160881
2016-12-30 00:00:00,51.0,51.0,50.25,50.75,167440
2016-12-29 00:00:00,50.5,51.0,50.0,51.0,185018
2016-12-28 00:00:00,51.75,52.0,50.25,50.5,405729
2016-12-27 00:00:00,50.25,52.0,50.25,51.75,122429
2016-12-23 00:00:00,50.0,50.5,49.8,50.0,221965
2016-12-22 00:00:00,50.75,51.0,49.3,49.5,506772
2016-12-21 00:00:00,51.5,52.0,50.0,50.75,889237
2016-12-20 00:00:00,56.5,56.5,51.25,51.25,948049
2016-12-19 00:00:00,55.5,56.0,54.5,55.0,217903
2016-12-16 00:00:00,55.75,56.0,54.25,55.0,370647
2016-12-15 00:00:00,52.5,56.0,52.5,55.5,1184984
2016-12-14 00:00:00,53.75,54.75,52.25,52.25,439395
2016-12-13 00:00:00,52.0,54.5,52.0,53.5,431534
2016-12-12 00:00:00,53.0,53.75,51.75,52.0,325650
2016-12-09 00:00:00,52.75,53.5,52.0,53.0,363328
2016-12-08 00:00:00,52.25,53.75,52.0,52.75,284643
2016-12-07 00:00:00,53.25,53.5,51.5,52.0,882002
2016-12-06 00:00:00,52.75,54.25,52.75,53.0,557032
2016-12-05 00:00:00,54.25,54.5,52.75,53.0,397624
2016-12-02 00:00:00,57.0,57.0,53.0,54.0,597778
2016-12-01 00:00:00,58.25,58.25,56.25,57.0,287667
2016-11-30 00:00:00,57.0,58.0,56.75,58.0,417261
2016-11-29 00:00:00,57.25,57.25,56.5,56.75,153473
2016-11-28 00:00:00,57.0,57.0,56.0,57.0,229747
2016-11-25 00:00:00,58.0,58.25,56.5,57.0,423298
2016-11-24 00:00:00,58.5,58.75,57.75,58.0,118667
2016-11-23 00:00:00,59.5,60.0,58.25,58.25,90837
2016-11-22 00:00:00,59.5,60.0,59.0,59.0,89170
2016-11-21 00:00:00,60.0,60.25,58.5,59.5,273011
2016-11-18 00:00:00,58.5,60.0,57.75,60.0,240363
2016-11-17 00:00:00,58.75,59.0,57.5,58.5,211653
2016-11-16 00:00:00,59.0,59.5,58.25,58.75,65354
2016-11-15 00:00:00,57.25,59.25,57.25,59.0,155486
2016-11-14 00:00:00,56.5,58.0,56.5,57.25,156022
2016-11-11 00:00:00,57.5,58.0,56.25,56.25,268507
2016-11-10 00:00:00,58.0,59.25,56.75,57.25,176077
2016-11-09 00:00:00,56.0,58.5,50.25,57.75,255597
2016-11-08 00:00:00,58.25,58.75,57.75,58.75,123073
2016-11-07 00:00:00,57.5,59.0,57.0,58.0,227183
2016-11-04 00:00:00,58.0,58.0,57.25,57.25,79658
2016-11-03 00:00:00,57.0,58.5,56.75,58.0,736081
2016-11-02 00:00:00,58.5,58.5,56.5,57.0,778889
2016-11-01 00:00:00,60.5,60.5,58.25,58.5,297482
2016-10-31 00:00:00,59.5,61.0,59.5,60.5,684686
2016-10-28 00:00:00,60.0,60.0,59.0,59.5,130985
2016-10-27 00:00:00,59.75,60.0,58.0,60.0,392109
2016-10-26 00:00:00,59.75,60.0,59.25,59.75,905571
2016-10-25 00:00:00,59.5,59.75,59.0,59.75,199173
2016-10-24 00:00:00,60.0,60.0,58.75,59.5,255890
2016-10-21 00:00:00,59.75,60.0,59.5,60.0,121339
2016-10-20 00:00:00,59.0,59.75,58.25,59.5,118366
2016-10-19 00:00:00,60.0,60.0,58.5,59.5,227746
2016-10-18 00:00:00,58.5,60.75,58.25,60.0,515450
2016-10-17 00:00:00,58.75,59.0,58.0,58.25,357993
2016-10-14 00:00:00,57.25,59.0,56.5,58.75,542860
2016-10-13 00:00:00,56.25,57.25,55.0,57.25,597277
2016-10-12 00:00:00,56.75,57.5,55.5,56.25,262682
2016-10-11 00:00:00,56.25,57.0,56.25,56.5,1487627
2016-10-10 00:00:00,55.0,56.25,54.75,56.0,1159604
2016-10-07 00:00:00,54.75,55.25,54.0,55.0,613991
2016-10-06 00:00:00,55.5,55.5,54.5,54.5,600383
2016-10-05 00:00:00,54.5,55.75,54.0,55.5,558739
2016-10-04 00:00:00,56.0,56.0,54.25,54.75,199616
2016-10-03 00:00:00,54.75,57.0,54.5,55.75,376171
2016-09-30 00:00:00,54.0,54.5,52.75,54.5,542797
2016-09-29 00:00:00,50.25,54.5,50.25,54.0,1463687
2016-09-28 00:00:00,50.25,50.75,49.2,50.25,902876
2016-09-27 00:00:00,47.8,47.9,46.9,47.0,975102
2016-09-26 00:00:00,47.8,47.8,47.3,47.5,158308
2016-09-23 00:00:00,48.5,48.5,47.6,47.8,414199
2016-09-22 00:00:00,49.2,49.5,48.2,48.5,225909
2016-09-21 00:00:00,48.4,49.6,48.4,49.0,145538
2016-09-20 00:00:00,48.0,48.5,47.7,48.2,214263
2016-09-19 00:00:00,48.3,48.6,47.9,48.0,148216
2016-09-16 00:00:00,48.8,49.0,47.9,48.0,208621
2016-09-15 00:00:00,50.25,50.25,48.3,48.7,3336861
2016-09-14 00:00:00,48.7,50.25,48.6,50.25,326120
2016-09-13 00:00:00,50.0,50.25,48.4,48.6,179669
2016-09-12 00:00:00,50.0,51.25,48.3,50.0,237740
2016-09-09 00:00:00,51.0,51.25,49.4,50.25,372368
