Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,179.0,180.0,176.0,180.0,1975
2017-09-07 00:00:00,179.5,180.0,177.0,178.0,1997
2017-09-06 00:00:00,179.0,180.0,179.0,179.5,2525
2017-09-04 00:00:00,192.0,192.0,186.0,186.5,1303
2017-09-01 00:00:00,189.0,192.0,185.5,185.5,2855
2017-08-31 00:00:00,183.5,189.5,183.0,189.0,1112
2017-08-30 00:00:00,178.0,181.5,178.0,181.0,2160
2017-08-29 00:00:00,183.5,183.5,176.0,178.0,2364
2017-08-28 00:00:00,178.5,183.5,178.0,183.5,743
2017-08-25 00:00:00,181.0,181.0,176.0,178.0,1355
2017-08-24 00:00:00,181.0,182.5,179.5,179.5,2470
2017-08-23 00:00:00,181.5,182.5,181.0,182.0,1069
2017-08-22 00:00:00,179.5,182.0,179.5,181.5,1801
2017-08-21 00:00:00,181.0,185.5,179.0,179.0,3792
2017-08-18 00:00:00,180.0,182.0,178.0,182.0,29097
2017-08-17 00:00:00,187.5,188.0,180.0,180.5,4247
2017-08-16 00:00:00,187.0,200.0,187.0,189.5,50884
2017-08-15 00:00:00,185.5,193.0,185.5,187.0,1407
2017-08-14 00:00:00,190.5,191.0,186.0,187.5,1394
2017-08-11 00:00:00,195.0,195.0,188.5,189.5,1695
2017-08-10 00:00:00,196.0,199.0,195.0,195.0,935
2017-08-09 00:00:00,204.0,205.5,195.0,195.0,2942
2017-08-08 00:00:00,194.5,209.5,194.5,202.5,2072
2017-08-07 00:00:00,192.0,196.0,192.0,194.5,3482
2017-08-04 00:00:00,190.0,192.5,190.0,191.0,573
2017-08-03 00:00:00,189.0,194.0,189.0,192.5,2382
2017-08-02 00:00:00,184.0,190.0,182.5,188.5,6887
2017-08-01 00:00:00,177.0,185.0,173.5,178.0,4762
2017-07-31 00:00:00,180.0,180.0,173.5,177.0,3265
2017-07-28 00:00:00,180.0,182.5,177.0,180.0,1676
2017-07-27 00:00:00,181.0,182.0,180.0,180.0,5346
2017-07-26 00:00:00,180.0,184.0,180.0,181.0,1707
2017-07-25 00:00:00,180.5,181.5,180.0,181.5,3240
2017-07-24 00:00:00,180.0,182.5,180.0,180.5,5103
2017-07-21 00:00:00,180.5,183.0,180.0,180.0,3742
2017-07-20 00:00:00,185.0,185.0,180.0,180.0,3217
2017-07-19 00:00:00,183.5,183.5,180.0,181.5,3880
2017-07-18 00:00:00,187.0,189.5,184.0,184.0,1156
2017-07-17 00:00:00,184.0,188.5,184.0,186.5,4185
2017-07-14 00:00:00,196.0,196.0,184.0,184.0,4736
2017-07-13 00:00:00,195.0,200.0,192.0,196.0,5998
2017-07-12 00:00:00,193.5,197.5,193.0,197.5,1814
2017-07-11 00:00:00,197.0,200.0,193.0,193.0,1112
2017-07-10 00:00:00,196.5,197.0,193.5,197.0,697
2017-07-07 00:00:00,193.0,196.0,191.0,194.5,1208
2017-07-06 00:00:00,198.0,199.0,193.0,193.0,674
2017-07-05 00:00:00,190.0,200.0,190.0,199.0,1182
2017-07-04 00:00:00,196.0,196.0,187.5,189.0,4585
2017-07-03 00:00:00,194.0,196.0,194.0,196.0,1514
2017-06-30 00:00:00,198.5,198.5,194.0,194.0,876
2017-06-29 00:00:00,199.0,203.0,195.0,195.5,4437
2017-06-28 00:00:00,197.0,200.5,197.0,199.0,8990
2017-06-27 00:00:00,197.0,201.5,194.5,201.0,3459
2017-06-26 00:00:00,202.0,202.0,197.0,197.0,6516
2017-06-23 00:00:00,,202.0,202.0,202.0,0
2017-06-22 00:00:00,203.0,204.0,200.0,202.0,2920
2017-06-21 00:00:00,203.5,203.5,201.0,202.5,1435
2017-06-20 00:00:00,202.5,205.5,200.5,203.5,4425
2017-06-19 00:00:00,201.5,206.0,200.0,202.5,6996
2017-06-16 00:00:00,205.0,207.0,202.0,202.0,8152
2017-06-15 00:00:00,212.0,214.0,210.0,210.0,2201
2017-06-14 00:00:00,210.0,214.0,209.0,214.0,1893
2017-06-13 00:00:00,214.0,214.5,209.5,213.0,3580
2017-06-12 00:00:00,217.0,218.0,212.5,217.0,3277
2017-06-09 00:00:00,214.0,218.0,214.0,217.0,8774
2017-06-08 00:00:00,209.5,214.0,208.0,214.0,3999
2017-06-07 00:00:00,204.5,210.0,204.5,207.0,1518
2017-06-06 00:00:00,,204.5,204.5,204.5,0
2017-06-05 00:00:00,209.5,209.5,203.0,204.5,4242
2017-06-02 00:00:00,205.0,210.0,205.0,210.0,3561
2017-06-01 00:00:00,203.0,205.0,201.5,205.0,2468
2017-05-31 00:00:00,201.0,203.0,200.0,203.0,1442
2017-05-30 00:00:00,200.0,201.0,197.5,201.0,3147
2017-05-29 00:00:00,200.0,204.5,200.0,201.0,4407
2017-05-26 00:00:00,198.0,199.0,198.0,199.0,2088
2017-05-24 00:00:00,197.0,200.0,197.0,198.0,265
