Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,133.25,134.75,133.25,134.25,13175
2017-09-07 00:00:00,134.25,134.75,133.25,133.5,21793
2017-09-06 00:00:00,135.25,135.25,133.25,134.25,24089
2017-09-04 00:00:00,139.0,139.5,136.75,137.25,13343
2017-09-01 00:00:00,137.75,140.25,137.75,139.5,15165
2017-08-31 00:00:00,137.75,139.0,136.5,136.5,17671
2017-08-30 00:00:00,137.0,137.75,136.5,137.25,11822
2017-08-29 00:00:00,138.0,138.0,134.75,136.5,21456
2017-08-28 00:00:00,137.75,140.75,137.25,138.75,14078
2017-08-25 00:00:00,139.0,139.25,137.5,138.0,15100
2017-08-24 00:00:00,138.0,138.75,137.0,138.5,15427
2017-08-23 00:00:00,138.5,139.25,136.75,138.25,10799
2017-08-22 00:00:00,137.75,138.5,137.0,138.25,15958
2017-08-21 00:00:00,137.5,138.25,136.5,137.5,15143
2017-08-18 00:00:00,139.0,139.5,135.75,138.25,26350
2017-08-17 00:00:00,138.75,140.0,138.5,139.0,14028
2017-08-16 00:00:00,137.25,140.75,137.25,138.5,10331
2017-08-15 00:00:00,140.0,141.0,137.0,137.0,37979
2017-08-14 00:00:00,139.75,142.0,139.5,140.25,31909
2017-08-11 00:00:00,143.5,143.5,139.25,139.25,24262
2017-08-10 00:00:00,146.25,147.75,143.0,143.75,35550
2017-08-09 00:00:00,149.25,149.5,146.0,146.75,16765
2017-08-08 00:00:00,149.0,150.5,149.0,149.25,15591
2017-08-07 00:00:00,151.0,151.5,148.5,149.0,22179
2017-08-04 00:00:00,150.0,151.5,148.0,149.5,24297
2017-08-03 00:00:00,148.0,151.0,147.75,150.5,32497
2017-08-02 00:00:00,144.5,148.0,142.25,147.5,41201
2017-08-01 00:00:00,143.75,145.0,142.25,143.0,30355
2017-07-31 00:00:00,144.5,147.25,142.5,143.75,16425
2017-07-28 00:00:00,143.25,146.0,141.5,144.5,30567
2017-07-27 00:00:00,143.75,146.0,141.0,143.5,28069
2017-07-26 00:00:00,145.0,148.5,143.0,143.75,53590
2017-07-25 00:00:00,142.0,148.5,141.75,145.5,37366
2017-07-24 00:00:00,144.0,145.5,141.25,142.25,28978
2017-07-21 00:00:00,146.5,146.5,142.5,144.0,14340
2017-07-20 00:00:00,148.25,151.0,145.0,146.25,26437
2017-07-19 00:00:00,150.0,150.5,148.5,148.75,16317
2017-07-18 00:00:00,149.0,151.0,148.25,150.5,17752
2017-07-17 00:00:00,149.5,151.0,149.5,149.75,24629
2017-07-14 00:00:00,150.0,151.0,149.75,150.0,13416
2017-07-13 00:00:00,151.5,151.5,149.75,149.75,24440
2017-07-12 00:00:00,149.25,152.0,146.25,152.0,37953
2017-07-11 00:00:00,153.5,153.5,148.5,148.5,32854
2017-07-10 00:00:00,153.0,154.0,152.5,153.0,16162
2017-07-07 00:00:00,150.0,153.0,150.0,153.0,13948
2017-07-06 00:00:00,151.0,151.5,150.0,150.0,9011
2017-07-05 00:00:00,152.0,153.5,150.0,151.0,20966
2017-07-04 00:00:00,153.5,155.0,151.0,152.0,12045
2017-07-03 00:00:00,154.0,156.5,152.0,153.5,23125
2017-06-30 00:00:00,153.0,155.0,150.5,154.5,24829
