Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,30.8,30.8,30.2,30.6,90043
2017-09-07 00:00:00,31.2,31.9,30.5,31.0,77767
2017-09-06 00:00:00,31.8,32.4,31.3,31.4,67614
2017-09-04 00:00:00,32.1,32.1,31.5,31.6,37041
2017-09-01 00:00:00,31.9,32.9,31.0,32.3,176099
2017-08-31 00:00:00,32.2,32.8,31.7,32.0,36961
2017-08-30 00:00:00,32.1,32.6,31.8,32.2,44870
2017-08-29 00:00:00,33.1,33.1,31.9,32.1,56465
2017-08-28 00:00:00,34.1,34.4,32.4,33.1,123673
2017-08-25 00:00:00,34.3,34.5,34.0,34.5,33735
2017-08-24 00:00:00,34.6,34.7,33.9,34.4,43682
2017-08-23 00:00:00,35.0,35.6,34.4,34.7,28981
2017-08-22 00:00:00,35.3,35.8,34.8,35.0,43424
2017-08-21 00:00:00,34.6,35.0,34.5,34.9,36534
2017-08-18 00:00:00,34.5,34.6,34.0,34.5,53632
2017-08-17 00:00:00,35.0,35.3,34.2,34.4,73415
2017-08-16 00:00:00,35.0,35.0,34.5,34.7,54219
2017-08-15 00:00:00,34.9,35.4,34.1,35.1,58197
2017-08-14 00:00:00,35.2,35.6,34.6,34.9,41151
2017-08-11 00:00:00,36.0,36.0,34.7,35.3,113841
2017-08-10 00:00:00,37.5,37.5,35.8,36.2,129279
2017-08-09 00:00:00,38.0,38.0,35.5,37.2,401807
2017-08-08 00:00:00,33.7,37.9,32.8,37.5,849204
2017-08-07 00:00:00,32.3,33.6,32.2,33.3,94296
2017-08-04 00:00:00,33.2,34.1,32.3,32.3,153372
2017-08-03 00:00:00,36.2,37.3,33.5,33.9,388592
2017-08-02 00:00:00,34.0,36.2,32.5,36.2,855400
2017-08-01 00:00:00,29.2,29.7,28.9,29.5,68968
2017-07-31 00:00:00,27.7,29.8,27.2,29.2,131120
2017-07-28 00:00:00,27.5,27.8,27.1,27.8,22535
2017-07-27 00:00:00,27.3,27.8,27.3,27.8,22068
2017-07-26 00:00:00,27.8,28.1,27.3,27.8,25197
