Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,49.0,49.5,48.8,49.0,30794
2017-09-07 00:00:00,49.2,49.4,49.0,49.2,17631
2017-09-06 00:00:00,49.0,49.4,48.9,49.2,225908
2017-09-04 00:00:00,49.2,49.3,49.0,49.3,28132
2017-09-01 00:00:00,49.0,49.6,48.8,49.3,121466
2017-08-31 00:00:00,51.0,51.0,49.5,49.8,3876
2017-08-30 00:00:00,49.7,50.5,49.6,49.6,12200
2017-08-29 00:00:00,49.2,49.9,49.0,49.7,15413
2017-08-28 00:00:00,49.4,49.7,49.1,49.6,9754
2017-08-25 00:00:00,50.0,50.0,49.2,49.5,8758
2017-08-24 00:00:00,50.0,50.5,49.5,50.0,22490
2017-08-23 00:00:00,50.25,50.75,49.7,50.5,8964
2017-08-22 00:00:00,50.5,51.0,49.6,50.75,20597
2017-08-21 00:00:00,50.75,51.0,50.0,51.0,15166
2017-08-18 00:00:00,50.75,51.25,50.25,50.75,13017
2017-08-17 00:00:00,51.0,51.75,50.75,51.0,882043
2017-08-16 00:00:00,52.0,52.25,50.75,51.25,52870
2017-08-15 00:00:00,52.0,52.0,51.0,51.25,23333
2017-08-14 00:00:00,50.25,51.75,50.25,51.25,114744
2017-08-11 00:00:00,52.0,52.0,50.25,50.5,13977
2017-08-10 00:00:00,53.0,53.0,51.5,52.0,14357
2017-08-09 00:00:00,53.75,53.75,52.5,52.5,512671
2017-08-08 00:00:00,52.5,53.75,52.5,53.5,41179
2017-08-07 00:00:00,53.0,53.25,52.5,52.5,4421
2017-08-04 00:00:00,53.0,53.75,53.0,53.0,6340
2017-08-03 00:00:00,53.5,53.5,53.0,53.0,7438
2017-08-02 00:00:00,52.75,53.5,52.75,53.5,7528
2017-08-01 00:00:00,52.5,53.25,52.25,52.75,16875
2017-07-31 00:00:00,52.5,52.5,52.0,52.0,8172
2017-07-28 00:00:00,52.25,52.5,52.0,52.5,11361
2017-07-27 00:00:00,52.25,52.5,52.25,52.5,7365
2017-07-26 00:00:00,51.5,52.25,51.25,52.25,19762
2017-07-25 00:00:00,51.5,52.0,51.0,51.25,8336
2017-07-24 00:00:00,52.0,52.25,51.25,52.25,23761
2017-07-21 00:00:00,52.0,52.5,51.25,52.0,8727
2017-07-20 00:00:00,53.25,53.25,51.75,52.25,71203
2017-07-19 00:00:00,52.25,53.5,51.5,53.0,10298
2017-07-18 00:00:00,52.5,53.0,52.5,53.0,6485
2017-07-17 00:00:00,51.5,53.0,51.5,53.0,185669
2017-07-14 00:00:00,52.5,52.75,52.25,52.75,16908
2017-07-13 00:00:00,52.25,52.5,52.25,52.5,565613
2017-07-12 00:00:00,52.0,52.25,51.0,52.25,152760
2017-07-11 00:00:00,52.5,52.5,51.5,52.0,14645
2017-07-10 00:00:00,51.75,52.75,51.75,52.5,9151
2017-07-07 00:00:00,52.75,52.75,50.5,51.75,249487
2017-07-06 00:00:00,51.5,52.0,50.5,50.75,5510
2017-07-05 00:00:00,50.25,51.5,50.25,51.25,18950
2017-07-04 00:00:00,51.25,51.75,50.25,50.25,11842
2017-07-03 00:00:00,51.25,51.75,50.5,51.5,6642
2017-06-30 00:00:00,50.5,51.5,50.5,51.25,19587
2017-06-29 00:00:00,50.75,52.5,50.5,50.5,22502
