Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,19.2,19.6,18.8,19.0,842608
2017-09-07 00:00:00,19.0,19.3,18.6,19.1,1783828
2017-09-06 00:00:00,17.4,17.5,17.2,17.5,148342
2017-09-04 00:00:00,18.1,18.1,17.6,17.7,216246
2017-09-01 00:00:00,17.9,18.4,17.7,18.2,324660
2017-08-31 00:00:00,17.4,17.9,17.2,17.9,505599
2017-08-30 00:00:00,17.5,17.5,17.1,17.4,142298
2017-08-29 00:00:00,17.9,17.9,17.1,17.3,364495
2017-08-28 00:00:00,17.8,17.9,17.7,17.9,111756
2017-08-25 00:00:00,17.8,17.9,17.6,17.9,204235
2017-08-24 00:00:00,17.8,17.9,17.6,17.9,192508
2017-08-23 00:00:00,18.0,18.0,17.7,17.7,153114
2017-08-22 00:00:00,17.6,17.9,17.5,17.9,186277
2017-08-21 00:00:00,17.7,17.7,17.3,17.6,204143
2017-08-18 00:00:00,17.7,17.8,17.3,17.7,195933
2017-08-17 00:00:00,18.0,18.1,17.3,17.9,327404
2017-08-16 00:00:00,17.6,18.1,17.4,18.0,326688
2017-08-15 00:00:00,18.0,18.0,17.6,17.6,234824
2017-08-14 00:00:00,17.5,18.3,17.5,18.1,362952
2017-08-11 00:00:00,17.8,17.8,17.1,17.3,537551
2017-08-10 00:00:00,18.6,18.7,17.9,18.0,456122
2017-08-09 00:00:00,19.0,19.0,18.4,18.6,347769
2017-08-08 00:00:00,18.9,19.0,18.5,19.0,259849
2017-08-07 00:00:00,18.5,18.9,18.4,18.8,528752
2017-08-04 00:00:00,17.6,18.3,17.6,18.3,596929
2017-08-03 00:00:00,17.8,18.3,17.5,17.6,889618
2017-08-02 00:00:00,16.6,17.5,16.5,17.4,576183
2017-08-01 00:00:00,16.6,16.7,16.4,16.5,114029
2017-07-31 00:00:00,16.5,16.8,16.4,16.6,94179
2017-07-28 00:00:00,16.8,16.9,16.2,16.5,300702
2017-07-27 00:00:00,16.8,16.9,16.7,16.8,82557
2017-07-26 00:00:00,16.9,17.0,16.7,16.8,238297
2017-07-25 00:00:00,16.9,17.1,16.8,16.8,140535
2017-07-24 00:00:00,17.1,17.3,16.6,16.9,268903
2017-07-21 00:00:00,17.4,17.4,16.9,17.1,386331
2017-07-20 00:00:00,17.5,17.6,17.0,17.3,278179
2017-07-19 00:00:00,17.5,17.5,16.9,17.4,359056
2017-07-18 00:00:00,17.8,17.9,17.1,17.4,587912
2017-07-17 00:00:00,17.1,18.0,17.1,17.8,1716423
2017-07-14 00:00:00,16.8,17.1,16.2,17.0,1961528
2017-07-13 00:00:00,15.4,15.8,15.4,15.6,255529
2017-07-12 00:00:00,15.4,15.6,15.2,15.5,161503
2017-07-11 00:00:00,15.5,15.5,15.1,15.3,171904
2017-07-10 00:00:00,15.4,15.5,15.1,15.4,124404
2017-07-07 00:00:00,15.7,15.7,15.3,15.4,121029
2017-07-06 00:00:00,15.6,15.7,15.3,15.7,170436
2017-07-05 00:00:00,16.0,16.0,15.5,15.6,133321
2017-07-04 00:00:00,16.1,16.1,15.5,15.9,190830
2017-07-03 00:00:00,15.6,16.1,15.5,16.1,350819
2017-06-30 00:00:00,16.2,16.2,15.5,15.6,283286
2017-06-29 00:00:00,16.5,16.6,15.9,15.9,361172
2017-06-28 00:00:00,16.2,16.6,15.9,16.6,509088
2017-06-27 00:00:00,15.9,16.3,15.6,16.2,397571
2017-06-26 00:00:00,15.9,15.9,15.4,15.8,131314
2017-06-23 00:00:00,,15.6,15.6,15.6,0
