Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,543.0,543.0,542.0,542.0,5646
2017-09-07 00:00:00,543.0,543.0,542.0,542.0,12292
2017-09-06 00:00:00,542.0,543.0,541.0,543.0,12199
2017-09-04 00:00:00,542.0,542.0,539.0,541.0,12463
2017-09-01 00:00:00,542.0,542.0,541.0,542.0,4191
2017-08-31 00:00:00,541.0,542.0,540.0,542.0,5745
2017-08-30 00:00:00,542.0,542.0,540.0,541.0,14908
2017-08-29 00:00:00,542.0,542.0,540.0,542.0,9682
2017-08-28 00:00:00,543.0,544.0,541.0,542.0,9262
2017-08-25 00:00:00,545.0,546.0,542.0,544.0,14845
2017-08-24 00:00:00,545.0,546.0,544.0,545.0,18493
2017-08-23 00:00:00,545.0,547.0,542.0,546.0,13105
2017-08-22 00:00:00,542.0,545.0,542.0,545.0,9308
2017-08-21 00:00:00,542.0,542.0,541.0,542.0,4516
2017-08-18 00:00:00,543.0,543.0,540.0,542.0,14180
2017-08-17 00:00:00,543.0,543.0,540.0,543.0,12261
2017-08-16 00:00:00,542.0,544.0,541.0,543.0,21182
2017-08-15 00:00:00,541.0,541.0,539.0,541.0,13476
2017-08-14 00:00:00,541.0,542.0,540.0,541.0,14036
2017-08-11 00:00:00,541.0,541.0,539.0,541.0,14581
2017-08-10 00:00:00,539.0,541.0,538.0,541.0,14285
2017-08-09 00:00:00,541.0,541.0,538.0,539.0,18168
2017-08-08 00:00:00,541.0,541.0,539.0,541.0,7951
2017-08-07 00:00:00,539.0,541.0,539.0,541.0,10602
2017-08-04 00:00:00,540.0,540.0,538.0,539.0,8073
2017-08-03 00:00:00,539.0,540.0,538.0,539.0,18398
2017-08-02 00:00:00,550.0,551.0,548.0,549.0,25837
2017-08-01 00:00:00,549.0,550.0,548.0,550.0,16960
2017-07-31 00:00:00,548.0,549.0,548.0,549.0,6030
2017-07-28 00:00:00,549.0,549.0,547.0,548.0,6892
2017-07-27 00:00:00,549.0,549.0,548.0,549.0,7073
2017-07-26 00:00:00,549.0,549.0,547.0,549.0,3962
2017-07-25 00:00:00,548.0,549.0,547.0,548.0,6377
2017-07-24 00:00:00,548.0,548.0,546.0,548.0,9160
2017-07-21 00:00:00,548.0,548.0,546.0,548.0,1614
2017-07-20 00:00:00,547.0,548.0,546.0,547.0,5180
2017-07-19 00:00:00,546.0,549.0,545.0,547.0,8855
2017-07-18 00:00:00,547.0,548.0,544.0,546.0,15573
2017-07-17 00:00:00,546.0,548.0,546.0,547.0,3804
2017-07-14 00:00:00,546.0,547.0,545.0,547.0,5702
2017-07-13 00:00:00,546.0,546.0,545.0,546.0,17941
2017-07-12 00:00:00,545.0,546.0,543.0,545.0,13787
2017-07-11 00:00:00,545.0,546.0,543.0,544.0,22323
2017-07-10 00:00:00,545.0,547.0,544.0,545.0,5824
2017-07-07 00:00:00,544.0,546.0,544.0,546.0,4518
2017-07-06 00:00:00,545.0,547.0,544.0,545.0,4363
2017-07-05 00:00:00,545.0,545.0,543.0,545.0,3603
2017-07-04 00:00:00,544.0,545.0,544.0,545.0,9748
2017-07-03 00:00:00,542.0,545.0,541.0,545.0,8489
2017-06-30 00:00:00,544.0,546.0,541.0,544.0,35200
2017-06-29 00:00:00,543.0,544.0,542.0,544.0,10364
2017-06-28 00:00:00,545.0,545.0,542.0,543.0,4710
2017-06-27 00:00:00,543.0,545.0,543.0,545.0,7024
2017-06-26 00:00:00,545.0,545.0,542.0,543.0,9766
2017-06-23 00:00:00,,544.0,544.0,544.0,0
2017-06-22 00:00:00,543.0,545.0,542.0,544.0,7299
2017-06-21 00:00:00,543.0,543.0,541.0,543.0,8992
2017-06-20 00:00:00,540.0,542.0,540.0,540.0,8638
2017-06-19 00:00:00,543.0,543.0,539.0,540.0,10388
2017-06-16 00:00:00,539.0,543.0,539.0,543.0,10696
2017-06-15 00:00:00,539.0,539.0,537.0,539.0,8176
2017-06-14 00:00:00,538.0,539.0,537.0,539.0,8138
2017-06-13 00:00:00,536.0,538.0,536.0,538.0,16663
2017-06-12 00:00:00,538.0,538.0,536.0,537.0,13728
2017-06-09 00:00:00,540.0,540.0,537.0,538.0,23065
2017-06-08 00:00:00,540.0,540.0,537.0,539.0,26883
2017-06-07 00:00:00,540.0,540.0,537.0,540.0,30400
2017-06-06 00:00:00,,539.0,539.0,539.0,0
2017-06-05 00:00:00,539.0,540.0,538.0,539.0,10060
2017-06-02 00:00:00,539.0,540.0,538.0,539.0,5700
2017-06-01 00:00:00,539.0,540.0,538.0,539.0,4498
2017-05-31 00:00:00,540.0,540.0,539.0,539.0,7401
2017-05-30 00:00:00,540.0,541.0,538.0,540.0,6573
2017-05-29 00:00:00,541.0,541.0,535.0,540.0,11613
2017-05-26 00:00:00,540.0,541.0,540.0,541.0,5690
2017-05-24 00:00:00,540.0,541.0,539.0,540.0,2089
2017-05-23 00:00:00,540.0,541.0,538.0,540.0,13724
2017-05-22 00:00:00,538.0,540.0,535.0,540.0,10542
2017-05-19 00:00:00,539.0,540.0,537.0,539.0,6232
2017-05-18 00:00:00,540.0,540.0,536.0,538.0,11932
2017-05-17 00:00:00,539.0,540.0,536.0,538.0,19634
2017-05-16 00:00:00,542.0,544.0,539.0,539.0,15959
2017-05-15 00:00:00,540.0,543.0,540.0,542.0,13001
2017-05-12 00:00:00,538.0,540.0,540.0,540.0,9447
2017-05-11 00:00:00,536.0,539.0,535.0,538.0,33919
2017-05-10 00:00:00,535.0,536.0,534.0,536.0,14562
2017-05-09 00:00:00,536.0,536.0,534.0,536.0,9753
2017-05-08 00:00:00,537.0,537.0,534.0,536.0,11064
2017-05-05 00:00:00,534.0,537.0,533.0,535.0,10376
2017-05-04 00:00:00,535.0,537.0,533.0,535.0,20739
2017-05-03 00:00:00,545.0,545.0,543.0,545.0,17410
2017-05-02 00:00:00,541.0,545.0,541.0,545.0,7996
2017-05-01 00:00:00,,541.0,541.0,541.0,0
2017-04-28 00:00:00,543.0,545.0,540.0,541.0,15535
2017-04-27 00:00:00,545.0,545.0,542.0,544.0,10303
2017-04-26 00:00:00,546.0,546.0,543.0,545.0,6528
2017-04-25 00:00:00,544.0,545.0,543.0,545.0,7552
2017-04-24 00:00:00,543.0,544.0,541.0,544.0,11284
2017-04-21 00:00:00,542.0,544.0,542.0,543.0,11877
2017-04-20 00:00:00,543.0,545.0,542.0,542.0,7682
2017-04-19 00:00:00,542.0,544.0,540.0,542.0,6975
2017-04-18 00:00:00,540.0,541.0,539.0,541.0,4598
2017-04-13 00:00:00,540.0,542.0,539.0,539.0,1643
2017-04-12 00:00:00,539.0,541.0,538.0,540.0,5154
2017-04-11 00:00:00,539.0,541.0,538.0,539.0,11139
2017-04-10 00:00:00,542.0,542.0,538.0,538.0,8597
2017-04-07 00:00:00,541.0,542.0,539.0,542.0,7073
2017-04-06 00:00:00,540.0,541.0,540.0,541.0,1972
2017-04-05 00:00:00,540.0,541.0,539.0,540.0,3134
2017-04-04 00:00:00,539.0,541.0,538.0,540.0,5779
2017-04-03 00:00:00,537.0,539.0,537.0,539.0,11501
2017-03-31 00:00:00,537.0,537.0,536.0,537.0,4810
2017-03-30 00:00:00,537.0,537.0,535.0,537.0,6091
2017-03-29 00:00:00,536.0,537.0,535.0,537.0,5597
2017-03-28 00:00:00,535.0,538.0,533.0,537.0,7459
2017-03-27 00:00:00,535.0,536.0,531.0,535.0,8556
2017-03-24 00:00:00,533.0,535.0,533.0,535.0,2906
2017-03-23 00:00:00,534.0,534.0,532.0,534.0,3819
2017-03-22 00:00:00,535.0,535.0,532.0,534.0,7699
2017-03-21 00:00:00,533.0,536.0,531.0,535.0,43974
2017-03-20 00:00:00,534.0,535.0,531.0,532.0,17019
2017-03-17 00:00:00,531.0,535.0,528.0,535.0,18091
2017-03-16 00:00:00,532.0,532.0,530.0,532.0,4855
2017-03-15 00:00:00,534.0,535.0,530.0,532.0,11818
2017-03-14 00:00:00,535.0,536.0,534.0,534.0,17041
2017-03-13 00:00:00,533.0,537.0,531.0,536.0,10009
2017-03-10 00:00:00,533.0,533.0,533.0,533.0,8763
2017-03-09 00:00:00,532.0,534.0,531.0,533.0,6224
2017-03-08 00:00:00,533.0,535.0,530.0,532.0,10481
2017-03-07 00:00:00,533.0,536.0,533.0,534.0,7513
2017-03-06 00:00:00,535.0,535.0,533.0,533.0,4611
2017-03-03 00:00:00,534.0,535.0,535.0,535.0,8208
2017-03-02 00:00:00,535.0,536.0,533.0,535.0,6584
2017-03-01 00:00:00,535.0,535.0,533.0,535.0,12432
2017-02-28 00:00:00,534.0,535.0,533.0,533.0,5316
2017-02-27 00:00:00,534.0,535.0,533.0,534.0,15260
2017-02-24 00:00:00,534.0,534.0,533.0,534.0,10127
2017-02-23 00:00:00,534.0,535.0,533.0,533.0,8566
2017-02-22 00:00:00,533.0,535.0,533.0,533.0,5957
2017-02-21 00:00:00,534.0,535.0,532.0,534.0,5715
2017-02-20 00:00:00,533.0,535.0,533.0,534.0,26431
2017-02-17 00:00:00,531.0,533.0,530.0,533.0,5492
2017-02-16 00:00:00,529.0,532.0,529.0,530.0,8680
2017-02-15 00:00:00,529.0,531.0,528.0,529.0,6843
2017-02-14 00:00:00,530.0,532.0,529.0,529.0,7245
2017-02-13 00:00:00,532.0,533.0,530.0,531.0,10846
2017-02-10 00:00:00,533.0,535.0,531.0,532.0,10898
2017-02-09 00:00:00,532.0,534.0,531.0,532.0,6158
2017-02-08 00:00:00,533.0,535.0,531.0,532.0,14306
2017-02-07 00:00:00,533.0,534.0,532.0,532.0,8577
2017-02-06 00:00:00,531.0,535.0,531.0,532.0,17786
2017-02-03 00:00:00,530.0,533.0,530.0,531.0,11915
2017-02-02 00:00:00,530.0,531.0,526.0,530.0,19374
2017-02-01 00:00:00,542.0,542.0,539.0,540.0,11496
