Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,21.7,22.0,21.6,21.9,1992193
2017-09-07 00:00:00,21.4,21.7,21.4,21.5,1630692
2017-09-06 00:00:00,21.6,21.9,21.2,21.4,2135046
2017-09-04 00:00:00,19.6,20.4,19.6,20.4,1376536
2017-09-01 00:00:00,19.8,20.1,19.5,19.7,1588310
2017-08-31 00:00:00,18.6,19.7,18.6,19.6,1759165
2017-08-30 00:00:00,18.4,18.7,18.4,18.6,581520
2017-08-29 00:00:00,18.1,18.6,18.0,18.5,685881
2017-08-28 00:00:00,18.2,18.4,17.9,18.4,1136930
2017-08-25 00:00:00,18.6,18.9,18.5,18.8,504749
2017-08-24 00:00:00,18.5,18.6,18.3,18.5,420851
2017-08-23 00:00:00,18.5,18.6,18.4,18.4,222058
2017-08-22 00:00:00,18.6,18.6,18.3,18.4,206727
2017-08-21 00:00:00,18.5,18.7,18.3,18.5,382198
2017-08-18 00:00:00,18.9,18.9,18.5,18.6,378526
2017-08-17 00:00:00,19.1,19.1,18.7,19.0,525404
2017-08-16 00:00:00,19.2,19.3,19.0,19.2,294385
2017-08-15 00:00:00,19.0,19.3,18.6,19.3,531375
2017-08-14 00:00:00,18.4,19.0,18.4,18.8,662411
2017-08-11 00:00:00,18.6,18.7,18.2,18.3,695893
2017-08-10 00:00:00,19.3,19.3,18.6,18.7,836873
2017-08-09 00:00:00,19.7,19.7,19.2,19.2,707273
2017-08-08 00:00:00,19.7,20.0,19.6,19.7,541995
2017-08-07 00:00:00,19.8,19.9,19.7,19.7,210408
2017-08-04 00:00:00,19.4,19.7,19.4,19.7,220727
2017-08-03 00:00:00,19.8,19.9,19.4,19.4,393000
2017-08-02 00:00:00,19.4,20.1,19.4,19.7,783974
2017-08-01 00:00:00,19.3,19.6,19.2,19.5,430657
2017-07-31 00:00:00,18.9,19.4,18.9,19.3,798086
2017-07-28 00:00:00,19.2,19.2,18.9,19.0,319073
2017-07-27 00:00:00,19.4,19.5,19.1,19.2,442359
2017-07-26 00:00:00,19.3,19.4,19.0,19.4,649344
2017-07-25 00:00:00,19.2,19.6,19.1,19.3,826846
2017-07-24 00:00:00,19.7,19.8,18.9,19.1,2009249
2017-07-21 00:00:00,19.9,20.4,19.6,19.8,819838
2017-07-20 00:00:00,20.6,20.8,20.0,20.0,1011825
2017-07-19 00:00:00,20.7,20.8,20.2,20.6,1278055
2017-07-18 00:00:00,20.5,20.7,20.1,20.6,996513
2017-07-17 00:00:00,20.0,20.6,20.0,20.6,1048042
2017-07-14 00:00:00,19.8,20.0,19.7,20.0,569549
2017-07-13 00:00:00,19.7,19.9,19.4,19.8,790023
2017-07-12 00:00:00,19.4,19.8,19.0,19.8,1922945
2017-07-11 00:00:00,19.4,19.6,19.2,19.3,620661
2017-07-10 00:00:00,19.1,19.4,19.1,19.4,952678
2017-07-07 00:00:00,19.2,19.2,18.7,18.8,656925
2017-07-06 00:00:00,18.8,19.2,18.7,19.2,664907
2017-07-05 00:00:00,18.9,18.9,18.7,18.7,270725
2017-07-04 00:00:00,18.7,18.9,18.5,18.9,259459
2017-07-03 00:00:00,18.4,18.8,18.4,18.8,469598
2017-06-30 00:00:00,18.3,18.6,18.2,18.4,1011242
2017-06-29 00:00:00,18.7,18.8,18.1,18.4,864245
2017-06-28 00:00:00,18.3,18.8,18.2,18.8,1065854
2017-06-27 00:00:00,18.4,18.7,18.1,18.4,785299
2017-06-26 00:00:00,18.7,18.9,18.2,18.4,1156215
2017-06-23 00:00:00,,18.7,18.7,18.7,0
2017-06-22 00:00:00,18.4,18.9,18.1,18.7,1206147
2017-06-21 00:00:00,18.7,18.7,17.9,18.5,1625627
2017-06-20 00:00:00,18.6,18.6,18.1,18.5,794568
2017-06-19 00:00:00,18.5,18.7,18.3,18.5,1166380
2017-06-16 00:00:00,17.7,18.7,17.7,18.5,1857853
2017-06-15 00:00:00,16.9,17.7,16.7,17.6,1345607
2017-06-14 00:00:00,17.0,17.0,16.8,16.9,322162
2017-06-13 00:00:00,17.0,17.1,16.8,16.9,472127
2017-06-12 00:00:00,16.9,17.1,16.8,17.0,511559
2017-06-09 00:00:00,16.7,17.2,16.7,16.8,651977
2017-06-08 00:00:00,16.5,17.1,16.4,17.1,1583383
2017-06-07 00:00:00,16.2,16.7,16.0,16.4,902828
2017-06-06 00:00:00,,16.0,16.0,16.0,0
2017-06-05 00:00:00,16.2,16.2,16.0,16.0,263783
2017-06-02 00:00:00,16.0,16.1,15.9,16.1,489462
2017-06-01 00:00:00,16.0,16.1,15.8,16.0,203497
2017-05-31 00:00:00,16.1,16.2,16.0,16.0,344224
2017-05-30 00:00:00,16.0,16.2,16.0,16.2,445596
2017-05-29 00:00:00,16.1,16.2,16.0,16.0,389691
2017-05-26 00:00:00,15.7,16.3,15.7,16.3,434493
2017-05-24 00:00:00,15.8,15.9,15.7,15.7,188942
2017-05-23 00:00:00,16.0,16.0,15.7,15.8,307906
2017-05-22 00:00:00,15.8,16.0,15.7,16.0,160070
2017-05-19 00:00:00,15.7,15.9,15.5,15.9,352593
2017-05-18 00:00:00,15.6,15.8,15.4,15.7,403864
2017-05-17 00:00:00,15.8,16.0,15.7,15.9,685457
2017-05-16 00:00:00,15.9,16.0,15.6,16.0,771048
2017-05-15 00:00:00,16.0,16.1,15.8,15.8,293277
2017-05-12 00:00:00,15.8,16.1,16.1,16.1,372853
2017-05-11 00:00:00,16.3,16.3,15.6,15.6,1085543
2017-05-10 00:00:00,15.7,16.3,15.5,16.3,947033
2017-05-09 00:00:00,15.3,15.7,15.2,15.7,588718
2017-05-08 00:00:00,15.0,15.4,15.0,15.3,697069
2017-05-05 00:00:00,14.6,15.1,14.6,15.1,1533980
2017-05-04 00:00:00,14.6,14.7,14.5,14.7,628125
2017-05-03 00:00:00,14.55,14.7,14.5,14.7,235261
2017-05-02 00:00:00,14.4,14.7,14.4,14.7,819896
2017-05-01 00:00:00,,14.6,14.6,14.6,0
2017-04-28 00:00:00,14.35,14.6,14.35,14.6,318267
2017-04-27 00:00:00,14.3,14.5,14.3,14.35,223237
2017-04-26 00:00:00,14.4,14.5,14.3,14.45,345123
2017-04-25 00:00:00,14.6,14.6,14.4,14.45,293469
2017-04-24 00:00:00,14.55,14.65,14.35,14.65,406074
2017-04-21 00:00:00,14.55,14.55,14.35,14.35,315972
2017-04-20 00:00:00,14.85,14.85,14.5,14.5,400809
2017-04-19 00:00:00,14.35,14.85,14.25,14.8,905381
2017-04-18 00:00:00,14.3,14.45,14.3,14.35,353348
2017-04-13 00:00:00,14.35,14.35,14.2,14.2,97901
2017-04-12 00:00:00,14.35,14.4,14.2,14.2,240176
2017-04-11 00:00:00,14.2,14.45,14.15,14.35,371815
2017-04-10 00:00:00,14.2,14.35,14.2,14.2,139033
2017-04-07 00:00:00,14.25,14.45,14.15,14.2,353520
2017-04-06 00:00:00,14.2,14.4,14.15,14.3,358975
2017-04-05 00:00:00,14.3,14.4,14.2,14.2,270004
2017-04-04 00:00:00,14.35,14.45,14.25,14.25,352059
2017-04-03 00:00:00,14.35,14.4,14.3,14.3,156073
