Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,200.0,200.0,200.0,200.0,503
2017-09-07 00:00:00,199.8,199.8,198.7,198.7,35
2017-09-06 00:00:00,200.0,200.0,199.8,199.8,14
2017-09-04 00:00:00,198.9,198.9,197.5,197.5,239
2017-09-01 00:00:00,200.0,201.9,196.0,199.0,962
2017-08-31 00:00:00,200.0,205.0,196.9,200.0,1057
2017-08-30 00:00:00,196.0,200.0,196.0,200.0,110
2017-08-29 00:00:00,201.0,201.0,194.6,197.0,692
2017-08-28 00:00:00,201.0,201.0,201.0,201.0,16
2017-08-25 00:00:00,203.5,203.5,203.5,203.5,1
2017-08-24 00:00:00,200.8,200.8,200.8,200.8,91
2017-08-23 00:00:00,205.5,205.6,203.0,205.6,218
2017-08-22 00:00:00,202.0,205.5,202.0,205.5,698
2017-08-21 00:00:00,200.3,202.9,199.4,202.6,650
2017-08-18 00:00:00,203.0,205.1,202.5,204.9,409
2017-08-17 00:00:00,203.0,203.1,203.0,203.0,43
2017-08-16 00:00:00,205.1,205.1,201.8,202.8,286
2017-08-15 00:00:00,205.0,206.9,205.0,206.0,355
2017-08-14 00:00:00,200.9,204.4,200.9,204.4,610
2017-08-11 00:00:00,200.0,200.0,200.0,200.0,3
2017-08-10 00:00:00,199.6,200.1,197.7,200.0,460
2017-08-09 00:00:00,200.8,200.8,195.1,199.9,5382
2017-08-08 00:00:00,207.0,207.0,200.8,200.8,195
2017-08-07 00:00:00,204.9,206.9,202.5,206.8,263
2017-08-04 00:00:00,206.5,206.5,200.4,202.9,959
2017-08-03 00:00:00,206.9,206.9,200.5,206.5,115
2017-08-02 00:00:00,205.7,208.1,200.5,206.9,325
2017-08-01 00:00:00,208.2,208.2,205.7,205.7,139
2017-07-31 00:00:00,206.8,207.9,204.0,207.9,129
2017-07-28 00:00:00,200.2,210.4,200.2,204.0,671
2017-07-27 00:00:00,200.2,200.2,200.0,200.0,19
2017-07-26 00:00:00,204.4,204.4,204.3,204.3,18
2017-07-25 00:00:00,209.0,209.0,203.0,204.4,352
2017-07-24 00:00:00,203.1,210.5,202.4,210.5,472
2017-07-21 00:00:00,209.0,209.1,202.0,203.1,750
2017-07-20 00:00:00,209.0,212.6,203.2,211.4,1206
2017-07-19 00:00:00,204.9,209.5,204.9,209.3,431
2017-07-18 00:00:00,207.6,207.6,202.0,204.3,800
2017-07-17 00:00:00,212.9,212.9,212.7,212.7,56
2017-07-14 00:00:00,212.5,213.2,212.5,212.9,521
2017-07-13 00:00:00,210.5,210.5,209.0,209.0,120
2017-07-12 00:00:00,206.5,216.5,206.5,210.0,2929
2017-07-11 00:00:00,206.6,210.5,206.5,206.5,532
2017-07-10 00:00:00,212.0,212.1,206.1,206.1,47
2017-07-07 00:00:00,207.0,209.0,205.6,205.6,435
2017-07-06 00:00:00,212.0,213.0,206.5,206.6,101
2017-07-05 00:00:00,205.9,215.3,205.9,212.0,179
2017-07-04 00:00:00,210.5,210.5,205.5,205.7,113
2017-07-03 00:00:00,210.1,214.3,210.1,210.1,152
2017-06-30 00:00:00,214.0,214.6,210.1,214.6,318
2017-06-29 00:00:00,217.5,223.0,207.8,214.0,566
2017-06-28 00:00:00,223.8,223.8,217.5,223.8,114
2017-06-27 00:00:00,224.8,224.8,223.8,223.8,48
2017-06-26 00:00:00,217.7,224.8,216.5,224.8,508
2017-06-23 00:00:00,,217.7,217.7,217.7,0
2017-06-22 00:00:00,224.2,224.2,216.6,217.7,523
2017-06-21 00:00:00,224.7,228.2,224.6,224.6,1077
2017-06-20 00:00:00,224.4,225.5,223.2,224.2,389
