Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,108.2,115.0,108.2,111.5,1159
2017-09-07 00:00:00,108.2,108.2,108.2,108.2,3
2017-09-06 00:00:00,109.4,109.4,107.0,107.0,910
2017-09-04 00:00:00,108.5,109.3,107.0,107.1,594
2017-09-01 00:00:00,108.5,108.6,107.3,108.6,4752
2017-08-31 00:00:00,109.7,109.7,108.6,108.6,663
2017-08-30 00:00:00,109.9,109.9,107.5,109.7,581
2017-08-29 00:00:00,108.7,113.0,107.7,109.9,1274
2017-08-28 00:00:00,110.7,110.7,108.8,108.8,647
2017-08-25 00:00:00,109.0,110.7,107.9,110.7,951
2017-08-24 00:00:00,107.4,109.2,107.2,107.5,1447
2017-08-23 00:00:00,107.7,109.2,106.8,109.2,530
2017-08-22 00:00:00,106.6,107.7,105.9,107.7,6246
2017-08-21 00:00:00,108.5,108.5,105.5,107.5,4281
2017-08-18 00:00:00,105.5,107.9,105.5,107.6,1811
2017-08-17 00:00:00,105.1,106.7,104.3,106.7,1147
2017-08-16 00:00:00,105.1,106.9,105.1,106.9,63
2017-08-15 00:00:00,105.0,106.7,105.0,106.7,2328
2017-08-14 00:00:00,105.0,105.2,105.0,105.2,174
2017-08-11 00:00:00,107.1,107.1,104.0,105.2,5553
2017-08-10 00:00:00,108.7,108.7,107.3,108.5,332
2017-08-09 00:00:00,111.2,111.7,108.7,108.7,3325
2017-08-08 00:00:00,111.5,111.5,109.4,109.4,1241
2017-08-07 00:00:00,107.5,109.8,107.5,109.4,2549
2017-08-04 00:00:00,108.6,109.9,107.4,107.5,2128
2017-08-03 00:00:00,106.4,108.1,106.3,107.1,45
2017-08-02 00:00:00,107.5,108.5,106.4,108.3,1561
2017-08-01 00:00:00,103.5,107.5,103.0,107.5,945
2017-07-31 00:00:00,105.5,105.5,103.0,103.5,672
2017-07-28 00:00:00,101.9,105.5,101.9,105.5,1259
2017-07-27 00:00:00,105.9,105.9,101.3,101.3,1053
2017-07-26 00:00:00,99.85,105.9,99.85,105.9,2430
2017-07-25 00:00:00,103.9,103.9,98.55,98.55,1700
2017-07-24 00:00:00,107.2,107.2,104.8,106.1,224
2017-07-21 00:00:00,106.5,107.2,104.8,107.2,3033
2017-07-20 00:00:00,100.4,105.7,100.4,105.7,2023
2017-07-19 00:00:00,102.9,102.9,99.15,101.2,1664
2017-07-18 00:00:00,107.8,108.9,102.8,103.9,3046
2017-07-17 00:00:00,105.2,107.0,103.5,106.4,1110
2017-07-14 00:00:00,103.4,105.1,103.4,105.1,1015
2017-07-13 00:00:00,103.5,103.6,103.4,103.4,5097
2017-07-12 00:00:00,102.4,103.2,100.9,103.2,1345
2017-07-11 00:00:00,103.5,103.5,102.6,102.6,833
2017-07-10 00:00:00,105.5,105.5,103.3,103.6,790
2017-07-07 00:00:00,106.8,106.8,104.5,104.5,102
2017-07-06 00:00:00,105.8,107.4,102.8,102.8,118
2017-07-05 00:00:00,104.8,105.1,102.9,104.3,1105
2017-07-04 00:00:00,104.1,104.7,103.9,104.7,605
2017-07-03 00:00:00,104.0,104.1,103.0,103.0,679
2017-06-30 00:00:00,104.8,104.8,98.9,104.0,2003
2017-06-29 00:00:00,105.1,105.1,101.6,104.7,1395
2017-06-28 00:00:00,107.1,107.1,103.8,104.8,1478
2017-06-27 00:00:00,108.7,108.7,106.3,106.6,1256
2017-06-26 00:00:00,105.3,108.2,103.9,106.7,2000
2017-06-23 00:00:00,,105.3,105.3,105.3,0
2017-06-22 00:00:00,106.1,106.1,104.8,105.3,234
2017-06-21 00:00:00,106.1,106.1,103.6,105.2,2181
2017-06-20 00:00:00,106.3,110.5,104.2,106.2,681
2017-06-19 00:00:00,105.1,106.3,104.9,106.3,246
2017-06-16 00:00:00,106.2,106.2,104.0,106.2,1172
2017-06-15 00:00:00,105.3,105.3,104.6,104.6,314
2017-06-14 00:00:00,109.5,109.5,102.2,105.3,2323
2017-06-13 00:00:00,105.4,109.2,102.8,107.0,4452
2017-06-12 00:00:00,107.8,108.0,104.0,106.2,262
2017-06-09 00:00:00,104.9,107.8,102.0,107.8,1943
2017-06-08 00:00:00,101.8,105.0,101.8,104.3,876
2017-06-07 00:00:00,100.4,106.1,100.3,105.0,6928
2017-06-06 00:00:00,,100.4,100.4,100.4,0
2017-06-05 00:00:00,96.85,101.7,96.8,100.4,2922
2017-06-02 00:00:00,98.8,98.8,97.55,98.7,373
2017-06-01 00:00:00,97.95,99.1,97.2,98.85,1870
2017-05-31 00:00:00,97.7,97.7,95.0,96.45,3571
2017-05-30 00:00:00,96.85,97.2,96.4,97.2,1425
2017-05-29 00:00:00,95.0,95.8,94.8,95.25,732
2017-05-26 00:00:00,96.9,97.95,95.1,96.9,1768
2017-05-24 00:00:00,,95.15,95.15,95.15,0
2017-05-23 00:00:00,96.0,96.0,94.0,95.15,1045
2017-05-22 00:00:00,94.65,98.65,94.65,97.0,2792
2017-05-19 00:00:00,95.2,95.2,92.9,92.9,230
2017-05-18 00:00:00,96.2,96.5,93.5,93.5,1551
2017-05-17 00:00:00,94.0,96.2,93.95,96.2,3595
2017-05-16 00:00:00,94.2,95.5,92.25,94.4,1121
2017-05-15 00:00:00,95.5,95.5,93.9,94.1,2807
2017-05-12 00:00:00,91.0,94.2,94.2,94.2,4210
2017-05-11 00:00:00,93.45,95.7,93.45,93.45,426
2017-05-10 00:00:00,91.0,97.2,91.0,94.6,3443
2017-05-09 00:00:00,94.5,100.5,92.85,94.4,1290
2017-05-08 00:00:00,95.75,96.95,92.8,93.7,1446
2017-05-05 00:00:00,90.5,94.95,89.8,94.95,1325
2017-05-04 00:00:00,94.85,94.85,89.65,89.65,509
2017-05-03 00:00:00,95.85,95.85,93.0,93.0,874
2017-05-02 00:00:00,95.0,96.2,95.0,96.15,170
2017-05-01 00:00:00,,96.1,96.1,96.1,0
2017-04-28 00:00:00,94.9,96.1,93.7,96.1,1004
2017-04-27 00:00:00,94.0,95.35,94.0,94.9,5482
2017-04-26 00:00:00,91.15,94.5,91.05,94.2,2182
2017-04-25 00:00:00,91.75,92.95,91.5,92.95,249
2017-04-24 00:00:00,92.9,93.1,91.5,91.75,371
2017-04-21 00:00:00,91.3,93.2,91.3,93.1,9
2017-04-20 00:00:00,93.2,93.2,93.2,93.2,26
2017-04-19 00:00:00,92.0,96.4,91.2,91.2,593
2017-04-18 00:00:00,89.25,91.65,89.25,90.05,576
2017-04-13 00:00:00,89.95,91.7,89.9,89.9,423
2017-04-12 00:00:00,90.25,91.0,89.9,89.95,174
2017-04-11 00:00:00,93.0,93.0,90.25,90.25,245
2017-04-10 00:00:00,90.5,97.0,88.8,90.1,3032
2017-04-07 00:00:00,86.65,90.0,86.65,87.3,1900
2017-04-06 00:00:00,88.35,88.35,88.35,88.35,27
2017-04-05 00:00:00,,88.3,88.3,88.3,0
2017-04-04 00:00:00,88.3,88.3,88.3,88.3,60
2017-04-03 00:00:00,86.15,88.3,86.15,88.3,30
2017-03-31 00:00:00,,90.0,90.0,90.0,0
2017-03-30 00:00:00,87.65,90.0,86.6,90.0,130
2017-03-29 00:00:00,84.45,88.2,84.4,88.2,3636
2017-03-28 00:00:00,88.0,88.0,84.0,84.1,4823
2017-03-27 00:00:00,86.85,89.2,86.85,89.2,20
2017-03-24 00:00:00,89.2,89.2,89.15,89.15,11
2017-03-23 00:00:00,90.65,90.65,90.65,90.65,1
2017-03-22 00:00:00,87.2,90.85,87.2,90.65,1141
2017-03-21 00:00:00,87.35,90.2,87.05,87.05,3410
2017-03-20 00:00:00,88.0,88.2,87.35,87.35,431
2017-03-17 00:00:00,88.0,88.0,86.15,87.5,52
2017-03-16 00:00:00,85.65,87.2,84.9,87.0,2091
2017-03-15 00:00:00,86.9,86.9,86.5,86.5,235
2017-03-14 00:00:00,86.85,88.85,86.85,88.0,103
2017-03-13 00:00:00,88.9,88.9,86.8,88.9,47
2017-03-10 00:00:00,86.85,88.7,88.7,88.7,105
2017-03-09 00:00:00,89.0,89.0,86.8,88.1,3598
2017-03-08 00:00:00,87.8,89.25,87.0,88.9,1193
2017-03-07 00:00:00,88.0,89.25,87.8,89.25,421
2017-03-06 00:00:00,87.8,90.1,87.8,88.2,472
2017-03-03 00:00:00,88.5,87.8,87.8,87.8,212
2017-03-02 00:00:00,88.55,88.6,87.8,88.0,264
2017-03-01 00:00:00,89.5,89.5,89.5,89.5,14
2017-02-28 00:00:00,90.0,90.75,88.8,90.1,637
2017-02-27 00:00:00,90.9,90.9,90.0,90.05,699
2017-02-24 00:00:00,90.05,90.65,88.0,89.1,2458
2017-02-23 00:00:00,91.4,92.2,91.4,92.2,250
2017-02-22 00:00:00,90.05,92.15,90.0,90.05,2000
2017-02-21 00:00:00,93.05,93.05,90.8,91.95,1633
2017-02-20 00:00:00,92.5,93.0,91.8,91.8,1294
2017-02-17 00:00:00,92.35,97.0,91.8,94.1,1252
2017-02-16 00:00:00,91.6,92.35,90.45,92.35,1110
2017-02-15 00:00:00,91.7,91.7,90.0,91.6,309
2017-02-14 00:00:00,91.5,92.35,90.0,91.7,1670
2017-02-13 00:00:00,85.9,91.0,85.9,91.0,2544
2017-02-10 00:00:00,87.65,87.65,85.95,85.95,846
2017-02-09 00:00:00,86.5,89.5,86.5,87.65,2140
2017-02-08 00:00:00,85.5,86.25,85.5,86.25,512
2017-02-07 00:00:00,82.45,85.5,82.45,85.5,2254
2017-02-06 00:00:00,81.85,84.0,81.85,84.0,652
2017-02-03 00:00:00,83.0,83.2,83.0,83.0,1167
2017-02-02 00:00:00,82.25,83.0,82.0,83.0,1143
2017-02-01 00:00:00,81.0,82.3,80.6,80.7,1777
2017-01-31 00:00:00,80.95,81.0,80.75,80.75,2096
2017-01-30 00:00:00,80.15,81.5,80.15,81.5,261
2017-01-27 00:00:00,81.0,81.0,79.6,80.95,1313
2017-01-26 00:00:00,82.0,82.0,82.0,82.0,2
2017-01-25 00:00:00,81.0,81.0,81.0,81.0,10
2017-01-24 00:00:00,81.65,81.65,80.7,81.0,159
2017-01-23 00:00:00,81.0,81.65,79.8,81.65,89
2017-01-20 00:00:00,79.95,81.2,79.95,81.0,498
2017-01-19 00:00:00,81.5,81.5,81.3,81.3,57
2017-01-18 00:00:00,81.25,82.45,80.0,81.3,921
2017-01-17 00:00:00,81.5,81.5,81.5,81.5,275
2017-01-16 00:00:00,82.65,82.65,81.65,82.45,788
2017-01-13 00:00:00,82.0,83.25,81.9,83.25,1102
2017-01-12 00:00:00,83.2,83.5,82.15,83.25,3310
2017-01-11 00:00:00,83.95,84.45,83.05,83.05,93
2017-01-10 00:00:00,83.8,83.85,82.9,83.0,2324
2017-01-09 00:00:00,85.0,85.0,83.4,84.0,5164
2017-01-06 00:00:00,,84.35,84.35,84.35,0
2017-01-05 00:00:00,86.0,86.0,84.15,84.35,1115
2017-01-04 00:00:00,89.8,89.8,83.9,85.4,4632
2017-01-03 00:00:00,92.0,92.0,88.2,88.2,1129
2017-01-02 00:00:00,91.0,92.95,91.0,92.0,85
2016-12-30 00:00:00,92.5,93.0,90.5,93.0,18
2016-12-29 00:00:00,91.5,93.25,91.5,92.25,339
2016-12-28 00:00:00,89.5,92.0,89.5,91.0,161
2016-12-27 00:00:00,89.5,92.0,89.5,92.0,313
2016-12-23 00:00:00,90.0,93.0,89.5,92.0,70
2016-12-22 00:00:00,90.25,91.25,90.0,90.0,534
2016-12-21 00:00:00,89.5,90.0,89.25,90.0,56
2016-12-20 00:00:00,86.5,88.5,86.0,88.5,1666
2016-12-19 00:00:00,84.0,85.5,82.5,85.5,1105
2016-12-16 00:00:00,84.5,85.5,84.0,84.0,1271
2016-12-15 00:00:00,85.25,87.0,81.75,85.5,153
2016-12-14 00:00:00,87.75,89.25,86.5,89.25,338
2016-12-13 00:00:00,88.75,88.75,86.5,88.5,517
2016-12-12 00:00:00,90.5,90.5,90.0,90.25,500
2016-12-09 00:00:00,93.75,94.25,91.5,91.5,712
2016-12-08 00:00:00,93.0,93.25,91.75,91.75,420
2016-12-07 00:00:00,91.5,91.5,91.5,91.5,312
2016-12-06 00:00:00,92.75,92.75,91.5,91.5,12
2016-12-05 00:00:00,94.75,94.75,89.5,92.75,1182
2016-12-02 00:00:00,92.25,94.75,91.5,94.75,2400
2016-12-01 00:00:00,91.0,92.25,90.0,92.25,382
2016-11-30 00:00:00,91.25,91.5,89.5,90.0,793
2016-11-29 00:00:00,94.25,94.25,89.25,91.5,947
2016-11-28 00:00:00,93.0,96.0,91.5,92.5,384
2016-11-25 00:00:00,89.25,89.25,86.75,88.25,230
2016-11-24 00:00:00,87.25,89.25,86.75,89.25,824
2016-11-23 00:00:00,90.0,90.0,88.5,88.5,895
2016-11-22 00:00:00,91.75,91.75,91.5,91.5,441
2016-11-21 00:00:00,,94.0,94.0,94.0,0
2016-11-18 00:00:00,93.75,94.0,91.5,94.0,190
2016-11-17 00:00:00,90.75,94.25,88.75,94.0,3284
2016-11-16 00:00:00,89.5,90.75,89.5,90.75,551
2016-11-15 00:00:00,86.5,89.5,86.5,89.5,806
2016-11-14 00:00:00,87.5,88.75,85.75,88.75,1600
2016-11-11 00:00:00,88.0,90.0,88.0,90.0,1763
2016-11-10 00:00:00,89.5,93.0,87.5,87.5,1012
2016-11-09 00:00:00,87.0,89.25,87.0,89.25,896
2016-11-08 00:00:00,90.75,90.75,88.75,90.5,450
2016-11-07 00:00:00,88.25,93.0,87.75,93.0,607
2016-11-04 00:00:00,93.0,93.0,91.0,91.0,272
2016-11-03 00:00:00,99.5,99.5,93.25,93.5,29
2016-11-02 00:00:00,98.0,98.0,98.0,98.0,3
