Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,59.25,59.25,57.5,57.5,61433
2017-09-07 00:00:00,58.5,59.5,58.0,59.25,62126
2017-09-06 00:00:00,57.75,59.0,57.5,58.5,63496
2017-09-04 00:00:00,58.5,58.5,57.25,57.75,37953
2017-09-01 00:00:00,58.75,59.5,58.5,58.75,1859314
2017-08-31 00:00:00,57.75,58.75,57.5,58.75,42248
2017-08-30 00:00:00,57.75,58.5,57.5,58.0,69097
2017-08-29 00:00:00,58.5,58.5,57.0,57.5,64552
2017-08-28 00:00:00,59.75,59.75,58.5,58.5,381774
2017-08-25 00:00:00,57.0,59.5,56.5,59.5,1139385
2017-08-24 00:00:00,56.5,57.25,54.25,57.0,199445
2017-08-23 00:00:00,58.0,59.5,56.0,56.25,322243
2017-08-22 00:00:00,55.75,56.75,55.75,56.25,48542
2017-08-21 00:00:00,56.5,56.75,55.75,56.5,55746
2017-08-18 00:00:00,57.25,57.25,55.75,56.75,80131
2017-08-17 00:00:00,58.25,58.5,56.5,57.75,97067
2017-08-16 00:00:00,57.5,59.0,57.0,58.5,259617
2017-08-15 00:00:00,58.25,58.25,57.0,57.5,19786
2017-08-14 00:00:00,57.0,58.25,57.0,58.25,21381
2017-08-11 00:00:00,58.0,58.25,57.0,57.0,43504
2017-08-10 00:00:00,59.0,59.5,58.25,58.25,35272
2017-08-09 00:00:00,59.75,59.75,59.0,59.75,27313
2017-08-08 00:00:00,59.25,60.75,59.25,59.75,48793
2017-08-07 00:00:00,61.0,61.5,60.0,60.0,32292
2017-08-04 00:00:00,60.25,62.25,59.5,61.75,91272
2017-08-03 00:00:00,59.75,60.5,59.0,60.25,87127
2017-08-02 00:00:00,57.25,59.75,57.0,59.75,81962
2017-08-01 00:00:00,56.5,58.0,56.5,57.25,41067
2017-07-31 00:00:00,56.5,57.75,56.5,57.75,33853
2017-07-28 00:00:00,57.0,57.5,56.75,57.0,56469
2017-07-27 00:00:00,57.5,58.25,57.5,57.5,42392
2017-07-26 00:00:00,57.5,58.75,57.25,57.75,61727
2017-07-25 00:00:00,57.5,58.0,57.5,57.5,34850
2017-07-24 00:00:00,57.75,58.5,57.0,57.5,43102
2017-07-21 00:00:00,57.75,59.25,57.75,58.75,58398
2017-07-20 00:00:00,60.0,60.0,58.5,59.0,95611
2017-07-19 00:00:00,60.0,60.0,59.0,60.0,90078
2017-07-18 00:00:00,59.25,60.0,59.0,60.0,39451
2017-07-17 00:00:00,59.75,60.0,59.25,59.25,50040
2017-07-14 00:00:00,60.0,60.75,59.25,59.25,18836
2017-07-13 00:00:00,60.0,61.25,60.0,60.75,76550
2017-07-12 00:00:00,58.5,60.5,58.25,60.0,131378
2017-07-11 00:00:00,59.25,59.25,58.25,58.5,25415
2017-07-10 00:00:00,61.0,61.0,59.0,59.25,47412
2017-07-07 00:00:00,59.25,60.5,59.0,59.75,47355
2017-07-06 00:00:00,58.5,59.0,58.0,58.75,98922
2017-07-05 00:00:00,61.0,61.0,58.25,58.25,92909
2017-07-04 00:00:00,59.0,60.75,58.25,60.5,33500
2017-07-03 00:00:00,62.0,62.0,59.0,59.0,92553
2017-06-30 00:00:00,57.5,61.75,57.25,61.0,231005
2017-06-29 00:00:00,59.75,59.75,57.25,57.5,331443
2017-06-28 00:00:00,56.5,60.25,56.5,59.75,847199
2017-06-27 00:00:00,55.25,55.75,54.5,55.5,1406663
2017-06-26 00:00:00,53.0,53.5,52.5,52.5,72454
2017-06-23 00:00:00,,53.25,53.25,53.25,0
2017-06-22 00:00:00,53.5,53.75,53.0,53.25,88624
2017-06-21 00:00:00,53.75,54.25,53.25,53.5,48475
2017-06-20 00:00:00,54.25,54.5,54.0,54.5,83599
2017-06-19 00:00:00,54.0,55.0,53.75,54.0,36276
2017-06-16 00:00:00,55.0,55.75,54.25,54.75,293136
2017-06-15 00:00:00,57.25,57.5,54.5,54.5,77218
2017-06-14 00:00:00,55.0,58.25,54.5,58.25,159575
2017-06-13 00:00:00,53.0,55.25,53.0,55.25,94612
2017-06-12 00:00:00,53.75,54.25,53.0,53.25,28324
2017-06-09 00:00:00,54.25,55.25,53.75,54.5,108012
2017-06-08 00:00:00,55.25,55.25,53.5,54.25,73113
2017-06-07 00:00:00,55.75,55.75,55.0,55.25,26174
2017-06-06 00:00:00,,55.25,55.25,55.25,0
2017-06-05 00:00:00,55.5,55.75,55.0,55.25,29865
2017-06-02 00:00:00,55.75,55.75,55.25,55.5,28615
2017-06-01 00:00:00,54.75,55.75,54.5,55.75,47563
2017-05-31 00:00:00,54.0,55.25,53.75,55.0,91337
2017-05-30 00:00:00,54.75,55.25,53.75,54.25,477331
2017-05-29 00:00:00,55.5,56.0,54.75,54.75,123061
2017-05-26 00:00:00,55.0,55.75,54.75,55.5,48534
2017-05-24 00:00:00,55.25,55.75,55.0,55.0,46006
2017-05-23 00:00:00,55.5,55.75,54.25,55.75,86272
2017-05-22 00:00:00,55.5,55.75,55.25,55.5,36644
2017-05-19 00:00:00,55.25,55.75,55.25,55.5,39025
2017-05-18 00:00:00,55.5,55.5,54.5,55.5,64112
2017-05-17 00:00:00,55.0,56.0,55.0,56.0,112936
2017-05-16 00:00:00,55.75,56.0,55.0,55.75,46167
2017-05-15 00:00:00,55.75,55.75,55.0,55.75,73719
2017-05-12 00:00:00,55.5,55.0,55.0,55.0,77602
2017-05-11 00:00:00,53.5,55.5,53.5,54.75,339073
2017-05-10 00:00:00,51.75,52.5,51.5,52.0,58870
2017-05-09 00:00:00,52.5,52.75,51.5,51.5,85157
2017-05-08 00:00:00,53.5,53.5,52.5,52.5,40762
2017-05-05 00:00:00,52.5,53.0,52.25,52.5,41684
2017-05-04 00:00:00,53.0,54.0,52.5,52.5,76529
2017-05-03 00:00:00,52.75,54.0,52.0,53.0,86316
2017-05-02 00:00:00,53.25,53.75,52.5,52.75,36713
2017-05-01 00:00:00,,53.25,53.25,53.25,0
2017-04-28 00:00:00,53.75,54.5,52.25,53.25,82612
2017-04-27 00:00:00,53.75,54.75,53.0,53.75,129137
2017-04-26 00:00:00,52.25,53.5,52.0,53.5,47304
2017-04-25 00:00:00,54.5,54.5,51.25,53.0,321975
2017-04-24 00:00:00,55.0,55.5,54.25,54.25,116515
2017-04-21 00:00:00,55.0,55.0,53.5,54.5,92160
2017-04-20 00:00:00,53.5,54.75,53.5,54.0,116069
2017-04-19 00:00:00,53.0,53.0,52.0,52.75,40690
2017-04-18 00:00:00,52.0,52.75,51.75,52.5,79238
2017-04-13 00:00:00,51.75,52.0,51.5,51.75,55445
2017-04-12 00:00:00,51.5,52.0,51.5,51.5,48785
2017-04-11 00:00:00,51.25,52.0,51.25,51.5,100778
2017-04-10 00:00:00,52.0,52.25,51.25,51.5,259269
2017-04-07 00:00:00,53.0,53.0,51.75,52.0,61257
2017-04-06 00:00:00,53.0,53.0,51.75,52.25,211623
2017-04-05 00:00:00,53.5,53.75,52.5,52.5,58667
2017-04-04 00:00:00,55.5,55.75,53.25,53.25,222501
2017-04-03 00:00:00,55.0,55.75,54.5,55.5,154022
2017-03-31 00:00:00,53.5,54.75,53.5,54.5,181381
2017-03-30 00:00:00,52.25,53.25,52.25,53.25,74688
2017-03-29 00:00:00,51.5,52.25,51.25,52.25,83266
2017-03-28 00:00:00,51.75,52.0,51.0,51.5,54619
2017-03-27 00:00:00,52.0,52.0,51.25,51.75,32366
2017-03-24 00:00:00,51.75,52.25,51.75,52.0,81216
2017-03-23 00:00:00,52.25,52.5,51.75,52.0,290813
2017-03-22 00:00:00,52.0,53.0,51.75,52.5,88206
2017-03-21 00:00:00,52.75,53.0,52.25,52.25,113903
2017-03-20 00:00:00,53.0,53.0,52.25,52.75,207722
2017-03-17 00:00:00,52.75,53.75,52.5,53.0,72005
2017-03-16 00:00:00,53.25,53.25,52.75,53.25,70570
2017-03-15 00:00:00,53.75,53.75,52.75,53.0,77319
2017-03-14 00:00:00,53.75,53.75,52.25,52.75,271945
2017-03-13 00:00:00,53.0,53.75,52.5,53.75,264137
2017-03-10 00:00:00,55.0,53.75,53.75,53.75,664916
2017-03-09 00:00:00,54.5,55.5,54.5,55.0,120874
2017-03-08 00:00:00,53.75,55.25,53.75,54.75,132675
2017-03-07 00:00:00,53.0,54.25,52.75,53.75,76111
2017-03-06 00:00:00,54.0,54.25,52.5,52.75,100749
2017-03-03 00:00:00,54.5,53.25,53.25,53.25,159898
2017-03-02 00:00:00,53.5,55.25,53.5,53.5,218190
2017-03-01 00:00:00,52.75,53.75,52.0,53.5,149145
2017-02-28 00:00:00,51.0,53.75,49.7,52.75,417789
2017-02-27 00:00:00,52.75,54.0,52.25,53.25,117994
2017-02-24 00:00:00,52.75,53.75,52.75,52.75,77087
2017-02-23 00:00:00,53.0,53.75,53.0,53.0,66439
2017-02-22 00:00:00,53.5,54.0,53.0,53.0,89905
2017-02-21 00:00:00,54.5,54.75,53.5,53.5,234138
2017-02-20 00:00:00,55.0,55.5,54.25,55.0,159533
