Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,31.6,31.6,31.2,31.5,97589
2017-09-07 00:00:00,31.5,31.8,31.3,31.7,64549
2017-09-06 00:00:00,32.5,32.5,31.3,31.4,234395
2017-09-04 00:00:00,32.0,32.2,31.9,32.1,62368
2017-09-01 00:00:00,32.9,32.9,32.5,32.7,119894
2017-08-31 00:00:00,32.0,32.5,32.0,32.4,61063
2017-08-30 00:00:00,32.3,32.4,31.7,32.0,137286
2017-08-29 00:00:00,32.1,32.2,31.4,32.2,129992
2017-08-28 00:00:00,31.8,32.4,31.8,32.3,330276
2017-08-25 00:00:00,32.5,32.6,31.7,31.8,199476
2017-08-24 00:00:00,32.3,32.5,32.0,32.5,165712
2017-08-23 00:00:00,31.5,32.2,31.5,32.1,185746
2017-08-22 00:00:00,32.1,32.3,32.0,32.1,66736
2017-08-21 00:00:00,32.7,32.8,31.8,32.0,125274
2017-08-18 00:00:00,32.0,32.4,31.3,32.3,148237
2017-08-17 00:00:00,33.6,33.6,32.5,32.5,219588
2017-08-16 00:00:00,32.6,33.6,32.6,33.6,1106999
2017-08-15 00:00:00,32.2,32.9,31.9,32.8,263434
2017-08-14 00:00:00,31.7,32.4,31.7,32.3,354302
2017-08-11 00:00:00,31.0,31.2,30.6,31.2,458068
2017-08-10 00:00:00,31.2,31.5,31.1,31.3,578533
2017-08-09 00:00:00,31.2,31.3,30.6,31.2,268903
2017-08-08 00:00:00,30.9,31.4,30.8,31.2,848282
2017-08-07 00:00:00,31.4,31.7,30.7,30.7,1005611
2017-08-04 00:00:00,30.4,30.4,29.9,30.2,209223
2017-08-03 00:00:00,30.0,30.4,29.5,30.2,144184
2017-08-02 00:00:00,29.8,30.0,29.4,30.0,204824
2017-08-01 00:00:00,29.3,29.8,29.0,29.7,162976
2017-07-31 00:00:00,28.4,29.4,28.3,28.9,158612
2017-07-28 00:00:00,28.6,29.8,28.0,28.3,471636
2017-07-27 00:00:00,27.7,28.5,27.7,28.5,195567
2017-07-26 00:00:00,27.4,27.4,27.1,27.4,12664
2017-07-25 00:00:00,27.2,27.4,26.6,27.4,30389
2017-07-24 00:00:00,27.7,27.7,27.1,27.3,46452
2017-07-21 00:00:00,27.6,28.0,27.2,27.7,41596
2017-07-20 00:00:00,27.0,27.9,27.0,27.6,25958
2017-07-19 00:00:00,28.3,28.4,27.1,27.5,69979
2017-07-18 00:00:00,28.5,28.6,28.0,28.3,17653
2017-07-17 00:00:00,28.7,28.7,28.0,28.3,20706
2017-07-14 00:00:00,28.2,28.8,27.8,28.5,96498
2017-07-13 00:00:00,27.3,27.8,27.1,27.5,13839
2017-07-12 00:00:00,27.3,28.0,27.3,27.3,33658
2017-07-11 00:00:00,27.6,27.8,27.1,27.3,37172
2017-07-10 00:00:00,28.1,28.1,27.4,27.8,25402
2017-07-07 00:00:00,27.6,27.9,26.4,27.9,165260
2017-07-06 00:00:00,27.7,28.1,27.6,27.6,36861
2017-07-05 00:00:00,27.8,28.3,27.5,28.1,79072
2017-07-04 00:00:00,28.1,28.4,27.6,28.0,72541
2017-07-03 00:00:00,28.4,28.7,28.0,28.2,79535
2017-06-30 00:00:00,28.6,28.7,28.3,28.6,51905
2017-06-29 00:00:00,29.2,29.3,28.5,28.7,75547
2017-06-28 00:00:00,29.0,29.1,28.5,29.1,91982
2017-06-27 00:00:00,28.3,29.3,28.2,29.2,205631
2017-06-26 00:00:00,28.5,28.5,28.1,28.3,67696
2017-06-23 00:00:00,,28.5,28.5,28.5,0
2017-06-22 00:00:00,29.0,29.0,27.9,28.5,62993
2017-06-21 00:00:00,28.8,28.8,28.2,28.5,40959
2017-06-20 00:00:00,28.6,28.9,28.5,28.6,52636
2017-06-19 00:00:00,29.3,29.5,28.6,28.6,108683
2017-06-16 00:00:00,28.8,29.0,28.6,28.7,31007
