Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,155.9,155.9,153.4,153.9,61475
2017-09-07 00:00:00,152.9,155.8,152.8,155.8,98044
2017-09-06 00:00:00,154.5,154.7,152.6,152.8,67777
2017-09-04 00:00:00,156.0,156.0,153.6,154.4,110284
2017-09-01 00:00:00,152.4,157.4,152.4,157.1,233083
2017-08-31 00:00:00,152.4,153.2,151.7,152.2,186094
2017-08-30 00:00:00,152.0,152.8,151.5,152.6,78610
2017-08-29 00:00:00,154.5,155.0,150.6,151.0,202670
2017-08-28 00:00:00,156.7,156.8,154.3,155.2,34308
2017-08-25 00:00:00,155.0,156.9,155.0,156.2,59565
2017-08-24 00:00:00,155.7,156.0,155.0,155.0,154731
2017-08-23 00:00:00,156.1,157.8,155.4,155.5,190884
2017-08-22 00:00:00,156.1,157.1,155.0,156.0,201711
2017-08-21 00:00:00,155.2,159.5,155.0,155.5,135500
2017-08-18 00:00:00,157.7,157.7,154.5,155.2,83325
2017-08-17 00:00:00,157.8,160.6,157.3,158.5,333031
2017-08-16 00:00:00,156.1,157.8,156.1,157.3,101650
2017-08-15 00:00:00,158.0,158.5,156.3,156.4,62844
2017-08-14 00:00:00,155.0,158.0,155.0,158.0,179794
2017-08-11 00:00:00,157.7,157.7,154.1,155.6,102444
2017-08-10 00:00:00,158.5,159.1,157.3,157.7,93213
2017-08-09 00:00:00,161.9,161.9,158.3,159.0,59489
2017-08-08 00:00:00,160.3,162.0,159.5,161.9,68186
2017-08-07 00:00:00,160.5,160.5,159.3,160.0,76046
2017-08-04 00:00:00,160.0,160.1,158.8,159.7,140585
2017-08-03 00:00:00,160.0,160.3,159.0,159.7,83573
2017-08-02 00:00:00,159.5,160.9,159.4,160.0,97250
2017-08-01 00:00:00,158.0,160.2,157.0,159.4,117207
2017-07-31 00:00:00,157.0,158.5,156.4,157.2,56090
2017-07-28 00:00:00,157.8,158.6,156.5,157.1,179156
2017-07-27 00:00:00,157.5,159.5,157.4,158.2,69559
2017-07-26 00:00:00,157.9,158.4,157.1,157.6,97501
2017-07-25 00:00:00,159.9,160.7,157.5,157.9,81650
