Dates,Open,High,Low,Close,Volume
2017-04-13 00:00:00,,87.5,87.5,87.5,0
2017-04-12 00:00:00,,87.5,87.5,87.5,0
2017-04-11 00:00:00,,87.5,87.5,87.5,0
2017-04-10 00:00:00,87.25,87.75,87.25,87.5,7229
2017-04-07 00:00:00,87.25,87.5,87.25,87.25,133
2017-04-06 00:00:00,87.25,87.25,87.25,87.25,1142
2017-04-05 00:00:00,87.25,87.5,87.25,87.25,503
2017-04-04 00:00:00,87.25,87.5,87.25,87.5,1536
2017-04-03 00:00:00,88.0,88.0,87.25,87.5,1621
2017-03-31 00:00:00,87.25,87.75,87.25,87.5,677
2017-03-30 00:00:00,87.25,87.25,87.25,87.25,96
2017-03-29 00:00:00,87.5,87.5,87.25,87.25,212
2017-03-28 00:00:00,87.75,87.75,87.25,87.75,375
2017-03-27 00:00:00,87.25,87.75,87.25,87.75,757
2017-03-24 00:00:00,87.5,87.5,87.25,87.25,235
2017-03-23 00:00:00,87.5,87.75,87.25,87.25,1179
2017-03-22 00:00:00,87.5,87.5,87.25,87.5,603
2017-03-21 00:00:00,87.5,87.5,87.25,87.5,1754
2017-03-20 00:00:00,87.25,87.5,87.25,87.5,384
2017-03-17 00:00:00,87.25,87.5,87.25,87.5,4388
2017-03-16 00:00:00,87.25,87.5,87.25,87.5,879
2017-03-15 00:00:00,87.5,87.5,87.25,87.5,268
2017-03-14 00:00:00,87.25,87.5,87.25,87.5,37122
2017-03-13 00:00:00,87.25,88.0,87.0,87.5,109371
2017-03-10 00:00:00,86.0,87.25,87.25,87.25,467
2017-03-09 00:00:00,87.5,88.0,86.25,87.25,3373
2017-03-08 00:00:00,87.0,87.5,87.0,87.25,163
2017-03-07 00:00:00,86.0,87.5,86.0,87.5,6066
2017-03-06 00:00:00,87.0,87.75,87.0,87.75,2027
2017-03-03 00:00:00,87.25,87.5,87.5,87.5,384
2017-03-02 00:00:00,87.5,87.75,87.25,87.25,21688
2017-03-01 00:00:00,91.0,93.0,87.0,87.5,56061
2017-02-28 00:00:00,92.0,93.75,91.25,92.25,5632
