Dates,Open,High,Low,Close,Volume
2016-12-09 00:00:00,79.2,79.65,78.45,79.2,801457
2016-12-08 00:00:00,79.35,79.5,78.15,79.05,1274715
2016-12-07 00:00:00,76.85,78.9,76.55,78.9,1095895
2016-12-06 00:00:00,76.2,76.85,75.7,76.05,843574
2016-12-05 00:00:00,76.4,76.65,75.15,76.2,789620
2016-12-02 00:00:00,77.5,77.55,76.1,76.4,625024
2016-12-01 00:00:00,79.6,79.6,76.85,77.4,922634
2016-11-30 00:00:00,80.9,81.25,78.65,79.2,904959
2016-11-29 00:00:00,78.85,81.4,78.5,80.4,648252
2016-11-28 00:00:00,79.5,79.5,78.65,79.0,457090
2016-11-25 00:00:00,79.6,79.7,78.55,79.5,252823
2016-11-24 00:00:00,78.65,79.6,78.45,79.55,284770
2016-11-23 00:00:00,79.4,80.0,78.5,78.65,341856
2016-11-22 00:00:00,80.1,80.55,79.15,79.4,390392
2016-11-21 00:00:00,80.35,80.35,78.15,80.0,706422
2016-11-18 00:00:00,78.3,80.35,78.1,79.95,477183
2016-11-17 00:00:00,78.25,78.6,77.2,78.4,398480
2016-11-16 00:00:00,77.8,78.55,77.1,77.75,691494
2016-11-15 00:00:00,78.1,78.35,77.2,77.65,404029
2016-11-14 00:00:00,78.75,78.95,77.1,77.8,511163
2016-11-11 00:00:00,79.0,79.05,76.95,76.95,506542
2016-11-10 00:00:00,79.75,80.0,77.9,78.6,1141998
2016-11-09 00:00:00,77.85,80.65,77.35,78.65,2062008
2016-11-08 00:00:00,83.05,83.05,80.8,80.85,754424
2016-11-07 00:00:00,83.0,83.5,81.6,82.55,685215
2016-11-04 00:00:00,84.75,84.75,82.3,82.3,694691
2016-11-03 00:00:00,81.75,84.75,81.75,84.75,1602700
2016-11-02 00:00:00,84.75,85.0,80.5,81.65,3257990
2016-11-01 00:00:00,79.7,80.65,79.25,80.35,985497
2016-10-31 00:00:00,81.0,81.0,79.25,79.7,574673
2016-10-28 00:00:00,79.6,80.45,78.0,80.3,787359
2016-10-27 00:00:00,79.45,79.6,77.7,79.35,562848
