Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,28.3,28.3,27.8,27.9,55508
2017-09-07 00:00:00,27.8,28.3,27.8,28.3,69236
2017-09-06 00:00:00,27.9,28.0,27.5,27.8,123816
2017-09-04 00:00:00,27.6,28.6,27.6,28.5,50577
2017-09-01 00:00:00,28.9,28.9,28.5,28.9,87377
2017-08-31 00:00:00,28.2,28.7,28.2,28.4,109748
2017-08-30 00:00:00,27.9,28.3,27.7,28.1,169519
2017-08-29 00:00:00,28.2,28.5,27.9,28.0,76799
2017-08-28 00:00:00,28.7,28.7,28.2,28.5,83265
2017-08-25 00:00:00,28.9,29.0,28.5,28.7,50393
2017-08-24 00:00:00,28.8,28.8,28.5,28.8,68132
2017-08-23 00:00:00,28.5,28.8,28.3,28.6,39702
2017-08-22 00:00:00,28.5,28.7,28.2,28.5,52727
2017-08-21 00:00:00,28.5,28.7,28.3,28.5,54721
2017-08-18 00:00:00,28.8,28.8,28.3,28.4,89964
2017-08-17 00:00:00,29.3,29.3,28.7,29.0,74919
2017-08-16 00:00:00,29.5,29.8,29.1,29.2,182834
2017-08-15 00:00:00,29.4,29.5,29.0,29.4,83481
2017-08-14 00:00:00,29.5,29.6,29.1,29.4,138440
2017-08-11 00:00:00,29.4,29.4,28.8,29.0,222201
2017-08-10 00:00:00,29.9,29.9,29.4,29.4,133265
2017-08-09 00:00:00,29.7,29.9,29.0,29.9,96610
2017-08-08 00:00:00,29.8,30.0,29.6,29.6,116063
2017-08-07 00:00:00,29.5,29.9,29.4,29.8,368709
2017-08-04 00:00:00,28.1,28.8,27.9,28.6,180987
2017-08-03 00:00:00,28.1,28.2,28.0,28.1,63029
2017-08-02 00:00:00,27.9,28.5,27.5,28.1,181709
2017-08-01 00:00:00,27.1,27.9,27.1,27.9,106694
2017-07-31 00:00:00,27.5,27.7,27.5,27.5,73026
2017-07-28 00:00:00,27.9,27.9,27.4,27.5,54304
2017-07-27 00:00:00,27.6,27.9,27.3,27.9,25999
2017-07-26 00:00:00,27.6,28.0,27.5,27.5,74122
2017-07-25 00:00:00,28.1,28.1,27.3,27.6,66830
2017-07-24 00:00:00,28.2,28.2,27.5,28.0,183903
2017-07-21 00:00:00,28.5,28.5,28.1,28.1,81358
2017-07-20 00:00:00,28.1,28.2,28.1,28.2,130862
2017-07-19 00:00:00,28.3,28.6,28.1,28.2,59026
2017-07-18 00:00:00,28.2,28.4,27.8,28.1,316587
2017-07-17 00:00:00,28.4,28.6,28.0,28.2,110787
2017-07-14 00:00:00,28.3,28.4,28.2,28.4,55328
2017-07-13 00:00:00,28.2,28.5,28.1,28.3,105610
2017-07-12 00:00:00,28.9,29.0,28.1,28.2,338144
2017-07-11 00:00:00,28.1,28.2,27.6,27.9,391720
2017-07-10 00:00:00,27.7,28.1,27.6,27.8,473587
2017-07-07 00:00:00,27.5,27.8,27.5,27.7,478545
2017-07-06 00:00:00,27.7,28.0,27.5,27.5,216729
2017-07-05 00:00:00,28.0,28.1,27.9,28.0,131150
2017-07-04 00:00:00,28.1,28.1,27.8,28.0,121658
2017-07-03 00:00:00,28.2,28.5,28.1,28.2,269163
2017-06-30 00:00:00,28.5,28.5,28.1,28.1,168796
2017-06-29 00:00:00,28.2,28.4,27.9,28.3,207865
2017-06-28 00:00:00,28.5,28.5,27.5,28.2,257002
2017-06-27 00:00:00,28.6,29.1,28.3,28.4,98974
2017-06-26 00:00:00,28.9,29.4,28.6,28.6,89713
2017-06-23 00:00:00,,28.9,28.9,28.9,0
2017-06-22 00:00:00,29.2,29.3,28.6,28.9,145230
2017-06-21 00:00:00,29.5,29.5,28.7,29.1,210033
2017-06-20 00:00:00,29.9,29.9,29.4,29.4,217415
2017-06-19 00:00:00,29.2,29.9,29.1,29.5,376537
2017-06-16 00:00:00,28.6,28.7,28.1,28.2,204721
2017-06-15 00:00:00,29.0,29.2,28.6,28.7,80393
2017-06-14 00:00:00,29.0,29.1,28.7,28.7,63732
2017-06-13 00:00:00,28.2,29.1,28.1,28.7,121828
2017-06-12 00:00:00,29.0,29.0,28.3,28.3,169612
2017-06-09 00:00:00,29.4,29.4,28.7,29.0,203225
2017-06-08 00:00:00,29.7,29.9,29.5,29.6,214492
2017-06-07 00:00:00,28.2,29.7,28.2,29.4,457015
2017-06-06 00:00:00,,27.8,27.8,27.8,0
