Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,659.0,669.0,650.0,656.0,20444
2017-09-07 00:00:00,642.0,659.0,642.0,659.0,15613
2017-09-06 00:00:00,661.0,664.0,635.0,640.0,19429
2017-09-04 00:00:00,658.0,660.0,648.0,655.0,15612
2017-09-01 00:00:00,667.0,670.0,661.0,665.0,17462
2017-08-31 00:00:00,662.0,670.0,660.0,667.0,24629
2017-08-30 00:00:00,671.0,683.0,658.0,662.0,27044
2017-08-29 00:00:00,677.0,678.0,655.0,672.0,23170
2017-08-28 00:00:00,677.0,689.0,674.0,680.0,10099
2017-08-25 00:00:00,704.0,705.0,683.0,683.0,21579
2017-08-24 00:00:00,700.0,705.0,690.0,702.0,17632
2017-08-23 00:00:00,700.0,707.0,698.0,700.0,30444
2017-08-22 00:00:00,699.0,703.0,697.0,700.0,39342
2017-08-21 00:00:00,693.0,700.0,691.0,696.0,21667
2017-08-18 00:00:00,682.0,697.0,682.0,693.0,14247
2017-08-17 00:00:00,695.0,697.0,686.0,688.0,16647
2017-08-16 00:00:00,685.0,700.0,685.0,690.0,23515
2017-08-15 00:00:00,695.0,700.0,673.0,682.0,21334
2017-08-14 00:00:00,652.0,698.0,652.0,695.0,48763
2017-08-11 00:00:00,652.0,660.0,626.0,649.0,71792
2017-08-10 00:00:00,678.0,680.0,653.0,662.0,37908
2017-08-09 00:00:00,696.0,696.0,676.0,678.0,27547
2017-08-08 00:00:00,699.0,700.0,693.0,699.0,15402
2017-08-07 00:00:00,701.0,717.0,687.0,697.0,60905
2017-08-04 00:00:00,686.0,701.0,681.0,701.0,25336
2017-08-03 00:00:00,682.0,689.0,675.0,686.0,38988
2017-08-02 00:00:00,672.0,689.0,668.0,686.0,70292
2017-08-01 00:00:00,654.0,671.0,650.0,667.0,34833
2017-07-31 00:00:00,639.0,664.0,611.0,654.0,38178
2017-07-28 00:00:00,650.0,670.0,632.0,645.0,25825
2017-07-27 00:00:00,640.0,664.0,637.0,654.0,28839
2017-07-26 00:00:00,642.0,643.0,631.0,637.0,14337
2017-07-25 00:00:00,636.0,641.0,628.0,639.0,14933
2017-07-24 00:00:00,630.0,641.0,627.0,635.0,25436
2017-07-21 00:00:00,631.0,637.0,623.0,634.0,19053
2017-07-20 00:00:00,635.0,639.0,626.0,630.0,22383
2017-07-19 00:00:00,626.0,637.0,620.0,635.0,31801
2017-07-18 00:00:00,620.0,630.0,611.0,620.0,65219
2017-07-17 00:00:00,572.0,638.0,572.0,620.0,108569
2017-07-14 00:00:00,563.0,630.0,560.0,568.0,93623
2017-07-13 00:00:00,539.0,539.0,520.0,526.0,12365
2017-07-12 00:00:00,507.0,542.0,507.0,534.0,37068
2017-07-11 00:00:00,513.0,513.0,502.0,507.0,11546
2017-07-10 00:00:00,511.0,519.0,507.0,507.0,13890
2017-07-07 00:00:00,513.0,519.0,503.0,510.0,12055
2017-07-06 00:00:00,530.0,539.0,510.0,513.0,18595
2017-07-05 00:00:00,516.0,529.0,510.0,528.0,16617
2017-07-04 00:00:00,520.0,535.0,512.0,518.0,17437
2017-07-03 00:00:00,529.0,529.0,508.0,521.0,55513
2017-06-30 00:00:00,534.0,534.0,517.0,529.0,25569
2017-06-29 00:00:00,546.0,553.0,530.0,534.0,18718
2017-06-28 00:00:00,566.0,566.0,539.0,548.0,25039
2017-06-27 00:00:00,570.0,576.0,560.0,566.0,12408
2017-06-26 00:00:00,585.0,585.0,571.0,572.0,10004
2017-06-23 00:00:00,,585.0,585.0,585.0,0
2017-06-22 00:00:00,580.0,587.0,571.0,585.0,10698
2017-06-21 00:00:00,579.0,581.0,568.0,581.0,18851
2017-06-20 00:00:00,589.0,589.0,578.0,582.0,11735
2017-06-19 00:00:00,580.0,588.0,578.0,588.0,32923
2017-06-16 00:00:00,570.0,579.0,570.0,577.0,17468
2017-06-15 00:00:00,572.0,578.0,570.0,573.0,28826
2017-06-14 00:00:00,565.0,573.0,561.0,572.0,20806
2017-06-13 00:00:00,550.0,564.0,550.0,561.0,11301
2017-06-12 00:00:00,565.0,570.0,543.0,550.0,11528
2017-06-09 00:00:00,561.0,570.0,553.0,565.0,38804
2017-06-08 00:00:00,565.0,573.0,561.0,565.0,26053
2017-06-07 00:00:00,555.0,568.0,548.0,565.0,30335
2017-06-06 00:00:00,,560.0,560.0,560.0,0
2017-06-05 00:00:00,567.0,570.0,555.0,560.0,15175
2017-06-02 00:00:00,565.0,570.0,562.0,568.0,27561
2017-06-01 00:00:00,535.0,577.0,535.0,569.0,43665
2017-05-31 00:00:00,519.0,544.0,519.0,544.0,45214
2017-05-30 00:00:00,522.0,525.0,518.0,520.0,144242
2017-05-29 00:00:00,526.0,526.0,519.0,522.0,8231
2017-05-26 00:00:00,535.0,535.0,522.0,527.0,11243
2017-05-24 00:00:00,525.0,537.0,524.0,531.0,78786
2017-05-23 00:00:00,525.0,528.0,523.0,526.0,21607
2017-05-22 00:00:00,525.0,527.0,514.0,525.0,9574
2017-05-19 00:00:00,520.0,526.0,512.0,524.0,16587
2017-05-18 00:00:00,524.0,524.0,492.5,513.0,50390
2017-05-17 00:00:00,537.0,537.0,519.0,533.0,22030
2017-05-16 00:00:00,521.0,538.0,521.0,537.0,15454
2017-05-15 00:00:00,528.0,533.0,513.0,528.0,19752
2017-05-12 00:00:00,525.0,527.0,527.0,527.0,15578
2017-05-11 00:00:00,529.0,529.0,515.0,525.0,18322
2017-05-10 00:00:00,530.0,530.0,521.0,530.0,19397
2017-05-09 00:00:00,534.0,534.0,521.0,530.0,14887
2017-05-08 00:00:00,530.0,535.0,525.0,534.0,21336
2017-05-05 00:00:00,521.0,533.0,521.0,524.0,21036
2017-05-04 00:00:00,515.0,524.0,513.0,521.0,22148
2017-05-03 00:00:00,514.0,515.0,501.0,510.0,22558
2017-05-02 00:00:00,503.0,514.0,500.0,514.0,17705
2017-05-01 00:00:00,,505.0,505.0,505.0,0
2017-04-28 00:00:00,515.0,517.0,494.0,505.0,13980
2017-04-27 00:00:00,502.0,511.0,496.5,510.0,22304
2017-04-26 00:00:00,494.5,505.0,489.0,503.0,24360
2017-04-25 00:00:00,471.0,496.0,471.0,495.0,61740
2017-04-24 00:00:00,451.0,458.0,444.5,456.5,15188
2017-04-21 00:00:00,468.5,469.0,453.5,454.0,15078
2017-04-20 00:00:00,460.0,468.5,454.0,465.5,15258
2017-04-19 00:00:00,460.0,463.5,454.0,461.5,14617
2017-04-18 00:00:00,467.5,474.5,459.0,466.5,18586
2017-04-13 00:00:00,470.0,473.0,464.0,467.0,13584
2017-04-12 00:00:00,470.0,470.0,462.5,470.0,28728
2017-04-11 00:00:00,471.0,471.0,463.5,468.0,29574
2017-04-10 00:00:00,445.0,473.0,441.5,471.0,30466
2017-04-07 00:00:00,435.0,453.5,435.0,450.0,17562
2017-04-06 00:00:00,435.5,444.5,431.0,443.0,15158
2017-04-05 00:00:00,450.5,452.0,437.5,442.5,17882
2017-04-04 00:00:00,434.5,455.0,434.0,444.5,30982
2017-04-03 00:00:00,429.0,434.5,426.0,433.0,13794
2017-03-31 00:00:00,430.0,431.5,421.0,429.0,13424
2017-03-30 00:00:00,429.0,434.0,425.0,430.0,12489
2017-03-29 00:00:00,425.0,428.0,417.5,427.0,16019
2017-03-28 00:00:00,426.0,432.0,420.0,425.0,12562
2017-03-27 00:00:00,420.0,434.5,415.5,426.5,17612
2017-03-24 00:00:00,441.0,441.0,425.5,425.5,14276
2017-03-23 00:00:00,433.5,444.0,430.5,440.0,13709
2017-03-22 00:00:00,443.0,443.0,430.0,433.0,25712
2017-03-21 00:00:00,456.0,456.0,443.0,443.0,24125
2017-03-20 00:00:00,449.5,456.0,445.0,452.0,7103
2017-03-17 00:00:00,453.0,453.0,445.0,445.5,13429
2017-03-16 00:00:00,445.0,455.0,445.0,453.0,17754
2017-03-15 00:00:00,445.0,447.5,440.0,445.5,14964
2017-03-14 00:00:00,448.0,454.0,443.0,445.0,16486
2017-03-13 00:00:00,436.0,457.5,436.0,448.0,21610
2017-03-10 00:00:00,430.0,437.5,437.5,437.5,25879
2017-03-09 00:00:00,441.0,441.0,431.5,432.0,9578
2017-03-08 00:00:00,439.0,441.0,431.5,439.5,10300
2017-03-07 00:00:00,441.0,441.5,430.0,438.0,28408
2017-03-06 00:00:00,440.0,444.5,440.0,442.0,20082
2017-03-03 00:00:00,445.0,444.5,444.5,444.5,12959
2017-03-02 00:00:00,449.5,450.0,445.5,448.0,9160
2017-03-01 00:00:00,441.5,448.5,441.5,448.0,12058
2017-02-28 00:00:00,435.0,445.0,432.5,441.0,21422
2017-02-27 00:00:00,433.0,436.5,431.5,432.5,10616
2017-02-24 00:00:00,433.0,440.0,430.0,434.0,25375
2017-02-23 00:00:00,444.0,444.0,429.0,433.0,18994
