Dates;Open;High;Low;Close;Volume
2017-12-27;322.1;324.3;317.6;319.9;450603
2017-12-22;324.3;324.9;321.0;322.1;413622
2017-12-21;321.8;324.7;320.1;324.3;502427
2017-12-20;321.9;325.1;320.4;321.7;776387
2017-12-19;324.0;325.7;321.0;321.0;529739
2017-12-18;316.5;325.0;316.5;323.9;870781
2017-12-15;313.5;315.6;312.5;313.7;828054
2017-12-14;312.4;317.5;312.4;313.7;558798
2017-12-13;317.2;317.2;311.5;312.4;638085
2017-12-12;318.5;319.2;315.2;318.3;546038
2017-12-11;317.6;320.8;317.0;317.9;870486
2017-12-08;320.0;321.8;316.3;316.3;1312133
2017-12-07;318.1;322.5;317.1;317.1;962161
2017-12-06;316.8;319.8;313.4;318.1;697086
2017-12-05;321.0;323.0;316.3;318.5;1395464
2017-12-04;320.0;325.9;318.9;321.0;1286802
2017-12-01;322.0;324.7;315.8;315.8;1409047
2017-11-30;328.5;329.3;321.6;321.6;1186518
2017-11-29;335.0;335.0;326.7;326.8;612444
2017-11-28;330.1;334.0;330.0;332.4;481588
2017-11-27;329.5;332.6;327.4;329.3;622940
2017-11-24;329.5;331.0;327.7;329.3;442445
2017-11-23;330.2;332.0;328.9;329.5;407289
2017-11-22;337.5;339.0;331.5;331.5;564929
2017-11-21;332.5;338.7;331.2;337.4;684139
2017-11-20;327.5;334.3;325.5;332.7;461172
2017-11-17;330.8;332.2;327.0;327.9;702700
2017-11-16;327.6;331.2;325.7;330.3;593119
2017-11-15;321.2;326.8;321.2;326.2;935559
2017-11-14;324.6;328.1;323.2;323.9;980384
2017-11-13;327.5;327.8;321.8;323.6;1291957
2017-11-10;327.9;329.4;326.4;327.2;999575
2017-11-09;334.0;334.8;326.7;328.2;799743
2017-11-08;334.9;336.2;331.6;334.0;1011096
2017-11-07;335.0;337.9;333.9;334.6;533795
2017-11-06;338.0;338.5;333.6;335.1;822556
2017-11-03;334.8;338.4;334.8;338.1;310600
2017-11-02;334.2;334.4;331.2;333.3;625243
2017-11-01;334.0;336.5;333.5;334.1;563629
2017-10-31;331.2;333.2;331.1;332.5;643046
2017-10-30;331.9;331.9;329.4;330.0;615991
2017-10-27;331.9;332.3;329.7;330.8;758701
2017-10-26;327.8;333.1;327.8;332.8;816376
2017-10-25;323.9;327.8;322.4;327.8;1160426
2017-10-24;324.0;327.8;321.7;323.5;1211109
2017-10-23;325.0;327.5;324.3;326.1;912795
2017-10-20;323.0;326.8;322.8;325.5;1051890
2017-10-19;317.0;321.8;316.8;321.8;1259510
2017-10-18;310.0;317.4;305.3;317.0;1665996
2017-10-17;312.5;314.2;309.7;309.7;738439
2017-10-13;314.6;314.6;312.2;313.3;843312
2017-10-12;315.0;315.4;313.3;313.6;519270
2017-10-11;313.7;315.3;312.2;315.0;772688
2017-10-10;312.1;313.4;310.3;312.7;570604
2017-10-09;313.0;314.0;310.8;312.4;943414
2017-10-06;317.0;317.4;311.5;311.7;963493
2017-10-05;318.1;319.6;315.6;315.9;734944
2017-10-04;317.3;319.4;316.3;318.9;971080
2017-10-03;318.2;319.5;316.8;317.0;977557
2017-10-02;316.4;317.7;314.4;316.3;1081594
2017-09-29;314.1;315.8;310.7;315.8;991359
2017-09-28;307.9;314.2;307.3;314.1;1059015
2017-09-27;304.0;307.9;303.2;306.9;694537
2017-09-26;300.6;304.3;300.6;303.4;655717
