Dates;Open;High;Low;Close;Volume
2017-12-27;130.2;131.8;129.5;131.4;21903
2017-12-22;132.3;132.9;129.0;130.2;30469
2017-12-21;131.3;132.6;129.8;132.1;40724
2017-12-20;133.2;134.7;130.7;131.3;30391
2017-12-19;135.8;138.5;132.5;133.2;26515
2017-12-18;134.3;136.7;134.3;136.0;27395
2017-12-15;132.9;135.7;132.9;135.7;46881
2017-12-14;136.0;136.0;135.0;135.5;43961
2017-12-13;135.3;136.2;134.0;135.7;23932
2017-12-12;132.2;135.0;131.5;135.0;137636
2017-12-11;131.9;132.5;131.1;132.2;119848
2017-12-08;131.4;132.7;130.0;131.1;34534
2017-12-07;129.9;132.7;129.5;131.2;137536
2017-12-06;133.0;133.0;129.9;129.9;22069
2017-12-05;132.2;133.7;132.2;133.2;25704
2017-12-04;128.1;132.9;128.1;132.2;39061
2017-12-01;130.2;131.3;127.9;127.9;28181
2017-11-30;129.8;130.5;127.8;130.5;77041
2017-11-29;129.9;131.6;129.0;129.0;45948
2017-11-28;130.8;131.8;129.1;129.9;16904
2017-11-27;132.1;132.1;130.5;130.5;19975
2017-11-24;132.5;132.8;131.4;131.8;11550
2017-11-23;131.2;133.0;131.2;132.4;15533
2017-11-22;134.0;134.0;130.4;131.1;23246
2017-11-21;133.0;134.7;130.6;134.0;19380
2017-11-20;134.6;134.6;132.4;133.1;25052
2017-11-17;136.6;136.6;134.0;134.6;27866
2017-11-16;134.0;136.6;133.6;136.6;16400
2017-11-15;135.9;135.9;132.2;134.0;27794
2017-11-14;133.4;136.5;132.2;133.3;24462
2017-11-13;135.4;135.7;131.6;133.4;182249
2017-11-10;135.6;135.7;133.7;135.0;149646
2017-11-09;135.0;135.9;133.7;134.4;139763
2017-11-08;134.6;136.9;134.3;134.9;13186
2017-11-07;136.4;136.8;134.6;135.3;26758
2017-11-06;138.9;138.9;136.1;136.2;15735
2017-11-03;136.9;139.0;136.9;139.0;32439
2017-11-02;137.0;138.0;136.2;136.8;13388
2017-11-01;139.3;139.3;136.5;137.0;33331
2017-10-31;138.4;139.2;138.4;138.8;14562
2017-10-30;137.0;138.2;136.8;137.8;10060
2017-10-27;137.0;138.0;135.9;136.8;39622
2017-10-26;137.4;138.0;136.5;137.6;30261
2017-10-25;141.1;141.1;133.1;137.0;34468
2017-10-24;142.2;142.5;137.6;138.4;41347
2017-10-23;145.8;146.5;142.5;142.8;39849
2017-10-20;145.8;147.6;144.8;146.0;46292
2017-10-19;144.5;146.7;144.5;146.6;33426
2017-10-18;145.5;146.7;144.2;144.3;34454
2017-10-17;144.0;146.8;143.1;143.9;50759
2017-10-13;141.1;142.5;140.7;141.9;10850
2017-10-12;142.0;143.4;141.8;141.8;10111
2017-10-11;142.9;143.0;141.8;142.4;13870
2017-10-10;144.0;144.0;142.6;143.2;15656
2017-10-09;143.7;143.9;143.0;143.8;9370
2017-10-06;145.9;145.9;141.7;143.7;16299
2017-10-05;145.3;146.0;145.0;145.0;17059
