Dates;Open;High;Low;Close;Volume
2017-12-27;1064.0;1066.0;1059.0;1063.0;119982
2017-12-22;1073.0;1077.0;1064.0;1066.0;179723
2017-12-21;1070.0;1084.0;1062.0;1080.0;268824
2017-12-20;1072.0;1073.0;1059.0;1066.0;279698
2017-12-19;1086.0;1090.0;1074.0;1078.0;178918
2017-12-18;1074.0;1090.0;1074.0;1088.0;356708
2017-12-15;1061.0;1073.0;1056.0;1073.0;297307
2017-12-14;1060.0;1067.0;1055.0;1064.0;296755
2017-12-13;1089.0;1091.0;1072.0;1072.0;216871
2017-12-12;1089.0;1104.0;1082.0;1087.0;458770
2017-12-11;1089.0;1090.0;1072.0;1088.0;319387
2017-12-08;1088.0;1094.0;1084.0;1093.0;367972
2017-12-07;1071.0;1084.0;1071.0;1084.0;203159
2017-12-06;1077.0;1086.0;1069.0;1070.0;337108
2017-12-05;1078.0;1090.0;1076.0;1086.0;342249
2017-12-04;1083.0;1099.0;1082.0;1083.0;482226
2017-12-01;1069.0;1085.0;1056.0;1072.0;588875
2017-11-30;1062.0;1077.0;1058.0;1062.0;357730
2017-11-29;1060.0;1069.0;1056.0;1056.0;272570
2017-11-28;1044.0;1057.0;1040.0;1057.0;256223
2017-11-27;1026.0;1043.0;1025.0;1038.0;174300
2017-11-24;1029.0;1033.0;1024.0;1028.0;82842
2017-11-23;1038.0;1042.0;1027.0;1027.0;114692
2017-11-22;1040.0;1042.0;1032.0;1037.0;154448
2017-11-21;1040.0;1050.0;1036.0;1040.0;198961
2017-11-20;1019.0;1049.0;1014.0;1045.0;345043
2017-11-17;1015.0;1023.0;1008.0;1020.0;365821
2017-11-16;1014.0;1017.0;1005.0;1010.0;223901
2017-11-15;1030.0;1030.0;1008.0;1019.0;317743
2017-11-14;1030.0;1037.0;1029.0;1037.0;157189
2017-11-13;1031.0;1035.0;1015.0;1029.0;235509
2017-11-10;1032.0;1034.0;1018.0;1030.0;180265
2017-11-09;1046.0;1050.0;1033.0;1037.0;165014
2017-11-08;1053.0;1058.0;1036.0;1043.0;219055
2017-11-07;1055.0;1061.0;1051.0;1059.0;171207
2017-11-06;1060.0;1064.0;1052.0;1058.0;168383
2017-11-03;1064.0;1070.0;1062.0;1065.0;74364
2017-11-02;1054.0;1059.0;1047.0;1057.0;165583
2017-11-01;1050.0;1065.0;1050.0;1057.0;231855
2017-10-31;1030.0;1050.0;1030.0;1050.0;246793
2017-10-30;1041.0;1043.0;1029.0;1030.0;321712
2017-10-27;1030.0;1061.0;1028.0;1043.0;682785
2017-10-26;1005.0;1038.0;938.0;1024.0;937536
2017-10-25;1020.0;1020.0;1001.0;1005.0;264116
2017-10-24;1004.0;1017.0;1002.0;1017.0;318034
2017-10-23;1000.0;1011.0;998.0;1007.0;200448
2017-10-20;1011.0;1013.0;999.5;1000.0;456612
2017-10-19;1018.0;1021.0;995.5;1005.0;319502
2017-10-18;1024.0;1032.0;1019.0;1023.0;160724
2017-10-17;1027.0;1028.0;1018.0;1024.0;263133
