Dates;Open;High;Low;Close;Volume
2017-12-27;158.5;160.5;158.5;160.4;204001
2017-12-22;159.6;160.0;157.9;158.8;149324
2017-12-21;158.9;160.3;158.7;159.6;202093
2017-12-20;159.6;160.7;158.8;159.0;230568
2017-12-19;159.2;161.1;158.8;160.0;318291
2017-12-18;158.0;159.8;157.7;159.2;423683
2017-12-15;158.2;159.0;157.6;157.7;746340
2017-12-14;160.4;160.5;158.4;158.5;214664
2017-12-13;160.0;160.9;159.2;160.1;350169
2017-12-12;160.0;160.5;159.1;160.0;200948
2017-12-11;159.1;160.8;158.7;160.0;373430
2017-12-08;161.0;161.5;159.3;159.3;238096
2017-12-07;159.4;161.7;159.4;161.0;301730
2017-12-06;158.4;160.2;157.6;159.3;385563
2017-12-05;159.0;160.0;158.5;158.7;400080
2017-12-04;159.0;159.6;158.6;159.0;292181
2017-12-01;157.5;159.4;157.4;158.4;455739
2017-11-30;156.8;158.0;155.7;157.6;514778
2017-11-29;156.8;157.1;156.0;156.6;263659
2017-11-28;155.0;157.0;154.1;156.4;265658
2017-11-27;155.7;155.7;153.1;154.6;316783
2017-11-24;155.5;156.2;154.7;155.7;234032
2017-11-23;156.1;157.0;154.8;155.5;465825
2017-11-22;153.1;156.7;152.6;156.3;650994
2017-11-21;152.8;153.4;151.7;153.3;215666
2017-11-20;152.4;153.3;151.8;152.9;228027
2017-11-17;153.1;153.1;151.3;152.7;220567
2017-11-16;150.9;153.0;150.5;152.6;253923
2017-11-15;152.9;152.9;150.3;150.7;220454
2017-11-14;151.3;153.4;151.3;152.9;337520
2017-11-13;151.0;151.2;149.5;151.2;289802
2017-11-10;150.8;151.2;149.5;150.3;221811
2017-11-09;151.8;152.0;149.8;150.6;339199
2017-11-08;152.1;152.8;150.7;151.8;364527
2017-11-07;153.4;154.0;151.7;151.8;256155
2017-11-06;153.8;154.3;152.3;153.1;404336
2017-11-03;152.4;154.4;152.3;153.8;208110
2017-11-02;151.4;153.0;151.3;152.3;297373
2017-11-01;151.5;152.3;150.5;151.4;439320
2017-10-31;151.1;153.4;151.1;151.4;326101
2017-10-30;151.5;152.2;150.6;151.0;368171
2017-10-27;152.6;153.5;151.1;151.5;378221
2017-10-26;150.2;153.1;149.8;152.5;485800
2017-10-25;151.0;151.8;150.1;150.4;333075
2017-10-24;152.1;153.2;150.3;151.0;406986
2017-10-23;154.1;155.3;152.4;152.7;787568
2017-10-20;150.7;155.4;150.1;154.1;1405389
2017-10-19;144.5;150.8;144.3;150.7;1501833
2017-10-18;142.5;142.9;141.7;142.3;313993
2017-10-17;141.7;142.2;140.7;141.9;452124
2017-10-13;141.6;142.5;141.3;142.0;325091
2017-10-12;140.7;142.0;140.7;141.2;357901
2017-10-11;140.6;141.6;140.2;140.9;241039
2017-10-10;141.4;142.2;140.5;140.6;365184
2017-10-09;141.3;142.2;141.0;141.3;333137
2017-10-06;141.5;141.8;140.4;141.2;270568
2017-10-05;140.5;141.6;140.0;141.5;310868
2017-10-04;140.9;142.3;140.1;140.4;381999
2017-10-03;140.6;141.3;139.2;140.8;583988
2017-10-02;140.0;140.9;139.6;140.4;371202
2017-09-29;138.5;140.5;138.5;139.7;352917
2017-09-28;139.1;139.3;137.4;138.5;752141
2017-09-27;140.3;140.3;135.7;139.0;2045850
2017-09-26;144.8;144.8;143.7;144.3;250069
2017-09-25;144.4;145.1;144.2;144.4;247799
2017-09-22;144.3;145.0;143.8;144.2;175503
2017-09-21;144.5;145.1;143.6;144.2;275104
2017-09-20;145.6;146.2;144.1;144.2;198641
2017-09-19;144.4;146.7;144.3;145.4;336790
2017-09-18;143.9;144.9;143.7;144.4;324856
2017-09-15;143.7;144.5;143.4;143.5;227616
2017-09-14;143.8;144.8;143.3;143.7;238742
2017-09-13;142.8;144.0;142.6;143.8;694590
2017-09-12;142.3;142.7;142.1;142.5;209024
2017-09-11;143.0;143.1;142.0;142.0;399571
2017-09-08;142.5;143.4;142.2;142.5;299690
2017-09-07;142.0;143.0;141.5;142.8;283750
2017-09-06;141.9;142.0;140.7;141.8;203984
2017-09-04;140.3;141.4;140.1;140.9;203183
2017-09-01;140.8;141.9;140.5;140.8;326201
