Dates;Open;High;Low;Close;Volume
2017-12-27;61.35;61.5;59.95;61.15;913969
2017-12-22;61.7;61.8;60.7;61.35;867214
2017-12-21;60.75;61.9;60.35;61.8;661734
2017-12-20;61.4;62.2;60.8;60.95;832009
2017-12-19;61.6;63.0;61.1;61.55;1375327
2017-12-18;60.0;61.75;60.0;61.5;1179833
2017-12-15;59.6;60.7;59.1;59.95;1174589
2017-12-14;58.95;59.9;58.6;59.9;967124
2017-12-13;59.2;59.4;58.55;58.85;725070
2017-12-12;59.25;59.9;58.9;59.2;555229
2017-12-11;59.0;59.6;58.8;59.2;644502
2017-12-08;59.5;59.95;58.9;59.2;1003745
2017-12-07;58.2;59.9;58.15;59.25;1764167
2017-12-06;58.3;58.5;57.7;58.05;668592
2017-12-05;59.2;59.3;58.15;58.45;1581766
2017-12-04;58.7;59.5;58.35;59.3;857900
2017-12-01;59.05;59.4;58.6;58.7;702897
2017-11-30;59.9;60.15;58.65;58.95;1240975
2017-11-29;60.0;61.2;59.7;59.85;1123529
2017-11-28;59.75;60.45;59.7;59.85;901954
2017-11-27;59.8;60.75;59.4;59.75;1202210
2017-11-24;60.0;60.35;59.55;59.8;644895
2017-11-23;60.1;60.3;59.65;60.05;546312
2017-11-22;60.0;60.45;59.35;60.05;663156
2017-11-21;60.25;61.0;59.65;60.1;756793
2017-11-20;60.1;60.55;59.8;60.3;546529
2017-11-17;61.4;61.4;59.9;60.15;828182
2017-11-16;59.6;61.7;59.55;61.4;937279
2017-11-15;60.0;60.15;59.0;59.6;890476
2017-11-14;60.75;60.95;59.8;60.05;964114
2017-11-13;61.2;62.0;60.25;60.75;1183752
2017-11-10;61.8;62.35;60.8;61.0;1536482
2017-11-09;63.55;63.55;61.55;61.8;1668123
2017-11-08;65.0;65.0;62.9;63.7;1328341
2017-11-07;65.5;65.5;64.55;64.85;530881
2017-11-06;64.8;65.4;64.05;65.35;748091
2017-11-03;65.45;65.7;64.6;64.8;489807
2017-11-02;65.2;65.9;64.5;65.4;873537
2017-11-01;65.75;65.8;64.85;65.25;992760
2017-10-31;66.1;66.35;65.4;65.7;1051385
2017-10-30;66.9;67.2;65.55;66.05;1316373
2017-10-27;64.4;66.8;64.3;66.75;2109933
2017-10-26;64.5;65.0;63.35;64.25;1375689
2017-10-25;63.0;65.65;62.5;64.3;2320498
2017-10-24;64.45;64.7;62.3;63.0;4073611
2017-10-23;67.5;67.5;64.3;64.65;4571741
2017-10-20;70.0;71.0;67.35;68.05;6100100
2017-10-19;73.85;73.95;73.0;73.95;749368
2017-10-18;73.55;74.4;73.0;73.9;515669
2017-10-17;73.75;74.1;73.05;73.65;587936
2017-10-13;73.4;74.45;72.8;74.2;738649
2017-10-12;72.7;73.5;72.4;73.4;603058
2017-10-11;72.85;72.85;72.3;72.7;483641
2017-10-10;71.7;73.2;71.6;72.95;959096
2017-10-09;71.75;71.9;70.9;71.7;1074364
2017-10-06;72.3;72.95;71.65;72.7;978590
2017-10-05;73.1;73.1;71.7;72.4;1547981
2017-10-04;74.15;74.3;72.1;73.2;2271735
2017-10-03;74.35;76.0;74.05;75.8;929264
2017-10-02;74.4;75.2;73.7;74.1;485159
2017-09-29;73.3;74.65;72.95;74.25;652914
2017-09-28;73.25;73.5;72.6;73.25;404148
2017-09-27;74.1;74.3;73.2;73.25;419109
2017-09-26;74.25;74.25;73.3;74.0;585801
2017-09-25;74.65;74.9;73.7;74.3;738656
2017-09-22;71.2;75.25;71.0;74.25;1627712
2017-09-21;71.85;72.2;70.95;71.15;773472
2017-09-20;72.0;72.55;71.65;71.9;533745
2017-09-19;72.55;72.55;71.8;72.0;457195
2017-09-18;72.25;73.25;71.75;72.55;554243
2017-09-15;73.05;73.55;71.85;72.1;945293
2017-09-14;72.6;73.25;72.15;73.1;347603
2017-09-13;73.6;73.9;72.4;72.6;528424
2017-09-12;73.5;73.95;73.05;73.6;346914
2017-09-11;72.6;73.95;72.6;73.55;502117
2017-09-08;72.2;72.6;71.7;72.45;431794
2017-09-07;71.0;72.5;71.0;72.2;544686
2017-09-06;70.8;71.1;69.9;70.7;663288
2017-09-04;74.35;74.4;70.7;72.35;2701163
2017-09-01;74.7;75.1;74.3;74.7;312154
2017-08-31;73.5;74.45;73.35;74.2;334297
2017-08-30;74.2;74.5;72.85;73.3;471438
2017-08-29;73.2;74.25;72.6;73.9;537116
2017-08-28;73.5;74.55;73.45;73.5;208980
2017-08-25;74.5;74.8;73.55;73.55;428691
2017-08-24;74.15;74.85;74.15;74.4;283897
2017-08-23;74.55;75.1;74.4;74.6;285218
2017-08-22;74.3;74.95;74.2;74.65;459434
2017-08-21;75.0;75.5;73.65;74.15;523158
2017-08-18;75.0;75.65;74.5;75.3;391247
2017-08-17;76.0;76.05;75.1;75.75;449432
2017-08-16;75.9;76.35;75.25;76.0;399656
2017-08-15;75.85;76.3;75.4;75.65;412109
2017-08-14;74.7;75.85;74.7;75.6;475810
2017-08-11;75.6;75.9;74.25;74.25;1094141
2017-08-10;78.45;78.75;76.6;76.6;759557
2017-08-09;79.0;79.3;77.65;78.35;553693
2017-08-08;79.85;80.0;78.95;79.0;606571
2017-08-07;79.2;80.5;79.2;79.6;921782
2017-08-04;77.55;78.25;76.7;78.05;427668
2017-08-03;78.1;79.1;77.25;77.55;341956
2017-08-02;77.35;78.4;77.35;78.2;346950
2017-08-01;77.8;77.95;77.15;77.45;376607
2017-07-31;77.6;77.9;77.2;77.65;384772
2017-07-28;77.75;77.75;76.6;77.6;371792
2017-07-27;78.1;78.5;77.55;77.8;333329
2017-07-26;77.25;78.15;77.15;78.0;353512
2017-07-25;77.8;78.35;76.7;77.35;626403
2017-07-24;78.4;78.4;77.25;77.8;920695
2017-07-21;77.8;78.65;76.85;78.4;1312796
2017-07-20;78.5;79.2;77.55;77.9;1501201
2017-07-19;74.15;79.6;74.15;77.9;3745395
2017-07-18;71.9;71.9;70.75;71.9;725383
2017-07-17;71.3;72.0;70.35;71.9;463353
2017-07-14;71.1;71.6;70.5;71.2;446447
2017-07-13;70.0;71.15;69.55;70.85;495137
2017-07-12;68.9;70.8;68.9;69.85;653307
2017-07-11;69.8;70.15;68.3;68.7;603538
2017-07-10;70.8;70.85;69.5;69.7;647537
2017-07-07;70.85;71.15;69.75;70.95;590555
2017-07-06;71.2;71.6;70.4;70.85;518731
2017-07-05;71.15;71.4;70.25;70.7;540577
2017-07-04;71.5;71.8;70.95;71.45;498190
2017-07-03;71.95;72.4;69.4;71.5;1119312
2017-06-30;73.4;74.3;73.0;73.0;545654
2017-06-29;73.8;74.75;73.15;73.5;613618
2017-06-28;73.5;74.05;72.85;73.5;1153020
2017-06-27;75.0;75.0;73.4;73.55;1042493
2017-06-26;76.2;77.4;74.65;75.0;998991
2017-06-23;;76.2;76.2;76.2;0
2017-06-22;76.5;76.95;76.0;76.2;429569
2017-06-21;76.0;76.8;75.2;76.4;627851
2017-06-20;75.3;76.45;75.3;75.9;923703
2017-06-19;76.0;76.7;75.2;75.3;772007
2017-06-16;75.7;76.6;75.7;76.0;1056076
2017-06-15;78.0;78.15;75.5;75.6;1098863
2017-06-14;78.8;79.6;77.65;78.0;836436
2017-06-13;77.2;79.75;76.75;78.9;1228289
2017-06-12;77.3;77.6;76.2;76.85;737718
2017-06-09;78.1;78.2;76.8;77.3;1215768
2017-06-08;78.0;78.85;77.6;78.35;718835
2017-06-07;77.9;78.7;77.2;78.25;875003
2017-06-06;;77.4;77.4;77.4;0
2017-06-05;78.9;79.55;77.4;77.4;464158
2017-06-02;79.2;79.75;78.55;78.9;978020
2017-06-01;79.3;80.6;78.7;78.8;843327
2017-05-31;80.05;81.25;78.3;79.25;1224295
2017-05-30;77.55;80.25;77.55;80.15;1255668
2017-05-29;80.9;80.95;77.5;77.5;780773
2017-05-26;78.7;81.35;78.65;80.95;1097730
2017-05-24;76.5;79.15;76.0;79.15;882141
2017-05-23;79.9;81.2;79.9;80.65;930859
2017-05-22;80.6;81.6;79.75;80.0;1420507
2017-05-19;77.2;80.85;76.9;80.35;1335372
2017-05-18;76.35;77.1;75.2;77.0;1072916
2017-05-17;75.5;76.7;74.5;76.25;1438976
2017-05-16;76.05;76.3;74.7;75.65;1003482
2017-05-15;77.1;77.2;75.9;76.25;575955
2017-05-12;77.05;77.4;77.4;77.4;505911
2017-05-11;78.9;79.2;75.95;77.05;813355
2017-05-10;76.75;78.9;76.75;78.8;1126168
2017-05-09;75.85;76.9;75.85;76.65;526480
2017-05-08;76.0;76.3;75.25;75.85;377694
2017-05-05;76.25;76.45;75.7;75.7;453922
2017-05-04;74.35;76.4;74.05;76.25;794933
2017-05-03;75.3;75.4;74.05;74.35;982508
2017-05-02;75.9;75.9;74.8;75.4;1178466
2017-05-01;;75.7;75.7;75.7;0
2017-04-28;75.9;76.2;75.25;75.7;1112117
2017-04-27;81.0;82.4;74.2;75.4;4940925
2017-04-26;78.0;79.95;77.15;79.95;1654512
2017-04-25;78.5;79.2;78.2;78.7;610026
2017-04-24;79.15;79.75;78.2;78.7;617426
2017-04-21;79.6;80.0;78.0;78.05;622499
2017-04-20;79.25;79.95;79.1;79.4;530365
2017-04-19;77.55;79.65;77.4;79.35;991729
2017-04-18;77.75;78.35;77.05;77.65;875408
2017-04-13;77.4;77.75;76.85;77.6;267190
2017-04-12;76.85;77.45;76.6;77.3;429403
2017-04-11;77.6;77.6;76.45;76.85;540198
2017-04-10;77.95;78.15;77.15;77.5;501187
2017-04-07;76.7;77.8;76.5;77.8;532514
2017-04-06;76.7;77.1;75.6;76.7;478871
2017-04-05;76.25;77.15;75.65;76.8;636025
2017-04-04;76.9;77.6;76.35;76.7;530024
2017-04-03;78.0;78.9;76.9;77.25;912286
2017-03-31;77.55;78.75;74.15;78.0;1966536
2017-03-30;76.0;77.65;76.0;77.4;1011503
2017-03-29;74.3;76.3;74.1;75.95;1178735
2017-03-28;74.65;74.85;73.3;74.2;834000
2017-03-27;74.8;74.9;73.7;74.65;637970
2017-03-24;75.75;76.0;74.1;74.8;889574
2017-03-23;74.1;75.7;73.8;75.65;698032
2017-03-22;74.3;74.4;73.1;74.1;1740144
2017-03-21;78.0;78.45;74.4;74.75;1887695
2017-03-20;77.55;78.35;77.2;77.7;886716
2017-03-17;78.05;78.65;77.05;77.5;1063525
2017-03-16;78.6;78.9;77.75;78.0;1012696
2017-03-15;79.4;79.65;78.55;78.6;682079
2017-03-14;81.0;81.1;79.0;79.4;960004
2017-03-13;80.8;81.2;80.5;81.15;482494
2017-03-10;81.1;80.95;80.95;80.95;554161
2017-03-09;79.0;81.2;78.2;80.85;1023682
2017-03-08;80.8;80.8;79.2;79.35;836135
2017-03-07;79.6;80.7;79.5;80.5;571552
2017-03-06;79.7;80.3;77.75;79.5;954181
2017-03-03;80.5;79.7;79.7;79.7;534800
2017-03-02;80.2;80.8;79.75;80.5;428590
2017-03-01;81.0;81.4;79.9;80.3;595219
2017-02-28;80.2;80.9;79.55;80.85;701970
2017-02-27;81.6;81.85;79.65;80.2;756294
2017-02-24;82.8;83.25;81.15;81.5;676326
2017-02-23;81.5;82.85;81.0;82.8;711775
2017-02-22;81.6;82.25;80.55;81.1;866522
2017-02-21;82.1;82.3;80.9;81.45;1277591
2017-02-20;82.5;83.0;81.5;82.05;926623
2017-02-17;82.45;85.65;81.8;82.15;947439
2017-02-16;82.45;83.0;82.05;82.45;764065
2017-02-15;84.7;84.85;82.25;82.25;949247
2017-02-14;84.75;85.4;84.1;84.35;756051
2017-02-13;84.45;84.95;82.45;84.7;1307210
2017-02-10;84.0;85.4;83.6;84.1;1876550
2017-02-09;80.4;82.8;80.25;82.5;2928014
2017-02-08;76.7;78.45;75.8;78.25;959350
2017-02-07;78.0;78.5;76.65;76.7;761483
2017-02-06;78.1;78.15;77.3;78.0;727156
2017-02-03;78.6;78.6;77.55;78.05;2011996
2017-02-02;77.2;79.6;77.0;78.6;1913025
2017-02-01;75.5;77.2;74.4;76.85;1216326
2017-01-31;76.4;76.7;74.55;75.3;1528129
2017-01-30;77.0;77.85;75.8;76.4;1259872
2017-01-27;79.45;79.45;76.65;77.25;1382542
2017-01-26;79.9;79.95;77.55;79.45;1138211
2017-01-25;80.15;80.8;79.65;79.9;812630
2017-01-24;80.95;81.7;79.75;80.0;803860
2017-01-23;83.0;83.1;80.25;80.8;1415105
2017-01-20;84.9;84.95;82.8;83.15;736666
2017-01-19;86.3;86.3;84.0;84.8;565519
2017-01-18;83.45;86.35;83.45;86.3;831546
2017-01-17;84.05;84.3;82.65;83.8;978677
2017-01-16;86.0;86.0;84.05;84.4;970447
2017-01-13;86.55;87.0;86.0;86.55;442008
2017-01-12;88.0;88.05;86.15;86.55;942823
2017-01-11;89.7;90.2;87.85;88.0;948441
2017-01-10;89.6;90.4;89.3;89.6;1043433
2017-01-09;90.0;90.4;88.35;89.2;808311
2017-01-06;;89.9;89.9;89.9;0
2017-01-05;90.7;91.55;89.9;89.9;400159
2017-01-04;91.1;91.2;90.15;90.7;721803
2017-01-03;89.2;91.95;89.2;90.15;1170660
2017-01-02;88.0;89.0;87.5;88.85;454655
2016-12-30;88.0;88.2;86.9;87.9;424029
2016-12-29;86.8;88.3;86.6;88.0;745635
2016-12-28;87.2;87.7;86.6;87.0;720300
2016-12-27;87.55;88.1;86.75;87.0;722445
2016-12-23;88.6;89.15;87.55;87.55;844412
2016-12-22;88.3;89.45;87.55;88.6;671056
2016-12-21;90.6;91.15;88.55;88.65;723541
2016-12-20;92.4;93.0;90.4;90.6;750198
2016-12-19;88.75;92.7;88.7;92.5;1155596
2016-12-16;87.4;89.35;86.95;88.9;1232989
2016-12-15;86.55;87.75;86.0;87.4;822525
2016-12-14;88.2;88.2;85.05;86.55;1330286
2016-12-13;87.0;88.7;86.85;88.25;844289
2016-12-12;87.35;87.95;85.7;87.05;754518
2016-12-09;87.2;88.0;86.65;87.35;680795
2016-12-08;87.35;88.25;86.65;87.3;662083
2016-12-07;87.7;89.55;86.65;87.15;875290
2016-12-06;86.55;87.4;86.2;87.3;458754
2016-12-05;86.5;88.0;85.85;86.7;480904
2016-12-02;90.0;90.4;85.3;86.7;968203
2016-12-01;90.0;90.15;88.65;89.95;496045
2016-11-30;90.7;91.25;88.75;90.15;746867
2016-11-29;89.8;91.1;89.7;90.6;316380
2016-11-28;91.0;93.05;89.65;89.7;515425
2016-11-25;91.2;91.5;90.45;91.0;339402
2016-11-24;89.7;91.35;89.55;91.15;525965
2016-11-23;91.0;91.9;88.95;89.55;684269
2016-11-22;89.6;91.25;89.4;90.6;650625
2016-11-21;91.0;91.0;87.35;89.55;794898
2016-11-18;89.9;91.0;88.35;90.35;511666
2016-11-17;87.15;89.85;86.25;89.65;551727
