Dates;Open;High;Low;Close;Volume
2017-12-27;135.9;137.2;135.6;136.9;536981
2017-12-22;136.6;136.8;135.3;136.1;510886
2017-12-21;137.2;137.3;135.5;136.9;717168
2017-12-20;138.5;138.5;137.1;137.6;490090
2017-12-19;139.5;139.6;138.3;138.5;607779
2017-12-18;137.3;140.0;137.3;139.5;528616
2017-12-15;137.3;137.9;136.2;137.3;875523
2017-12-14;137.2;137.9;137.0;137.3;488292
2017-12-13;137.6;137.9;136.6;137.7;441902
2017-12-12;137.4;137.9;136.9;137.6;460478
2017-12-11;137.9;137.9;136.8;137.4;617886
2017-12-08;137.9;138.1;136.3;137.6;450306
2017-12-07;137.0;137.9;136.6;137.2;640591
2017-12-06;137.3;137.3;135.1;137.0;650060
2017-12-05;136.5;137.7;136.4;137.7;719052
2017-12-04;136.4;137.2;135.2;136.5;513039
2017-12-01;135.9;136.0;135.0;135.1;481142
2017-11-30;135.9;136.6;135.2;135.6;1160592
2017-11-29;136.9;137.0;135.9;135.9;389019
2017-11-28;136.9;137.3;135.8;136.2;435050
2017-11-27;136.4;137.3;136.3;136.9;562495
2017-11-24;134.4;136.6;134.2;136.2;661955
2017-11-23;133.6;134.5;132.7;134.5;389004
2017-11-22;134.7;134.9;133.2;133.5;614819
2017-11-21;133.5;135.0;133.1;134.5;505508
2017-11-20;134.3;134.5;133.2;133.3;526049
2017-11-17;135.6;135.8;133.8;134.4;864603
2017-11-16;134.9;136.4;134.5;135.5;588565
2017-11-15;134.0;134.8;133.1;134.6;667598
2017-11-14;132.9;134.7;132.6;134.1;493143
2017-11-13;133.6;134.1;131.6;132.8;411939
2017-11-10;134.1;134.4;133.3;133.6;417431
2017-11-09;134.3;134.7;133.5;134.0;442558
2017-11-08;134.2;135.1;133.8;134.5;516557
2017-11-07;134.3;134.7;133.6;133.9;737965
2017-11-06;135.1;135.3;134.0;134.4;394680
2017-11-03;134.2;135.5;134.1;135.1;274129
2017-11-02;134.2;135.1;133.9;134.0;616507
2017-11-01;134.3;135.6;133.8;134.2;696362
2017-10-31;133.0;134.6;133.0;134.3;502778
2017-10-30;132.3;133.0;131.6;132.9;554552
2017-10-27;131.4;132.5;131.1;132.3;701351
2017-10-26;130.4;131.2;129.3;131.2;1293043
2017-10-25;131.0;131.3;129.8;130.0;1099106
2017-10-24;131.4;132.1;130.2;130.7;1256292
2017-10-23;132.6;133.0;131.6;131.6;1144570
2017-10-20;133.9;134.8;132.6;132.6;825733
2017-10-19;135.0;135.6;133.5;134.6;1010368
2017-10-18;131.9;134.9;131.3;134.7;1155018
2017-10-17;132.7;132.7;131.0;131.4;982362
2017-10-13;130.4;131.9;129.6;131.1;971049
2017-10-12;127.8;130.5;127.6;130.4;812566
2017-10-11;127.9;128.3;127.4;128.1;645208
2017-10-10;127.7;128.0;127.1;127.8;523329
2017-10-09;126.9;128.2;126.5;127.8;496782
2017-10-06;128.3;128.3;126.7;127.0;484796
2017-10-05;128.0;128.4;127.5;128.4;461731
2017-10-04;128.5;128.6;127.3;128.1;421028
2017-10-03;127.5;128.9;127.5;128.5;646469
2017-10-02;127.8;128.3;127.2;127.5;544142
2017-09-29;125.8;127.8;125.8;127.8;882692
2017-09-28;125.7;126.2;125.2;125.4;631452
2017-09-27;126.7;126.9;125.4;125.6;476545
2017-09-26;127.2;127.9;126.4;126.7;431833
2017-09-25;126.5;127.4;126.2;127.1;431805
2017-09-22;125.9;126.7;125.7;126.5;485153
2017-09-21;128.9;129.3;128.1;128.4;579955
2017-09-20;128.6;129.2;128.3;129.0;571765
2017-09-19;128.7;129.3;128.5;128.5;676815
2017-09-18;128.5;129.2;128.3;128.7;473216
2017-09-15;127.7;128.5;127.3;128.1;1072945
2017-09-14;127.3;127.7;126.8;127.7;736306
2017-09-13;127.1;127.3;126.0;127.3;1105462
2017-09-12;127.9;128.0;126.6;127.1;462736
2017-09-11;126.8;128.3;126.8;127.6;858611
2017-09-08;125.9;126.8;125.2;126.6;787678
2017-09-07;124.2;126.0;124.2;126.0;601273
2017-09-06;123.5;124.2;123.1;124.2;801000
2017-09-04;124.6;125.3;124.4;125.0;612856
2017-09-01;124.2;125.4;124.2;125.1;719951
2017-08-31;123.6;124.8;123.6;124.4;792694
2017-08-30;123.0;123.9;122.5;123.3;789444
2017-08-29;124.3;124.7;122.7;124.7;700986
2017-08-28;124.7;125.3;123.8;124.6;518308
2017-08-25;125.2;125.4;123.5;124.3;616840
2017-08-24;125.9;126.0;125.1;125.2;642798
2017-08-23;125.7;125.7;125.3;125.5;617786
2017-08-22;125.2;126.1;125.1;125.5;297828
2017-08-21;125.0;125.4;124.5;125.3;646238
2017-08-18;125.9;126.2;124.8;125.5;710631
2017-08-17;126.6;126.8;125.9;126.6;352598
2017-08-16;126.2;127.2;126.1;126.7;613129
2017-08-15;127.4;127.6;125.6;126.2;1062654
2017-08-14;125.5;127.2;125.3;127.0;422174
2017-08-11;126.2;126.2;125.4;125.6;505722
2017-08-10;127.5;127.6;126.2;126.5;538152
2017-08-09;128.6;128.9;127.4;127.7;628800
2017-08-08;128.7;128.9;128.0;128.8;642071
2017-08-07;129.0;129.2;128.0;128.9;606425
2017-08-04;128.7;129.0;128.4;128.8;652378
2017-08-03;128.9;129.6;128.5;128.7;658838
2017-08-02;128.4;129.0;127.9;129.0;1565304
2017-08-01;126.6;128.4;125.8;128.4;761915
2017-07-31;125.4;125.9;124.2;125.5;1859709
2017-07-28;127.4;127.4;124.6;125.0;720374
2017-07-27;126.0;127.7;126.0;127.4;598436
2017-07-26;125.0;126.1;124.3;126.0;594883
2017-07-25;124.7;125.4;124.7;125.1;516742
2017-07-24;125.7;126.1;124.8;125.0;492366
2017-07-21;125.8;126.0;124.5;125.9;631877
2017-07-20;124.8;126.4;124.6;125.8;770394
2017-07-19;125.0;125.0;123.3;124.9;595042
2017-07-18;123.7;125.1;123.6;124.9;872900
2017-07-17;124.8;125.1;123.1;123.9;775901
2017-07-14;124.0;124.9;123.7;124.8;670241
2017-07-13;126.4;126.6;123.5;124.1;875246
2017-07-12;123.5;125.7;123.5;125.6;804497
2017-07-11;125.0;125.2;123.1;123.5;553720
2017-07-10;124.1;125.4;123.8;124.9;411688
2017-07-07;122.6;123.4;122.1;123.4;368614
2017-07-06;123.9;124.3;122.1;122.6;531325
2017-07-05;123.6;124.4;122.7;123.9;647301
2017-07-04;123.8;124.1;123.1;123.7;413193
2017-07-03;123.9;124.6;123.6;123.8;483803
2017-06-30;123.5;124.0;122.7;123.7;599340
2017-06-29;124.4;124.9;123.2;123.5;621088
2017-06-28;125.0;125.2;123.9;124.1;805192
2017-06-27;126.0;127.2;124.7;125.0;676125
2017-06-26;127.2;127.2;125.8;126.0;982000
2017-06-23;;127.3;127.3;127.3;0
2017-06-22;127.5;127.5;126.4;127.3;609177
2017-06-21;127.4;128.0;126.6;127.5;937753
2017-06-20;127.5;128.6;127.2;127.5;16367798
2017-06-19;132.8;133.5;132.2;133.2;640152
2017-06-16;132.9;133.3;131.7;132.1;1594117
2017-06-15;133.9;136.9;132.6;132.9;1113473
2017-06-14;133.0;134.0;132.2;132.9;864530
2017-06-13;131.8;133.5;131.8;132.5;462464
2017-06-12;132.0;132.6;131.5;131.6;403053
2017-06-09;131.4;132.8;130.7;132.5;447187
2017-06-08;133.8;134.0;131.5;131.5;882747
2017-06-07;131.6;134.1;131.2;133.2;783520
2017-06-06;;131.6;131.6;131.6;0
2017-06-05;131.2;132.2;131.2;131.6;452006
2017-06-02;131.0;131.6;130.9;131.1;556414
2017-06-01;129.8;131.6;129.6;130.5;707044
2017-05-31;129.6;130.3;128.9;129.7;1045846
2017-05-30;129.0;129.7;128.2;129.6;443817
2017-05-29;129.0;129.5;128.4;128.7;581585
2017-05-26;127.4;129.3;127.4;129.0;1257071
2017-05-24;127.5;127.9;126.7;127.4;223854
2017-05-23;127.4;127.8;126.5;127.0;488313
2017-05-22;125.7;128.1;125.7;127.3;660729
2017-05-19;125.0;126.4;124.4;125.6;514433
2017-05-18;127.0;127.3;124.4;124.6;489915
2017-05-17;126.9;127.9;126.4;127.4;467050
2017-05-16;128.2;128.8;127.3;127.5;752428
2017-05-15;128.4;128.7;128.0;128.5;487734
2017-05-12;127.0;128.2;128.2;128.2;499232
2017-05-11;126.8;127.5;126.4;127.2;620839
2017-05-10;127.8;127.8;126.2;126.8;479866
2017-05-09;126.9;128.4;126.5;127.8;553528
2017-05-08;124.6;126.5;124.6;126.4;620321
2017-05-05;123.4;124.5;122.6;124.5;464312
2017-05-04;123.0;123.4;122.1;123.3;464382
2017-05-03;122.8;123.1;121.5;122.8;549243
2017-05-02;121.8;123.0;120.8;123.0;780294
2017-05-01;;121.3;121.3;121.3;0
2017-04-28;123.6;123.8;120.9;121.3;634947
2017-04-27;123.0;124.1;122.3;123.6;588510
2017-04-26;124.7;124.7;122.6;123.0;735327
2017-04-25;121.0;125.2;120.6;123.8;670975
2017-04-24;121.6;122.0;120.6;121.3;729489
2017-04-21;122.4;122.8;121.5;121.6;1137482
2017-04-20;122.5;122.6;121.8;122.1;457630
2017-04-19;122.7;123.2;122.3;122.5;937958
2017-04-18;120.7;122.9;120.2;122.7;1071636
2017-04-13;120.8;120.8;119.8;120.7;248663
2017-04-12;120.4;121.7;120.0;120.6;869121
2017-04-11;118.8;120.3;118.5;119.9;499478
2017-04-10;118.6;119.2;118.4;119.0;353722
2017-04-07;118.0;118.7;117.3;118.7;446971
2017-04-06;117.9;118.4;117.2;117.9;610490
2017-04-05;117.2;118.7;117.2;118.0;912520
2017-04-04;116.7;117.6;116.3;116.9;837398
2017-04-03;117.6;118.0;116.2;116.9;1049420
2017-03-31;116.0;118.8;115.8;118.8;690614
2017-03-30;117.9;117.9;115.2;116.0;661530
2017-03-29;115.8;117.9;115.8;117.9;572895
2017-03-28;115.5;115.8;114.8;115.8;839781
2017-03-27;116.3;116.3;115.3;115.5;558115
2017-03-24;116.5;117.1;116.1;116.4;448818
2017-03-23;118.4;119.4;118.3;119.1;568293
2017-03-22;120.0;120.1;117.8;118.1;684200
2017-03-21;121.3;121.3;120.0;120.0;627377
2017-03-20;121.0;121.6;120.5;121.0;764110
2017-03-17;119.0;120.9;118.6;120.8;1685496
2017-03-16;117.9;119.0;117.7;118.9;813878
2017-03-15;118.6;118.7;117.2;117.4;469512
2017-03-14;117.5;118.1;117.0;118.0;646221
2017-03-13;117.9;118.3;116.9;117.5;806368
2017-03-10;119.0;117.7;117.7;117.7;995587
2017-03-09;117.6;118.9;116.6;118.5;748444
2017-03-08;119.2;119.3;117.3;117.4;1307563
2017-03-07;121.7;121.9;119.1;119.3;943174
2017-03-06;121.0;121.9;120.5;121.7;517076
2017-03-03;121.8;120.9;120.9;120.9;539444
2017-03-02;122.0;122.3;121.3;121.8;702080
2017-03-01;122.9;123.0;121.6;121.8;720494
2017-02-28;123.1;123.3;122.0;122.3;672690
2017-02-27;125.0;125.0;122.4;122.6;493642
2017-02-24;125.0;125.6;124.0;124.2;305548
2017-02-23;125.0;125.2;124.4;124.8;323283
2017-02-22;123.7;124.8;123.4;124.7;520349
2017-02-21;124.1;124.5;123.3;123.6;368841
2017-02-20;123.4;124.4;123.0;123.8;376879
2017-02-17;123.5;124.0;122.8;123.2;542551
2017-02-16;124.3;124.6;123.1;123.5;455983
2017-02-15;123.3;124.7;123.1;124.3;533021
2017-02-14;122.8;123.6;121.9;122.9;579405
2017-02-13;124.0;124.2;122.5;122.7;571150
2017-02-10;125.3;125.3;123.3;123.3;1177682
2017-02-09;125.6;126.0;124.6;124.8;1015116
2017-02-08;124.4;125.6;123.5;125.0;692336
2017-02-07;123.5;124.4;122.7;123.7;563470
2017-02-06;123.1;124.1;122.3;123.1;648224
2017-02-03;123.0;123.5;122.7;122.9;665849
2017-02-02;122.8;123.0;121.6;122.7;598913
2017-02-01;120.5;122.9;120.5;122.6;723573
2017-01-31;119.7;120.9;119.5;120.5;663950
2017-01-30;119.8;120.2;119.1;119.2;482763
2017-01-27;120.6;121.0;119.2;119.7;394451
2017-01-26;119.3;120.7;118.6;120.4;687102
2017-01-25;119.9;120.2;118.7;118.9;612061
2017-01-24;119.1;119.9;118.8;119.4;551738
2017-01-23;120.0;120.7;118.3;118.5;1355521
2017-01-20;120.1;120.9;119.5;120.0;1060367
2017-01-19;120.4;121.3;118.0;119.2;1266830
2017-01-18;120.0;120.0;118.2;119.4;730899
2017-01-17;120.4;120.5;118.4;119.3;756609
2017-01-16;120.2;120.5;119.7;120.0;485061
2017-01-13;120.3;120.9;119.7;120.2;1242767
2017-01-12;121.4;121.4;119.5;120.3;712724
2017-01-11;121.9;123.0;120.8;121.4;407891
2017-01-10;122.0;122.3;121.1;121.7;715437
2017-01-09;122.0;122.9;121.0;121.7;949463
2017-01-06;;121.7;121.7;121.7;0
2017-01-05;123.1;123.1;121.7;121.7;301336
2017-01-04;122.8;123.1;121.1;122.9;721547
2017-01-03;125.8;125.8;122.0;122.5;759812
2017-01-02;125.0;125.6;124.1;125.0;272233
2016-12-30;122.6;124.9;122.4;124.9;552437
2016-12-29;121.5;122.7;121.2;122.7;357037
2016-12-28;122.5;122.5;121.4;121.7;316681
2016-12-27;122.1;122.8;122.0;122.5;249558
2016-12-23;120.5;122.3;120.2;121.9;449569
2016-12-22;120.9;121.0;119.7;120.1;473158
2016-12-21;120.5;121.0;119.4;120.8;437496
2016-12-20;122.1;122.2;120.7;120.7;681952
2016-12-19;119.5;122.3;119.5;122.0;708700
2016-12-16;118.7;119.8;118.3;119.5;1020054
2016-12-15;119.7;119.7;117.2;118.7;1434571
2016-12-14;121.2;121.2;119.7;119.8;1096960
2016-12-13;118.5;121.8;118.4;121.4;760772
2016-12-12;120.6;120.7;117.6;118.5;980607
2016-12-09;118.0;121.7;117.7;120.7;870960
2016-12-08;118.5;119.3;117.1;117.9;959552
2016-12-07;117.9;118.8;117.5;118.2;597900
2016-12-06;118.0;118.7;116.8;117.9;807211
2016-12-05;117.5;118.8;116.8;117.2;1310320
2016-12-02;119.0;119.5;117.3;117.6;1371234
2016-12-01;121.5;121.8;120.1;120.5;1083836
2016-11-30;121.0;122.5;120.7;121.6;1563858
2016-11-29;120.7;121.1;119.3;120.8;810992
2016-11-28;120.0;120.5;118.2;120.5;930375
2016-11-25;119.0;119.7;118.3;119.5;434416
2016-11-24;120.0;120.1;118.4;118.8;462937
2016-11-23;119.6;121.2;117.4;119.7;1194355
2016-11-22;116.2;117.4;115.8;116.4;536232
2016-11-21;116.1;116.5;114.6;115.9;522448
2016-11-18;115.0;116.9;114.0;115.8;901434
2016-11-17;113.2;115.0;113.0;114.9;649028
2016-11-16;114.9;115.3;112.5;113.4;928485
2016-11-15;112.7;115.4;112.7;114.8;727413
2016-11-14;115.8;116.4;112.3;112.5;665792
2016-11-11;115.8;116.6;114.6;114.9;1121371
2016-11-10;119.0;119.4;114.6;115.0;1622999
2016-11-09;116.5;119.5;115.6;118.3;1012407
2016-11-08;119.5;120.1;118.8;119.6;646147
2016-11-07;119.4;120.0;119.0;119.2;526449
2016-11-04;119.0;119.4;118.2;118.2;380865
2016-11-03;120.0;121.1;119.3;119.3;594421
2016-11-02;119.7;120.9;119.3;119.6;614166
2016-11-01;122.5;122.8;120.0;120.0;464226
2016-10-31;121.9;122.7;121.3;122.4;500611
2016-10-28;121.5;123.1;120.6;122.3;573752
2016-10-27;123.2;123.3;121.4;121.5;598321
2016-10-26;126.0;126.0;122.3;122.7;471039
2016-10-25;125.0;126.5;125.0;125.4;545329
2016-10-24;124.8;125.8;124.4;125.2;379380
2016-10-21;124.8;124.9;124.0;124.8;386014
2016-10-20;124.0;125.2;123.7;124.9;503297
