Dates;Open;High;Low;Close;Volume
2017-12-27;82.8;83.6;82.35;83.45;924528
2017-12-22;84.5;84.5;82.25;82.65;617238
2017-12-21;83.75;84.95;81.5;84.9;1249554
2017-12-20;79.75;84.65;79.75;83.75;2586524
2017-12-19;79.65;80.0;79.4;79.75;288141
2017-12-18;79.1;80.0;79.1;79.65;514368
2017-12-15;78.95;79.1;77.6;78.75;1006746
2017-12-14;80.0;80.0;78.85;79.1;495861
2017-12-13;80.5;80.8;79.5;80.15;574936
2017-12-12;80.1;80.55;79.8;80.0;527261
2017-12-11;80.4;81.8;80.0;80.0;947380
2017-12-08;79.95;80.55;79.25;79.35;483331
2017-12-07;78.25;80.0;78.0;79.75;441778
2017-12-06;80.15;80.15;78.5;78.5;338261
2017-12-05;81.0;81.0;79.65;80.2;421873
2017-12-04;79.6;81.1;79.6;80.65;407253
2017-12-01;79.9;81.15;79.15;80.0;619053
2017-11-30;79.45;80.35;79.35;79.8;1171484
2017-11-29;81.0;81.0;79.2;79.45;624487
2017-11-28;78.0;81.3;77.25;81.05;1558192
2017-11-27;77.5;78.65;76.75;76.75;705263
2017-11-24;79.15;80.2;77.0;77.25;1254450
2017-11-23;78.3;81.25;77.25;77.75;1986405
2017-11-22;76.0;78.35;75.8;76.7;3852456
2017-11-21;70.3;71.7;70.3;71.6;403889
2017-11-20;69.65;70.75;69.0;69.95;411656
2017-11-17;69.6;69.95;69.15;69.4;396273
2017-11-16;68.9;70.0;68.55;69.1;461306
2017-11-15;70.0;70.35;68.85;68.9;433893
2017-11-14;69.2;70.3;69.2;70.0;477184
2017-11-13;71.4;72.4;68.8;69.4;829210
2017-11-10;70.95;71.9;70.9;71.4;481372
2017-11-09;71.9;72.2;70.7;71.0;401623
2017-11-08;72.95;73.3;71.5;71.9;460297
2017-11-07;73.0;73.6;72.4;72.8;545645
2017-11-06;73.45;74.0;72.55;72.95;499834
2017-11-03;72.4;73.9;72.4;73.2;797852
2017-11-02;73.0;73.3;72.0;72.35;592367
2017-11-01;72.8;73.4;72.55;72.9;484503
2017-10-31;73.1;73.8;72.35;72.8;640056
2017-10-30;72.5;73.5;72.0;73.15;1079538
2017-10-27;72.3;72.8;71.0;72.45;991573
2017-10-26;69.6;72.2;69.6;72.2;1403061
2017-10-25;69.55;69.6;69.1;69.55;975257
2017-10-24;66.85;69.75;65.6;69.15;2135097
2017-10-23;66.5;67.0;65.55;65.6;501714
2017-10-20;66.95;67.75;66.3;66.45;806531
2017-10-19;65.8;67.0;65.75;67.0;447801
2017-10-18;66.0;66.2;65.3;65.8;300280
2017-10-17;66.2;66.25;65.25;65.6;340037
2017-10-13;65.15;65.5;64.65;65.4;593982
2017-10-12;64.7;65.8;64.7;65.15;271263
2017-10-11;65.0;65.3;64.05;64.7;571206
2017-10-10;66.05;66.05;64.75;65.0;485524
2017-10-09;66.2;67.05;66.0;66.1;318681
2017-10-06;67.9;67.9;66.15;66.15;360649
2017-10-05;67.65;68.55;67.65;67.9;258207
2017-10-04;69.4;69.4;67.85;68.0;473896
2017-10-03;69.1;69.6;68.65;68.9;723239
2017-10-02;69.3;69.95;68.85;69.1;393669
2017-09-29;68.6;69.4;68.1;69.25;683958
2017-09-28;67.9;68.75;67.9;68.55;663763
2017-09-27;66.4;68.95;66.4;67.85;1464110
2017-09-26;66.5;66.6;66.0;66.5;778866
2017-09-25;66.0;66.75;65.85;66.6;340087
2017-09-22;66.55;66.65;65.8;66.15;182156
2017-09-21;66.25;67.05;65.95;66.45;502718
2017-09-20;67.05;67.2;65.8;66.3;356496
2017-09-19;66.65;67.15;66.45;66.9;177012
2017-09-18;66.35;66.75;66.2;66.4;464903
2017-09-15;66.55;66.85;66.1;66.45;298877
2017-09-14;66.75;67.15;66.35;66.55;383373
2017-09-13;67.0;67.4;66.3;66.5;258035
2017-09-12;68.2;68.2;66.95;67.15;893814
2017-09-11;66.7;68.5;66.35;68.25;1642053
2017-09-08;66.05;66.8;65.75;66.45;468909
2017-09-07;65.75;66.4;65.25;66.35;446225
2017-09-06;66.15;66.8;65.0;65.25;831492
2017-09-04;68.45;68.5;67.4;67.9;422624
2017-09-01;66.8;68.85;66.45;68.5;1314994
2017-08-31;64.55;66.1;64.45;66.1;2090582
2017-08-30;63.25;64.95;63.0;64.65;607720
2017-08-29;62.6;63.7;62.6;63.3;544056
2017-08-28;63.0;63.0;62.5;62.65;488124
2017-08-25;63.5;63.7;62.9;63.0;325184
2017-08-24;64.0;64.2;63.65;63.75;500302
2017-08-23;63.35;64.1;62.9;64.0;396072
2017-08-22;63.65;64.45;63.35;63.65;355289
2017-08-21;63.5;64.45;63.35;63.95;316652
2017-08-18;64.5;64.5;62.5;63.5;552224
2017-08-17;64.0;65.25;63.75;65.0;429184
2017-08-16;64.35;65.2;63.7;64.0;786316
2017-08-15;66.75;67.45;63.95;64.35;1463909
2017-08-14;66.6;67.85;66.4;67.25;520548
2017-08-11;67.9;68.25;66.55;66.75;451176
2017-08-10;68.6;69.15;68.1;68.55;641079
2017-08-09;68.8;68.8;67.65;68.7;266609
2017-08-08;68.1;69.0;68.1;68.9;202181
2017-08-07;69.2;69.2;67.85;68.1;169095
2017-08-04;68.4;68.95;67.5;68.9;161135
2017-08-03;68.5;69.15;68.1;68.45;330288
2017-08-02;68.85;69.2;68.15;68.55;221521
2017-08-01;68.25;68.95;67.95;68.85;330678
2017-07-31;68.7;68.95;68.2;68.25;458320
2017-07-28;68.5;69.3;67.0;68.7;620648
2017-07-27;67.0;67.95;66.65;67.85;310109
2017-07-26;67.0;67.35;66.7;66.95;297051
2017-07-25;67.4;67.55;66.75;67.25;284533
2017-07-24;66.75;67.85;66.25;67.6;513886
2017-07-21;68.05;68.6;66.15;66.9;702423
2017-07-20;69.15;70.2;68.15;68.4;596804
2017-07-19;72.4;72.75;65.0;69.3;1965224
2017-07-18;73.1;75.0;72.25;72.8;949932
2017-07-17;73.95;75.0;73.7;75.0;477286
2017-07-14;74.0;74.15;73.2;73.95;293074
2017-07-13;73.6;74.1;73.0;73.9;564032
