Dates;Open;High;Low;Close;Volume
2017-12-27;54.3;54.8;53.4;54.45;54050
2017-12-22;55.2;55.25;54.15;54.95;19308
2017-12-21;53.55;55.45;53.55;55.25;26867
2017-12-20;54.95;55.05;53.65;53.65;45806
2017-12-19;55.2;55.55;54.75;54.95;29167
2017-12-18;53.55;56.0;53.55;55.35;119204
2017-12-15;54.7;54.7;53.55;53.55;138105
2017-12-14;55.5;55.5;53.5;54.75;28936
2017-12-13;53.3;55.8;53.3;55.5;116897
2017-12-12;52.85;53.45;52.75;53.3;39858
2017-12-11;52.9;52.9;51.85;52.4;14748
2017-12-08;52.8;53.1;52.3;52.75;20043
2017-12-07;52.2;53.2;52.2;52.65;25664
2017-12-06;52.95;52.95;51.5;52.2;28021
2017-12-05;52.6;53.35;51.85;53.25;30789
2017-12-04;52.35;53.5;52.15;52.5;23658
2017-12-01;52.55;52.65;51.55;52.15;54667
2017-11-30;52.9;53.35;52.65;53.05;14046
2017-11-29;53.95;54.35;52.9;52.9;61270
2017-11-28;53.1;53.75;52.6;53.5;57408
2017-11-27;53.65;53.7;53.2;53.35;26466
2017-11-24;53.8;54.0;53.2;53.65;33416
2017-11-23;53.7;54.65;53.2;53.95;53612
2017-11-22;54.4;54.45;53.7;54.45;74760
2017-11-21;52.75;54.6;52.6;54.5;68296
2017-11-20;51.8;52.75;51.35;52.6;21221
2017-11-17;51.1;52.0;51.1;52.0;35018
2017-11-16;50.2;51.25;50.0;51.25;1297173
2017-11-15;50.0;50.05;49.18;50.05;31047
2017-11-14;50.65;50.65;50.2;50.25;46115
2017-11-13;50.5;50.95;49.81;50.75;32769
2017-11-10;50.35;50.5;50.0;50.4;29278
2017-11-09;52.5;52.5;50.4;50.5;89731
2017-11-08;55.15;55.15;52.5;52.9;82357
2017-11-07;55.05;55.3;54.45;55.0;97842
2017-11-06;53.55;54.9;53.4;54.75;89455
2017-11-03;53.15;53.7;53.15;53.6;19093
2017-11-02;53.2;53.45;52.9;53.2;19236
2017-11-01;52.95;53.25;52.55;53.25;14049
2017-10-31;51.9;53.7;51.9;52.85;69953
2017-10-30;51.85;52.35;51.4;51.85;29958
2017-10-27;51.95;52.45;51.6;51.95;60313
2017-10-26;54.25;54.25;50.7;51.9;101883
2017-10-25;53.65;54.5;53.35;54.3;104135
2017-10-24;53.0;53.7;52.9;53.65;33466
2017-10-23;52.65;53.4;51.7;53.15;138047
2017-10-20;49.58;53.4;49.58;52.65;197668
2017-10-19;50.45;50.5;49.16;49.78;34823
2017-10-18;49.85;50.9;49.69;50.4;68561
2017-10-17;49.99;51.25;48.91;49.85;141888
2017-10-13;47.1;49.44;47.1;48.78;94714
2017-10-12;46.94;47.1;46.2;47.1;35682
2017-10-11;47.5;47.5;46.17;46.43;37729
2017-10-10;48.4;48.4;47.19;47.25;63893
2017-10-09;46.97;48.51;46.97;48.37;76343
2017-10-06;46.6;47.17;46.33;46.97;26336
2017-10-05;45.38;46.93;45.38;46.03;35783
2017-10-04;46.07;46.14;45.2;45.38;19077
2017-10-03;47.09;47.09;45.64;46.07;28589
2017-10-02;47.77;47.77;46.41;47.23;31113
2017-09-29;47.0;47.32;46.54;47.11;21578
2017-09-28;46.42;46.88;45.83;46.88;16811
2017-09-27;47.1;47.1;46.4;46.42;30118
2017-09-26;46.0;46.97;45.94;46.97;25150
2017-09-25;45.22;46.06;45.0;45.7;29403
2017-09-22;45.25;45.97;44.67;45.21;75347
2017-09-21;44.9;44.9;44.17;44.31;41151
2017-09-20;45.96;46.12;44.77;44.96;87084
2017-09-19;46.49;46.85;45.64;45.98;29512
2017-09-18;46.72;47.39;46.23;46.49;40160
2017-09-15;47.95;47.95;46.59;46.59;460883
2017-09-14;47.72;47.91;47.45;47.85;54193
2017-09-13;48.74;48.74;47.44;47.76;58475
2017-09-12;47.44;48.66;47.44;48.25;62700
2017-09-11;46.85;47.67;46.6;47.43;37174
2017-09-08;46.5;46.74;46.12;46.6;45758
2017-09-07;46.34;46.61;45.5;46.51;61938
2017-09-06;46.82;46.82;45.53;45.71;74675
2017-09-04;46.88;46.88;46.19;46.71;67388
2017-09-01;46.9;47.25;46.5;47.0;74254
2017-08-31;47.0;47.0;46.25;46.9;86828
2017-08-30;46.31;46.9;46.3;46.9;22287
2017-08-29;47.0;47.0;45.68;45.79;33628
2017-08-28;47.04;47.06;46.57;46.99;26489
2017-08-25;47.43;48.12;47.1;47.25;41891
2017-08-24;48.07;48.25;47.32;47.71;16915
2017-08-23;48.01;48.38;47.51;48.06;34182
2017-08-22;47.75;48.21;47.16;47.85;63127
2017-08-21;48.81;48.81;47.75;47.8;60610
2017-08-18;49.28;49.28;48.6;48.95;21516
2017-08-17;49.95;49.95;49.1;49.41;27365
2017-08-16;49.45;49.82;49.02;49.58;46244
2017-08-15;50.35;50.35;49.45;49.45;38969
2017-08-14;49.07;50.0;48.88;49.82;82985
2017-08-11;49.0;49.4;48.8;49.25;26548
2017-08-10;50.0;50.15;49.33;49.95;33211
2017-08-09;50.5;50.5;49.75;49.99;86059
2017-08-08;51.2;51.2;50.5;50.85;21850
2017-08-07;51.45;51.45;50.7;51.2;56345
2017-08-04;51.5;51.5;51.25;51.45;22823
2017-08-03;51.5;52.15;51.2;51.45;26850
2017-08-02;52.4;52.4;51.45;51.45;32314
2017-08-01;52.6;52.6;51.6;51.85;31240
2017-07-31;51.6;52.45;51.3;52.35;38287
2017-07-28;51.5;51.8;50.8;51.55;38110
2017-07-27;51.85;52.25;51.65;51.95;43234
2017-07-26;52.55;52.55;51.8;52.05;23539
2017-07-25;52.4;52.75;52.3;52.75;30139
2017-07-24;52.45;52.9;52.2;52.4;27612
2017-07-21;52.3;52.5;51.9;52.15;90461
2017-07-20;52.0;52.75;51.75;52.5;98952
2017-07-19;51.3;51.95;50.1;51.6;149369
2017-07-18;56.1;56.5;51.1;51.25;313065
2017-07-17;61.45;61.85;60.3;60.3;26266
2017-07-14;62.0;62.15;61.5;61.5;8693
2017-07-13;62.6;62.6;61.4;61.6;10448
2017-07-12;62.0;62.9;61.55;62.85;18694
2017-07-11;61.3;62.0;61.25;62.0;13987
2017-07-10;60.85;61.45;60.65;60.75;15343
2017-07-07;60.05;61.0;60.05;60.45;11828
2017-07-06;61.5;61.5;60.1;60.6;20855
2017-07-05;60.0;61.95;60.0;61.2;21151
2017-07-04;60.65;60.65;60.0;60.0;5039
2017-07-03;60.0;60.8;60.0;60.65;16551
2017-06-30;60.45;61.4;59.6;59.6;16256
2017-06-29;61.8;62.35;60.45;60.45;24004
2017-06-28;61.9;61.9;60.65;61.7;34475
2017-06-27;63.0;63.0;61.65;62.0;10331
2017-06-26;63.05;63.5;62.85;63.0;25451
2017-06-23;;63.05;63.05;63.05;0
2017-06-22;62.25;63.45;62.25;63.05;23912
2017-06-21;61.6;62.5;61.45;62.25;43868
2017-06-20;61.45;61.7;61.0;61.5;11991
2017-06-19;60.55;61.4;60.55;61.3;74473
2017-06-16;61.15;61.3;60.6;60.7;19091
2017-06-15;62.45;62.45;60.65;61.1;81352
2017-06-14;63.0;63.05;61.75;62.0;33774
2017-06-13;62.7;63.4;62.4;63.0;14095
2017-06-12;63.35;63.35;61.85;63.0;128895
2017-06-09;63.5;63.65;63.2;63.45;14902
2017-06-08;63.3;63.8;63.25;63.5;31619
2017-06-07;63.05;63.7;62.3;63.3;44755
2017-06-06;;63.15;63.15;63.15;0
2017-06-05;64.5;64.5;63.0;63.15;36548
2017-06-02;64.3;64.8;64.0;64.35;35222
2017-06-01;64.05;64.1;63.1;63.6;84776
2017-05-31;63.45;64.2;62.4;63.7;233879
