Dates;Open;High;Low;Close;Volume
2017-12-27;171.5;173.9;171.4;173.8;208455
2017-12-22;173.0;173.4;171.4;171.8;360595
2017-12-21;175.1;175.1;172.4;173.3;443668
2017-12-20;176.6;176.7;175.0;175.4;262907
2017-12-19;176.4;177.8;176.0;176.6;249387
2017-12-18;176.0;177.3;175.9;177.0;298758
2017-12-15;175.9;176.3;173.5;176.1;517255
2017-12-14;176.1;177.4;175.4;176.1;208270
2017-12-13;176.7;177.5;175.5;177.0;261913
2017-12-12;176.4;177.4;175.7;176.7;263335
2017-12-11;176.7;177.2;175.0;176.4;247572
2017-12-08;175.8;177.0;174.5;176.5;280953
2017-12-07;174.6;176.0;174.0;174.6;214321
2017-12-06;174.1;174.8;172.4;174.0;352335
2017-12-05;174.0;175.4;173.2;175.2;348969
2017-12-04;174.8;175.8;173.0;174.5;302844
2017-12-01;174.0;174.6;173.4;173.5;345807
2017-11-30;177.3;177.3;173.2;174.1;599207
2017-11-29;176.5;177.3;175.4;176.3;318214
2017-11-28;176.1;176.6;174.5;176.2;187292
2017-11-27;175.6;177.3;175.4;176.6;389983
2017-11-24;174.2;175.4;173.8;175.3;250923
2017-11-23;173.6;174.2;172.3;174.2;229083
2017-11-22;175.5;176.0;173.5;174.1;276890
2017-11-21;174.1;176.1;173.4;175.9;275251
2017-11-20;176.5;176.5;174.0;174.1;570332
2017-11-17;178.5;178.5;176.2;177.4;499699
2017-11-16;176.1;178.8;175.7;178.7;350985
2017-11-15;173.6;176.9;173.2;175.7;512522
2017-11-14;172.5;174.6;171.8;174.3;292017
2017-11-13;174.0;174.8;171.0;172.7;334731
2017-11-10;173.6;174.3;173.1;173.9;224481
2017-11-09;174.6;174.8;173.4;174.0;377192
2017-11-08;174.8;175.9;173.6;174.6;307430
2017-11-07;175.7;176.1;174.2;174.7;402443
2017-11-06;176.8;177.5;174.6;175.7;309392
2017-11-03;176.2;177.3;175.5;176.8;219812
2017-11-02;176.8;177.8;175.6;176.0;226249
2017-11-01;176.8;177.5;175.8;176.8;507245
2017-10-31;175.7;177.3;175.3;176.8;328161
2017-10-30;174.3;175.4;173.5;175.4;485806
2017-10-27;175.5;176.2;174.7;175.7;304733
2017-10-26;172.3;174.8;172.3;174.8;342604
2017-10-25;173.0;173.9;172.2;172.6;374517
2017-10-24;175.1;176.6;172.4;173.3;497207
2017-10-23;176.8;177.2;175.2;175.6;391221
2017-10-20;179.6;179.6;176.8;176.8;518300
2017-10-19;180.6;181.7;177.4;178.3;630326
2017-10-18;177.1;179.9;175.8;179.8;593724
2017-10-17;176.1;178.5;175.7;176.7;622350
2017-10-13;176.2;176.6;174.7;175.3;504475
2017-10-12;173.1;176.7;173.0;176.1;441406
2017-10-11;172.1;173.4;172.0;173.1;670968
2017-10-10;171.9;173.4;170.9;173.0;379576
2017-10-09;170.1;172.1;170.1;171.8;360385
2017-10-06;170.9;173.0;170.3;170.6;354165
2017-10-05;170.9;172.0;170.5;171.6;489081
2017-10-04;170.5;171.8;169.5;171.4;672957
2017-10-03;167.0;170.7;167.0;170.6;553576
2017-10-02;167.0;167.8;166.2;167.1;423670
2017-09-29;160.0;167.2;159.9;167.0;911530
2017-09-28;161.2;162.4;160.0;162.0;257115
2017-09-27;161.0;162.5;161.0;162.0;411325
2017-09-26;160.5;161.9;160.3;161.5;626798
2017-09-25;160.0;161.1;160.0;160.8;154480
2017-09-22;158.9;160.9;158.5;160.6;254430
2017-09-21;160.2;160.3;158.1;159.1;201926
2017-09-20;159.9;160.9;159.6;160.2;262006
2017-09-19;159.6;160.6;159.4;159.8;280964
2017-09-18;160.3;161.3;159.8;159.8;157272
2017-09-15;159.5;161.1;159.5;159.9;362123
2017-09-14;159.1;159.8;159.0;159.7;204879
2017-09-13;159.1;159.8;158.6;159.5;247611
2017-09-12;160.5;161.5;159.5;159.9;274963
2017-09-11;158.7;160.4;158.4;160.0;267148
2017-09-08;157.9;159.3;157.1;158.9;263650
2017-09-07;156.3;158.2;156.0;158.2;199523
2017-09-06;154.7;156.0;154.0;156.0;289365
2017-09-04;157.5;159.3;157.4;158.5;420118
2017-09-01;158.8;160.5;158.8;159.0;252224
2017-08-31;158.4;160.1;158.4;159.4;462216
2017-08-30;157.7;159.3;157.4;158.3;329997
2017-08-29;157.2;158.5;157.0;157.9;270922
2017-08-28;158.5;159.2;157.9;158.2;150097
2017-08-25;159.0;159.1;157.9;158.1;152258
2017-08-24;160.2;161.0;159.2;159.2;141275
2017-08-23;160.4;160.5;159.6;160.1;200725
2017-08-22;159.8;161.3;159.8;160.4;170397
2017-08-21;159.7;160.5;159.0;159.9;128157
2017-08-18;160.9;161.3;159.1;159.9;138128
2017-08-17;161.9;162.8;161.3;162.0;274975
2017-08-16;161.7;164.0;161.7;162.9;174056
2017-08-15;164.7;165.1;162.0;162.1;236580
2017-08-14;160.0;164.6;159.9;164.4;254804
2017-08-11;162.0;162.2;160.2;160.8;213328
2017-08-10;163.8;164.1;162.6;162.7;155991
2017-08-09;165.6;165.6;164.0;164.3;157483
2017-08-08;165.3;165.8;165.0;165.5;163539
2017-08-07;165.5;165.8;164.2;165.3;174730
2017-08-04;165.3;165.8;164.4;165.5;114790
2017-08-03;166.4;167.1;164.7;165.4;450911
2017-08-02;163.5;166.4;163.3;166.2;413337
2017-08-01;159.7;163.5;159.7;163.5;299739
2017-07-31;160.0;160.9;159.5;159.5;347236
2017-07-28;164.3;164.5;159.1;160.2;287175
2017-07-27;162.7;164.7;162.3;164.5;214219
2017-07-26;161.5;163.0;161.1;162.7;190748
2017-07-25;162.0;162.9;161.7;162.1;236146
2017-07-24;161.8;163.7;161.6;162.0;271913
2017-07-21;163.8;163.9;161.8;162.6;237811
2017-07-20;163.5;164.5;162.5;163.7;225308
2017-07-19;162.8;163.9;161.9;163.5;253517
2017-07-18;161.2;163.5;160.5;162.9;319209
2017-07-17;162.6;163.0;160.7;161.2;209778
2017-07-14;160.6;162.9;160.1;162.4;287108
2017-07-13;162.6;163.0;159.4;160.9;381420
2017-07-12;161.7;163.3;160.4;162.6;385766
2017-07-11;161.9;162.3;159.8;161.1;348292
2017-07-10;160.5;163.8;160.5;161.7;309345
2017-07-07;160.7;160.7;157.7;159.8;432977
2017-07-06;162.0;162.9;159.1;159.8;297547
2017-07-05;161.5;162.6;160.1;162.0;425949
2017-07-04;161.0;162.1;160.6;161.3;322498
2017-07-03;162.0;163.7;160.6;160.7;252581
2017-06-30;161.0;162.4;160.7;162.0;321556
2017-06-29;162.1;163.5;160.8;161.6;390645
2017-06-28;163.9;164.5;162.0;162.3;547623
2017-06-27;166.0;167.1;164.0;164.1;285802
2017-06-26;166.5;168.0;165.6;166.1;339123
2017-06-23;;166.8;166.8;166.8;0
2017-06-22;167.0;167.4;165.8;166.8;279507
2017-06-21;167.8;168.2;166.5;166.8;296571
2017-06-20;169.8;169.9;167.8;168.2;343748
2017-06-19;170.5;171.4;169.9;170.8;203148
2017-06-16;168.9;170.5;168.5;170.5;554442
2017-06-15;170.0;171.6;168.6;169.1;374480
2017-06-14;169.0;170.6;168.6;170.5;326449
2017-06-13;168.0;171.5;167.9;169.2;396856
2017-06-12;171.4;171.9;169.3;170.2;247799
2017-06-09;169.2;172.1;168.2;171.7;302409
2017-06-08;171.0;171.7;169.0;169.2;393465
2017-06-07;167.4;172.0;167.4;170.6;554897
2017-06-06;;166.9;166.9;166.9;0
2017-06-05;166.0;167.6;166.0;166.9;220442
2017-06-02;164.9;165.6;164.5;165.2;298048
2017-06-01;163.4;165.4;163.2;164.0;312142
2017-05-31;163.8;164.4;162.3;163.3;439489
2017-05-30;161.0;163.4;160.3;163.2;414035
2017-05-29;160.9;161.2;160.2;160.4;125053
2017-05-26;160.0;162.5;160.0;161.5;320503
2017-05-24;160.0;160.1;159.2;160.0;104413
2017-05-23;160.0;160.6;158.3;159.3;390923
2017-05-22;158.5;161.6;158.5;160.8;342517
2017-05-19;157.1;159.8;157.1;158.4;327213
2017-05-18;160.0;160.1;156.8;157.2;561613
2017-05-17;160.1;160.9;159.2;160.7;326983
2017-05-16;160.5;161.4;160.0;160.8;303893
2017-05-15;160.9;161.5;159.9;160.9;237640
2017-05-12;159.7;160.9;160.9;160.9;285483
2017-05-11;160.2;161.7;159.7;160.6;431581
2017-05-10;160.2;160.4;158.4;160.2;284049
2017-05-09;158.9;161.3;158.0;160.6;320196
2017-05-08;156.1;159.0;155.9;159.0;443038
2017-05-05;155.0;156.1;154.1;156.1;300897
2017-05-04;155.4;155.4;153.6;155.0;420137
2017-05-03;155.3;155.4;153.0;154.6;326479
2017-05-02;152.6;155.3;152.0;155.3;383747
2017-05-01;;152.6;152.6;152.6;0
2017-04-28;154.0;154.7;151.9;152.6;461604
2017-04-27;153.5;154.4;149.3;154.2;350271
2017-04-26;155.0;155.4;153.2;154.3;398786
2017-04-25;151.4;155.5;150.8;154.7;583878
2017-04-24;152.5;152.5;150.1;151.7;380674
2017-04-21;151.0;151.5;150.8;151.0;386159
2017-04-20;152.5;152.5;150.8;151.5;365085
2017-04-19;150.4;152.5;150.3;151.7;430373
2017-04-18;150.0;151.1;149.3;151.1;604781
2017-04-13;149.8;150.4;148.6;150.0;95646
2017-04-12;148.6;150.0;148.4;149.8;456630
2017-04-11;147.6;148.9;147.3;148.6;372307
2017-04-10;147.4;148.0;146.4;147.5;429820
2017-04-07;145.5;147.2;145.1;147.1;401884
2017-04-06;145.1;146.3;144.6;145.8;425093
