Dates;Open;High;Low;Close;Volume
2017-12-27;216.0;218.3;215.2;218.2;167159
2017-12-22;217.9;217.9;214.6;215.7;112228
2017-12-21;219.3;219.3;217.2;217.9;150435
2017-12-20;220.2;220.8;218.7;219.7;212542
2017-12-19;220.5;221.8;220.2;220.7;154273
2017-12-18;220.2;221.9;219.9;220.9;191147
2017-12-15;221.0;221.2;219.5;220.3;336692
2017-12-14;220.8;222.5;220.6;221.9;177840
2017-12-13;222.0;222.0;220.2;221.3;213185
2017-12-12;220.9;221.6;219.9;221.6;257179
2017-12-11;221.6;222.5;219.7;220.9;240660
2017-12-08;218.3;221.5;218.2;220.4;274867
2017-12-07;215.7;217.9;215.4;217.3;235538
2017-12-06;217.4;217.4;215.2;216.5;133477
2017-12-05;215.9;218.2;215.5;218.1;163989
2017-12-04;214.6;216.7;213.7;216.0;122278
2017-12-01;215.3;216.0;213.9;214.2;165402
2017-11-30;215.3;215.7;213.9;215.7;251365
2017-11-29;215.4;216.2;214.4;214.7;142831
2017-11-28;216.6;217.0;214.6;215.3;102105
2017-11-27;215.9;218.2;215.4;216.6;240947
2017-11-24;213.7;216.5;213.3;215.9;144407
2017-11-23;213.6;214.0;211.5;213.7;319301
2017-11-22;215.7;216.3;213.4;213.4;154311
2017-11-21;213.6;215.9;212.8;215.9;156933
2017-11-20;215.5;215.8;213.1;213.5;138006
2017-11-17;218.7;219.0;215.2;215.8;219725
2017-11-16;215.3;219.3;214.9;219.0;447959
2017-11-15;215.5;215.8;214.3;215.3;393123
2017-11-14;215.0;216.5;214.3;215.8;188591
2017-11-13;216.8;217.9;212.9;214.6;211240
2017-11-10;216.8;218.2;216.0;216.9;210547
2017-11-09;218.0;218.2;216.0;216.8;202165
2017-11-08;216.3;218.3;216.0;218.0;537725
2017-11-07;218.2;218.2;214.3;216.3;392111
2017-11-06;220.5;221.7;216.8;217.3;234446
2017-11-03;216.8;220.6;216.6;220.0;245316
2017-11-02;219.4;219.5;215.6;216.4;265997
2017-11-01;217.9;220.5;217.1;217.4;319410
2017-10-31;215.5;218.9;215.5;218.0;182940
2017-10-30;214.9;216.0;214.6;215.5;138599
2017-10-27;215.4;216.6;214.2;214.9;208934
2017-10-26;211.9;215.4;211.8;215.4;343746
2017-10-25;213.8;213.8;211.5;211.8;280811
2017-10-24;220.8;221.5;213.1;214.1;377802
2017-10-23;222.0;223.6;220.7;221.3;212039
2017-10-20;222.5;223.3;221.1;221.1;235732
2017-10-19;220.8;222.9;220.8;222.3;273812
2017-10-18;220.0;226.0;219.8;220.7;1042719
2017-10-17;217.4;219.7;216.4;219.5;283780
2017-10-13;218.1;218.3;216.0;216.3;243337
2017-10-12;217.6;219.7;215.8;217.6;450328
2017-10-11;214.0;216.3;213.0;215.4;254077
2017-10-10;212.2;215.7;211.6;214.0;410335
2017-10-09;211.5;214.9;211.2;212.4;225787
2017-10-06;212.3;213.6;210.3;210.8;326704
2017-10-05;211.1;212.2;210.4;212.1;675510
2017-10-04;212.9;213.3;209.5;211.0;267423
2017-10-03;212.3;213.5;211.9;212.8;218453
2017-10-02;211.7;213.4;210.9;212.4;217375
2017-09-29;208.2;211.8;207.9;211.8;660750
2017-09-28;206.7;208.3;205.6;208.3;198017
2017-09-27;208.8;209.1;206.0;207.1;160173
2017-09-26;208.4;210.1;207.5;209.0;684597
2017-09-25;208.9;209.0;207.5;208.4;181331
2017-09-22;207.2;208.9;206.6;208.9;146889
2017-09-21;208.3;208.4;205.9;207.2;178687
2017-09-20;208.6;208.9;207.0;208.5;144452
2017-09-19;209.4;210.1;208.3;208.9;153879
2017-09-18;209.4;210.5;209.0;209.3;147007
2017-09-15;208.8;211.4;208.5;209.8;358860
2017-09-14;208.0;209.5;206.9;208.5;335882
2017-09-13;206.5;207.9;205.3;207.1;210061
2017-09-12;206.0;208.6;205.5;206.2;155128
2017-09-11;205.7;207.0;205.4;206.7;402608
2017-09-08;205.6;206.8;204.1;205.8;201272
2017-09-07;203.1;205.8;202.8;205.8;327510
2017-09-06;201.0;202.2;198.9;202.1;312013
2017-09-04;207.5;208.1;206.0;206.7;135321
2017-09-01;210.0;210.2;208.1;208.6;130007
2017-08-31;209.5;209.8;208.3;209.3;263276
2017-08-30;208.4;209.6;208.1;209.1;227340
2017-08-29;208.0;208.4;204.9;208.0;264751
2017-08-28;208.1;209.0;206.5;208.1;129610
2017-08-25;210.3;211.0;206.3;208.2;276144
2017-08-24;212.2;212.2;208.3;208.9;253460
2017-08-23;207.0;215.9;205.6;212.5;539658
2017-08-22;206.4;207.7;205.0;206.4;205656
2017-08-21;207.2;207.2;204.1;205.9;207414
2017-08-18;209.4;209.4;206.0;207.5;253113
2017-08-17;207.9;212.1;207.2;210.5;408504
2017-08-16;207.0;209.6;206.5;208.9;214067
2017-08-15;208.1;209.6;206.3;207.6;219781
2017-08-14;205.6;208.1;205.6;208.1;116942
2017-08-11;208.5;208.5;204.3;204.6;181526
2017-08-10;211.0;211.0;206.8;209.2;159388
2017-08-09;212.8;212.8;210.5;211.3;122852
2017-08-08;211.5;214.6;210.4;213.0;206297
2017-08-07;211.3;211.9;209.8;211.7;135852
2017-08-04;210.2;211.9;209.1;211.5;94083
2017-08-03;210.3;211.7;209.6;210.6;155849
2017-08-02;208.4;211.2;208.4;210.4;167588
2017-08-01;206.3;209.1;205.9;209.0;132901
2017-07-31;206.0;206.9;205.0;205.5;178793
2017-07-28;211.5;211.5;205.0;205.5;237437
2017-07-27;208.0;212.7;207.4;211.5;227925
2017-07-26;207.0;208.5;205.5;208.0;159339
2017-07-25;205.8;209.4;205.8;207.3;195448
2017-07-24;205.5;207.8;205.4;206.2;168386
2017-07-21;207.1;208.0;205.6;206.4;134838
2017-07-20;207.0;209.6;207.0;207.5;217145
2017-07-19;207.0;208.1;204.6;207.5;406475
2017-07-18;204.1;207.9;202.7;207.0;357320
2017-07-17;208.0;208.8;204.4;205.0;192244
2017-07-14;206.1;208.4;205.6;207.8;143894
2017-07-13;206.3;206.8;204.6;206.1;152567
2017-07-12;202.9;207.0;202.5;206.4;219905
2017-07-11;205.6;205.6;201.1;202.5;179359
2017-07-10;204.0;207.1;204.0;205.3;532640
2017-07-07;203.1;204.0;201.4;204.0;197150
2017-07-06;207.6;207.8;201.3;203.1;285000
2017-07-05;204.6;207.8;204.1;207.6;312737
2017-07-04;202.4;205.2;202.1;204.2;229035
2017-07-03;204.9;206.1;202.4;203.3;194425
2017-06-30;202.8;204.8;202.8;204.0;263487
2017-06-29;207.4;209.0;202.9;203.4;385103
2017-06-28;208.2;209.6;206.8;207.3;375690
2017-06-27;211.8;213.7;208.5;208.8;232032
2017-06-26;213.0;214.6;211.5;211.8;225454
2017-06-23;;213.3;213.3;213.3;0
2017-06-22;213.5;213.9;211.4;213.3;164939
2017-06-21;214.6;216.6;212.5;213.5;268878
2017-06-20;218.6;219.6;214.0;214.5;474148
2017-06-19;220.6;221.4;218.7;219.2;343283
2017-06-16;218.1;220.6;217.9;220.6;373679
2017-06-15;218.9;220.2;217.7;218.0;420230
2017-06-14;219.4;222.8;218.9;220.0;1159679
2017-06-13;217.6;221.5;217.6;219.5;278791
2017-06-12;221.0;221.7;217.7;218.2;297707
2017-06-09;219.3;221.8;217.0;221.7;288913
2017-06-08;222.0;223.8;218.8;219.3;235152
2017-06-07;220.0;222.9;218.8;222.0;327285
2017-06-06;;219.5;219.5;219.5;0
2017-06-05;218.2;221.4;218.2;219.5;273604
