Dates;Open;High;Low;Close;Volume
2017-12-27;435.0;435.0;428.7;432.6;155645
2017-12-22;429.5;436.8;428.7;435.5;84985
2017-12-21;429.4;430.4;423.6;429.6;64950
2017-12-20;428.0;431.1;425.9;429.9;70300
2017-12-19;429.2;430.7;426.5;428.6;104707
2017-12-18;427.0;430.3;425.4;429.9;112731
2017-12-15;420.9;426.2;418.2;425.3;130147
2017-12-14;422.9;424.3;417.6;422.1;79223
2017-12-13;418.0;423.0;415.7;422.8;103587
2017-12-12;415.4;418.0;413.8;418.0;60607
2017-12-11;412.0;418.5;411.3;415.9;83484
2017-12-08;406.8;413.1;406.8;411.5;104465
2017-12-07;404.7;409.4;403.7;406.3;122296
2017-12-06;408.5;408.5;402.6;407.3;119654
2017-12-05;408.0;411.0;404.3;410.1;86622
2017-12-04;407.0;410.4;406.0;408.5;88183
2017-12-01;415.0;415.0;404.7;405.8;145296
2017-11-30;410.1;414.8;407.7;414.1;134238
2017-11-29;405.0;414.3;405.0;410.7;120185
2017-11-28;399.5;405.0;397.9;404.4;70669
2017-11-27;404.0;405.5;397.0;398.1;102022
2017-11-24;407.6;408.4;402.6;404.0;44475
2017-11-23;405.6;407.8;402.8;406.5;47854
2017-11-22;409.1;410.3;405.3;405.6;93851
2017-11-21;406.3;410.6;402.2;408.6;107133
2017-11-20;400.6;406.2;398.8;405.7;36863
2017-11-17;404.0;404.1;399.4;400.8;48723
2017-11-16;400.0;404.6;399.2;403.5;59330
2017-11-15;401.5;402.6;394.0;397.9;77106
2017-11-14;401.5;405.5;401.4;402.4;35388
2017-11-13;406.3;406.3;398.4;401.6;76571
2017-11-10;407.1;407.1;404.5;405.2;32611
2017-11-09;410.4;410.4;405.2;406.1;92457
2017-11-08;411.3;411.8;407.2;410.9;101962
2017-11-07;413.0;414.5;410.7;411.2;102113
2017-11-06;417.9;419.8;410.7;412.6;63443
2017-11-03;413.0;417.9;413.0;417.5;48428
2017-11-02;412.8;414.7;411.8;413.1;51347
2017-11-01;411.9;414.8;411.0;413.2;102071
2017-10-31;412.1;413.6;410.6;411.5;57776
2017-10-30;411.8;413.2;409.4;410.7;64323
2017-10-27;411.3;412.4;408.3;411.7;79832
2017-10-26;403.1;411.4;402.6;411.4;114195
2017-10-25;403.4;406.1;401.4;402.9;156787
2017-10-24;399.9;406.2;396.1;404.0;257804
