Dates;Open;High;Low;Close;Volume
2017-12-27;80.5;80.5;79.35;80.0;6066
2017-12-22;80.4;80.95;79.95;80.0;12756
2017-12-21;80.15;80.9;79.7;80.85;14895
2017-12-20;80.9;81.25;80.05;80.1;4701
2017-12-19;80.7;81.0;80.55;80.75;9532
2017-12-18;80.6;81.5;80.6;80.65;12249
2017-12-15;81.25;81.25;79.6;79.6;13984
2017-12-14;80.0;81.25;79.95;81.25;16622
2017-12-13;80.3;80.55;79.5;79.7;1975
2017-12-12;79.6;81.1;79.6;80.6;8071
2017-12-11;78.8;79.85;78.65;79.6;9729
2017-12-08;79.15;79.4;78.65;78.8;4424
2017-12-07;78.5;79.15;78.45;79.05;12692
2017-12-06;78.8;78.9;77.7;78.5;8781
2017-12-05;79.3;79.7;79.0;79.15;9056
2017-12-04;77.1;79.9;76.75;79.9;11712
2017-12-01;76.4;77.2;76.15;77.0;3022
2017-11-30;77.85;77.85;76.2;76.5;4587
2017-11-29;77.5;78.1;76.8;76.8;8557
2017-11-28;77.0;77.7;76.65;76.8;4454
2017-11-27;76.75;77.0;76.2;77.0;3625
2017-11-24;77.7;77.7;76.25;76.75;4473
2017-11-23;77.15;77.5;76.5;76.5;23154
2017-11-22;77.9;77.9;77.0;77.1;3198
2017-11-21;76.95;78.1;76.75;77.9;3721
2017-11-20;77.25;77.25;76.55;76.9;9608
2017-11-17;77.0;77.3;76.7;77.05;4254
2017-11-16;77.6;77.65;77.0;77.0;6209
2017-11-15;78.8;78.8;77.45;77.45;5636
2017-11-14;78.35;79.25;78.35;78.8;8713
2017-11-13;78.75;79.15;77.75;78.65;6805
2017-11-10;79.25;79.8;79.0;79.15;6222
2017-11-09;81.2;81.2;79.6;79.65;6908
2017-11-08;81.3;81.35;80.45;81.0;10862
2017-11-07;82.4;82.4;81.15;81.25;6206
2017-11-06;81.35;82.25;81.35;81.65;8091
2017-11-03;81.95;81.95;81.3;81.35;3822
2017-11-02;81.9;82.45;81.0;81.5;8647
2017-11-01;81.6;82.9;81.6;81.75;10842
2017-10-31;81.0;81.7;81.0;81.6;11428
2017-10-30;81.55;81.6;80.75;81.2;9586
2017-10-27;79.1;81.45;79.1;81.45;12563
2017-10-26;77.9;79.35;77.3;79.0;8653
2017-10-25;77.35;78.25;77.0;77.4;29373
2017-10-24;77.25;77.7;76.8;77.3;12747
2017-10-23;77.55;78.35;77.0;77.15;33396
2017-10-20;79.5;79.5;76.35;77.2;66996
2017-10-19;80.55;80.75;79.45;79.75;12217
2017-10-18;80.3;80.85;79.55;80.55;9356
2017-10-17;79.15;80.4;78.55;80.4;33031
2017-10-13;81.0;83.0;81.0;82.9;4706
2017-10-12;81.9;82.35;80.75;80.75;4886
2017-10-11;82.55;82.55;81.6;81.9;4133
2017-10-10;82.7;82.85;82.2;82.3;8198
2017-10-09;82.55;83.25;81.85;81.85;8266
2017-10-06;83.2;83.5;82.1;82.4;9413
2017-10-05;83.5;83.5;82.4;83.2;12990
2017-10-04;84.3;84.65;83.1;83.75;58307
2017-10-03;84.3;84.75;83.55;84.3;15125
2017-10-02;84.0;84.5;83.2;84.3;19693
2017-09-29;81.6;83.8;81.6;83.1;10294
2017-09-28;81.5;81.8;80.1;81.5;7808
2017-09-27;81.55;82.35;81.5;81.5;2886
2017-09-26;81.5;81.8;81.25;81.25;5538
2017-09-25;82.95;82.95;81.75;81.75;2695
2017-09-22;81.4;82.5;81.4;82.3;3736
2017-09-21;80.7;81.95;80.7;81.4;5609
2017-09-20;81.2;81.2;80.7;80.7;4922
2017-09-19;80.05;81.2;80.0;81.2;2828
2017-09-18;80.8;80.95;79.8;80.45;5834
2017-09-15;81.7;81.85;80.15;80.15;14194
2017-09-14;81.5;81.9;80.7;81.7;10707
2017-09-13;80.8;81.55;80.55;81.35;4545
2017-09-12;80.5;81.25;80.5;81.05;6078
2017-09-11;79.65;80.85;79.65;80.5;5676
2017-09-08;79.6;79.6;78.7;79.45;8069
2017-09-07;79.6;79.6;78.95;79.4;2841
2017-09-06;79.55;79.55;78.65;78.95;6702
2017-09-04;80.5;80.5;79.45;79.8;5021
2017-09-01;79.15;81.05;79.15;80.55;3330
2017-08-31;79.25;79.7;78.85;79.0;2746
2017-08-30;77.8;79.1;77.8;78.75;6554
2017-08-29;76.7;78.0;76.6;78.0;16912
2017-08-28;76.55;77.45;76.55;77.05;4046
2017-08-25;76.9;77.75;76.9;77.1;8476
2017-08-24;78.55;78.6;76.95;77.4;3497
2017-08-23;78.25;78.65;78.05;78.2;3953
2017-08-22;78.45;79.0;78.35;78.8;4286
2017-08-21;78.85;79.85;78.4;78.4;3258
2017-08-18;80.35;80.35;78.6;79.0;6173
2017-08-17;80.5;81.65;80.3;81.35;3025
2017-08-16;80.1;80.75;80.1;80.6;2007
2017-08-15;80.6;80.6;79.95;79.95;7123
2017-08-14;80.1;82.3;80.1;82.3;3055
2017-08-11;81.1;81.1;79.65;80.45;6130
2017-08-10;81.5;81.9;80.95;81.1;6024
2017-08-09;82.65;82.65;81.25;81.8;7282
2017-08-08;81.8;82.7;81.5;82.65;6823
2017-08-07;80.9;81.85;80.9;81.8;5499
2017-08-04;80.95;81.1;79.8;81.1;10026
2017-08-03;80.65;81.0;80.25;80.5;6372
2017-08-02;81.7;82.1;80.4;80.65;5803
2017-08-01;82.5;82.6;81.65;81.7;3062
2017-07-31;81.1;81.9;81.1;81.5;6934
2017-07-28;81.55;81.55;80.95;81.1;5109
2017-07-27;81.45;82.45;81.45;82.0;6428
2017-07-26;81.5;82.35;81.4;81.8;6220
2017-07-25;81.95;82.35;81.4;81.4;8443
2017-07-24;82.85;83.1;81.55;82.35;11773
2017-07-21;83.5;84.0;83.0;83.2;10909
2017-07-20;84.3;84.6;83.8;83.8;11375
2017-07-19;83.0;84.9;82.6;84.3;8288
2017-07-18;87.1;87.1;81.8;83.0;19680
2017-07-17;85.45;86.15;85.3;85.7;8262
2017-07-14;84.5;85.0;84.1;84.8;9664
2017-07-13;83.5;84.6;83.5;84.5;6461
2017-07-12;83.95;84.8;83.95;84.25;2656
2017-07-11;84.95;84.95;83.6;84.0;8177
2017-07-10;83.95;84.95;83.7;84.95;7741
