Dates;Open;High;Low;Close;Volume
2017-12-27;80.55;80.9;79.8;80.55;707477
2017-12-22;80.85;81.25;80.0;80.6;830512
2017-12-21;80.5;81.2;80.0;80.85;1165194
2017-12-20;81.1;81.5;80.35;80.7;1362513
2017-12-19;81.3;81.35;80.9;81.1;732154
2017-12-18;81.15;81.8;80.95;81.3;1000434
2017-12-15;81.15;81.25;80.45;81.2;1347827
2017-12-14;80.0;81.55;80.0;81.15;1912478
2017-12-13;80.65;80.9;79.7;80.2;8987113
2017-12-12;79.8;81.3;79.75;81.0;1109334
2017-12-11;78.85;79.95;78.8;79.65;865831
2017-12-08;79.25;79.65;78.85;78.85;974437
2017-12-07;78.5;79.5;78.5;79.0;841676
2017-12-06;78.4;79.1;77.6;78.6;1506962
2017-12-05;79.55;79.95;79.0;79.15;1450984
2017-12-04;77.55;79.95;76.95;79.65;3118319
2017-12-01;76.5;77.35;76.2;76.7;1250880
2017-11-30;76.95;77.55;76.3;76.35;2291729
2017-11-29;77.25;78.45;76.75;76.75;1237012
2017-11-28;76.8;78.1;76.75;76.85;931512
2017-11-27;76.45;77.1;76.35;76.75;1080142
2017-11-24;76.7;77.15;76.45;76.45;839557
2017-11-23;77.1;77.65;76.7;76.7;524897
2017-11-22;78.1;78.1;77.1;77.1;1092838
2017-11-21;77.2;78.2;76.85;78.05;735204
2017-11-20;77.2;77.35;76.75;77.2;988825
2017-11-17;77.2;77.5;76.75;77.3;1556549
2017-11-16;77.9;77.95;77.15;77.2;1039137
2017-11-15;78.6;78.6;77.45;77.7;1068421
2017-11-14;78.5;79.35;78.5;79.0;548544
2017-11-13;79.15;79.35;77.9;78.7;1215199
2017-11-10;79.5;80.45;79.15;79.4;933810
2017-11-09;81.25;81.3;79.75;79.75;3186461
2017-11-08;81.4;81.75;80.55;81.2;958822
2017-11-07;82.15;82.4;81.05;81.2;866851
2017-11-06;81.4;82.4;81.4;81.9;897775
2017-11-03;81.6;81.95;81.15;81.5;368394
2017-11-02;82.0;82.45;81.1;81.55;884784
2017-11-01;81.8;82.95;81.65;82.0;1321204
2017-10-31;81.45;81.9;81.15;81.8;1080825
2017-10-30;81.5;81.75;80.9;81.45;1306595
2017-10-27;79.45;81.5;79.4;81.5;1418658
2017-10-26;77.85;79.45;77.3;79.45;1191440
2017-10-25;77.65;78.4;77.0;77.75;1576403
2017-10-24;77.25;77.8;76.85;77.5;1814921
2017-10-23;77.2;78.55;77.05;77.25;2809505
2017-10-20;78.3;79.15;76.45;77.5;4324020
2017-10-19;80.8;81.0;79.65;79.95;1640612
2017-10-18;80.45;80.95;79.7;80.75;1539815
2017-10-17;79.1;80.7;78.7;80.45;1855373
2017-10-13;81.4;83.2;80.95;83.1;1593056
2017-10-12;81.85;82.5;81.3;81.4;1039010
2017-10-11;82.6;82.6;81.8;82.1;863956
2017-10-10;82.3;82.95;82.3;82.6;657477
2017-10-09;82.65;83.3;81.95;82.2;926824
2017-10-06;83.5;83.7;82.25;82.6;1065694
2017-10-05;83.5;83.5;82.6;83.3;984254
2017-10-04;84.65;84.9;83.55;84.3;1275016
2017-10-03;84.45;84.85;84.05;84.4;715464
2017-10-02;84.1;84.7;83.6;84.15;1516611
2017-09-29;82.2;84.2;81.85;83.8;1490615
2017-09-28;81.45;82.05;80.4;81.95;1593076
2017-09-27;81.85;82.5;81.4;81.5;2760140
2017-09-26;82.05;82.1;81.4;81.85;604514
2017-09-25;82.35;82.8;81.85;82.0;691601
2017-09-22;81.95;82.65;81.6;82.3;625513
2017-09-21;81.2;82.05;80.9;82.05;1131898
2017-09-20;81.1;81.35;80.85;81.05;565685
2017-09-19;79.9;81.0;79.9;81.0;679257
2017-09-18;80.95;81.15;79.9;80.25;813391
2017-09-15;82.05;82.05;80.5;80.65;1263247
2017-09-14;81.45;82.05;81.1;81.95;1083997
2017-09-13;81.1;81.65;80.75;81.45;728837
2017-09-12;81.0;81.3;80.65;81.15;601273
2017-09-11;80.15;80.95;80.15;80.7;618019
2017-09-08;79.55;79.7;78.85;79.7;809500
2017-09-07;79.5;79.7;79.05;79.7;643400
2017-09-06;79.65;79.65;78.8;79.2;995314
2017-09-04;80.65;80.65;79.6;80.05;1060714
2017-09-01;80.0;81.25;79.9;80.8;888423
2017-08-31;79.5;80.15;79.0;80.15;1351628
2017-08-30;78.2;79.35;77.95;79.3;1068296
2017-08-29;77.25;78.35;76.7;78.0;2567844
2017-08-28;77.1;77.55;76.9;77.45;506061
2017-08-25;77.1;77.9;76.9;77.3;1452954
2017-08-24;78.7;78.8;77.1;77.2;1376783
2017-08-23;78.8;79.0;78.15;78.55;1010763
2017-08-22;79.0;79.2;78.3;78.95;778715
2017-08-21;79.1;79.85;78.55;78.7;1236241
2017-08-18;80.4;80.45;78.75;79.2;1767782
2017-08-17;80.75;81.8;80.35;81.45;1071092
2017-08-16;80.5;80.8;80.3;80.75;997944
2017-08-15;81.95;82.2;80.05;80.2;806547
2017-08-14;80.3;82.1;80.3;81.95;914024
2017-08-11;80.5;80.65;79.8;80.35;712815
2017-08-10;82.2;82.35;80.75;80.75;763622
2017-08-09;82.4;82.55;81.35;82.05;737935
2017-08-08;81.55;82.75;81.3;82.6;864778
2017-08-07;81.15;82.05;81.1;81.7;880864
2017-08-04;80.9;81.15;79.8;81.15;894614
2017-08-03;80.7;81.2;80.4;80.6;1411827
2017-08-02;82.1;82.35;80.55;80.55;1409599
2017-08-01;82.2;82.75;81.7;82.1;1145182
2017-07-31;81.4;82.25;81.2;82.15;1185164
2017-07-28;81.75;81.75;80.9;81.45;948004
2017-07-27;82.0;82.45;81.55;81.95;748080
2017-07-26;81.55;82.5;81.55;82.2;1165821
2017-07-25;82.5;82.65;81.7;81.9;1011913
2017-07-24;83.1;83.35;81.65;82.3;1109208
2017-07-21;84.15;84.25;83.1;83.6;1054372
2017-07-20;84.55;85.05;83.75;84.15;1315594
2017-07-19;82.8;85.05;82.75;84.4;2145421
2017-07-18;85.0;85.2;81.9;82.8;3921521
2017-07-17;85.5;86.45;85.2;85.9;1350003
2017-07-14;84.55;85.2;84.15;85.15;888913
2017-07-13;84.65;84.75;83.95;84.5;868947
2017-07-12;84.0;84.95;83.95;84.65;1265662
2017-07-11;84.8;84.95;83.6;83.95;799829
2017-07-10;84.5;84.65;83.8;84.6;1086986
2017-07-07;83.4;84.25;82.95;84.2;1038147
2017-07-06;84.15;84.15;82.8;83.4;799332
2017-07-05;83.4;84.35;83.2;84.0;765421
2017-07-04;83.95;84.45;83.45;83.45;833077
2017-07-03;83.45;84.45;83.45;84.2;922358
2017-06-30;82.45;84.65;82.4;83.7;1654923
2017-06-29;84.9;85.1;82.55;82.65;1518645
2017-06-28;85.05;85.45;84.15;84.8;1091915
2017-06-27;86.3;86.3;85.1;85.55;1143490
2017-06-26;86.6;87.5;86.2;86.3;1412228
2017-06-23;;86.35;86.35;86.35;0
2017-06-22;86.1;86.85;86.0;86.35;1275920
2017-06-21;86.9;86.9;85.55;86.4;1449411
2017-06-20;87.4;87.9;86.9;86.9;1205591
2017-06-19;87.0;87.95;86.75;87.4;1512328
2017-06-16;84.7;87.05;84.7;86.65;1882129
2017-06-15;84.9;85.3;84.15;84.95;1648594
2017-06-14;84.95;86.5;84.6;84.9;2457150
2017-06-13;85.15;85.75;84.55;84.95;2670293
2017-06-12;86.5;86.5;84.3;84.8;2163932
2017-06-09;86.8;87.7;86.4;86.6;2171112
2017-06-08;89.65;89.9;85.2;86.95;4787572
2017-06-07;89.8;90.4;89.5;89.95;1275458
2017-06-06;;89.85;89.85;89.85;0
2017-06-05;90.0;90.3;89.75;89.85;589355
2017-06-02;89.7;90.4;89.45;89.9;1537830
2017-06-01;90.2;90.8;89.15;89.35;1392117
2017-05-31;90.9;91.05;90.1;90.15;1613782
2017-05-30;89.35;90.95;89.1;90.65;859136
2017-05-29;89.75;89.9;89.35;89.9;1950375
2017-05-26;89.65;89.95;89.05;89.85;1191340
2017-05-24;88.6;89.65;88.25;89.65;1007137
2017-05-23;87.85;88.7;87.65;88.7;1642504
2017-05-22;88.0;88.3;87.2;87.85;1089044
2017-05-19;86.2;87.9;85.95;87.1;1305785
2017-05-18;87.5;87.75;85.7;86.35;2087370
2017-05-17;89.05;89.15;87.65;87.85;1120099
2017-05-16;89.45;90.1;89.05;89.45;997594
2017-05-15;89.1;89.65;88.6;89.65;1086520
2017-05-12;90.0;89.35;89.35;89.35;962676
2017-05-11;90.0;90.9;89.8;90.1;1119028
2017-05-10;91.2;91.2;89.6;90.1;1691164
2017-05-09;90.4;91.5;90.15;91.2;1574320
2017-05-08;90.85;90.95;89.2;90.05;1265437
2017-05-05;89.7;90.85;89.25;90.6;1769087
2017-05-04;88.65;89.8;88.25;89.8;1922517
2017-05-03;89.15;89.15;87.75;88.7;1084222
2017-05-02;88.4;88.8;87.85;88.55;1200794
2017-05-01;;88.05;88.05;88.05;0
2017-04-28;87.95;88.55;87.6;88.05;1072494
2017-04-27;88.35;88.35;87.4;87.95;1069451
2017-04-26;87.9;88.4;87.7;88.4;1711464
2017-04-25;88.6;88.75;87.65;87.9;1796404
2017-04-24;86.8;88.9;86.35;88.4;2779092
2017-04-21;84.1;86.25;83.35;85.45;3594930
2017-04-20;81.4;81.85;81.15;81.85;1079532
2017-04-19;81.7;82.1;81.1;81.4;1119195
2017-04-18;81.35;81.8;80.65;81.8;1429215
2017-04-13;81.0;81.45;80.95;81.25;479606
2017-04-12;79.8;81.25;79.8;80.95;1598056
2017-04-11;80.75;81.1;79.35;79.7;998428
2017-04-10;80.05;81.05;80.0;81.05;1128035
2017-04-07;79.5;80.15;79.2;80.15;1050835
2017-04-06;78.95;79.65;78.55;79.65;1108830
2017-04-05;78.95;79.55;78.7;79.25;1330509
2017-04-04;79.0;79.7;78.9;79.25;1090925
2017-04-03;79.45;79.45;78.65;79.05;2103588
2017-03-31;77.35;78.9;77.05;78.65;1473475
2017-03-30;76.0;77.3;76.0;77.3;968985
2017-03-29;76.0;76.0;75.4;76.0;860164
2017-03-28;75.5;75.7;74.9;75.7;943611
2017-03-27;75.15;75.3;74.5;75.1;768231
2017-03-24;75.3;75.5;74.6;75.3;850483
2017-03-23;74.95;75.3;74.55;75.3;1197469
2017-03-22;75.1;75.25;74.2;74.85;1525756
2017-03-21;76.95;76.95;75.25;75.5;1172297
2017-03-20;76.2;77.15;75.95;76.75;1211494
2017-03-17;76.2;76.45;75.85;76.25;1292864
2017-03-16;76.3;76.95;76.1;76.45;1127903
2017-03-15;76.75;76.75;75.9;76.0;1228163
2017-03-14;77.0;77.1;76.4;76.95;976120
2017-03-13;77.1;77.2;76.8;77.0;953952
2017-03-10;77.1;77.05;77.05;77.05;1559880
2017-03-09;77.0;77.45;76.5;77.05;1122117
2017-03-08;77.15;77.2;76.7;76.9;1850719
2017-03-07;76.5;77.2;76.3;77.15;1212397
2017-03-06;76.55;76.6;75.75;76.25;1012051
2017-03-03;77.1;76.55;76.55;76.55;819484
2017-03-02;77.5;77.5;76.5;77.25;931062
2017-03-01;77.7;77.75;76.8;77.35;1109747
2017-02-28;77.1;77.35;76.45;77.35;1334930
2017-02-27;77.4;77.75;76.6;77.0;978339
2017-02-24;78.2;78.25;76.65;77.0;1319643
2017-02-23;78.4;78.55;77.85;78.1;1918804
2017-02-22;78.15;78.7;77.95;78.2;1496989
2017-02-21;76.8;78.4;76.8;78.05;1486293
2017-02-20;76.5;77.35;76.35;76.75;1409394
2017-02-17;76.9;77.5;75.95;76.2;2593208
2017-02-16;75.0;75.75;74.7;75.5;2048534
2017-02-15;74.55;75.25;74.4;74.9;1950678
2017-02-14;74.0;74.55;73.35;74.25;2059873
2017-02-13;72.85;74.2;72.5;73.7;1992267
2017-02-10;72.0;73.0;71.2;72.8;2617730
2017-02-09;73.65;73.75;70.65;70.85;3354365
2017-02-08;73.0;73.25;71.85;72.2;1116919
2017-02-07;72.85;73.7;72.75;72.95;619788
2017-02-06;73.6;73.85;72.7;72.9;611090
2017-02-03;73.55;73.95;73.05;73.6;707001
2017-02-02;73.0;73.55;72.8;73.2;1003287
2017-02-01;73.35;73.9;72.8;73.0;1128278
2017-01-31;73.25;74.15;73.1;73.2;1689478
2017-01-30;73.55;73.7;72.75;72.85;1377511
2017-01-27;73.25;74.35;73.15;73.5;2175596
2017-01-26;71.5;73.35;71.5;72.95;1700538
2017-01-25;70.7;71.55;70.65;71.3;1583808
