Dates;Open;High;Low;Close;Volume
2017-12-27;204.0;205.5;201.7;203.4;428342
2017-12-22;205.1;205.2;202.3;203.9;783352
2017-12-21;201.8;205.6;200.7;205.6;461925
2017-12-20;203.1;203.9;200.7;202.0;447502
2017-12-19;202.3;204.0;202.3;203.2;394468
2017-12-18;203.0;203.8;202.4;202.8;465141
2017-12-15;199.5;202.1;198.7;202.1;1083072
2017-12-14;200.3;201.9;199.9;199.9;743558
2017-12-13;201.0;202.5;200.3;201.2;292334
2017-12-12;201.6;202.1;200.4;201.5;345675
2017-12-11;200.5;203.1;199.9;201.3;300322
2017-12-08;200.1;202.9;200.1;200.1;433551
2017-12-07;200.0;201.7;199.6;199.6;561197
2017-12-06;200.6;201.3;198.5;200.4;398304
2017-12-05;203.5;204.5;201.8;202.7;434209
2017-12-04;200.6;204.7;200.6;203.9;874587
2017-12-01;203.9;203.9;199.5;199.5;347466
2017-11-30;204.2;205.0;202.8;204.0;675646
2017-11-29;206.2;207.3;204.2;204.2;281450
2017-11-28;203.2;205.8;203.0;205.3;384072
2017-11-27;205.0;206.4;203.5;203.5;315672
2017-11-24;206.7;207.7;205.4;205.6;283883
2017-11-23;204.4;207.5;203.0;206.5;423729
2017-11-22;208.0;208.2;204.6;204.6;414101
2017-11-21;206.0;208.8;205.1;208.0;377179
2017-11-20;205.0;206.9;203.4;206.2;476771
2017-11-17;208.0;208.4;205.1;206.0;657509
2017-11-16;208.6;210.9;207.6;209.5;332857
2017-11-15;208.3;208.5;206.4;208.1;352353
2017-11-14;209.5;211.5;208.0;208.6;317317
2017-11-13;210.5;210.7;207.2;208.5;362833
2017-11-10;210.3;211.6;209.6;210.7;266323
2017-11-09;215.0;215.0;210.2;210.5;384007
2017-11-08;216.8;217.0;213.2;214.1;429973
2017-11-07;218.0;218.1;216.1;216.1;349529
2017-11-06;219.8;220.8;216.8;217.7;384790
2017-11-03;217.0;220.1;217.0;219.8;226273
2017-11-02;217.3;217.8;215.5;216.7;313456
2017-11-01;215.1;218.2;215.1;217.4;510100
2017-10-31;214.1;215.9;214.0;215.2;418577
2017-10-30;215.7;215.8;212.9;213.9;763132
2017-10-27;215.2;216.4;214.7;215.9;429546
2017-10-26;210.8;215.6;210.3;215.6;524020
2017-10-25;211.4;212.4;210.7;211.2;313900
2017-10-24;212.0;213.9;211.0;211.2;577118
2017-10-23;212.3;213.6;211.3;212.4;585693
2017-10-20;209.3;213.0;209.2;212.3;664233
2017-10-19;209.3;210.4;207.5;208.6;550764
2017-10-18;209.5;209.6;208.4;209.2;329642
2017-10-17;209.4;209.8;207.9;209.1;549929
2017-10-13;210.1;211.0;208.7;210.3;371632
2017-10-12;210.9;212.1;210.5;211.4;483589
2017-10-11;212.6;212.6;210.2;211.0;518651
2017-10-10;211.5;212.6;211.0;211.7;846730
2017-10-09;211.1;212.1;210.7;211.5;306067
2017-10-06;211.7;212.7;209.4;210.9;775426
2017-10-05;208.8;215.3;208.3;211.9;756752
2017-10-04;209.2;209.5;207.7;209.0;422348
2017-10-03;209.0;209.6;207.5;209.2;318698
2017-10-02;206.8;207.6;205.6;207.2;269116
2017-09-29;204.3;206.3;203.2;206.3;384044
2017-09-28;202.2;203.8;201.3;203.8;628883
2017-09-27;202.9;203.7;201.4;201.9;432393
2017-09-26;203.4;203.5;202.0;202.5;324715
2017-09-25;202.3;203.8;201.8;203.1;594769
2017-09-22;202.9;202.9;200.9;202.4;625497
2017-09-21;201.9;203.3;201.2;203.1;516756
2017-09-20;201.7;201.9;200.5;201.1;459827
2017-09-19;201.1;202.2;200.6;201.6;320563
2017-09-18;201.4;202.0;199.9;200.9;374377
2017-09-15;200.5;201.3;199.2;200.4;683067
2017-09-14;199.2;200.7;198.1;200.5;504742
2017-09-13;199.3;199.9;198.5;199.1;275748
2017-09-12;199.0;199.4;197.9;199.3;354695
2017-09-11;196.4;199.1;196.4;197.7;863215
2017-09-08;195.0;195.9;194.5;195.8;603597
2017-09-07;192.7;195.8;191.0;195.7;1062849
2017-09-06;189.2;192.8;188.8;192.6;1840519
2017-09-04;190.0;191.9;189.4;190.8;353987
2017-09-01;189.0;192.2;189.0;191.7;485365
2017-08-31;187.2;189.1;186.3;188.2;803766
2017-08-30;187.9;188.6;186.7;187.2;324145
2017-08-29;188.4;188.4;185.9;187.2;321473
2017-08-28;190.4;190.6;189.0;189.1;184401
2017-08-25;190.4;192.6;189.6;191.0;209002
2017-08-24;192.9;193.5;190.1;190.2;309978
2017-08-23;192.7;193.0;191.9;192.7;224572
2017-08-22;192.3;193.4;191.4;192.7;210357
2017-08-21;191.0;192.5;190.7;191.5;255957
2017-08-18;192.0;193.1;191.2;193.1;289385
2017-08-17;196.0;196.9;194.1;194.5;293035
2017-08-16;196.0;197.4;196.0;196.7;204649
2017-08-15;197.0;197.7;195.0;195.8;365072
2017-08-14;193.8;196.3;193.6;196.2;337897
2017-08-11;195.3;195.4;192.6;193.4;303570
2017-08-10;199.1;199.1;195.6;195.7;248149
2017-08-09;198.7;199.4;196.6;199.4;404359
2017-08-08;199.9;200.3;198.5;199.5;245839
2017-08-07;199.9;200.8;198.7;199.6;141824
2017-08-04;198.7;199.8;197.5;199.5;267533
2017-08-03;198.0;199.3;197.7;198.9;303784
2017-08-02;199.2;199.9;197.9;198.7;353428
2017-08-01;195.7;199.7;195.7;199.1;351781
2017-07-31;195.0;197.5;194.9;196.0;310100
2017-07-28;197.5;197.8;194.6;195.1;188575
2017-07-27;196.8;198.0;196.7;197.5;245002
2017-07-26;196.0;197.5;195.8;197.0;311393
2017-07-25;195.7;197.3;195.2;196.8;304308
2017-07-24;197.8;198.6;195.6;195.8;375435
2017-07-21;199.0;200.9;197.3;197.8;466708
2017-07-20;199.4;202.6;198.6;200.0;385184
2017-07-19;199.5;200.0;196.5;199.6;582229
2017-07-18;202.6;203.5;197.8;198.8;448042
2017-07-17;203.7;204.8;201.8;203.9;337222
2017-07-14;203.2;203.9;202.3;203.5;237995
2017-07-13;202.8;204.0;202.0;203.0;441631
2017-07-12;199.4;202.4;199.4;202.4;374181
2017-07-11;200.8;201.3;198.8;199.2;390795
2017-07-10;201.0;202.1;200.3;200.8;383776
2017-07-07;201.0;201.0;199.2;200.3;260552
2017-07-06;202.0;202.6;199.6;201.0;649888
2017-07-05;204.3;204.3;201.8;202.8;465204
2017-07-04;204.0;204.9;202.8;204.3;288036
2017-07-03;202.2;204.3;201.8;204.1;228017
2017-06-30;200.0;203.1;199.6;202.0;661391
2017-06-29;207.1;207.7;200.8;201.1;410685
2017-06-28;206.1;206.3;204.8;206.3;444977
2017-06-27;210.0;210.0;207.3;207.5;485536
2017-06-26;213.0;214.3;209.6;209.7;587968
2017-06-23;;212.0;212.0;212.0;0
2017-06-22;209.5;212.2;208.6;212.0;484551
2017-06-21;210.2;211.0;208.4;209.6;342437
2017-06-20;211.2;213.4;210.2;210.2;472555
2017-06-19;211.0;212.7;210.0;211.2;430661
2017-06-16;204.5;209.2;204.5;209.2;681269
2017-06-15;208.4;208.5;203.6;204.5;562249
2017-06-14;210.9;214.2;207.8;208.5;370495
2017-06-13;209.0;211.3;208.5;210.9;326898
2017-06-12;210.6;210.6;208.1;209.1;268545
2017-06-09;208.0;211.0;207.9;211.0;450529
2017-06-08;209.0;210.7;208.3;208.9;401110
2017-06-07;209.0;210.3;207.6;209.0;640499
2017-06-06;;208.9;208.9;208.9;0
2017-06-05;209.3;209.9;207.5;208.9;219030
2017-06-02;206.6;210.4;206.6;209.3;416549
2017-06-01;205.0;207.4;204.2;206.1;361030
2017-05-31;204.6;205.9;204.0;205.4;587116
2017-05-30;202.0;204.6;201.2;204.6;259186
2017-05-29;203.3;204.2;202.0;202.0;132438
2017-05-26;203.7;204.5;202.1;204.5;252524
2017-05-24;203.0;203.7;202.1;203.7;165097
2017-05-23;201.5;203.8;201.0;203.8;404959
2017-05-22;200.8;203.2;200.7;202.0;291859
2017-05-19;201.0;201.3;200.1;200.8;475350
2017-05-18;203.6;205.0;199.7;200.9;621999
2017-05-17;209.9;209.9;204.8;205.0;842681
2017-05-16;211.4;212.8;210.6;211.0;675009
2017-05-15;210.3;211.8;209.4;211.1;484852
2017-05-12;212.0;209.8;209.8;209.8;305065
2017-05-11;211.0;213.4;210.2;211.6;510098
2017-05-10;209.8;210.7;208.5;210.6;543426
2017-05-09;213.2;215.6;213.2;214.5;454274
2017-05-08;214.2;214.5;211.7;213.6;510341
2017-05-05;210.6;213.8;210.6;213.4;395846
2017-05-04;209.9;211.5;209.5;211.5;453089
2017-05-03;209.2;209.7;207.7;209.1;316754
2017-05-02;207.0;209.2;206.7;209.2;334550
2017-05-01;;206.0;206.0;206.0;0
2017-04-28;205.5;206.7;204.7;206.0;374595
2017-04-27;204.9;205.4;203.4;205.4;352741
2017-04-26;204.0;205.3;203.6;205.3;495299
2017-04-25;201.1;204.8;201.1;204.0;560729
2017-04-24;198.7;201.1;198.1;201.1;430320
2017-04-21;197.7;198.4;196.2;196.7;382054
2017-04-20;194.7;197.3;194.0;197.1;465152
2017-04-19;194.6;195.6;193.8;194.7;463928
2017-04-18;196.1;197.1;193.2;194.4;509254
2017-04-13;195.1;196.4;194.5;196.2;236711
2017-04-12;194.2;196.3;193.9;194.4;420919
2017-04-11;194.1;195.5;193.4;194.0;357780
2017-04-10;192.8;194.4;192.5;194.4;237061
2017-04-07;191.5;192.8;190.8;192.8;331561
2017-04-06;190.8;192.3;190.0;192.2;385467
2017-04-05;192.7;193.7;191.0;192.4;425918
2017-04-04;191.0;193.1;190.6;192.8;673898
2017-04-03;194.5;195.4;193.5;193.7;566380
2017-03-31;192.9;194.7;192.6;194.1;395784
2017-03-30;191.2;193.0;190.6;192.9;387813
2017-03-29;189.5;191.2;189.2;191.2;407395
2017-03-28;187.5;189.4;186.5;189.1;332645
2017-03-27;186.4;187.6;185.4;187.6;447036
2017-03-24;187.0;187.7;185.7;186.9;202679
2017-03-23;186.1;188.2;185.4;188.0;289529
2017-03-22;185.3;186.5;184.1;186.1;453516
2017-03-21;188.3;189.5;186.7;186.8;456468
2017-03-20;188.0;189.3;187.4;188.2;555654
2017-03-17;187.0;188.5;186.7;187.6;539716
2017-03-16;185.5;187.1;185.5;186.9;486223
2017-03-15;184.2;185.0;183.4;184.8;432445
2017-03-14;184.0;184.1;182.0;183.3;351222
2017-03-13;182.7;184.7;181.2;184.0;602082
2017-03-10;182.0;181.7;181.7;181.7;304727
2017-03-09;181.6;182.1;180.5;181.7;231510
2017-03-08;180.9;182.8;180.5;181.6;309011
2017-03-07;180.6;182.0;180.0;180.5;367405
2017-03-06;181.2;181.2;179.2;180.6;268624
2017-03-03;181.2;181.2;181.2;181.2;261188
2017-03-02;183.0;183.3;181.1;181.6;370862
2017-03-01;180.0;183.1;179.0;182.6;490995
2017-02-28;179.6;180.0;178.1;178.7;554668
2017-02-27;180.6;181.2;178.7;179.0;290986
2017-02-24;183.2;183.6;178.8;179.9;505402
2017-02-23;179.9;183.9;179.1;183.7;684218
2017-02-22;180.2;180.2;178.6;179.6;308508
2017-02-21;177.7;180.1;177.3;179.7;339294
2017-02-20;177.8;178.7;177.2;177.6;453283
2017-02-17;177.2;178.1;176.5;177.1;352012
2017-02-16;178.5;178.7;176.8;177.1;251821
2017-02-15;179.0;179.2;178.2;178.2;255869
2017-02-14;177.2;178.3;176.0;178.3;380775
2017-02-13;176.7;177.6;175.9;177.2;241804
2017-02-10;175.1;177.0;175.1;175.6;388411
2017-02-09;173.3;175.3;173.1;175.1;397032
2017-02-08;174.8;175.0;173.6;174.3;719814
2017-02-07;172.9;176.0;172.4;174.8;910175
2017-02-06;174.0;174.5;172.9;172.9;380074
2017-02-03;172.0;173.7;172.0;173.2;481127
2017-02-02;171.2;172.7;171.1;172.0;480406
2017-02-01;170.0;171.8;169.5;171.0;715839
2017-01-31;169.0;170.1;168.8;169.4;390254
2017-01-30;169.2;169.6;168.3;168.6;274031
2017-01-27;168.9;169.3;168.3;169.3;303517
2017-01-26;169.4;169.8;168.8;168.9;609219
2017-01-25;169.7;169.9;169.0;169.3;562077
2017-01-24;166.4;169.7;166.4;169.1;294806
2017-01-23;167.5;167.5;165.9;166.4;687564
2017-01-20;166.8;168.2;166.3;168.0;286259
2017-01-19;165.7;167.8;165.3;166.8;675559
2017-01-18;164.3;165.9;163.5;165.9;248777
