Dates;Open;High;Low;Close;Volume
2017-12-27;10.8;11.0;10.7;11.0;83572
2017-12-22;10.75;10.83;10.63;10.8;20250
2017-12-21;10.73;10.75;10.5;10.71;41044
2017-12-20;10.84;10.86;10.5;10.73;87270
2017-12-19;10.84;10.86;10.84;10.84;86225
2017-12-18;10.93;10.99;10.84;10.92;15967
2017-12-15;11.0;11.0;10.84;10.93;62159
2017-12-14;10.78;10.93;10.77;10.84;58041
2017-12-13;10.8;10.89;10.78;10.78;19468
2017-12-12;10.82;11.0;10.71;10.75;53197
2017-12-11;11.0;11.05;10.71;10.84;11703
2017-12-08;10.93;10.98;10.75;10.92;17268
2017-12-07;10.65;10.96;10.65;10.71;378840
2017-12-06;10.5;10.81;10.5;10.65;42551
2017-12-05;10.82;11.01;10.69;10.69;31278
2017-12-04;11.27;11.27;10.82;10.82;57514
2017-12-01;11.6;11.6;11.11;11.11;43891
2017-11-30;11.6;11.69;11.38;11.59;54314
2017-11-29;11.42;11.9;11.42;11.66;93839
2017-11-28;11.4;11.49;11.35;11.4;41925
2017-11-27;11.23;11.47;11.2;11.34;35701
2017-11-24;11.26;11.3;11.0;11.15;15806
2017-11-23;11.14;11.21;11.02;11.02;7083
2017-11-22;11.26;11.26;11.1;11.14;4347
2017-11-21;11.05;11.3;11.05;11.26;12617
2017-11-20;11.04;11.3;11.01;11.03;9002
2017-11-17;11.35;11.47;11.23;11.3;24556
2017-11-16;11.2;11.39;11.2;11.3;48207
2017-11-15;11.19;11.19;10.91;11.09;70483
2017-11-14;11.22;11.23;11.19;11.19;27811
2017-11-13;11.35;11.39;11.2;11.22;221707
2017-11-10;11.3;11.47;11.3;11.4;10380
2017-11-09;11.47;11.47;11.3;11.3;16415
2017-11-08;11.45;11.45;11.3;11.3;8423
2017-11-07;11.46;11.46;11.33;11.45;12374
2017-11-06;11.35;11.5;11.3;11.45;25350
2017-11-03;11.44;11.47;11.3;11.3;19548
2017-11-02;11.44;11.44;11.3;11.31;180803
2017-11-01;11.02;11.48;11.01;11.47;51382
2017-10-31;11.3;11.3;11.19;11.3;21912
2017-10-30;11.24;11.35;11.22;11.3;9578
2017-10-27;11.08;11.28;11.08;11.22;7694
2017-10-26;10.9;11.22;10.89;11.06;28714
2017-10-25;11.34;11.34;10.87;10.87;18280
2017-10-24;11.01;11.4;11.01;11.33;89253
2017-10-23;11.31;11.6;11.3;11.3;95031
2017-10-20;11.5;11.8;11.42;11.49;46848
2017-10-19;11.82;11.82;11.4;11.6;120546
2017-10-18;11.49;11.94;11.39;11.72;119778
2017-10-17;11.3;11.49;11.06;11.49;96368
2017-10-13;11.4;11.4;11.13;11.24;58271
2017-10-12;10.98;11.4;10.98;11.4;89952
2017-10-11;11.0;11.05;10.88;10.98;126688
2017-10-10;10.95;10.95;10.76;10.88;80568
2017-10-09;10.98;11.03;10.92;11.0;24161
2017-10-06;11.0;11.04;10.89;10.99;69486
2017-10-05;11.04;11.04;10.95;10.98;31848
2017-10-04;11.12;11.12;10.9;11.04;30402
2017-10-03;10.97;11.16;10.88;11.12;60596
2017-10-02;10.89;10.99;10.81;10.97;23859
2017-09-29;10.8;10.89;10.6;10.89;34901
2017-09-28;10.83;11.0;10.61;10.8;11202
2017-09-27;10.85;10.9;10.7;10.83;115900
2017-09-26;10.9;10.9;10.6;10.85;42434
2017-09-25;10.8;10.99;10.69;10.79;24753
2017-09-22;10.81;10.89;10.75;10.85;4505
2017-09-21;10.94;10.94;10.7;10.81;40407
2017-09-20;10.95;10.95;10.68;10.83;40304
2017-09-19;11.0;11.0;10.83;10.83;6604
2017-09-18;10.97;11.1;10.93;11.0;29918
2017-09-15;10.88;11.13;10.88;10.97;51565
2017-09-14;10.98;11.0;10.85;10.89;33463
2017-09-13;10.95;11.0;10.8;10.98;26276
2017-09-12;10.74;10.98;10.74;10.98;59521
2017-09-11;10.51;10.8;10.51;10.74;82085
2017-09-08;10.6;10.89;10.55;10.56;65488
2017-09-07;10.5;10.66;10.47;10.6;141594
2017-09-06;10.55;10.74;10.35;10.45;94452
2017-09-04;10.8;10.96;10.67;10.96;50717
2017-09-01;10.83;11.0;10.83;10.99;9718
2017-08-31;10.85;10.99;10.83;10.83;46949
2017-08-30;10.8;10.99;10.8;10.83;50522
2017-08-29;10.7;10.88;10.58;10.82;32128
2017-08-28;10.7;10.9;10.68;10.8;8494
2017-08-25;10.71;10.8;10.6;10.6;24963
2017-08-24;10.75;10.79;10.7;10.71;50179
2017-08-23;10.74;10.78;10.7;10.75;17549
2017-08-22;10.81;10.81;10.7;10.74;37292
2017-08-21;10.66;10.8;10.66;10.72;61247
2017-08-18;10.8;10.8;10.65;10.65;73623
2017-08-17;10.7;10.85;10.7;10.8;17995
2017-08-16;10.55;10.68;10.55;10.66;14948
2017-08-15;10.7;10.71;10.49;10.55;14651
2017-08-14;10.54;10.72;10.45;10.67;17805
2017-08-11;10.78;10.78;10.39;10.55;153375
2017-08-10;10.88;10.88;10.72;10.78;36687
2017-08-09;10.88;10.9;10.82;10.88;34473
2017-08-08;10.87;10.88;10.79;10.88;42129
2017-08-07;10.81;10.9;10.8;10.84;67329
2017-08-04;10.72;10.8;10.61;10.8;160371
2017-08-03;10.51;10.79;10.51;10.7;51478
2017-08-02;10.4;10.56;10.4;10.51;88724
2017-08-01;10.25;10.4;10.25;10.4;39034
2017-07-31;10.15;10.25;10.1;10.25;99207
2017-07-28;10.28;10.28;10.05;10.16;15358
2017-07-27;10.07;10.25;10.06;10.22;44472
2017-07-26;9.95;10.07;9.95;10.04;50083
2017-07-25;9.9;10.07;9.875;9.875;62035
2017-07-24;9.96;9.975;9.84;9.89;20641
2017-07-21;9.97;10.03;9.905;9.96;146315
2017-07-20;9.95;10.14;9.95;9.97;37833
2017-07-19;9.96;9.99;9.9;9.955;38029
2017-07-18;9.9;10.0;9.84;9.955;127405
2017-07-17;9.995;10.0;9.75;9.9;69866
2017-07-14;9.65;11.0;9.65;9.795;85906
