Dates;Open;High;Low;Close;Volume
2017-12-27;10.75;10.89;10.75;10.86;689485
2017-12-22;10.7;10.79;10.65;10.75;918710
2017-12-21;10.72;10.72;10.41;10.56;1771165
2017-12-20;10.76;10.79;10.63;10.73;1019337
2017-12-19;10.85;10.9;10.75;10.79;550658
2017-12-18;10.9;10.96;10.8;10.86;670474
2017-12-15;10.84;10.91;10.77;10.9;1232130
2017-12-14;10.8;10.87;10.77;10.84;736166
2017-12-13;10.8;10.89;10.76;10.87;622424
2017-12-12;10.9;10.9;10.72;10.8;675262
2017-12-11;10.89;10.89;10.76;10.86;553217
2017-12-08;10.76;10.9;10.76;10.88;827766
2017-12-07;10.66;10.93;10.64;10.76;1248275
2017-12-06;10.71;10.79;10.56;10.67;5434129
2017-12-05;10.86;10.95;10.725;10.79;1915409
2017-12-04;11.16;11.2;10.82;10.86;2099768
2017-12-01;11.44;11.52;11.08;11.1;1322521
2017-11-30;11.69;11.69;11.36;11.4;13023151
2017-11-29;11.44;11.84;11.44;11.69;2931610
2017-11-28;11.39;11.48;11.35;11.43;1853307
2017-11-27;11.23;11.4;11.18;11.4;1836909
2017-11-24;11.02;11.2;11.02;11.18;2234537
2017-11-23;11.01;11.08;10.95;11.04;1038169
2017-11-22;11.2;11.2;11.02;11.04;653900
2017-11-21;11.09;11.2;11.09;11.19;1086677
2017-11-20;11.2;11.24;11.05;11.08;770181
2017-11-17;11.28;11.35;11.19;11.2;1362247
2017-11-16;11.06;11.34;11.06;11.27;2057194
2017-11-15;11.05;11.09;10.87;11.03;1200436
2017-11-14;11.04;11.14;11.0;11.14;1072520
2017-11-13;11.1;11.2;10.97;11.04;663708
2017-11-10;10.99;11.2;10.94;11.12;1103926
2017-11-09;11.09;11.12;10.98;11.0;787179
2017-11-08;11.15;11.27;11.0;11.13;744249
2017-11-07;11.15;11.27;11.06;11.17;822048
2017-11-06;11.2;11.27;11.11;11.15;815424
2017-11-03;11.2;11.29;11.2;11.2;600693
2017-11-02;11.3;11.37;11.17;11.27;1185735
2017-11-01;11.2;11.42;11.13;11.37;1373087
2017-10-31;11.21;11.28;11.12;11.27;483837
2017-10-30;11.15;11.22;11.11;11.21;420717
2017-10-27;11.07;11.26;10.97;11.15;988344
2017-10-26;10.89;11.17;10.88;11.12;816496
2017-10-25;11.2;11.23;10.89;10.92;852921
2017-10-24;11.29;11.34;11.19;11.19;892523
2017-10-23;11.48;11.58;11.33;11.36;706647
2017-10-20;11.45;11.62;11.43;11.43;763725
2017-10-19;11.8;11.86;11.46;11.55;1019202
2017-10-18;11.49;11.92;11.38;11.8;3930924
2017-10-17;11.03;11.48;11.0;11.44;3130920
2017-10-13;11.23;11.28;11.11;11.17;1043640
2017-10-12;11.05;11.23;11.01;11.23;1629408
2017-10-11;10.94;11.07;10.87;11.02;1132160
2017-10-10;10.9;10.94;10.74;10.94;1308542
2017-10-09;10.95;11.03;10.95;10.97;439640
2017-10-06;11.03;11.04;10.9;10.95;742304
2017-10-05;11.0;11.03;10.92;11.03;643243
2017-10-04;11.09;11.09;10.95;11.0;656968
2017-10-03;10.97;11.15;10.9;11.1;2068922
2017-10-02;10.85;10.96;10.82;10.92;709531
2017-09-29;10.6;10.9;10.59;10.85;739500
2017-09-28;10.61;10.65;10.52;10.65;513479
2017-09-27;10.78;10.84;10.68;10.7;780006
2017-09-26;10.8;10.84;10.75;10.8;557718
2017-09-25;10.78;10.81;10.72;10.77;1044920
2017-09-22;10.76;10.84;10.72;10.78;1394074
2017-09-21;10.86;10.92;10.75;10.78;805062
2017-09-20;10.81;10.85;10.73;10.75;893039
2017-09-19;10.94;10.94;10.79;10.8;720681
2017-09-18;11.04;11.08;10.95;10.95;861542
2017-09-15;10.97;11.11;10.87;11.02;2445943
2017-09-14;10.94;11.03;10.87;11.0;713385
2017-09-13;10.8;11.02;10.77;10.94;2000039
2017-09-12;10.76;10.85;10.76;10.8;922215
2017-09-11;10.6;10.83;10.6;10.76;1247971
2017-09-08;10.65;10.75;10.56;10.62;1163121
2017-09-07;10.54;10.64;10.48;10.64;1359305
2017-09-06;10.5;10.67;10.46;10.55;1274974
2017-09-04;10.87;10.94;10.74;10.74;1002275
2017-09-01;10.96;11.0;10.84;10.97;2854348
2017-08-31;10.95;11.02;10.92;11.0;2542335
2017-08-30;10.85;11.03;10.84;10.95;1233192
2017-08-29;10.7;10.91;10.64;10.84;3139819
2017-08-28;10.62;10.77;10.59;10.74;1351963
2017-08-25;10.74;10.77;10.6;10.62;918272
2017-08-24;10.75;10.79;10.66;10.79;2321430
2017-08-23;10.62;10.8;10.57;10.75;2967698
2017-08-22;10.79;10.79;10.58;10.62;1193654
2017-08-21;10.56;10.76;10.54;10.73;3236868
2017-08-18;10.6;10.69;10.52;10.64;1433053
2017-08-17;10.65;10.72;10.59;10.65;3621605
2017-08-16;10.5;10.65;10.46;10.59;1240357
2017-08-15;10.65;10.65;10.35;10.5;2832861
2017-08-14;10.36;10.69;10.31;10.59;1520038
2017-08-11;10.58;10.58;10.3;10.35;1207523
2017-08-10;10.82;10.84;10.6;10.62;1139364
2017-08-09;10.89;10.91;10.77;10.84;951336
2017-08-08;10.8;10.89;10.74;10.87;986512
